date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,1,1,1,1360,10,1360,10,1094800,8290,1094800,8290,805.0,805.0,829.0,829.0,0.0,1387-09-06
2008-11-29,1,1,1,1,24717,10,24717,10,19897185,8270,19897185,8270,805.0,805.0,827.0,827.0,0.0,1387-09-09
2008-12-24,2,0,7,0,50000,0,50000,0,40150000,0,40150000,0,803.0,803.0,,,0.0,1387-10-04
2008-12-29,1,0,1,0,3715,0,3715,0,2964570,0,2964570,0,798.0,798.0,,,0.0,1387-10-09
2009-01-04,2,0,1,0,4055,0,4055,0,3235890,0,3235890,0,798.0,798.0,,,0.0,1387-10-15
2009-01-05,3,0,3,0,41000,0,41000,0,32718000,0,32718000,0,798.0,798.0,,,0.0,1387-10-16
2009-01-10,5,0,5,0,91000,0,91000,0,72254000,0,72254000,0,794.0,794.0,,,0.0,1387-10-21
2009-01-11,3,0,2,0,35000,0,35000,0,27520000,0,27520000,0,786.2857142857143,786.2857142857143,,,0.0,1387-10-22
2009-01-12,1,0,1,0,200,0,200,0,156400,0,156400,0,782.0,782.0,,,0.0,1387-10-23
2009-01-13,2,0,1,0,14800,0,14800,0,11578600,0,11578600,0,782.3378378378378,782.3378378378378,,,0.0,1387-10-24
2009-01-14,1,0,1,0,3000,0,3000,0,2355000,0,2355000,0,785.0,785.0,,,0.0,1387-10-25
2009-01-17,2,0,1,0,100000,0,100000,0,78100000,0,78100000,0,781.0,781.0,,,0.0,1387-10-28
2009-01-20,1,0,1,0,1000,0,1000,0,795000,0,795000,0,795.0,795.0,,,0.0,1387-11-01
2009-01-24,2,0,1,0,32980,0,32980,0,26328040,0,26328040,0,798.3032140691328,798.3032140691328,,,0.0,1387-11-05
2009-01-26,3,0,1,0,15000,0,15000,0,12024937,0,12024937,0,801.6624666666667,801.6624666666667,,,0.0,1387-11-07
2009-01-27,1,0,4,0,19000,0,19000,0,15502000,0,15502000,0,815.8947368421053,815.8947368421053,,,0.0,1387-11-08
2009-01-28,1,0,2,0,5012,0,5012,0,4109840,0,4109840,0,820.0,820.0,,,0.0,1387-11-09
2009-01-31,2,0,1,0,34617,0,34617,0,28385940,0,28385940,0,820.0,820.0,,,0.0,1387-11-12
2009-02-01,13,0,3,2,220972,0,66371,154601,179118105,0,54629704,124488401,810.5918623173977,823.095990718838,,805.2237760428458,154601.0,1387-11-13
2009-02-02,1,0,1,0,3000,0,3000,0,2361000,0,2361000,0,787.0,787.0,,,0.0,1387-11-14
2009-02-04,1,0,1,0,3500,0,3500,0,2905000,0,2905000,0,830.0,830.0,,,0.0,1387-11-16
2009-02-07,4,0,1,1,30100,0,30000,100,24211240,0,24131140,80100,804.3601328903654,804.3713333333334,,801.0,100.0,1387-11-19
2009-02-08,5,0,1,1,44961,0,961,44000,35623385,0,754385,34869000,792.3174529036276,785.0,,792.4772727272727,44000.0,1387-11-20
2009-02-11,1,0,0,1,1000,0,0,1000,782000,0,0,782000,782.0,,,782.0,1000.0,1387-11-23
2009-02-21,2,0,3,0,18000,0,18000,0,14076000,0,14076000,0,782.0,782.0,,,0.0,1387-12-03
2009-02-22,1,0,1,0,8300,0,8300,0,6474000,0,6474000,0,780.0,780.0,,,0.0,1387-12-04
2009-02-25,1,0,1,0,3050,0,3050,0,2379000,0,2379000,0,780.0,780.0,,,0.0,1387-12-07
2009-02-28,2,0,2,0,4866,0,4866,0,3800346,0,3800346,0,781.0,781.0,,,0.0,1387-12-10
2009-03-01,1,0,1,0,686,0,686,0,550858,0,550858,0,803.0,803.0,,,0.0,1387-12-11
2009-03-03,4,0,2,0,43490,0,43490,0,34051200,0,34051200,0,782.9661991262359,782.9661991262359,,,0.0,1387-12-13
2009-03-07,3,0,2,0,17641,0,17641,0,13770121,0,13770121,0,780.5748540332181,780.5748540332181,,,0.0,1387-12-17
2009-03-11,5,0,2,0,33715,0,33715,0,26260700,0,26260700,0,778.9025656236097,778.9025656236097,,,0.0,1387-12-21
2009-03-14,2,0,1,0,7868,0,7868,0,6074096,0,6074096,0,772.0,772.0,,,0.0,1387-12-24
2009-03-18,1,0,2,0,10314,0,10314,0,8241538,0,8241538,0,799.0632150475083,799.0632150475083,,,0.0,1387-12-28
2009-04-05,2,0,1,0,5217,0,5217,0,4262289,0,4262289,0,817.0,817.0,,,0.0,1388-01-16
2009-04-07,5,0,2,0,38170,0,38170,0,30854116,0,30854116,0,808.3341891537857,808.3341891537857,,,0.0,1388-01-18
2009-04-08,2,0,2,0,33990,0,33990,0,27837810,0,27837810,0,819.0,819.0,,,0.0,1388-01-19
2009-04-11,1,0,1,0,10000,0,10000,0,8220000,0,8220000,0,822.0,822.0,,,0.0,1388-01-22
2009-04-12,12,0,2,1,101623,0,28378,73245,83707652,0,23353772,60353880,823.7077433258219,822.9534146169568,,824.0,73245.0,1388-01-23
2009-04-13,2,0,0,1,3170,0,0,3170,2637440,0,0,2637440,832.0,,,832.0,3170.0,1388-01-24
2009-04-14,1,0,1,0,825,0,825,0,682275,0,682275,0,827.0,827.0,,,0.0,1388-01-25
2009-04-15,3,0,2,0,20000,0,20000,0,16470000,0,16470000,0,823.5,823.5,,,0.0,1388-01-26
2009-04-19,1,0,4,1,76605,0,39775,36830,63780505,0,33088925,30691580,832.5893218458325,831.9025769956003,,833.3309801792018,36830.0,1388-01-30
2009-04-20,1,0,1,0,10000,0,10000,0,8420000,0,8420000,0,842.0,842.0,,,0.0,1388-01-31
2009-04-27,1,0,1,0,10000,0,10000,0,8430000,0,8430000,0,843.0,843.0,,,0.0,1388-02-07
