date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,2,1,2,1,14979,10,14979,10,14954021,10220,14954021,10220,998.3323986915016,998.3323986915016,1022.0,1022.0,0.0,1387-09-06
2008-11-30,3,1,4,2,12980,10,11589,1401,12876160,10210,11496288,1390082,992.0,992.0,1021.0,992.2069950035687,1391.0,1387-09-10
2008-12-01,2,2,4,1,19355,25709,45054,10,19180805,25477889,44648514,10180,991.0,991.0,991.0105021587772,1018.0,-25699.0,1387-09-11
2008-12-02,1,1,1,1,500,10,500,10,495000,10180,495000,10180,990.0,990.0,1018.0,1018.0,0.0,1387-09-12
2008-12-03,0,3,1,1,0,30,20,10,0,29940,19760,10180,,988.0,998.0,1018.0,-20.0,1387-09-13
2008-12-06,3,0,1,0,1542,0,1542,0,1523496,0,1523496,0,988.0,988.0,,,0.0,1387-09-16
2008-12-07,1,0,1,0,20000,0,20000,0,19760000,0,19760000,0,988.0,988.0,,,0.0,1387-09-17
2008-12-10,1,0,1,0,22325,0,22325,0,22034775,0,22034775,0,987.0,987.0,,,0.0,1387-09-20
2008-12-14,1,0,1,0,2000,0,2000,0,1970000,0,1970000,0,985.0,985.0,,,0.0,1387-09-24
2008-12-15,2,0,4,0,27001,0,27001,0,26595985,0,26595985,0,985.0,985.0,,,0.0,1387-09-25
2008-12-16,1,0,12,1,160806,0,150806,10000,158194628,0,148364628,9830000,983.760730321008,983.8111746216994,,983.0,10000.0,1387-09-26
2008-12-20,1,0,1,1,1930,0,1600,330,1910700,0,1584000,326700,990.0,990.0,,990.0,330.0,1387-09-30
2008-12-21,2,0,2,0,44000,0,44000,0,44030000,0,44030000,0,1000.681818181818,1000.681818181818,,,0.0,1387-10-01
2008-12-22,3,0,4,0,30355,0,30355,0,30323000,0,30323000,0,998.945807939384,998.945807939384,,,0.0,1387-10-02
2008-12-23,2,0,2,0,6000,0,6000,0,6000000,0,6000000,0,1000.0,1000.0,,,0.0,1387-10-03
2008-12-24,4,0,4,0,55826,0,55826,0,55512790,0,55512790,0,994.3895317593953,994.3895317593953,,,0.0,1387-10-04
2008-12-27,3,0,8,0,70494,0,70494,0,70370777,0,70370777,0,998.2520072630294,998.2520072630294,,,0.0,1387-10-07
2008-12-30,1,0,6,0,60000,0,60000,0,58260000,0,58260000,0,971.0,971.0,,,0.0,1387-10-10
2008-12-31,3,1,1,0,7165,10000,17165,0,6935720,9680000,16615720,0,968.0,968.0,968.0,,-10000.0,1387-10-11
2009-01-04,1,1,1,0,507,10000,10507,0,490269,9670000,10160269,0,967.0,967.0,967.0,,-10000.0,1387-10-15
2009-01-05,3,1,1,0,40000,10000,50000,0,38640000,9660000,48300000,0,966.0,966.0,966.0,,-10000.0,1387-10-16
2009-01-10,0,1,1,0,0,10000,10000,0,0,9630000,9630000,0,,963.0,963.0,,-10000.0,1387-10-21
2009-01-12,1,1,9,0,97629,2150,99779,0,93919098,2068300,95987398,0,962.0,962.0,962.0,,-2150.0,1387-10-23
2009-01-13,3,0,2,0,6084,0,6084,0,5962270,0,5962270,0,979.991781722551,979.991781722551,,,0.0,1387-10-24
2009-01-14,2,1,2,0,3391,8000,11391,0,3281789,7648000,10929789,0,967.79386611619,959.5109296813274,956.0,,-8000.0,1387-10-25
2009-01-17,2,1,1,1,20050,10000,30000,50,19127750,9550000,28630000,47750,954.002493765586,954.3333333333334,955.0,955.0,-9950.0,1387-10-28
2009-01-19,8,1,14,0,49765,200000,249765,0,48001389,191636063,239637452,0,964.5612177232996,959.4516925910356,958.180315,,-200000.0,1387-10-30
2009-01-20,0,1,1,0,0,30000,30000,0,0,28730000,28730000,0,,957.6666666666666,957.6666666666666,,-30000.0,1387-11-01
2009-01-21,7,0,5,1,77142,0,64142,13000,76785553,0,63837553,12948000,995.3793394000674,995.2535468179976,,996.0,13000.0,1387-11-02
2009-01-24,4,0,4,0,13090,0,13090,0,12958848,0,12958848,0,989.9807486631016,989.9807486631016,,,0.0,1387-11-05
2009-01-25,3,0,3,1,63250,0,43250,20000,60226770,0,41186770,19040000,952.2018972332016,952.295260115607,,952.0,20000.0,1387-11-06
2009-01-26,0,1,19,1,0,260000,240000,20000,0,256390518,236390518,20000000,,984.9604916666668,986.1173769230768,1000.0,-240000.0,1387-11-07
2009-01-27,4,1,11,0,41684,101000,142684,0,40158078,101618262,141776340,0,963.3931004702044,993.6386700681226,1006.121405940594,,-101000.0,1387-11-08
