date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,2,1,2,1,1063,10,1063,10,1338317,12440,1338317,12440,1259.0,1259.0,1244.0,1244.0,0.0,1387-09-06
2008-11-29,2,0,1,1,3378,0,128,3250,4202232,0,159232,4043000,1244.0,1244.0,,1244.0,3250.0,1387-09-09
2008-11-30,3,1,4,1,22143,10,22143,10,27319162,12420,27319162,12420,1233.7606467055052,1233.7606467055052,1242.0,1242.0,0.0,1387-09-10
2008-12-01,3,1,4,2,20124,10,17115,3019,24285544,12360,20653681,3644223,1206.7950705625124,1206.7590417762196,1236.0,1207.0960582974494,3009.0,1387-09-11
2008-12-02,1,1,1,1,10,10,10,10,11990,12360,11990,12360,1199.0,1199.0,1236.0,1236.0,0.0,1387-09-12
2008-12-03,2,1,5,1,25238,10,25238,10,30260362,12290,30260362,12290,1199.0,1199.0,1229.0,1229.0,0.0,1387-09-13
2008-12-07,1,0,2,0,10000,0,10000,0,11930000,0,11930000,0,1193.0,1193.0,,,0.0,1387-09-17
2008-12-15,1,0,5,1,48000,0,38000,10000,57120000,0,45220000,11900000,1190.0,1190.0,,1190.0,10000.0,1387-09-25
2008-12-16,1,0,2,0,20435,0,20435,0,24051995,0,24051995,0,1177.0,1177.0,,,0.0,1387-09-26
2008-12-21,1,0,2,0,31020,0,31020,0,38514000,0,38514000,0,1241.5860735009671,1241.5860735009671,,,0.0,1387-10-01
2008-12-29,2,0,1,0,30000,0,30000,0,35480000,0,35480000,0,1182.6666666666667,1182.6666666666667,,,0.0,1387-10-09
2009-01-03,2,0,1,0,6000,0,6000,0,7050000,0,7050000,0,1175.0,1175.0,,,0.0,1387-10-14
2009-01-10,1,0,0,1,1015,0,0,1015,1187550,0,0,1187550,1170.0,,,1170.0,1015.0,1387-10-21
2009-01-14,1,0,0,1,255,0,0,255,298350,0,0,298350,1170.0,,,1170.0,255.0,1387-10-25
2009-01-21,2,0,0,1,6030,0,0,6030,7055100,0,0,7055100,1170.0,,,1170.0,6030.0,1387-11-02
2009-01-31,0,1,1,0,0,6000,6000,0,0,7008000,7008000,0,,1168.0,1168.0,,-6000.0,1387-11-12
2009-02-01,2,0,1,0,2000,0,2000,0,2332000,0,2332000,0,1166.0,1166.0,,,0.0,1387-11-13
2009-02-04,1,0,1,0,100,0,100,0,116500,0,116500,0,1165.0,1165.0,,,0.0,1387-11-16
2009-02-07,1,0,1,0,1000,0,1000,0,1131000,0,1131000,0,1131.0,1131.0,,,0.0,1387-11-19
2009-02-08,9,0,9,2,188006,0,143443,44563,206520362,0,157577048,48943314,1098.4775060370414,1098.5342470528362,,1098.2948634517425,44563.0,1387-11-20
2009-02-09,1,0,1,0,3000,0,3000,0,3294000,0,3294000,0,1098.0,1098.0,,,0.0,1387-11-21
