date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,1,2,1,12000,10,12000,10,22904000,19060,22904000,19060,1908.6666666666667,1908.6666666666667,1906.0,1906.0,0.0,1387-09-06
2008-11-30,5,1,2,1,19800,10,19800,10,38669900,19530,38669900,19530,1953.0252525252524,1953.0252525252524,1953.0,1953.0,0.0,1387-09-10
2008-12-01,5,0,3,0,17000,0,17000,0,34187000,0,34187000,0,2011.0,2011.0,,,0.0,1387-09-11
2008-12-02,1,0,2,0,16000,0,16000,0,33136000,0,33136000,0,2071.0,2071.0,,,0.0,1387-09-12
2008-12-03,11,1,7,2,92091,10,72091,20010,194285060,21090,152858050,41448100,2109.7073546817824,2120.348587202286,2109.0,2071.3693153423287,20000.0,1387-09-13
2008-12-07,7,0,4,0,37333,0,37333,0,81083286,0,81083286,0,2171.8931240457505,2171.8931240457505,,,0.0,1387-09-17
2008-12-08,2,0,2,0,9500,0,9500,0,20926500,0,20926500,0,2202.7894736842104,2202.7894736842104,,,0.0,1387-09-18
2008-12-14,0,1,1,0,0,2810,2810,0,0,5971250,5971250,0,,2125.0,2125.0,,-2810.0,1387-09-24
2009-01-11,1,0,1,0,300,0,300,0,634200,0,634200,0,2114.0,2114.0,,,0.0,1387-10-22
2009-01-12,1,0,2,0,20550,0,20550,0,43422150,0,43422150,0,2113.0,2113.0,,,0.0,1387-10-23
2009-01-18,0,1,1,0,0,6000,6000,0,0,12300000,12300000,0,,2050.0,2050.0,,-6000.0,1387-10-29
2009-01-19,0,1,2,0,0,15000,15000,0,0,30405000,30405000,0,,2027.0,2027.0,,-15000.0,1387-10-30
2009-01-20,2,0,6,0,15140,0,15140,0,29840940,0,29840940,0,1971.0,1971.0,,,0.0,1387-11-01
2009-01-21,5,0,4,1,16410,0,7410,9000,31815680,0,14464650,17351030,1938.7982937233396,1952.0445344129555,,1927.8922222222225,9000.0,1387-11-02
2009-01-24,1,0,1,0,10000,0,10000,0,19880000,0,19880000,0,1988.0,1988.0,,,0.0,1387-11-05
2009-01-25,3,0,3,0,11560,0,11560,0,22205800,0,22205800,0,1920.916955017301,1920.916955017301,,,0.0,1387-11-06
2009-01-27,2,0,1,0,4690,0,4690,0,8804820,0,8804820,0,1877.360341151386,1877.360341151386,,,0.0,1387-11-08
2009-01-28,4,0,5,0,38109,0,38109,0,70944031,0,70944031,0,1861.6083077488256,1861.6083077488256,,,0.0,1387-11-09
2009-02-08,1,0,1,0,1000,0,1000,0,1120000,0,1120000,0,1120.0,1120.0,,,0.0,1387-11-20
2009-02-14,3,0,1,0,20000,0,20000,0,23060000,0,23060000,0,1153.0,1153.0,,,0.0,1387-11-26
