date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-03,1,1,0,2,100,10,0,110,459900,47410,0,507310,4599.0,,4741.0,4611.909090909091,100.0,1387-09-13
2009-01-11,1,0,1,0,350,0,350,0,1609650,0,1609650,0,4599.0,4599.0,,,0.0,1387-10-22
2009-01-12,1,0,1,0,20000,0,20000,0,91960000,0,91960000,0,4598.0,4598.0,,,0.0,1387-10-23
2009-03-16,0,1,1,0,0,1000,1000,0,0,4376000,4376000,0,,4376.0,4376.0,,-1000.0,1387-12-26
2009-04-19,1,0,1,0,200,0,200,0,849000,0,849000,0,4245.0,4245.0,,,0.0,1388-01-30
2009-04-21,2,0,1,0,5100,0,5100,0,21644400,0,21644400,0,4244.0,4244.0,,,0.0,1388-02-01
2009-04-22,1,0,1,0,347,0,347,0,1468157,0,1468157,0,4231.0,4231.0,,,0.0,1388-02-02
2009-04-26,1,0,1,0,470,0,470,0,1988100,0,1988100,0,4230.0,4230.0,,,0.0,1388-02-06
2009-05-02,6,0,2,0,4520,0,4520,0,19115080,0,19115080,0,4229.0,4229.0,,,0.0,1388-02-12
2009-05-12,0,1,1,0,0,1000,1000,0,0,3299000,3299000,0,,3299.0,3299.0,,-1000.0,1388-02-22
2009-05-13,0,1,4,0,0,17710,17710,0,0,58443000,58443000,0,,3300.0,3300.0,,-17710.0,1388-02-23
2009-05-16,2,1,5,0,34607,33441,68048,0,114079493,113434990,227514483,0,3296.4282659577543,3343.441144486245,3392.0932388385518,,-33441.0,1388-02-26
2009-05-17,1,3,4,0,577,82585,83162,0,1986611,284147155,286133766,0,3443.0,3440.6792284937837,3440.6630138645032,,-82585.0,1388-02-27
2009-05-18,0,2,2,0,0,30275,30275,0,0,107294600,107294600,0,,3544.0,3544.0,,-30275.0,1388-02-28
2009-05-19,0,3,3,0,0,40222,40222,0,0,145241642,145241642,0,,3611.0,3611.0,,-40222.0,1388-02-29
2009-05-20,3,1,3,1,9985,40000,33682,16303,36954485,148040000,124657082,60337403,3701.0,3701.0,3701.0,3701.0,-23697.0,1388-02-30
2009-05-23,3,1,0,1,5397,39603,0,45000,20573364,150966636,0,171540000,3812.0,,3812.0,3812.0,5397.0,1388-03-02
2009-05-24,0,2,0,1,0,50000,0,50000,0,195950000,0,195950000,,,3919.0,3919.0,0.0,1388-03-03
2009-05-25,4,0,0,1,6670,0,0,6670,26146570,0,0,26146570,3920.025487256372,,,3920.025487256372,6670.0,1388-03-04
2009-05-26,1,2,0,2,100,34260,0,34360,391900,134264940,0,134656840,3919.0,,3919.0,3919.0,100.0,1388-03-05
2009-06-08,0,1,8,1,0,11200,9300,1900,0,42902700,35456600,7446100,,3812.537634408602,3830.598214285714,3919.0,-9300.0,1388-03-18
2009-06-17,2,0,4,0,5897,0,5897,0,22373140,0,22373140,0,3793.986772935391,3793.986772935391,,,0.0,1388-03-27
2009-06-20,1,0,1,0,1583,0,1583,0,5966327,0,5966327,0,3769.0,3769.0,,,0.0,1388-03-30
2009-07-13,1,0,3,0,2640,0,2640,0,9939600,0,9939600,0,3765.0,3765.0,,,0.0,1388-04-22
2009-07-15,1,0,1,0,2645,0,2645,0,9942555,0,9942555,0,3759.0,3759.0,,,0.0,1388-04-24
2009-07-27,1,0,1,0,500,0,500,0,1876500,0,1876500,0,3753.0,3753.0,,,0.0,1388-05-05
2009-08-12,1,0,5,0,23269,0,23269,0,87305288,0,87305288,0,3752.0,3752.0,,,0.0,1388-05-21
2009-08-17,1,0,1,0,1267,0,1267,0,4974242,0,4974242,0,3926.0,3926.0,,,0.0,1388-05-26
2009-08-18,1,0,1,0,3733,0,3733,0,13821197,0,13821197,0,3702.4369140101794,3702.4369140101794,,,0.0,1388-05-27
2009-08-22,1,0,1,0,3837,0,3837,0,14204574,0,14204574,0,3702.0,3702.0,,,0.0,1388-05-31
2009-08-24,2,0,2,0,41589,0,41589,0,153297054,0,153297054,0,3686.0,3686.0,,,0.0,1388-06-02
2009-08-25,2,0,2,0,5611,0,5611,0,20185150,0,20185150,0,3597.424701479237,3597.424701479237,,,0.0,1388-06-03
2009-09-02,2,0,1,0,7200,0,7200,0,25775510,0,25775510,0,3579.9319444444445,3579.9319444444445,,,0.0,1388-06-11
2009-09-07,2,0,1,1,1583,0,583,1000,5940100,0,2157100,3783000,3752.43209096652,3700.0,,3783.0,1000.0,1388-06-16
2009-09-09,3,0,2,1,10226,0,1226,9000,38552610,0,4478610,34074000,3770.057696068844,3653.0261011419248,,3786.0,9000.0,1388-06-18
2009-09-16,1,0,0,1,1000,0,0,1000,3806000,0,0,3806000,3806.0,,,3806.0,1000.0,1388-06-25
2009-09-22,1,0,1,0,3927,0,3927,0,14954016,0,14954016,0,3808.0,3808.0,,,0.0,1388-06-31
2009-09-27,7,0,1,0,40000,0,40000,0,152720000,0,152720000,0,3818.0,3818.0,,,0.0,1388-07-05
2010-04-18,7,0,9,1,15440,0,13465,1975,86576879,0,75515904,11060975,5607.310816062176,5608.310731526179,,5600.493670886076,1975.0,1389-01-29
2010-04-19,2,1,11,2,16307,51709,51855,16161,91462742,296337703,295758150,92042295,5608.802477463666,5703.560890945907,5730.872826780638,5695.334137739002,-35548.0,1389-01-30
2010-04-20,5,2,2,0,3395,6030,9425,0,20033895,35583030,55616925,0,5901.0,5901.0,5901.0,,-6030.0,1389-01-31
2010-04-21,2,3,4,1,5227,48028,23227,30028,31053607,285316348,137973607,178396348,5941.0,5940.225039824342,5940.62521862247,5941.0,-18000.0,1389-02-01
2010-04-26,0,1,3,0,0,9677,9677,0,0,59494196,59494196,0,,6148.0,6148.0,,-9677.0,1389-02-06
2010-04-27,1,0,2,0,2142,0,2142,0,13263264,0,13263264,0,6192.0,6192.0,,,0.0,1389-02-07
2010-04-28,7,0,4,0,32614,0,32614,0,202239414,0,202239414,0,6201.0,6201.0,,,0.0,1389-02-08
2010-05-01,19,1,1,2,43589,50000,850,92739,276702972,317400000,5395800,588707172,6348.0,6348.0,6348.0,6348.0,42739.0,1389-02-11
2010-05-02,21,0,3,2,60182,0,15424,44758,395395740,0,101335680,294060060,6570.0,6570.0,,6570.0,44758.0,1389-02-12
2010-05-03,4,0,3,1,3106,0,2864,242,20386830,0,18796890,1589940,6563.692852543464,6563.159916201117,,6570.0,242.0,1389-02-13
2010-05-04,9,0,11,0,13183,0,13183,0,87045195,0,87045195,0,6602.836607752409,6602.836607752409,,,0.0,1389-02-14
2010-05-12,5,1,6,1,22640,49000,24389,47251,136150221,295551100,146652038,285049283,6013.702340989399,6013.040223051376,6031.655102040816,6032.661382827877,-1749.0,1389-02-22
2010-05-15,2,0,0,1,7487,0,0,7487,44914513,0,0,44914513,5999.0,,,5999.0,7487.0,1389-02-25
2010-05-16,5,0,9,0,9000,0,9000,0,52800327,0,52800327,0,5866.703,5866.703,,,0.0,1389-02-26
