date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-08-26,113,2,0,1,956571,2500000,0,3456571,9565710000,25000000000,0,34565710000,10000.0,,10000.0,10000.0,956571.0,1398-06-04
2019-08-27,109,4,0,1,692042,4530000,0,5222042,6920420000,45300000000,0,52220420000,10000.0,,10000.0,10000.0,692042.0,1398-06-05
2019-08-28,409,2,0,1,377955,2500000,0,2877955,3779550000,25000000000,0,28779550000,10000.0,,10000.0,10000.0,377955.0,1398-06-06
2019-08-31,205,1,0,1,189724,500000,0,689724,1897240000,5000000000,0,6897240000,10000.0,,10000.0,10000.0,189724.0,1398-06-09
2019-09-01,56,2,0,1,282902,2500000,0,2782902,2829020000,25000000000,0,27829020000,10000.0,,10000.0,10000.0,282902.0,1398-06-10
2019-10-14,4,2,3,1,42149,166000,133367,74782,433675061,1707974000,1372213063,769435998,10289.09490142115,10289.0,10289.0,10289.053488807467,-91218.0,1398-07-22
2019-10-15,9,1,41,2,35956,96796,106871,25881,370049608,996010288,1099667527,266392369,10291.734564467684,10289.671912866914,10289.787677176742,10292.970480275106,-70915.0,1398-07-23
2019-10-16,17,2,28,2,627224,828840,263926,1192138,6458026713,8531504912,2717083564,12272448061,10296.204725903346,10294.868879913309,10293.307407943632,10294.486092214156,363298.0,1398-07-24
2019-10-20,8,1,16,2,89236,31106,55220,65122,920704428,320763966,569703842,671764552,10317.634452463131,10316.983737776169,10311.964444158682,10315.477903012808,34016.0,1398-07-28
2019-10-21,5,2,20,1,16571,1020201,20325,1016447,171012798,10528453918,209733576,10489733140,10320.004707018285,10318.995129151292,10319.980001980002,10320.000098381912,-3754.0,1398-07-29
2019-10-22,9,1,10,1,462178,14290,33262,443206,4771934534,147487090,343319674,4576101950,10324.884641847946,10321.678612230173,10321.0,10325.0,428916.0,1398-07-30
2019-10-23,23,0,17,1,1018225,0,5112,1013113,10191933798,0,51333595,10140600203,10009.510469689902,10041.783059467918,,10009.347627559808,1013113.0,1398-08-01
2019-10-26,12,1,10,2,162455,1700000,3046,1859409,1627466038,17030600000,30506676,18627559362,10017.94981995014,10015.323703217337,10018.0,10018.0,159409.0,1398-08-04
2019-10-28,47,6,18,5,2163639,22178091,38700,24303030,21709228344,222526392599,391171989,243844448954,10033.664739820277,10107.803333333331,10033.613470113363,10033.499895033665,2124939.0,1398-08-06
2019-10-30,33,7,13,1,1807516,13651493,10134,15448875,18156334376,137129540695,101798934,155184076137,10044.909354052745,10045.28656009473,10045.021500212468,10045.008205257664,1797382.0,1398-08-08
2019-11-02,29,5,16,1,1547952,3473258,128210,4893000,15553196952,34902219868,1288061821,49167354999,10047.596406090111,10046.500436783404,10048.841712305852,10048.5090944206,1419742.0,1398-08-11
2019-11-03,14,5,16,1,546625,2301100,47715,2800010,5494660490,23130939630,479599590,28146000530,10051.974369997712,10051.337944042754,10052.122736951893,10052.107146045906,498910.0,1398-08-12
2019-11-04,24,3,20,2,323377,2665550,152927,2836000,3252137024,26807436350,1537921374,28521652000,10056.797558267905,10056.571919935655,10057.0,10057.0,170450.0,1398-08-13
2019-11-05,12,8,8,1,439992,3843700,12220,4271472,4431788746,38736802900,122928760,43045662886,10072.430285096092,10059.636661211129,10077.99851705388,10077.477479894518,427772.0,1398-08-14
2019-11-09,17,1,14,1,342618,170000,30194,482424,3454470099,1714110000,304398907,4864181192,10082.57038159116,10081.436941114129,10083.0,10082.792713463676,312424.0,1398-08-18
2019-11-10,9,1,10,1,83499,500,46267,37732,842734001,5048500,466881765,380900736,10092.743637648357,10091.031728878032,10097.0,10094.89918371674,37232.0,1398-08-19
2019-11-11,7,2,10,1,21594,1222222,509907,733909,218065787,12343318892,5148170257,7413214422,10098.44341020654,10096.292572959384,10099.080929651078,10100.999472686668,-488313.0,1398-08-20
2019-11-12,5,3,9,2,3969,1160044,423560,740453,40102095,11717608678,4278149130,7479561643,10103.828420256992,10100.455968457834,10101.003649861555,10101.33208049667,-419591.0,1398-08-21
2019-11-13,5,2,10,2,90315,6209901,212517,6087699,914392575,62819171871,2149612071,61583952375,10124.481813652215,10115.012309603468,10115.96994396529,10116.129653420776,-122202.0,1398-08-22
2019-11-16,1,1,22,0,100,209176,209276,0,1012500,2117710614,2118723114,0,10125.0,10124.061593302624,10124.06114468199,,-209176.0,1398-08-25
2019-11-17,3,5,5,2,17926,3312291,13391,3316826,181746214,33566756994,135704394,33612798814,10138.69318308602,10134.0,10134.0,10134.025364610625,4535.0,1398-08-26
2019-11-18,5,3,6,1,2474,739523,35603,706394,25107307,7503211043,361125779,7167192571,10148.466855295068,10143.127798219251,10146.014448502616,10146.168527762127,-33129.0,1398-08-27
2019-11-19,1,3,14,1,2000,3499708,221708,3280000,20306000,35535035616,2250781616,33304560000,10153.0,10152.009020874304,10153.714428746627,10153.829268292682,-219708.0,1398-08-28
2019-11-20,4,1,10,2,4551,731051,535051,200551,46301181,7435742472,5442037472,2040006181,10173.847725774554,10171.063079968078,10171.304699672117,10172.00702564435,-530500.0,1398-08-29
2019-11-23,19,3,13,2,118486,5525298,400898,5242886,1186165084,55314031788,4013430583,52486766289,10011.014668399645,10011.101534554924,10011.049501402458,10011.044735475843,-282412.0,1398-09-02
2019-11-24,23,3,13,3,182646,3000000,1326654,1855992,1829725094,30056251764,13291100410,18594876448,10017.876624727614,10018.513048617047,10018.750588,10018.834374286096,-1144008.0,1398-09-03
2019-11-25,8,1,11,1,21764,43395,47437,17722,218204176,434818300,475323982,177698494,10025.922440727809,10020.110504458546,10020.009217651805,10027.0,-25673.0,1398-09-04
2019-11-26,5,1,6,2,9059,1508500,12161,1505398,90862080,15127229500,121928048,15096163532,10030.034220112597,10026.15311240852,10027.994365263508,10028.021514576212,-3102.0,1398-09-05
2019-11-27,5,2,17,1,401623,635126,168273,868476,4033938040,6378537740,1688649408,8723826372,10044.091199956178,10035.177408140344,10042.948548791894,10044.98267309632,233350.0,1398-09-06
2019-11-30,11,2,14,2,167670,1872383,601591,1438462,1685826248,18825566721,6047219097,14464173872,10054.429820480706,10052.043825456163,10054.335422293409,10055.30481305728,-433921.0,1398-09-09
2019-12-01,2,3,32,2,90380,1063625,115955,1038050,909222800,10699779975,1166481725,10442521050,10060.0,10059.779440300115,10059.729674462336,10059.747651847214,-25575.0,1398-09-10
2019-12-02,8,2,5,2,61720,215201,24202,252719,621277220,2166196065,243600131,2543873154,10066.059948152948,10065.289273613753,10065.920070074024,10066.014640767018,37518.0,1398-09-11
2019-12-03,2,2,7,6,520104,3308842,45962,3782984,5242119806,33325827422,462942172,38105005056,10078.983830157043,10072.280840694486,10071.749398127804,10072.73756801509,474142.0,1398-09-12
2019-12-04,3,3,9,3,1000,6209694,503694,5707000,10096000,62643562460,5079128460,57574530000,10096.0,10083.75811504604,10088.027277994695,10088.405466970387,-502694.0,1398-09-13
2019-12-07,4,2,11,9,8170,4316932,108332,4216770,82565620,43604430968,1094153914,42592842674,10105.951040391676,10100.00659085035,10100.79171226232,10100.821878831428,-100162.0,1398-09-16
2019-12-08,4,1,15,8,8429,3114076,425121,2697384,85188421,31468450405,4296562380,27257076446,10106.586902360898,10106.6811096135,10105.228775726731,10105.004124737152,-416692.0,1398-09-17
2019-12-09,8,2,12,8,104227,3722573,93721,3733079,1054157345,37647862686,947807683,37754212348,10114.052452819327,10113.076930463823,10113.39809481238,10113.42442739626,10506.0,1398-09-18
2019-12-10,10,6,13,1,54324,6829392,483716,6400000,549699844,69092789041,4894326789,64748162096,10118.9132611737,10118.182547197115,10116.975133511152,10116.9003275,-429392.0,1398-09-19
2019-12-11,3,1,7,0,7022,52740,59762,0,71115982,533735500,604851482,0,10127.59641127884,10121.004685251495,10120.1270383011,,-52740.0,1398-09-20
2019-12-14,3,2,12,1,14360,1226953,241313,1000000,145577725,12434969932,2445547657,10135000000,10137.7245821727,10134.338626596991,10134.838035360768,10135.0,-226953.0,1398-09-23
2019-12-15,3,1,9,1,5392,99644,101228,3808,54710323,1010788530,1026859077,38639776,10146.573256676558,10144.022177658357,10143.9979326402,10147.0,-95836.0,1398-09-24
