date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-07-11,394,16,0,1,5590994,43386500,0,48977494,55909940000,433865000000,0,489774940000,10000.0,,10000.0,10000.0,5590994.0,1399-04-21
2020-07-12,683,4,0,1,19352259,30670247,0,50022506,193522590000,306702470000,0,500225060000,10000.0,,10000.0,10000.0,19352259.0,1399-04-22
2020-08-09,104,0,18,0,158023,0,158023,0,1719519310,0,1719519310,0,10881.44959910899,10881.44959910899,,,0.0,1399-05-19
2020-08-10,97,2,137,0,1123980,2891339,4015319,0,11272598249,28969126160,40241724409,0,10029.180456057937,10022.049159481476,10019.276937086934,,-2891339.0,1399-05-20
2020-08-11,27,1,56,1,287144,353216,374460,265900,2874175146,3532160000,3744869318,2661465828,10009.525346167777,10000.719217005822,10000.0,10009.273516359532,-87316.0,1399-05-21
2020-08-12,26,1,62,1,105994,429279,470851,64422,1060693001,4292790000,4708618781,644864220,10007.104185142554,10000.231030623276,10000.0,10010.0,-364857.0,1399-05-22
2020-08-15,10,1,78,1,67869,171770,233989,5650,678820716,1717700000,2339964216,56556500,10001.926004508688,10000.317177303206,10000.0,10010.0,-166120.0,1399-05-25
2020-08-16,22,2,46,1,172301,103364,128873,146792,1711179394,1030601740,1284098494,1457682640,9931.337566235832,9964.06147137104,9970.606207190123,9930.259414682,43428.0,1399-05-26
2020-08-17,14,2,52,0,42132,79350,121482,0,417294403,785623147,1202917550,0,9904.452743757714,9902.0229334387,9900.732791430371,,-79350.0,1399-05-27
2020-08-18,33,0,42,1,216093,0,198587,17506,2155236273,0,1981051573,174184700,9973.651497272009,9975.73644296958,,9950.0,17506.0,1399-05-28
2020-08-19,7,0,26,0,78751,0,78751,0,778645545,0,778645545,0,9887.436921435918,9887.436921435918,,,0.0,1399-05-29
2020-08-22,12,1,24,0,60849,5000,65849,0,601961368,49300000,651261368,0,9892.70765337146,9890.224118817294,9860.0,,-5000.0,1399-06-01
