date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-10-15,201323,464,9,0,34919429,80397,34999826,0,115234115700,265310100,115499425800,0,3300.0,3300.0,3300.0,,-80397.0,1397-07-23
2018-10-16,8,0,363,2,60768,0,60422,346,210561120,0,209362230,1198890,3465.0,3465.0,,3465.0,346.0,1397-07-24
2018-10-17,8,1,453,1,61188,10000,71015,173,222601944,36380000,258352570,629374,3638.0,3638.0,3638.0,3638.0,-9827.0,1397-07-25
2018-10-20,208,3,459,2,2426958,150000,2576614,344,9268552602,572850000,9840088866,1313736,3819.0,3819.0,3819.0,3819.0,-149656.0,1397-07-28
2018-10-21,565,1,897,5,8150952,20000,8170255,697,32677166568,80180000,32754552295,2794273,4009.0,4009.0,4009.0,4009.0,-19303.0,1397-07-29
2018-10-22,19,0,923,3,184824,0,184302,522,777924216,0,775727118,2197098,4209.0,4209.0,,4209.0,522.0,1397-07-30
2018-10-23,1034,7,2618,7,20839939,170000,21008723,1216,92091690441,751230000,92837546937,5373504,4419.0,4419.0,4419.0,4419.0,-168784.0,1397-08-01
2018-10-24,1327,1,17871,67,22485872,90000,22564232,11640,104311960208,417510000,104675472248,53997960,4639.0,4639.0,4639.0,4639.0,-78360.0,1397-08-02
2018-10-27,4389,7,64260,139,42858510,277478,42782211,353777,195596064212,1255772132,195218841619,1632994725,4563.762580920336,4563.084446921175,4525.6637715422485,4615.887197302255,76299.0,1397-08-05
2018-10-28,176,1,136,0,480593,1,480594,0,2083851248,4336,2083855584,0,4336.0,4336.0,4336.0,,-1.0,1397-08-06
2018-10-29,2075,5,30206,114,23869539,539503,23963451,445591,101829308096,2321406207,102182717778,1967996525,4266.077702464216,4264.106942610228,4302.860608745456,4416.598461369283,-93912.0,1397-08-07
2018-10-31,1018,2,9824,13,10633174,20000,10601262,51912,46958477871,87595546,46816090693,229982724,4416.223967650675,4416.086565259872,4379.7773,4430.242024965326,31912.0,1397-08-09
2018-11-03,569,3,5432,7,8568005,1736663,9984147,320521,39503697640,8038733286,46056731834,1485699092,4610.606277657401,4612.986150344141,4628.838920389276,4635.262875131427,-1416142.0,1397-08-12
2018-11-04,1195,3,6972,11,19151502,300022,19355138,96386,92248941501,1426578141,93209345858,466173784,4816.7993038352815,4815.741735243634,4754.911776469726,4836.530035482331,-203636.0,1397-08-13
2018-11-05,1238,3,5716,7,11365910,308121,11672817,1214,55987326815,1521409020,57502761056,5974779,4925.899185810903,4926.211132753987,4937.6998646635575,4921.564250411861,-306907.0,1397-08-14
2018-11-06,1013,2,11120,9,8121391,1284741,9404740,1392,39434741567,6204810285,45632813097,6738755,4855.663465408819,4852.107883577855,4829.619577019804,4841.059626436781,-1283349.0,1397-08-15
2018-11-10,758,1,1817,2,6279712,250000,6529537,175,29071098949,1154430000,30224717773,811176,4629.368185834,4628.922046540207,4617.72,4635.291428571429,-249825.0,1397-08-19
2018-11-11,679,2,3330,8,6109444,360000,6287748,181696,27078841485,1583280000,27854502989,807618496,4432.2922814252815,4429.964907785745,4398.0,4444.888693201831,-178304.0,1397-08-20
2018-11-12,436,1,2685,4,4019505,3000,3772158,250347,18520753141,13754800,17370765462,1163742479,4607.719891130873,4604.994133861837,4584.933333333333,4648.517773330617,247347.0,1397-08-21
2018-11-13,653,2,2662,2,4701179,143267,4844099,347,22051103212,670850191,22720342626,1610777,4690.54745883958,4690.3134362035125,4682.517195167065,4642.008645533141,-142920.0,1397-08-22
2018-11-14,662,1,2623,3,7284276,40000,7267180,57096,34604033861,185940000,34518368189,271605672,4750.511081815132,4749.898611153157,4648.5,4757.0,17096.0,1397-08-23
2018-11-17,376,1,3746,9,3376988,92833,3428433,41388,15769009416,432551362,16006105538,195455240,4669.548549180512,4668.635944759603,4659.456895715963,4722.50990625302,-51445.0,1397-08-26
2018-11-18,530,2,1378,3,4979157,230000,5168983,40174,22269917500,1026040000,23112786660,183170840,4472.628097487185,4471.437932761628,4461.04347826087,4559.437447105093,-189826.0,1397-08-27
2018-11-19,328,1,1776,2,2016575,40000,2056229,346,9075592625,178520000,9252550089,1562536,4500.498431746898,4499.766363085046,4463.0,4516.0,-39654.0,1397-08-28
2018-11-20,464,2,1815,3,2803030,93296,2875980,20346,12189658104,406469770,12506003398,90124476,4348.743361291175,4348.431977273834,4356.775960384153,4429.591860808021,-72950.0,1397-08-29
2018-11-21,294,1,1770,4,1450211,26122,1475638,695,6331188680,113238870,6441399951,3027599,4365.701735816374,4365.162696406571,4335.0,4356.257553956834,-25427.0,1397-08-30
2018-11-24,451,1,1746,1,2731396,140522,2851049,20869,11485518150,593308910,11989558259,89268801,4204.999256790301,4205.314696099576,4222.178093109976,4277.57923235421,-119653.0,1397-09-03
2018-11-26,274,1,742,0,1296629,250000,1546629,0,5190978843,1002160000,6193138843,0,4003.441881216601,4004.2821148446073,4008.64,,-250000.0,1397-09-05
2018-11-27,560,1,2499,19,3306404,67434,3350723,23115,13202682768,270187700,13380141553,92728915,3993.063995809344,3993.210287152952,4006.698401399887,4011.63378758382,-44319.0,1397-09-06
2018-11-28,596,2,1020,2,4170110,485800,4655233,677,15915156224,1852436685,17764970419,2622490,3816.4835517528313,3816.1291645337615,3813.1673219431855,3873.692762186115,-485123.0,1397-09-07
2018-12-01,419,2,1026,0,3070030,515195,3585225,0,11153057837,1873117070,13026174907,0,3632.882361735879,3633.293560934112,3635.7438833839615,,-515195.0,1397-09-10
2018-12-02,380,3,861,4,1928323,82000,1923342,86981,7172516883,304296670,7151193896,325619657,3719.5619629076655,3718.1083218689137,3710.935,3743.572239914464,4981.0,1397-09-11
2018-12-03,290,2,693,1,1221371,51993,1253364,20000,4633620243,198851256,4756011499,76460000,3793.786034710174,3794.5971792711457,3824.577462350701,3823.0,-31993.0,1397-09-12
2018-12-04,480,2,607,2,3499573,340000,3839225,348,12712509823,1229360000,13940602059,1267764,3632.5888395527113,3631.0979583118983,3615.764705882353,3643.0,-339652.0,1397-09-13
2018-12-05,239,1,1047,1,2923912,1000000,3673729,250183,10949586743,3802575205,13806224501,945937447,3744.841412121842,3758.0955211993046,3802.575205,3780.982109096142,-749817.0,1397-09-14
2018-12-08,290,1,773,4,2443965,23502,2240448,227019,9559178629,89550185,8752854258,895874556,3911.3402315499607,3906.74287374668,3810.321887498936,3946.253643968126,203517.0,1397-09-17
2018-12-09,454,1,601,1,2325956,40000,2325956,40000,9183853955,156540000,9182553955,157840000,3948.421188964882,3947.8622789941,3913.5,3946.0,0.0,1397-09-18
2018-12-10,381,1,465,3,1986539,20000,2006017,522,7545491529,76160000,7619674427,1977102,3798.310291919766,3798.409697923796,3808.0,3787.551724137931,-19478.0,1397-09-19
2018-12-11,21,0,72,0,92142,0,92142,0,349319910,0,349319910,0,3791.104056781924,3791.104056781924,,,0.0,1397-09-20
2018-12-12,218,0,926,0,1427067,0,1427067,0,5327985280,0,5327985280,0,3733.52146745738,3733.52146745738,,,0.0,1397-09-21
2018-12-15,265,1,512,0,1795737,5434,1801171,0,6605093243,19834100,6624927343,0,3678.20746746322,3678.1223676152895,3650.0,,-5434.0,1397-09-24
