date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-03-10,20991,99,0,1,10402196,649804,0,10948000,49410431000,3086569000,0,52003000000,4750.0,,4750.0,4750.0,10298196.0,1393-12-19
2015-03-11,9,0,13,1,55750,0,3750,52000,278025250,0,18701250,259324000,4987.0,4987.0,,4987.0,52000.0,1393-12-20
2015-03-14,3,0,62,0,24773,0,24773,0,129711428,0,129711428,0,5236.0,5236.0,,,0.0,1393-12-23
2015-03-15,96,4,267,5,1079977,60000,136627,1003350,5936633569,329820000,751038619,5515414950,5497.0,5497.0,5497.0,5497.0,943350.0,1393-12-24
2015-03-16,102,1,505,5,1309937,20000,323837,1006100,7559646427,115420000,1868863327,5806203100,5771.0,5771.0,5771.0,5771.0,986100.0,1393-12-25
2015-03-17,854,4,9176,54,7146093,1978000,8222303,901790,42908959308,11971703989,49441487186,5439176111,6004.534129068849,6013.09477235271,6052.428710313448,6031.532963328491,-1076210.0,1393-12-26
2015-03-18,584,2,2752,5,3761919,61169,3589298,233790,22939519214,365934760,21882765701,1422688273,6097.823800565616,6096.670073368107,5982.356422370809,6085.325604174686,172621.0,1393-12-27
2015-03-25,171,0,1012,6,930291,0,926097,4194,5509629414,0,5484564224,25065190,5922.479540272882,5922.235169750037,,5976.440152598951,4194.0,1394-01-05
2015-03-28,399,2,1410,2,1899990,100960,1838881,162069,10927219315,583977734,10588193470,923003579,5751.198329991211,5757.954685485358,5784.248553882726,5695.127254441009,61109.0,1394-01-08
2015-03-29,256,1,636,1,1166032,40262,1186294,20000,6780436706,229486468,6895923174,114000000,5814.966232487616,5812.996756284699,5699.827827728379,5700.0,-20262.0,1394-01-09
2015-03-30,233,3,409,6,912112,190000,1082305,19807,5065019666,1051212580,6006798199,109434047,5553.067678092164,5550.005034625175,5532.697789473684,5525.018781238956,-170193.0,1394-01-10
2015-03-31,99,2,263,0,457526,55000,512526,0,2513410640,304676970,2818087610,0,5493.481550775256,5498.428587037536,5539.581272727272,,-55000.0,1394-01-11
2015-04-04,12,0,21,1,61306,0,51306,10000,353858232,0,296138232,57720000,5772.0,5772.0,,5772.0,10000.0,1394-01-15
2015-04-05,317,4,717,4,1840978,1279710,2116438,1004250,10851786698,7430498016,12448674964,5833609750,5894.577066102908,5881.899192889185,5806.392085706918,5808.921832213095,-275460.0,1394-01-16
2015-04-06,115,3,445,3,717631,360000,1075181,2450,4000761244,2011582800,5998707344,13636700,5574.955992703771,5579.253487552329,5587.73,5566.0,-357550.0,1394-01-17
2015-04-07,114,2,521,3,975360,130000,1056788,48572,5272011176,704200000,5715611361,260599815,5405.195185367454,5408.4748890032815,5416.923076923077,5365.227188503664,-81428.0,1394-01-18
2015-04-08,109,2,319,0,671167,20000,691167,0,3626170914,108764237,3734935151,0,5402.784871723431,5403.810006843498,5438.21185,,-20000.0,1394-01-19
2015-04-11,93,3,183,1,457704,278500,735204,1000,2401355378,1458272382,3854372560,5255200,5246.524780207295,5242.589213333987,5236.166542190305,5255.2,-277500.0,1394-01-22
2015-04-12,72,2,229,2,434651,90000,474401,50250,2238018910,464184564,2441872961,260330513,5149.002095934439,5147.276167208754,5157.606266666667,5180.706726368159,-39750.0,1394-01-23
