date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-02,0,2,8,1,0,4010,4000,10,0,19907040,19856000,51040,,4964.0,4964.349127182045,5104.0,-4000.0,1387-09-12
2008-12-03,1,2,2,1,812,30,832,10,4020212,150030,4119232,51010,4951.0,4951.0,5001.0,5101.0,-20.0,1387-09-13
2008-12-07,1,0,1,0,1000,0,1000,0,4948000,0,4948000,0,4948.0,4948.0,,,0.0,1387-09-17
2008-12-14,1,1,2,0,500,2000,2500,0,2473000,9892000,12365000,0,4946.0,4946.0,4946.0,,-2000.0,1387-09-24
2008-12-24,1,0,5,0,2050,0,2050,0,10122900,0,10122900,0,4938.0,4938.0,,,0.0,1387-10-04
2009-03-03,1,0,1,0,918,0,918,0,3222180,0,3222180,0,3510.0,3510.0,,,0.0,1387-12-13
2009-03-07,1,0,2,0,1197,0,1197,0,4327155,0,4327155,0,3615.0,3615.0,,,0.0,1387-12-17
2009-03-08,1,0,1,0,253,0,253,0,915354,0,915354,0,3618.0,3618.0,,,0.0,1387-12-18
2009-03-09,9,0,3,1,52547,0,5026,47521,190167593,0,18189094,171978499,3619.0,3619.0,,3619.0,47521.0,1387-12-19
2009-03-10,9,0,3,1,75518,0,27518,48000,281455586,0,102559586,178896000,3727.0,3727.0,,3727.0,48000.0,1387-12-20
2009-03-11,3,0,2,1,48216,0,20216,28000,185053008,0,77589008,107464000,3838.0,3838.0,,3838.0,28000.0,1387-12-21
2009-03-14,14,0,0,1,50000,0,0,50000,197650000,0,0,197650000,3953.0,,,3953.0,50000.0,1387-12-24
2009-03-16,17,0,8,1,48143,0,28143,20000,195958945,0,114538945,81420000,4070.351764534824,4069.8910919233913,,4071.0,20000.0,1387-12-26
2009-03-17,5,0,2,0,4997,0,4997,0,20713369,0,20713369,0,4145.160896537923,4145.160896537923,,,0.0,1387-12-27
2009-03-18,4,0,3,1,3865,0,3465,400,16180620,0,14543820,1636800,4186.447606727038,4197.350649350649,,4092.0,400.0,1387-12-28
2009-03-30,1,0,1,0,5000,0,5000,0,19825000,0,19825000,0,3965.0,3965.0,,,0.0,1388-01-10
2009-03-31,1,0,2,0,5000,0,5000,0,19760000,0,19760000,0,3952.0,3952.0,,,0.0,1388-01-11
2009-04-04,3,0,1,0,5730,0,5730,0,22606404,0,22606404,0,3945.2712041884815,3945.2712041884815,,,0.0,1388-01-15
2009-04-05,1,0,2,0,8919,0,8919,0,37174392,0,37174392,0,4168.0,4168.0,,,0.0,1388-01-16
2009-04-06,2,0,2,0,3000,0,3000,0,12299500,0,12299500,0,4099.833333333333,4099.833333333333,,,0.0,1388-01-17
2009-04-08,1,0,1,0,220,0,220,0,922460,0,922460,0,4193.0,4193.0,,,0.0,1388-01-19
2009-04-11,1,0,1,0,1780,0,1780,0,7463540,0,7463540,0,4193.0,4193.0,,,0.0,1388-01-22
2009-04-13,2,0,1,0,6000,0,6000,0,24005000,0,24005000,0,4000.8333333333335,4000.8333333333335,,,0.0,1388-01-24
2009-04-14,1,0,1,0,880,0,880,0,3520000,0,3520000,0,4000.0,4000.0,,,0.0,1388-01-25
2009-04-15,2,0,1,0,4575,0,4575,0,19155525,0,19155525,0,4187.0,4187.0,,,0.0,1388-01-26
2009-04-18,3,0,2,0,3425,0,3425,0,13817150,0,13817150,0,4034.204379562044,4034.204379562044,,,0.0,1388-01-29
2009-04-19,1,1,3,0,256,1744,2000,0,1070336,7289200,8359536,0,4181.0,4179.768,4179.587155963302,,-1744.0,1388-01-30
2009-04-20,5,0,3,1,2579,0,1579,1000,10708065,0,6607065,4101000,4152.022101589763,4184.335022165928,,4101.0,1000.0,1388-01-31
2009-04-21,5,0,1,1,21000,0,2000,19000,88305000,0,8410000,79895000,4205.0,4205.0,,4205.0,19000.0,1388-02-01
2009-04-22,8,0,1,1,51336,0,1336,50000,218619216,0,5619216,213000000,4258.594670406732,4206.0,,4260.0,50000.0,1388-02-02
2009-04-25,7,0,2,0,10760,0,10760,0,46648519,0,46648519,0,4335.364219330855,4335.364219330855,,,0.0,1388-02-05
2009-04-26,3,0,3,0,2538,0,2538,0,10554042,0,10554042,0,4158.408983451537,4158.408983451537,,,0.0,1388-02-06
2009-04-28,1,0,1,0,173,0,173,0,739748,0,739748,0,4276.0,4276.0,,,0.0,1388-02-08
2009-05-02,1,0,1,0,700,0,700,0,3066000,0,3066000,0,4380.0,4380.0,,,0.0,1388-02-12
2009-05-04,9,0,4,0,28529,0,28529,0,118603706,0,118603706,0,4157.303305408532,4157.303305408532,,,0.0,1388-02-14
2009-05-05,0,1,1,0,0,12000,12000,0,0,51600000,51600000,0,,4300.0,4300.0,,-12000.0,1388-02-15
2009-05-09,2,1,2,0,5305,2000,7305,0,22429540,8700000,31129540,0,4228.0,4261.401779603012,4350.0,,-2000.0,1388-02-19
2009-05-10,1,0,2,0,1200,0,1200,0,5230800,0,5230800,0,4359.0,4359.0,,,0.0,1388-02-20
2009-05-11,1,4,3,0,100,3600,3700,0,436300,15706800,16143100,0,4363.0,4363.0,4363.0,,-3600.0,1388-02-21
2009-05-12,4,0,3,0,7504,0,7504,0,32803651,0,32803651,0,4371.488672707889,4371.488672707889,,,0.0,1388-02-22
2009-05-17,3,1,5,0,3900,10563,14463,0,18035392,47267423,65302815,0,4624.459487179487,4515.163866417755,4474.810470510271,,-10563.0,1388-02-27
