date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-07-03,434429,800,0,1,39926511,73489,0,40000000,125768509650,231490350,0,126000000000,3150.0,,3150.0,3150.0,39926511.0,1398-04-12
2019-07-06,10,0,1897,4,171979,0,171611,368,568734553,0,567517577,1216976,3307.0,3307.0,,3307.0,368.0,1398-04-15
2019-07-07,10,0,1844,2,167528,0,167344,184,581657216,0,581018368,638848,3472.0,3472.0,,3472.0,184.0,1398-04-16
2019-07-08,4,1,1894,1,121088,50000,170996,92,441365760,182250000,623280420,335340,3645.0,3645.0,3645.0,3645.0,-49908.0,1398-04-17
2019-07-09,9,0,2270,11,207065,0,206053,1012,792437755,0,788564831,3872924,3827.0,3827.0,,3827.0,1012.0,1398-04-18
2019-07-10,7,0,2916,4,264146,0,263778,368,1061338628,0,1059860004,1478624,4018.0,4018.0,,4018.0,368.0,1398-04-19
2019-07-13,24,0,7381,4,669818,0,669520,298,2825292324,0,2824035360,1256964,4218.0,4218.0,,4218.0,298.0,1398-04-22
2019-07-14,6,0,2268,3,205998,0,205722,276,912159144,0,910937016,1222128,4428.0,4428.0,,4428.0,276.0,1398-04-23
2019-07-15,11,0,2135,6,194431,0,193879,552,903909719,0,901343471,2566248,4649.0,4649.0,,4649.0,552.0,1398-04-24
2019-07-16,3,0,494,0,44567,0,44567,0,217531527,0,217531527,0,4881.0,4881.0,,,0.0,1398-04-25
2019-07-21,10,0,6881,7,628594,0,627950,644,3358038074,0,3354572710,3465364,5342.141468101827,5342.10161637073,,5381.0,644.0,1398-04-30
2019-07-22,8,0,3228,2,291874,0,291690,184,1637121266,0,1636089210,1032056,5609.0,5609.0,,5609.0,184.0,1398-04-31
2019-07-23,10,0,2660,1,241210,0,241118,92,1420485690,0,1419943902,541788,5889.0,5889.0,,5889.0,92.0,1398-05-01
2019-07-24,8,0,2891,9,263207,0,262379,828,1627408881,0,1622289357,5119524,6183.0,6183.0,,6183.0,828.0,1398-05-02
2019-07-27,13,0,6202,9,587829,0,587023,806,3816185868,0,3810953316,5232552,6492.0,6492.0,,6492.0,806.0,1398-05-05
2019-07-28,10,0,4465,11,406736,0,405724,1012,2772312576,0,2765414784,6897792,6816.0,6816.0,,6816.0,1012.0,1398-05-06
2019-07-29,11,0,3301,3,300027,0,299751,276,2146993212,0,2145018156,1975056,7156.0,7156.0,,7156.0,276.0,1398-05-07
2019-07-30,54,2,2845,5,1758203,500000,257835,2000368,13209379139,3756500000,1937114355,15028764784,7513.0,7513.0,7513.0,7513.0,1500368.0,1398-05-08
2019-07-31,76,0,6206,9,2738791,0,738055,2000736,21603583408,0,5821777840,15781805568,7888.0,7888.0,,7888.0,2000736.0,1398-05-09
2019-08-03,4,0,494,4,68722,0,68354,368,569155604,0,566107828,3047776,8282.0,8282.0,,8282.0,368.0,1398-05-12
2019-08-04,83,0,5717,23,3927519,0,925495,3002024,34475395572,0,8369076164,26106319408,8777.906757930388,9042.810781257598,,8696.239406480428,3002024.0,1398-05-13
2019-08-05,30,0,8148,5,837338,0,836878,460,7716907008,0,7712667648,4239360,9216.0,9216.0,,9216.0,460.0,1398-05-14
2019-08-06,4054,8,83721,227,28069529,659298,19358035,9370792,271440789332,6379367448,187148472104,90671684676,9670.300820936469,9667.741178482216,9676.0,9675.989465564917,8711494.0,1398-05-15
2019-08-07,4161,4,88282,81,16412510,121360,16526418,7452,157583461208,1177229426,158689347108,71343526,9601.42362185918,9602.162253671666,9700.308388266316,9573.742082662371,-113908.0,1398-05-16
2019-08-10,1726,0,25118,20,6074465,0,5898809,175656,55941452521,0,54320547854,1620904667,9209.280573844777,9208.73143273498,,9227.721609281778,175656.0,1398-05-19
2019-08-11,1929,1,21834,34,8741227,200000,8905365,35862,79690345659,1806880562,81171309748,325916473,9116.60864761892,9114.877351798606,9034.40281,9088.072974178796,-164138.0,1398-05-20
2019-08-13,1315,2,10714,13,4645103,100420,4444451,301072,41680039301,922234400,39924206989,2678066712,8972.898835827753,8982.933322698349,9183.772156940848,8895.103868842005,200652.0,1398-05-22
2019-08-14,583,0,8006,35,2190995,0,2187775,3220,19769167981,0,19739795793,29372188,9022.91788936077,9022.772356846568,,9121.797515527953,3220.0,1398-05-23
2019-08-18,561,3,5553,39,2222511,21597,2240521,3587,20421738421,197073400,20586002423,32809398,9188.588232409198,9188.042612856563,9125.035884613604,9146.751603010873,-18010.0,1398-05-27
2019-08-19,704,0,8345,6,2959917,0,2959366,551,27071437951,0,27066400408,5037543,9146.01252366198,9146.013169036882,,9142.546279491831,551.0,1398-05-28
2019-08-21,712,3,3378,7,2445830,515957,2951850,9937,22310173529,4731843425,26950819582,91197372,9121.718814880838,9130.145360367227,9171.003446023602,9177.555801549765,-506020.0,1398-05-30
2019-08-24,692,3,4750,3,4389921,1382608,5727979,44550,41251863916,13107271268,53937783416,421351768,9396.949037579492,9416.546990832194,9480.106630368116,9457.952143658811,-1338058.0,1398-06-02
2019-08-25,605,2,2485,4,2654448,350350,3003550,1248,25041845637,3306680131,28336852060,11673708,9433.918327652304,9434.453250320454,9438.219297845011,9353.932692307691,-349102.0,1398-06-03
2019-08-26,700,4,3149,3,5384541,740000,6124265,276,53035939497,7318316383,60351589720,2666160,9849.667686995048,9854.503311009566,9889.616733783783,9660.0,-739724.0,1398-06-04
2019-08-27,699,8,2490,4,4176273,1931905,6004299,103879,42568376096,19660374396,61194774876,1033975616,10192.910304474828,10191.826702167897,10176.677629593589,9953.653924277283,-1828026.0,1398-06-05
2019-08-28,642,2,2409,53,3769121,174303,3927593,15831,39046753266,1729650225,40609568314,166835177,10359.644401440017,10339.556138836178,9923.238412419752,10538.511591181858,-158472.0,1398-06-06
2019-08-31,758,0,2662,3,3970890,0,3970614,276,42520926524,0,42517970164,2956360,10708.160267345607,10708.160038724487,,10711.449275362318,276.0,1398-06-09
2019-09-01,890,0,2209,7,3426953,0,3376309,50644,35126730263,0,34610122651,516607612,10250.134817431112,10250.87533487012,,10200.766369165152,50644.0,1398-06-10
2019-09-02,683,3,2726,3,4344519,600000,4944243,276,42479825690,5842800000,48319908102,2717588,9777.797194580113,9772.96384947099,9738.0,9846.333333333334,-599724.0,1398-06-11
2019-09-03,371,0,3258,3,2301374,0,2301098,276,22980505855,0,22977756343,2749512,9985.558998667751,9985.561824398614,,9962.0,276.0,1398-06-12
2019-09-04,369,2,3317,5,2338149,20000,2357763,386,24133728975,206060000,24335828355,3960620,10321.724139479562,10321.575304642578,10303.0,10260.673575129536,-19614.0,1398-06-13
2019-09-07,634,5,2264,2,3537576,699616,3938656,298536,38012660587,7541288496,42349769879,3204179204,10745.39757930289,10752.340361534492,10779.182431505284,10732.974261060644,-401080.0,1398-06-16
2019-09-08,582,3,1615,3,6796987,254150,6431137,620000,76444550408,2865840307,72344411441,6965979274,11246.828985843284,11249.085727920274,11276.176694865237,11235.450441935483,365850.0,1398-06-17
2019-09-11,252,0,887,4,1862928,0,1862560,368,21863627907,0,21859281827,4346080,11736.16366655072,11736.149078150502,,11810.0,368.0,1398-06-20
2019-09-14,10,0,670,1,536117,0,436117,100000,6606033674,0,5373833674,1232200000,12322.0,12322.0,,12322.0,100000.0,1398-06-23
2019-09-15,887,3,1777,11,7889623,96645,5554038,2432230,101007536644,1240953345,70868611560,31379878429,12802.580889353014,12759.83555748088,12840.326400744994,12901.690394822856,2335585.0,1398-06-24
2019-09-16,464,3,875,4,3333114,524317,3833855,23576,44726601307,7037922557,51450688027,313835837,13418.863353308649,13420.092316219576,13423.029497422362,13311.665973871734,-500741.0,1398-06-25
2019-09-17,1007,2,1740,9,4057165,30400,3927013,160552,54678281030,395990000,52892169129,2182101901,13476.967545071497,13468.804185012885,13025.986842105263,13591.247078828044,130152.0,1398-06-26
2019-09-18,676,4,2107,3,5416026,60123,5468680,7469,74697004483,843738201,75435537024,105205660,13791.847469528397,13794.10333462554,14033.534604061671,14085.6419868791,-52654.0,1398-06-27
2019-09-21,87,1,612,2,585480,3943,589239,184,8461940315,57110412,8516385671,2665056,14452.99637049942,14453.194155512449,14484.0,14484.0,-3759.0,1398-06-30
2019-09-22,12,0,316,3,378128,0,277944,100184,5738092400,0,4217800200,1520292200,15175.0,15175.0,,15175.0,100184.0,1398-06-31
2019-09-23,12,1,417,0,201749,50000,251749,0,3214466817,796650000,4011116817,0,15933.0,15933.0,15933.0,,-50000.0,1398-07-01
2019-09-25,6,1,236,0,184249,50000,234249,0,3228325641,878250000,4106575641,0,17521.536838734537,17530.813967188762,17565.0,,-50000.0,1398-07-03
