date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-12-06,4,1,5,1,5178,10000,5178,10000,40656928,82000000,40656928,82000000,7851.859405175744,7851.859405175744,8200.0,8200.0,0.0,1395-09-16
2016-12-07,3,1,7,0,685,3000,3685,0,5332460,24023000,29355460,0,7784.613138686132,7966.203527815468,8007.666666666667,,-3000.0,1395-09-17
2016-12-10,4,0,7,0,4903,0,4903,0,37749467,0,37749467,0,7699.2590250866815,7699.2590250866815,,,0.0,1395-09-20
2016-12-11,6,1,5,1,8344,43345,1689,50000,64323085,333772475,13049728,385045832,7708.902804410354,7726.304322084074,7700.36855461991,7700.91664,6655.0,1395-09-21
2016-12-12,5,1,6,0,7383,433,7816,0,57291606,3342760,60634366,0,7759.935798455912,7757.723387922211,7720.0,,-433.0,1395-09-22
2016-12-13,6,2,3,2,28296,244657,1466,271487,219261522,1894148185,11351100,2102058607,7748.852205258694,7742.905866302864,7742.05595997662,7742.759715934833,26830.0,1395-09-23
2016-12-14,8,2,6,1,13248,61579,19994,54833,100947167,468000400,152165990,416781577,7619.804272342995,7610.582674802441,7600.0,7600.926029945471,-6746.0,1395-09-24
2016-12-18,1,1,2,0,86,244,330,0,649558,1840004,2489562,0,7553.0,7544.127272727273,7541.0,,-244.0,1395-09-28
2016-12-19,17,4,6,1,180805,350143,330948,200000,1292851222,2508801500,2391652722,1410000000,7150.528038494511,7226.672232495739,7165.076840033929,7050.0,-150143.0,1395-09-29
2016-12-20,0,1,3,0,0,1000,1000,0,0,7487603,7487603,0,,7487.603,7487.603,,-1000.0,1395-09-30
2016-12-21,1,0,1,0,150,0,150,0,1117500,0,1117500,0,7450.0,7450.0,,,0.0,1395-10-01
2016-12-24,2,0,2,0,2638,0,2638,0,19652670,0,19652670,0,7449.83699772555,7449.83699772555,,,0.0,1395-10-04
2016-12-25,3,0,3,0,5533,0,5533,0,40714076,0,40714076,0,7358.408819808422,7358.408819808422,,,0.0,1395-10-05
2016-12-26,8,0,3,0,11398,0,11398,0,82332234,0,82332234,0,7223.393051412529,7223.393051412529,,,0.0,1395-10-06
2016-12-27,8,0,7,0,18729,0,18729,0,136096350,0,136096350,0,7266.610603876342,7266.610603876342,,,0.0,1395-10-07
2016-12-28,9,0,4,0,17594,0,17594,0,127425534,0,127425534,0,7242.556212345117,7242.556212345117,,,0.0,1395-10-08
2016-12-31,4,0,2,0,2699,0,2699,0,19396712,0,19396712,0,7186.629121896999,7186.629121896999,,,0.0,1395-10-11
2017-01-03,3,0,4,0,3585,0,3585,0,26056690,0,26056690,0,7268.253835425384,7268.253835425384,,,0.0,1395-10-14
2017-01-04,7,0,2,1,8306,0,7075,1231,60213162,0,51347500,8865662,7249.357332049121,7257.597173144876,,7202.0,1231.0,1395-10-15
2017-01-07,7,0,2,0,8049,0,8049,0,58060668,0,58060668,0,7213.401416325009,7213.401416325009,,,0.0,1395-10-18
2017-01-08,4,0,8,1,6911,0,3790,3121,50785531,0,27752551,23032980,7348.506873100854,7322.572823218998,,7380.0,3121.0,1395-10-19
