date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-11-30,0,1,0,1,0,1000,0,1000,0,15000000,0,15000000,,,15000.0,15000.0,0.0,1393-09-09
2015-03-10,1,0,1,0,804,0,804,0,14472000,0,14472000,0,18000.0,18000.0,,,0.0,1393-12-19
2015-08-17,0,1,0,1,0,1000,0,1000,0,14900000,0,14900000,,,14900.0,14900.0,0.0,1394-05-26
2015-11-16,1,0,1,0,310,0,310,0,4619000,0,4619000,0,14900.0,14900.0,,,0.0,1394-08-25
2016-03-09,1,0,1,0,804,0,804,0,14874000,0,14874000,0,18500.0,18500.0,,,0.0,1394-12-19
2016-04-10,2,0,1,0,804,0,804,0,14524000,0,14524000,0,18064.67661691542,18064.67661691542,,,0.0,1395-01-22
2016-05-04,1,0,1,0,1847,0,1847,0,33246000,0,33246000,0,18000.0,18000.0,,,0.0,1395-02-15
2017-11-04,2,0,0,1,10000,0,0,10000,120000000,0,0,120000000,12000.0,,,12000.0,10000.0,1396-08-13
2017-11-05,1,0,2,0,1898,0,1898,0,25072580,0,25072580,0,13210.0,13210.0,,,0.0,1396-08-14
2017-11-06,1,0,1,0,5000,0,5000,0,72500000,0,72500000,0,14500.0,14500.0,,,0.0,1396-08-15
2017-11-14,106,0,12,1,195950,0,44344,151606,5394600268,0,1345726983,4048873285,27530.49384026537,30347.44233718203,,26706.55043336016,151606.0,1396-08-23
2017-11-15,42,0,16,1,46860,0,32640,14220,1161127404,0,808798464,352328940,24778.647119078105,24779.36470588235,,24777.0,14220.0,1396-08-24
2017-11-18,10,0,5,0,9206,0,9206,0,205312212,0,205312212,0,22302.0,22302.0,,,0.0,1396-08-27
2017-11-20,29,0,30,0,22592,0,22592,0,460573525,0,460573525,0,20386.576000354107,20386.576000354107,,,0.0,1396-08-29
2017-11-21,42,0,34,1,175679,0,75679,100000,3933783784,0,1691283784,2242500000,22391.88397019564,22348.12542449028,,22425.0,100000.0,1396-08-30
2017-11-22,37,0,17,1,31563,0,15408,16155,761762725,0,363848920,397913805,24134.674302189276,23614.28608515057,,24631.0,16155.0,1396-09-01
2017-11-25,32,0,15,0,21249,0,21249,0,464697388,0,464697388,0,21869.14151254177,21869.14151254177,,,0.0,1396-09-04
2017-11-26,23,0,12,0,16665,0,16665,0,339130916,0,339130916,0,20349.8899489949,20349.8899489949,,,0.0,1396-09-05
2017-11-28,31,0,7,0,60649,0,60649,0,1128501952,0,1128501952,0,18607.09907830302,18607.09907830302,,,0.0,1396-09-07
2017-11-29,25,0,18,0,25149,0,25149,0,426473382,0,426473382,0,16957.866396278183,16957.866396278183,,,0.0,1396-09-08
2017-12-02,17,0,8,0,26269,0,26269,0,410671466,0,410671466,0,15633.311736267084,15633.311736267084,,,0.0,1396-09-11
2017-12-03,11,0,5,0,5667,0,5667,0,95388356,0,95388356,0,16832.249161814012,16832.249161814012,,,0.0,1396-09-12
2017-12-04,14,0,9,0,5549,0,5549,0,87553752,0,87553752,0,15778.293746621011,15778.293746621011,,,0.0,1396-09-13
2017-12-05,6,0,7,0,5212,0,5212,0,82506671,0,82506671,0,15830.13641596316,15830.13641596316,,,0.0,1396-09-14
2017-12-09,12,0,8,0,3492,0,3492,0,51936396,0,51936396,0,14872.965635738832,14872.965635738832,,,0.0,1396-09-18
2017-12-10,16,0,8,0,8453,0,8453,0,121248259,0,121248259,0,14343.813912220514,14343.813912220514,,,0.0,1396-09-19
2017-12-11,7,0,6,0,7728,0,7728,0,109430684,0,109430684,0,14160.285196687371,14160.285196687371,,,0.0,1396-09-20
2017-12-12,11,0,7,0,6389,0,6389,0,86934655,0,86934655,0,13606.926749100016,13606.926749100016,,,0.0,1396-09-21
2017-12-13,12,0,10,0,10739,0,10739,0,134712700,0,134712700,0,12544.249930161095,12544.249930161095,,,0.0,1396-09-22
2017-12-16,9,0,6,0,3480,0,3480,0,41896828,0,41896828,0,12039.318390804598,12039.318390804598,,,0.0,1396-09-25
2017-12-17,11,0,21,0,17199,0,17199,0,211394891,0,211394891,0,12291.115239258095,12291.115239258095,,,0.0,1396-09-26
2017-12-18,1,1,1,0,1000,1000,2000,0,13520000,13520000,27040000,0,13520.0,13520.0,13520.0,,-1000.0,1396-09-27
2017-12-19,8,1,7,0,18907,5000,23907,0,280440904,74360000,354800904,0,14832.64949489607,14840.879407704855,14872.0,,-5000.0,1396-09-28
2017-12-20,25,1,26,0,52399,5000,57399,0,847791071,81625000,929416071,0,16179.52768182599,16192.199707311976,16325.0,,-5000.0,1396-09-29
2017-12-23,35,0,26,1,78457,0,20705,57752,1390565970,0,362015317,1028550653,17723.924825063412,17484.439362472833,,17809.784128688185,57752.0,1396-10-02
2017-12-24,17,0,11,1,13213,0,9299,3914,234124587,0,163478787,70645800,17719.260349655644,17580.2545434993,,18049.5145631068,3914.0,1396-10-03
2017-12-25,25,1,17,0,25034,236,25270,0,409155838,3763728,412919566,0,16344.005672285692,16340.307320933916,15948.0,,-236.0,1396-10-04
2017-12-26,12,0,7,1,6702,0,6466,236,105250486,0,101568886,3681600,15704.33989853775,15708.148159604085,,15600.0,236.0,1396-10-05
2017-12-27,21,0,9,0,8652,0,8652,0,123758104,0,123758104,0,14303.987979657884,14303.987979657884,,,0.0,1396-10-06
2017-12-30,6,0,4,0,558,0,558,0,8206775,0,8206775,0,14707.482078853049,14707.482078853049,,,0.0,1396-10-09
2017-12-31,9,0,4,0,1706,0,1706,0,23232718,0,23232718,0,13618.240328253223,13618.240328253223,,,0.0,1396-10-10
2018-01-01,29,1,12,2,68170,3000,5145,66025,903438760,36771000,68089017,872120743,13252.732286929737,13234.016909620992,12257.0,13208.947262400608,63025.0,1396-10-11
2018-01-02,22,0,12,0,25974,0,25974,0,330847295,0,330847295,0,12737.633595133597,12737.633595133597,,,0.0,1396-10-12
2018-01-03,15,0,10,0,5963,0,5963,0,73703061,0,73703061,0,12360.06389401308,12360.06389401308,,,0.0,1396-10-13
2018-01-06,8,0,13,0,6662,0,6662,0,84002349,0,84002349,0,12609.1787751426,12609.1787751426,,,0.0,1396-10-16
2018-01-07,5,0,4,0,1582,0,1582,0,20807242,0,20807242,0,13152.491782553729,13152.491782553729,,,0.0,1396-10-17
2018-01-08,3,0,6,0,1735,0,1735,0,23138529,0,23138529,0,13336.32795389049,13336.32795389049,,,0.0,1396-10-18
2018-01-09,2,0,4,0,2815,0,2815,0,39130000,0,39130000,0,13900.532859680285,13900.532859680285,,,0.0,1396-10-19
2018-01-10,16,0,4,0,41903,0,41903,0,528715107,0,528715107,0,12617.595565949932,12617.595565949932,,,0.0,1396-10-20
2018-01-13,5,0,11,0,6105,0,6105,0,79395971,0,79395971,0,13005.073054873055,13005.073054873055,,,0.0,1396-10-23
2018-01-14,9,0,4,0,6377,0,6377,0,80334057,0,80334057,0,12597.468558883487,12597.468558883487,,,0.0,1396-10-24
2018-01-15,10,0,29,0,42466,0,42466,0,567211512,0,567211512,0,13356.838694485,13356.838694485,,,0.0,1396-10-25
2018-01-16,2,0,4,0,1802,0,1802,0,25264165,0,25264165,0,14020.06936736959,14020.06936736959,,,0.0,1396-10-26
2018-01-17,8,0,14,0,115226,0,115226,0,1457143884,0,1457143884,0,12645.964313609777,12645.964313609777,,,0.0,1396-10-27
2018-01-20,19,0,34,0,119874,0,119874,0,1631403466,0,1631403466,0,13609.318667934664,13609.318667934664,,,0.0,1396-10-30
2018-01-21,15,0,10,0,29617,0,29617,0,387128842,0,387128842,0,13071.170003714084,13071.170003714084,,,0.0,1396-11-01
2018-01-22,5,0,25,0,61052,0,61052,0,869878533,0,869878533,0,14248.157849046716,14248.157849046716,,,0.0,1396-11-02
2018-01-23,10,0,6,0,10599,0,10599,0,143918212,0,143918212,0,13578.470799131994,13578.470799131994,,,0.0,1396-11-03
2018-01-27,11,1,11,1,30219,185,30402,2,410121968,2409810,412506167,25611,13571.65915483636,13568.389152029473,13026.0,12805.5,-183.0,1396-11-07
2018-01-28,4,0,11,0,28610,0,28610,0,398189184,0,398189184,0,13917.832366305489,13917.832366305489,,,0.0,1396-11-08
2018-01-29,6,0,18,2,57919,0,44553,13366,817779025,0,627699055,190079970,14119.356774115577,14088.81680245999,,14221.155918000895,13366.0,1396-11-09
2018-01-30,2,0,2,0,2261,0,2261,0,30688553,0,30688553,0,13573.0,13573.0,,,0.0,1396-11-10
2018-01-31,4,0,10,1,49585,0,29575,20010,734351794,0,440062494,294289300,14809.958535847534,14879.543330515638,,14707.111444277862,20010.0,1396-11-11
2018-02-03,2,0,6,0,69118,0,69118,0,1021633790,0,1021633790,0,14781.009143783096,14781.009143783096,,,0.0,1396-11-14
2018-02-04,6,0,6,0,9032,0,9032,0,132732609,0,132732609,0,14695.815876882196,14695.815876882196,,,0.0,1396-11-15
2018-02-05,6,0,8,0,53137,0,53137,0,783569606,0,783569606,0,14746.214615051658,14746.214615051658,,,0.0,1396-11-16
2018-02-06,8,0,9,0,9195,0,9195,0,127804230,0,127804230,0,13899.31810766721,13899.31810766721,,,0.0,1396-11-17
2018-02-07,4,0,10,0,10145,0,10145,0,143925000,0,143925000,0,14186.791522917694,14186.791522917694,,,0.0,1396-11-18
2018-02-12,4,0,4,0,8265,0,8265,0,116108520,0,116108520,0,14048.21778584392,14048.21778584392,,,0.0,1396-11-23
2018-02-13,4,0,3,0,2425,0,2425,0,33201200,0,33201200,0,13691.21649484536,13691.21649484536,,,0.0,1396-11-24
2018-02-14,3,0,3,0,1698,0,1698,0,22837000,0,22837000,0,13449.352179034158,13449.352179034158,,,0.0,1396-11-25
2018-02-17,4,0,2,0,5900,0,5900,0,78464100,0,78464100,0,13299.0,13299.0,,,0.0,1396-11-28
2018-02-18,6,0,6,0,16140,0,16140,0,218136140,0,218136140,0,13515.250309789344,13515.250309789344,,,0.0,1396-11-29
2018-02-19,7,0,5,0,17310,0,17310,0,223848200,0,223848200,0,12931.727325245523,12931.727325245523,,,0.0,1396-11-30
2018-02-21,10,0,6,0,48264,0,48264,0,652400470,0,652400470,0,13517.331137079396,13517.331137079396,,,0.0,1396-12-02
2018-02-24,17,0,4,0,25183,0,25183,0,319478280,0,319478280,0,12686.267720287497,12686.267720287497,,,0.0,1396-12-05
2018-02-25,2,0,4,0,6890,0,6890,0,89213240,0,89213240,0,12948.2206095791,12948.2206095791,,,0.0,1396-12-06
2018-02-26,2,0,3,0,11620,0,11620,0,150058060,0,150058060,0,12913.77452667814,12913.77452667814,,,0.0,1396-12-07
2018-02-27,11,0,5,0,6223,0,6223,0,73799008,0,73799008,0,11859.07247308372,11859.07247308372,,,0.0,1396-12-08
2018-02-28,5,0,4,0,22974,0,22974,0,271242490,0,271242490,0,11806.4982153739,11806.4982153739,,,0.0,1396-12-09
2018-03-03,12,0,7,0,38450,0,38450,0,486116595,0,486116595,0,12642.824317295188,12642.824317295188,,,0.0,1396-12-12
2018-03-04,10,0,6,0,24565,0,24565,0,286939120,0,286939120,0,11680.81090983106,11680.81090983106,,,0.0,1396-12-13
2018-03-05,8,0,3,0,12337,0,12337,0,148994774,0,148994774,0,12077.066872011024,12077.066872011024,,,0.0,1396-12-14
2018-03-06,28,0,14,0,61935,0,61935,0,690546249,0,690546249,0,11149.531751029304,11149.531751029304,,,0.0,1396-12-15
2018-03-07,4,0,9,0,10197,0,10197,0,118377450,0,118377450,0,11609.046778464251,11609.046778464251,,,0.0,1396-12-16
2018-03-10,10,0,5,0,19101,0,19101,0,214855300,0,214855300,0,11248.379665986076,11248.379665986076,,,0.0,1396-12-19
2018-03-11,31,0,9,0,56667,0,56667,0,576501804,0,576501804,0,10173.501402932923,10173.501402932923,,,0.0,1396-12-20
2018-03-12,8,0,7,0,60287,0,60287,0,603280110,0,603280110,0,10006.802627432116,10006.802627432116,,,0.0,1396-12-21
2018-03-13,2,0,8,0,9276,0,9276,0,101822320,0,101822320,0,10976.964208710651,10976.964208710651,,,0.0,1396-12-22
2018-03-14,9,0,9,0,22197,0,22197,0,239720795,0,239720795,0,10799.69342703969,10799.69342703969,,,0.0,1396-12-23
2018-03-17,3,0,17,0,38100,0,38100,0,426389597,0,426389597,0,11191.328005249345,11191.328005249345,,,0.0,1396-12-26
2018-03-18,4,0,4,0,15400,0,15400,0,173912127,0,173912127,0,11292.99525974026,11292.99525974026,,,0.0,1396-12-27
2018-03-19,2,0,2,0,1400,0,1400,0,14620000,0,14620000,0,10442.857142857143,10442.857142857143,,,0.0,1396-12-28
2018-03-28,2,0,1,0,1500,0,1500,0,15000000,0,15000000,0,10000.0,10000.0,,,0.0,1397-01-08
2018-04-03,1,0,1,0,1500,0,1500,0,15000000,0,15000000,0,10000.0,10000.0,,,0.0,1397-01-14
2018-04-04,1,0,5,0,5335,0,5335,0,58340200,0,58340200,0,10935.370196813496,10935.370196813496,,,0.0,1397-01-15
