date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2017-07-19,196,6,21,2,4798823,26327427,316300,30809950,95177943362,513226861938,7654460000,600750345300,19833.60156480037,24200.0,19494.0,19498.58228591737,4482523.0,1396-04-28
2017-07-22,107,1,42,1,587599,100000,650418,37181,16057623040,2500000000,17498038902,1059584138,27327.519345676217,26902.759305554275,25000.0,28498.0,-62819.0,1396-04-31
2017-07-24,56,1,57,1,412557,62238,464795,10000,12277877397,1929564714,13897412111,310030000,29760.43891389553,29900.089525489733,31003.0,31003.0,-52238.0,1396-05-02
2017-07-26,75,2,38,0,231665,140000,371665,0,7313228672,4031860000,11345088672,0,31568.120656983145,30525.03914008583,28799.0,,-140000.0,1396-05-04
2017-07-29,54,2,21,1,172326,18800,184126,7000,4784934250,524865000,5118864250,190935000,27766.7574829103,27800.876845203828,27918.35106382979,27276.42857142857,-11800.0,1396-05-07
2017-07-31,26,0,15,0,34811,0,34811,0,952499520,0,952499520,0,27362.02694550573,27362.02694550573,,,0.0,1396-05-09
2017-08-02,16,1,42,1,188154,2596,187750,3000,5158188300,71649600,5148987900,80850000,27414.715073822503,27424.702529960054,27600.0,26950.0,404.0,1396-05-11
2017-08-07,19,1,22,1,143916,40000,182916,1000,4013767500,1120000000,5105767500,28000000,27889.65438172267,27913.181460342454,28000.0,28000.0,-39000.0,1396-05-16
2017-08-09,36,1,34,0,147602,46095,193697,0,4157527010,1277983875,5435510885,0,28167.14549938348,28061.926023634853,27725.0,,-46095.0,1396-05-18
2017-08-12,9,0,7,0,59861,0,59861,0,1667825660,0,1667825660,0,27861.640467082078,27861.640467082078,,,0.0,1396-05-21
2017-08-14,9,0,5,0,51225,0,51225,0,1339533750,0,1339533750,0,26150.0,26150.0,,,0.0,1396-05-23
2017-08-16,20,3,17,2,54818,63512,65830,52500,1449574636,1683195024,1741414660,1391355000,26443.406107482944,26453.20765608385,26502.0,26502.0,-11012.0,1396-05-25
2017-08-19,7,0,18,1,75920,0,75420,500,2007008000,0,1993758000,13250000,26435.82718651212,26435.40175019889,,26500.0,500.0,1396-05-28
2017-08-21,4,0,16,0,50436,0,50436,0,1363556200,0,1363556200,0,27035.375525418352,27035.375525418352,,,0.0,1396-05-30
2017-08-23,30,3,26,1,83031,2180,83141,2070,2328356451,61045610,2331336491,58065570,28042.013838205006,28040.755956748173,28002.57339449541,28051.0,-110.0,1396-06-01
2017-08-26,7,1,12,1,33662,15623,48285,1000,944596400,437444000,1354040400,28000000,28061.208484344366,28042.671637154395,28000.0,28000.0,-14623.0,1396-06-04
2017-08-28,13,3,22,2,40286,13346,52596,1036,1127427700,378359100,1476416200,29370600,27985.59549223055,28070.88371739296,28350.0,28350.0,-12310.0,1396-06-06
2017-08-30,13,2,7,0,45520,1010,46530,0,1253229120,28356760,1281585880,0,27531.395430579963,27543.21684934451,28076.0,,-1010.0,1396-06-08
2017-09-27,2,0,4,0,13000,0,13000,0,356213000,0,356213000,0,27401.0,27401.0,,,0.0,1396-07-05
2017-10-02,6,0,3,0,20600,0,20600,0,543490600,0,543490600,0,26383.038834951454,26383.038834951454,,,0.0,1396-07-10
2017-10-04,17,0,19,0,64297,0,64297,0,1672802940,0,1672802940,0,26016.81167084001,26016.81167084001,,,0.0,1396-07-12
2017-10-07,7,0,3,0,59980,0,59980,0,1513947000,0,1513947000,0,25240.86362120707,25240.86362120707,,,0.0,1396-07-15
2017-10-09,3,0,3,0,4300,0,4300,0,108531700,0,108531700,0,25239.93023255814,25239.93023255814,,,0.0,1396-07-17
2017-10-11,6,0,3,0,8365,0,8365,0,211082600,0,211082600,0,25234.022713687984,25234.022713687984,,,0.0,1396-07-19
2017-10-14,7,0,5,0,45430,0,45430,0,1110223785,0,1110223785,0,24438.11985472155,24438.11985472155,,,0.0,1396-07-22
2017-10-18,2,0,1,0,1160,0,1160,0,29000000,0,29000000,0,25000.0,25000.0,,,0.0,1396-07-26
2017-10-21,5,0,8,1,55258,0,37458,17800,1381450000,0,936450000,445000000,25000.0,25000.0,,25000.0,17800.0,1396-07-29
2017-10-23,5,2,2,0,24211,5090,29301,0,582564000,122160000,704724000,0,24061.95530957003,24051.19279205488,24000.0,,-5090.0,1396-08-01
2017-10-25,2,0,1,0,6500,0,6500,0,154700000,0,154700000,0,23800.0,23800.0,,,0.0,1396-08-03
2017-10-28,7,1,10,0,30858,10000,40858,0,734420400,238010000,972430400,0,23800.0,23800.244750110134,23801.0,,-10000.0,1396-08-06
2017-10-30,1,1,2,0,1700,6300,8000,0,40035000,148365000,188400000,0,23550.0,23550.0,23550.0,,-6300.0,1396-08-08
