date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-29,3,1,4,1,13714,10,13714,10,59610044,44540,59610044,44540,4346.65626367216,4346.65626367216,4454.0,4454.0,0.0,1387-09-09
2008-11-30,3,1,2,1,6100,10,6100,10,26359250,44430,26359250,44430,4321.188524590164,4321.188524590164,4443.0,4443.0,0.0,1387-09-10
2008-12-02,2,3,6,1,7147,15464,22601,10,30803570,66650750,97410310,44010,4310.0,4310.0,4310.058846352819,4401.0,-15454.0,1387-09-12
2008-12-03,1,3,1,1,169,8841,9000,10,725010,37755220,38436380,43850,4290.0,4270.708888888889,4270.469403913585,4385.0,-8831.0,1387-09-13
2008-12-06,1,1,1,0,3000,5000,8000,0,12762000,21270000,34032000,0,4254.0,4254.0,4254.0,,-5000.0,1387-09-16
2008-12-07,0,1,3,0,0,15454,15454,0,0,65509506,65509506,0,,4239.0,4239.0,,-15454.0,1387-09-17
2008-12-08,0,1,1,0,0,2029,2029,0,0,8558322,8558322,0,,4218.0,4218.0,,-2029.0,1387-09-18
2008-12-10,1,0,1,0,2400,0,2400,0,10101600,0,10101600,0,4209.0,4209.0,,,0.0,1387-09-20
2008-12-13,2,3,10,0,6511,61750,68261,0,27384799,259668750,287053549,0,4205.92827522654,4205.235039041327,4205.161943319838,,-61750.0,1387-09-23
2008-12-14,2,4,5,0,2800,23635,26435,0,11768400,96990860,108759260,0,4203.0,4114.214488367695,4103.696213243072,,-23635.0,1387-09-24
2008-12-15,1,3,5,1,1000,26500,14751,12749,4068000,107419500,59841301,51646199,4068.0,4056.762321198563,4053.566037735849,4051.0,-13751.0,1387-09-25
2008-12-16,2,3,10,1,2511,54156,47416,9251,10110666,216948936,190000096,37059506,4026.549581839905,4007.088240256453,4006.0,4006.0,-44905.0,1387-09-26
2008-12-20,1,1,2,0,850,1919,2769,0,3425500,7733570,11159070,0,4030.0,4030.0,4030.0,,-1919.0,1387-09-30
2008-12-21,2,1,2,0,1783,1500,3283,0,7189744,6046500,13236244,0,4032.385866517106,4031.7526652452025,4031.0,,-1500.0,1387-10-01
2008-12-22,4,1,5,0,17429,6000,23429,0,70642710,24300000,94942710,0,4053.170577772678,4052.358615391182,4050.0,,-6000.0,1387-10-02
2008-12-23,6,2,2,0,3620,6661,10281,0,14705673,27029786,41735459,0,4062.340607734807,4059.47466199786,4057.917129560126,,-6661.0,1387-10-03
2008-12-24,4,2,2,1,4439,15451,13740,6150,17939000,62397020,55426291,24909729,4041.225501239018,4033.936754002911,4038.380687334153,4050.3624390243904,-9301.0,1387-10-04
2008-12-28,8,1,3,0,13829,15000,28829,0,54533057,59980500,114513557,0,3943.383975703232,3972.1654237052967,3998.7,,-15000.0,1387-10-08
2008-12-29,0,1,7,0,0,13000,13000,0,0,51754536,51754536,0,,3981.1181538461537,3981.1181538461537,,-13000.0,1387-10-09
2008-12-30,2,1,4,0,3430,9500,12930,0,13390290,38252500,51642790,0,3903.874635568513,3994.028615622583,4026.578947368421,,-9500.0,1387-10-10
2008-12-31,5,1,4,0,8698,22302,31000,0,33927539,87033772,120961311,0,3900.613819268797,3901.9777741935486,3902.509730069052,,-22302.0,1387-10-11
2009-01-04,5,1,3,0,4318,9637,13955,0,17387818,39019130,56406948,0,4026.822139879574,4042.060050161233,4048.8876206288255,,-9637.0,1387-10-15
2009-01-05,1,1,2,0,1169865,5000,1174865,0,4680629865,20055000,4700684865,0,4001.0,4001.042558081141,4011.0,,-5000.0,1387-10-16
2009-01-10,3,1,5,0,8283,2000,10283,0,33598184,8122000,41720184,0,4056.2820234214655,4057.1996499076154,4061.0,,-2000.0,1387-10-21
2009-01-11,2,0,2,0,3681,0,3681,0,14864550,0,14864550,0,4038.182559087205,4038.182559087205,,,0.0,1387-10-22
2009-01-12,2,1,5,0,1145,16500,17645,0,4637250,66819166,71456416,0,4050.0,4049.669368092944,4049.646424242424,,-16500.0,1387-10-23
2009-01-13,2,2,5,0,2130,21040,23170,0,8411260,83268269,91679529,0,3948.948356807512,3956.8204143288735,3957.617347908745,,-21040.0,1387-10-24
2009-01-14,3,2,4,0,1963,16000,17963,0,7651267,62126000,69777267,0,3897.7417218543046,3884.499638145076,3882.875,,-16000.0,1387-10-25
2009-01-17,0,1,1,0,0,2181,2181,0,0,8662932,8662932,0,,3972.0,3972.0,,-2181.0,1387-10-28
2009-01-18,1,1,2,0,1000,1726,2726,0,3902000,6733126,10635126,0,3902.0,3901.3668378576663,3901.0,,-1726.0,1387-10-29
2009-01-19,1,1,3,0,222,10430,10652,0,888000,41727652,42615652,0,4000.0,4000.71836274878,4000.733652924257,,-10430.0,1387-10-30
2009-01-20,1,1,5,0,4813,14500,19313,0,18838082,58445500,77283582,0,3914.0,4001.635271578729,4030.7241379310335,,-14500.0,1387-11-01
2009-01-21,2,1,3,0,1909,3503,5412,0,7525249,13770269,21295518,0,3941.984808800419,3934.870288248337,3930.99314872966,,-3503.0,1387-11-02
2009-01-24,0,1,3,0,0,14503,14503,0,0,57808400,57808400,0,,3985.9615252016815,3985.9615252016815,,-14503.0,1387-11-05
2009-01-25,0,1,3,0,0,9850,9850,0,0,39393000,39393000,0,,3999.289340101523,3999.289340101523,,-9850.0,1387-11-06
2009-01-27,0,1,2,0,0,11607,11607,0,0,46426387,46426387,0,,3999.86103213578,3999.86103213578,,-11607.0,1387-11-08
2009-01-28,3,1,5,0,2796,12613,15409,0,11156996,50371987,61528983,0,3990.341917024321,3993.0549029787785,3993.656306984857,,-12613.0,1387-11-09
2009-01-31,2,1,2,0,1460,12540,14000,0,5840000,50136000,55976000,0,4000.0,3998.285714285714,3998.086124401914,,-12540.0,1387-11-12
2009-02-01,1,1,4,0,189,3597,3786,0,755811,14355803,15111614,0,3999.0,3991.445853143159,3991.0489296636088,,-3597.0,1387-11-13
2009-02-02,4,0,5,0,15234,0,15234,0,60579323,0,60579323,0,3976.58677957201,3976.58677957201,,,0.0,1387-11-14
2009-02-03,5,0,9,0,40372,0,40372,0,160914166,0,160914166,0,3985.7863370652926,3985.7863370652926,,,0.0,1387-11-15
2009-02-04,3,0,3,0,4500,0,4500,0,17868000,0,17868000,0,3970.6666666666665,3970.6666666666665,,,0.0,1387-11-16
2009-02-07,2,0,3,1,2252,0,2065,187,8855320,0,8124150,731170,3932.202486678508,3934.213075060533,,3910.0,187.0,1387-11-19
2009-02-08,3,1,4,0,4322,5000,9322,0,16701208,19320000,36021208,0,3864.231374363721,3864.1072731173567,3864.0,,-5000.0,1387-11-20
2009-02-09,2,1,2,0,2000,1016,3016,0,7700000,3910584,11610584,0,3850.0,3849.663129973475,3849.0,,-1016.0,1387-11-21
2009-02-11,8,1,3,0,10828,1423,12251,0,41894190,5471435,47365625,0,3869.060768378279,3866.2660191004816,3845.0,,-1423.0,1387-11-23
2009-02-14,1,0,1,0,1000,0,1000,0,3832000,0,3832000,0,3832.0,3832.0,,,0.0,1387-11-26
2009-02-15,5,1,4,0,15500,7115,22615,0,59366900,27284105,86651005,0,3830.122580645161,3831.572186601813,3834.730147575545,,-7115.0,1387-11-27
2009-02-17,2,1,6,0,5650,10000,15650,0,21430000,37920000,59350000,0,3792.920353982301,3792.332268370607,3792.0,,-10000.0,1387-11-29
2009-02-18,1,1,1,0,1000,5000,6000,0,3768000,18840000,22608000,0,3768.0,3768.0,3768.0,,-5000.0,1387-11-30
