date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-03-14,80184,930,0,1,29898701,2298299,0,32197000,2212503874000,170074126000,0,2382578000000,74000.0,,74000.0,74000.0,29898701.0,1394-12-24
2016-03-15,23,0,225,2,51061,0,47561,3500,3967439700,0,3695489700,271950000,77700.0,77700.0,,77700.0,3500.0,1394-12-25
2016-03-16,6165,43,26023,260,9388574,3871548,12450200,809922,763943766245,315335341613,1013303399856,65975708002,81369.5206796048,81388.5238675684,81449.42064853646,81459.33559281017,-3061626.0,1394-12-26
2016-03-26,2619,9,5189,20,2003884,248952,2151421,101415,162151790108,20089224512,174040180030,8200834590,80918.75083986897,80895.45469250323,80695.17220990392,80864.1186215057,-147537.0,1395-01-07
2016-03-27,2423,13,5007,17,1910656,397556,2177745,130467,150265239958,31173930729,171146325469,10292845218,78645.88913859952,78588.78127099363,78413.93597128455,78892.32693324749,-267089.0,1395-01-08
2016-03-28,1260,8,2199,21,708771,409650,1049171,69250,55988135967,32392724603,82916695943,5464164627,78993.26576143775,79030.6784527975,79074.14769437324,78904.90436101083,-340400.0,1395-01-09
2016-03-29,2037,12,2496,13,1186005,347424,1468466,64963,91399258212,26805032396,113184669862,5019620746,77064.816937534,77076.80658728223,77153.65776687852,77268.91839970445,-282461.0,1395-01-10
2016-03-30,951,12,1988,79,844587,489305,1217619,116273,66400453519,38471732913,95748389873,9123796559,78618.84390714041,78635.75541528179,78625.26014040323,78468.74647596605,-373032.0,1395-01-11
2016-04-02,871,12,1529,15,666934,377457,936672,107719,51568188824,29250364379,72494228557,8324324646,77321.2774037611,77395.53286209046,77493.23599509348,77278.14634372767,-269738.0,1395-01-14
2016-04-03,1055,12,1553,9,661713,369183,893321,137575,50347526279,28101115305,67988054753,10460586831,76086.6512808423,76107.08217202999,76117.03492576852,76035.52121388333,-231608.0,1395-01-15
2016-04-04,1201,12,1050,11,715866,54204,750170,19900,54747732160,4130124292,57354201999,1523654453,76477.62592440484,76454.93954570298,76195.93188694562,76565.55040201005,-34304.0,1395-01-16
2016-04-05,816,9,1947,41,439063,785530,1132393,92200,33747559306,60712592698,87344320777,7115831227,76862.68099566577,77132.51563458976,77288.70023805584,77178.21287418655,-693330.0,1395-01-17
2016-04-06,943,12,1849,23,690988,354282,961603,83667,54637855647,28059543176,76071145858,6626252965,79072.07599408383,79108.6819175897,79201.15381532226,79197.92707997179,-270615.0,1395-01-18
2016-04-09,384,7,1773,15,254905,953914,1143480,65339,20257607606,75849081368,90913478918,5193210056,79471.2053745513,79505.96330324972,79513.54248705858,79481.01525888061,-888575.0,1395-01-21
2016-04-10,641,6,760,10,346161,74075,377106,43130,26987313853,5806689997,29426687662,3367316188,77961.73992159718,78032.93414053343,78389.33509281134,78073.64219800603,-30945.0,1395-01-22
2016-04-11,401,10,746,8,194246,150960,330451,14755,14981424456,11649873643,25493079397,1138218702,77126.03840490924,77146.32244114862,77171.92397323795,77141.22006099627,-136205.0,1395-01-23
2016-04-12,276,8,991,20,182896,357577,493540,46933,14238626054,27808375673,38388374888,3658626839,77850.94290744467,77781.68920047008,77768.9159901224,77954.25050604052,-310644.0,1395-01-24
2016-04-13,336,9,864,9,251441,620403,746974,124870,19347387358,47761475141,57495865524,9612996975,76946.03250066616,76971.70922147224,76984.5973359252,76984.0392007688,-495533.0,1395-01-25
2016-04-16,711,10,1043,3,542345,518594,890939,170000,41006576069,39066239599,67322378650,12750437018,75609.76144151785,75563.39844815414,75331.067461251,75002.57069411765,-348594.0,1395-01-28
2016-04-17,610,14,618,1,366249,205554,546803,25000,27482807211,15420769812,41029658167,1873918856,75038.58634699344,75035.53961298676,75020.52897048951,74956.75424,-180554.0,1395-01-29
2016-04-18,540,7,536,3,285691,120526,291086,115131,21583842398,9093161472,21966587511,8710416359,75549.6056858634,75464.25287028575,75445.64220168263,75656.56824834319,-5395.0,1395-01-30
2016-04-19,522,10,532,4,231637,199946,372358,59225,17385536179,14996180978,27939811158,4441905999,75055.09128075394,75034.80832424709,75001.15520190452,75000.52341072183,-140721.0,1395-01-31
2016-04-20,287,5,448,0,220029,190887,410916,0,16517873993,14318681546,30836555539,0,75071.34965390926,75043.45301472807,75011.29750061555,,-190887.0,1395-02-01
