date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2010-09-28,1,0,1,0,500,0,500,0,2259500,0,2259500,0,4519.0,4519.0,,,0.0,1389-07-06
2010-09-29,1,0,2,0,4596,0,4596,0,19133148,0,19133148,0,4163.0,4163.0,,,0.0,1389-07-07
2011-09-12,22,0,3,1,391777,0,15777,376000,1667783669,0,63391669,1604392000,4256.971871753574,4017.979907460227,,4267.0,376000.0,1390-06-21
2011-09-13,69,1,14,3,712300,5000,314329,402971,3160481564,21855000,1397781202,1784555362,4437.009074828022,4446.873187011061,4371.0,4428.495752796107,397971.0,1390-06-22
2011-09-14,18,1,16,1,63453,204052,267070,435,271160156,865081191,1134414347,1827000,4273.401667375853,4247.629261991238,4239.513413247603,4200.0,-203617.0,1390-06-23
2011-09-17,5,2,14,0,23660,54422,78082,0,94891320,218780850,313672170,0,4010.622147083685,4017.21485105402,4020.081033405608,,-54422.0,1390-06-26
2011-09-18,2,3,11,0,2597,110087,112684,0,10217830,439542365,449760195,0,3934.4743935309975,3991.3403411309514,3992.681833458992,,-110087.0,1390-06-27
2011-09-19,1,1,8,0,400,52025,52425,0,1630000,208070650,209700650,0,4075.0,4000.012398664759,3999.435848149928,,-52025.0,1390-06-28
2011-09-20,1,2,5,1,1100,313973,62100,252973,4290000,1241153350,246200000,999243350,3900.0,3964.573268921095,3953.057587754361,3950.0,-61000.0,1390-06-29
2011-09-21,4,1,8,0,11800,54600,66400,0,44745760,204558000,249303760,0,3792.013559322034,3754.5746987951807,3746.483516483516,,-54600.0,1390-06-30
2011-09-25,4,0,1,1,3700,0,2500,1200,13085900,0,8645000,4440900,3536.7297297297296,3458.0,,3700.75,1200.0,1390-07-03
2011-09-26,2,2,7,0,5714,25852,31566,0,21293940,97723140,119017080,0,3726.6258312915647,3770.420072229614,3780.0997988550207,,-25852.0,1390-07-04
2011-09-27,0,2,5,0,0,57714,57714,0,0,216816060,216816060,0,,3756.732508576775,3756.732508576775,,-57714.0,1390-07-05
2011-09-28,1,2,15,0,3000,156796,159796,0,11100000,569779064,580879064,0,3700.0,3635.128939397732,3633.8877522385774,,-156796.0,1390-07-06
2012-01-10,0,2,0,1,0,147032,0,147032,0,507260400,0,507260400,,,3450.0,3450.0,0.0,1390-10-20
2012-12-30,1,0,1,0,345,0,345,0,1029825,0,1029825,0,2985.0,2985.0,,,0.0,1391-10-10
2013-01-06,1,0,1,0,344,0,344,0,997600,0,997600,0,2900.0,2900.0,,,0.0,1391-10-17
2013-01-07,2,0,1,0,1393,0,1393,0,3786880,0,3786880,0,2718.5068198133526,2718.5068198133526,,,0.0,1391-10-18
2013-01-09,3,0,1,0,3374,0,3374,0,8445640,0,8445640,0,2503.1535269709543,2503.1535269709543,,,0.0,1391-10-20
2013-01-15,1,0,0,1,2848,0,0,2848,7698144,0,0,7698144,2703.0,,,2703.0,2848.0,1391-10-26
2013-01-28,1,0,1,0,1055,0,1055,0,2648050,0,2648050,0,2510.0,2510.0,,,0.0,1391-11-09
2013-01-30,2,0,2,0,1401,0,1401,0,3292350,0,3292350,0,2350.0,2350.0,,,0.0,1391-11-11
2013-02-02,1,0,2,0,945,0,945,0,2231145,0,2231145,0,2361.0,2361.0,,,0.0,1391-11-14
2013-11-26,51,0,61,1,167562,0,115079,52483,1449028046,0,989906762,459121284,8647.712763036965,8601.97570364706,,8748.0,52483.0,1392-09-05
2013-11-27,37,0,27,0,144729,0,144729,0,1306360577,0,1306360577,0,9026.25304534682,9026.25304534682,,,0.0,1392-09-06
2013-11-30,43,0,31,1,215945,0,187374,28571,1932558588,0,1678946088,253612500,8949.309259302137,8960.400525152903,,8876.570648559727,28571.0,1392-09-09
2013-12-01,30,0,21,0,87157,0,87157,0,754267183,0,754267183,0,8654.120529618964,8654.120529618964,,,0.0,1392-09-10
2013-12-02,22,0,39,1,81637,0,81344,293,721555139,0,718918139,2637000,8838.579798375737,8837.99836496853,,9000.0,293.0,1392-09-11
2013-12-03,20,0,22,1,149860,0,72881,76979,1351715774,0,664173645,687542129,9019.85702655812,9113.124751306925,,8931.554436924356,76979.0,1392-09-12
2013-12-04,26,0,25,0,110795,0,110795,0,1041229910,0,1041229910,0,9397.805947921835,9397.805947921835,,,0.0,1392-09-13
2013-12-07,24,0,43,0,106754,0,106754,0,997441854,0,997441854,0,9343.367499110103,9343.367499110103,,,0.0,1392-09-16
2013-12-08,34,0,35,0,119350,0,119350,0,1140163643,0,1140163643,0,9553.109702555508,9553.109702555508,,,0.0,1392-09-17
2013-12-09,25,0,58,0,173214,0,173214,0,1758013460,0,1758013460,0,10149.372798965442,10149.372798965442,,,0.0,1392-09-18
2013-12-10,36,0,24,0,105217,0,105217,0,1069990557,0,1069990557,0,10169.369560052082,10169.369560052082,,,0.0,1392-09-19
2013-12-11,30,0,29,0,124571,0,124571,0,1287477050,0,1287477050,0,10335.287105345546,10335.287105345546,,,0.0,1392-09-20
2013-12-14,12,1,28,0,37565,52801,90366,0,369762580,537733006,907495586,0,9843.273792093703,10042.445012504702,10184.14435332664,,-52801.0,1392-09-23
2013-12-15,19,0,10,0,129169,0,129169,0,1267123184,0,1267123184,0,9809.808731197114,9809.808731197114,,,0.0,1392-09-24
2013-12-16,21,0,32,0,83325,0,83325,0,855633269,0,855633269,0,10268.62609060906,10268.62609060906,,,0.0,1392-09-25
2013-12-17,15,0,19,0,108455,0,108455,0,1118006285,0,1118006285,0,10308.480798487852,10308.480798487852,,,0.0,1392-09-26
2013-12-18,25,0,40,0,110105,0,110105,0,1176576342,0,1176576342,0,10685.9483402207,10685.9483402207,,,0.0,1392-09-27
2013-12-21,21,0,18,0,62486,0,62486,0,719152282,0,719152282,0,11509.014531255,11509.014531255,,,0.0,1392-09-30
2013-12-22,20,0,16,0,35538,0,35538,0,430257230,0,430257230,0,12106.96240643818,12106.96240643818,,,0.0,1392-10-01
2013-12-24,26,0,23,0,51928,0,51928,0,620359396,0,620359396,0,11946.529733477122,11946.529733477122,,,0.0,1392-10-03
2013-12-25,27,0,16,0,42233,0,42233,0,476121512,0,476121512,0,11273.684370042383,11273.684370042383,,,0.0,1392-10-04
2013-12-28,20,0,21,0,68729,0,68729,0,738572352,0,738572352,0,10746.153035836402,10746.153035836402,,,0.0,1392-10-07
2013-12-29,21,0,38,0,153226,0,153226,0,1706002374,0,1706002374,0,11133.896166446948,11133.896166446948,,,0.0,1392-10-08
2013-12-30,20,0,20,0,49853,0,49853,0,539238425,0,539238425,0,10816.569213487654,10816.569213487654,,,0.0,1392-10-09
2014-01-01,11,0,11,0,11777,0,11777,0,118581286,0,118581286,0,10068.887322747729,10068.887322747729,,,0.0,1392-10-11
2014-01-04,3,0,6,0,14020,0,14020,0,141773910,0,141773910,0,10112.26176890157,10112.26176890157,,,0.0,1392-10-14
2014-01-05,20,0,27,0,67557,0,67557,0,709170875,0,709170875,0,10497.370738783546,10497.370738783546,,,0.0,1392-10-15
