date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-07-15,4451572,2586,0,4,25984816,15166,0,25999982,649620400000,379150000,0,649999550000,25000.0,,25000.0,25000.0,25984816.0,1399-04-25
2020-07-18,2,0,22223,28,125302,0,125135,167,3289177500,0,3284793750,4383750,26250.0,26250.0,,26250.0,167.0,1399-04-28
2020-07-19,11,0,18789,12,873074,0,106620,766454,22988911494,0,2807411220,20181500274,26331.0,26331.0,,26331.0,766454.0,1399-04-29
2020-07-20,2,0,15742,9,89796,0,89742,54,2416051176,0,2414598252,1452924,26906.0,26906.0,,26906.0,54.0,1399-04-30
2020-07-21,1,0,16872,6,96581,0,96547,34,2604499827,0,2603582949,916878,26967.0,26967.0,,26967.0,34.0,1399-04-31
2020-07-22,3,0,10992,6,63205,0,63113,92,1708557560,0,1706070616,2486944,27032.0,27032.0,,27032.0,92.0,1399-05-01
2020-07-25,6,0,13719,9,78523,0,78471,52,2126010225,0,2124602325,1407900,27075.0,27075.0,,27075.0,52.0,1399-05-04
2020-07-26,0,1,13558,9,0,78059,78008,51,0,2117662611,2116279032,1383579,,27129.0,27129.0,27129.0,-78008.0,1399-05-05
2020-07-27,2,0,17771,8,102303,0,102257,46,2781004752,0,2779754288,1250464,27184.0,27184.0,,27184.0,46.0,1399-05-06
2020-07-28,5,0,18327,11,105633,0,105567,66,2879027415,0,2877228585,1798830,27255.0,27255.0,,27255.0,66.0,1399-05-07
2020-07-29,6,0,8507,6,51041,0,51005,36,1394950530,0,1393966650,983880,27330.0,27330.0,,27330.0,36.0,1399-05-08
2020-08-01,1,0,12369,4,71231,0,71207,24,1949307546,0,1948650762,656784,27366.0,27366.0,,27366.0,24.0,1399-05-11
2020-08-02,3,0,11474,16,67495,0,67401,94,1850442920,0,1847865816,2577104,27416.0,27416.0,,27416.0,94.0,1399-05-12
2020-08-03,3,0,10863,2,62907,0,62895,12,1727677848,0,1727348280,329568,27464.0,27464.0,,27464.0,12.0,1399-05-13
2020-08-04,2,0,17383,12,100457,0,100387,70,2763572070,0,2761646370,1925700,27510.0,27510.0,,27510.0,70.0,1399-05-14
2020-08-05,1,0,9093,3,52616,0,52598,18,1451254512,0,1450758036,496476,27582.0,27582.0,,27582.0,18.0,1399-05-15
2020-08-09,2,0,10289,9,60975,0,60921,54,1684129500,0,1682638020,1491480,27620.0,27620.0,,27620.0,54.0,1399-05-19
2020-08-10,1,0,9849,6,57019,0,56984,35,1577373616,0,1576405376,968240,27664.0,27664.0,,27664.0,35.0,1399-05-20
2020-08-11,2,0,7895,9,45632,0,45578,54,1264280192,0,1262784068,1496124,27706.0,27706.0,,27706.0,54.0,1399-05-21
2020-08-12,2,0,5374,3,31027,0,31009,18,860657953,0,860158651,499302,27739.0,27739.0,,27739.0,18.0,1399-05-22
2020-08-15,4,0,6120,1,35425,0,35419,6,983504275,0,983337697,166578,27763.0,27763.0,,27763.0,6.0,1399-05-25
2020-08-16,1,0,5103,5,32949,0,31548,1401,915619761,0,876687372,38932389,27789.0,27789.0,,27789.0,1401.0,1399-05-26
2020-08-17,1,0,8541,6,50119,0,50084,35,1393959747,0,1392986292,973455,27813.0,27813.0,,27813.0,35.0,1399-05-27
2020-08-18,9,0,9526,2,58681,0,58671,10,1634265850,0,1633987350,278500,27850.0,27850.0,,27850.0,10.0,1399-05-28
2020-08-19,1,0,6453,3,37605,0,37587,18,1048916265,0,1048414191,502074,27893.0,27893.0,,27893.0,18.0,1399-05-29
2020-08-22,1,0,5783,4,52742,0,48294,4448,1472556640,0,1348368480,124188160,27920.0,27920.0,,27920.0,4448.0,1399-06-01
2020-08-23,1,0,7696,3,45434,0,45416,18,1270289206,0,1269785944,503262,27959.0,27959.0,,27959.0,18.0,1399-06-02
2020-08-24,1,0,8396,3,49308,0,49000,308,1380278844,0,1371657000,8621844,27993.0,27993.0,,27993.0,308.0,1399-06-03
2020-08-25,1,0,10270,10,59808,0,59748,60,1676358432,0,1674676692,1681740,28029.0,28029.0,,28029.0,60.0,1399-06-04
2020-08-26,2,0,8792,12,51759,0,51690,69,1453030407,0,1451093370,1937037,28073.0,28073.0,,28073.0,69.0,1399-06-05
2020-08-31,13,0,33608,13,196138,0,196063,75,5513831456,0,5511723056,2108400,28112.0,28112.0,,28112.0,75.0,1399-06-10
2020-09-01,8,0,30693,49,248502,0,178231,70271,7022666520,0,5036808060,1985858460,28260.0,28260.0,,28260.0,70271.0,1399-06-11
2020-09-02,4,0,18338,19,106770,0,106657,113,3037392960,0,3034178336,3214624,28448.0,28448.0,,28448.0,113.0,1399-06-12
2020-09-05,6,0,23927,8,217095,0,138989,78106,6193503255,0,3965217181,2228286074,28529.0,28529.0,,28529.0,78106.0,1399-06-15
2020-09-06,9,0,23538,34,253080,0,236734,16346,7262636760,0,6793555598,469081162,28697.0,28697.0,,28697.0,16346.0,1399-06-16
2020-09-07,3,0,29273,44,237085,0,172645,64440,6850333990,0,4988404630,1861929360,28894.0,28894.0,,28894.0,64440.0,1399-06-17
2020-09-08,9,0,28386,36,173779,0,169309,4470,5053493320,0,4923505720,129987600,29080.0,29080.0,,29080.0,4470.0,1399-06-18
2020-09-09,3,0,28320,12,167942,0,167876,66,4906929356,0,4905000968,1928388,29218.0,29218.0,,29218.0,66.0,1399-06-19
2020-09-12,3,0,18838,8,111771,0,109443,2328,3280590621,0,3212261493,68329128,29351.0,29351.0,,29351.0,2328.0,1399-06-22
2020-09-13,1,0,17077,14,99485,0,99401,84,2929136855,0,2926663643,2473212,29443.0,29443.0,,29443.0,84.0,1399-06-23
2020-09-14,2,0,20332,8,119605,0,118217,1388,3531218020,0,3490238708,40979312,29524.0,29524.0,,29524.0,1388.0,1399-06-24
2020-09-15,3,0,22348,12,149931,0,129853,20078,4441406013,0,3846635419,594770594,29623.0,29623.0,,29623.0,20078.0,1399-06-25
2020-09-16,14,1,35064,40,258979,4350,204130,59199,7703848313,129399450,6072255110,1760992653,29747.0,29747.0,29747.0,29747.0,54849.0,1399-06-26
2020-09-19,6,0,59949,24,353331,0,349850,3481,10587563415,0,10483255250,104308165,29965.0,29965.0,,29965.0,3481.0,1399-06-29
2020-09-20,8,1,62097,21,333011,38000,362482,8529,10079576948,1150184000,10971605176,258155772,30268.0,30268.0,30268.0,30268.0,-29471.0,1399-06-30
2020-09-21,6,0,15951,25,230043,0,92991,137052,7036555284,0,2844408708,4192146576,30588.0,30588.0,,30588.0,137052.0,1399-06-31
2020-09-22,2,0,17051,11,158889,0,158823,66,4892033421,0,4890001347,2032074,30789.0,30789.0,,30789.0,66.0,1399-07-01
2020-09-23,4,0,21132,142,127909,0,127060,849,3955969552,0,3929711680,26257872,30928.0,30928.0,,30928.0,849.0,1399-07-02
2020-09-26,3,0,23065,17,134768,0,134667,101,4183333488,0,4180198347,3135141,31041.0,31041.0,,31041.0,101.0,1399-07-05
