date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2012-03-13,14525,421,0,4,24341090,6458739,0,30799829,238542682000,63295642200,0,301838324200,9800.0,,9800.0,9800.0,24341090.0,1390-12-23
2012-03-14,109,8,20,1,427020,91201,18221,500000,4352187840,929520592,185708432,5096000000,10192.0,10192.0,10192.0,10192.0,408799.0,1390-12-24
2012-03-17,108,5,36,2,463395,37405,48300,452500,4911523605,396455595,511931700,4796047500,10599.0,10599.0,10599.0,10599.0,415095.0,1390-12-27
2012-03-18,85,7,190,3,415089,76812,282901,209000,4575110958,846621864,3118134822,2303598000,11022.0,11022.0,11022.0,11022.0,132188.0,1390-12-28
2012-03-24,82,5,132,3,445160,86000,187160,344000,5102423920,985732000,2145227920,3942928000,11462.0,11462.0,11462.0,11462.0,258000.0,1391-01-05
2012-03-25,32,3,43,1,169110,80000,48110,201000,2015791200,953600000,573471200,2395920000,11920.0,11920.0,11920.0,11920.0,121000.0,1391-01-06
2012-03-26,1001,53,5666,145,10748564,5510020,13277653,2980931,140403576896,72649291689,173909128580,39143740005,13062.542763479849,13097.881725030771,13184.941559014303,13131.380768290175,-2529089.0,1391-01-07
2012-03-27,373,26,1061,23,2163046,1218710,2555115,826641,28371270780,15990852600,33496306831,10865816549,13116.351099329371,13109.510464695326,13121.130211453094,13144.541038975807,-392069.0,1391-01-08
2012-03-28,277,12,424,11,1011363,540511,1227217,324657,13075856501,6997748591,15883401112,4190203980,12928.94490010016,12942.61822644243,12946.542421893357,12906.5567044604,-215854.0,1391-01-09
2012-04-02,276,17,733,13,1380599,883779,1924818,339560,17421344762,11112246349,24271957133,4261633978,12618.685629933094,12610.001118547312,12573.55781139855,12550.459353280716,-544219.0,1391-01-14
2012-04-03,194,12,434,11,1066391,300101,1112992,253500,13302860242,3756214094,13900667297,3158407039,12474.655395628808,12489.458412099995,12516.499758414668,12459.19936489152,-46601.0,1391-01-15
2012-04-04,116,10,290,7,518407,437823,874230,82000,6462104243,5446949021,10888668072,1020385192,12465.310543646208,12455.152616588312,12440.984189958042,12443.721853658535,-355823.0,1391-01-16
2012-04-07,149,6,403,9,846483,551200,1265321,132362,10722554158,6989509183,16030000085,1682063256,12667.181925685454,12668.722075267857,12680.531899492018,12708.052583067649,-418838.0,1391-01-19
2012-04-08,299,18,510,19,1617634,1415465,2090016,943083,21102353616,18495457795,27246843386,12350968025,13045.196636569211,13036.667368096703,13066.700903943229,13096.374364716574,-472382.0,1391-01-20
