date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-12-24,70,17,0,1,41170,308830,0,350000,12351000000,92649000000,0,105000000000,300000.0,,300000.0,300000.0,41170.0,1395-10-04
2017-02-27,0,1,1,0,0,10000,10000,0,0,3120000000,3120000000,0,,312000.0,312000.0,,-10000.0,1395-12-09
2017-02-28,5,2,5,1,1170,15500,1900,14770,357690000,4833000000,582450000,4608240000,305717.9487179487,306552.63157894736,311806.4516129032,312000.0,-730.0,1395-12-10
2017-03-06,0,1,7,0,0,7160,7160,0,0,2233918600,2233918600,0,,311999.8044692737,311999.8044692737,,-7160.0,1395-12-16
2017-03-07,0,1,1,0,0,400,400,0,0,124799600,124799600,0,,311999.0,311999.0,,-400.0,1395-12-17
2017-03-13,0,1,1,1,0,7260,100,7160,0,2264989320,31198200,2233791120,,311982.0,311982.0,311982.0,-100.0,1395-12-23
2017-03-14,0,1,1,0,0,300,300,0,0,93594600,93594600,0,,311982.0,311982.0,,-300.0,1395-12-24
2017-04-05,1,0,0,1,2000,0,0,2000,630000000,0,0,630000000,315000.0,,,315000.0,2000.0,1396-01-16
2017-04-15,2,0,1,0,500,0,500,0,150000050,0,150000050,0,300000.1,300000.1,,,0.0,1396-01-26
2017-04-16,1,0,1,0,50,0,50,0,15250000,0,15250000,0,305000.0,305000.0,,,0.0,1396-01-27
2017-04-30,0,1,3,1,0,3000,250,2750,0,958431150,77773900,880657250,,311095.6,319477.05,320239.0,-250.0,1396-02-10
2017-05-17,0,1,1,0,0,3300,3300,0,0,1056792000,1056792000,0,,320240.0,320240.0,,-3300.0,1396-02-27
2017-06-10,1,0,1,0,50,0,50,0,15250000,0,15250000,0,305000.0,305000.0,,,0.0,1396-03-20
2017-07-09,1,0,1,0,100,0,100,0,30500000,0,30500000,0,305000.0,305000.0,,,0.0,1396-04-18
2017-07-11,1,0,1,0,50,0,50,0,15250000,0,15250000,0,305000.0,305000.0,,,0.0,1396-04-20
2017-07-12,0,1,1,0,0,100,100,0,0,32025000,32025000,0,,320250.0,320250.0,,-100.0,1396-04-21
2017-09-05,0,1,1,1,0,32370,200,32170,0,11165645000,68599000,11097046000,,342995.0,344938.05993203586,344950.1398818775,-200.0,1396-06-14
