date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2011-07-11,5736,166,0,5,30320681,89389319,0,119710000,379008512500,1117366487500,0,1496375000000,12500.0,,12500.0,12500.0,30320681.0,1390-04-20
2011-07-12,237,9,1153,5,839652,2603130,3327282,115500,10640676204,33048009003,42214676233,1474008974,12672.721799031027,12687.435640561876,12695.489277523597,12761.98245887446,-2487630.0,1390-04-21
2011-07-13,49,9,986,12,305908,6485132,6324540,466500,3825918262,81255901575,79248227344,5833592493,12506.761058880447,12530.27529970559,12529.567875411018,12505.021421221863,-6018632.0,1390-04-22
2011-07-19,26,3,261,5,98549,1580602,1578151,101000,1232525812,19757958143,19727973955,1262510000,12506.730783671068,12500.68843539053,12500.274036727778,12500.09900990099,-1479602.0,1390-04-28
2011-07-20,10,2,303,4,104577,2076431,1822008,359000,1307318831,25955427035,22775245866,4487500000,12501.016772330437,12500.08005782631,12500.019039881412,12500.0,-1717431.0,1390-04-29
2011-07-23,17,1,164,1,33462,1093092,1026554,100000,418320003,13663650000,12831970003,1250000000,12501.344898691052,12500.043838901802,12500.0,12500.0,-993092.0,1390-05-01
2011-07-24,31,7,138,0,254259,303414,557673,0,3193044869,3801283122,6994327991,0,12558.237344597435,12541.987851303542,12528.370879392513,,-303414.0,1390-05-02
2011-07-25,26,3,233,5,238012,2529039,2671141,95910,3026593584,32338464003,34147884287,1217173300,12716.138614859756,12784.00664247975,12786.858566831115,12690.786153685747,-2433129.0,1390-05-03
2011-07-26,14,2,36,1,29005,108313,117318,20000,364306408,1355261140,1469347548,250220000,12560.124392346148,12524.485142944815,12512.451321632676,12511.0,-88313.0,1390-05-04
2011-07-27,12,3,78,4,141487,313125,211927,242685,1768872892,3914285655,2649425147,3033733400,12502.01708990932,12501.593223138156,12500.712670658682,12500.704205039454,-70440.0,1390-05-05
2011-07-30,3,1,96,2,2548,450324,446172,6700,31895840,5629050000,5577195840,83750000,12517.990580847723,12500.102740647104,12500.0,12500.0,-443624.0,1390-05-08
2011-07-31,4,3,103,2,5021,430665,405686,30000,62766201,5383721162,5071458568,375028795,12500.737104162516,12500.945480001776,12500.948909245004,12500.959833333332,-400665.0,1390-05-09
2011-08-01,4,4,61,0,6280,749002,755282,0,78539560,9363235000,9441774560,0,12506.299363057326,12500.992424021755,12500.947928042917,,-749002.0,1390-05-10
2011-08-02,1,3,54,0,248,497702,497950,0,3112400,6221625000,6224737400,0,12550.0,12500.727783914048,12500.703232054522,,-497702.0,1390-05-11
2011-08-03,3,3,66,4,2806,702953,434731,271028,35091604,8787702481,5434582029,3388212056,12505.91732002851,12501.022538075267,12501.123803440629,12501.33586197736,-431925.0,1390-05-12
2011-08-06,7,5,200,6,3907,2408466,2136072,276301,48641987,30099784193,26695020180,3453406000,12449.958280010238,12497.247368066244,12497.491844601502,12498.709740464205,-2132165.0,1390-05-15
2011-08-07,1,1,216,6,200,1828241,927606,900835,2500200,22853012500,11595075200,11260437500,12501.0,12500.000215608785,12500.0,12500.0,-927406.0,1390-05-16
2011-08-08,2,1,115,3,52000,1243899,795899,500000,650081800,15548737500,9948819300,6250000000,12501.573076923078,12500.102776859878,12500.0,12500.0,-743899.0,1390-05-17
2011-08-09,5,3,49,3,5094,4161382,476197,3690279,63053036,51963731246,5900336782,46126447500,12377.90263054574,12390.53749183636,12487.133179794597,12499.4471962689,-471103.0,1390-05-18
2011-08-10,3,2,36,0,6590,325571,332161,0,81564870,4047622238,4129187108,0,12377.066767830043,12431.282143297978,12432.379536260907,,-325571.0,1390-05-19
2011-08-13,1,1,42,0,160,424696,424856,0,1923200,5277520120,5279443320,0,12020.0,12426.429943321971,12426.583061766534,,-424696.0,1390-05-22
2011-08-14,8,2,76,0,5263,189064,194327,0,62727415,2326818257,2389545672,0,11918.56640699221,12296.51912498006,12307.04024563111,,-189064.0,1390-05-23
2011-08-15,3,1,34,1,15300,172495,137795,50000,188215500,2121688500,1694904000,615000000,12301.666666666666,12300.185057512972,12300.0,12300.0,-122495.0,1390-05-24
2011-08-16,2,1,64,2,7299,227691,217690,17300,89778700,2811120000,2687243700,213655000,12300.137005069188,12344.359869539254,12346.206042399568,12350.0,-210391.0,1390-05-25
2011-08-17,0,2,41,3,0,213720,178720,35000,0,2642989020,2210324020,432665000,,12367.524731423457,12366.596574957888,12361.857142857143,-178720.0,1390-05-26
2011-08-20,0,1,27,3,0,407317,385817,21500,0,5009999100,4745549100,264450000,,12300.0,12300.0,12300.0,-385817.0,1390-05-29
2011-08-21,1,1,18,0,2000,222587,224587,0,24602000,2740419363,2765021363,0,12301.0,12311.582429080936,12311.67751485936,,-222587.0,1390-05-30
2011-08-23,3,1,18,1,2081,37404,25485,14000,25702431,461939908,314742339,172900000,12351.0,12350.1015891701,12350.013581435142,12350.0,-23404.0,1390-06-01
2011-08-24,1,1,33,1,100,154744,149844,5000,1243600,1911088400,1850582000,61750000,12436.0,12350.057393022076,12350.0,12350.0,-149744.0,1390-06-02
2011-08-27,0,1,30,0,0,187418,187418,0,0,2314612300,2314612300,0,,12350.0,12350.0,,-187418.0,1390-06-05
2011-08-28,0,1,36,0,0,300205,300205,0,0,3707531750,3707531750,0,,12350.0,12350.0,,-300205.0,1390-06-06
2011-08-29,1,1,23,2,80,143254,63334,80000,988080,1769186900,782174980,988000000,12351.0,12350.0012631446,12350.0,12350.0,-63254.0,1390-06-07
2011-08-30,4,1,20,0,7610,29345,36955,0,94069755,362726750,456796505,0,12361.334428383703,12360.88499526451,12360.768444368718,,-29345.0,1390-06-08
2011-09-03,0,1,20,0,0,90524,90524,0,0,1118704906,1118704906,0,,12358.102889841368,12358.102889841368,,-90524.0,1390-06-12
2011-09-04,2,1,9,2,1213,189787,90400,100600,15004532,2345565546,1117355070,1243215008,12369.770816158283,12360.122455752213,12358.936839720318,12358.002067594434,-89187.0,1390-06-13
2011-09-05,3,2,21,0,4700,245731,250431,0,58102200,3037752257,3095854457,0,12362.170212765956,12362.105558017976,12362.104321392091,,-245731.0,1390-06-14
2011-09-06,4,2,18,2,6852,405662,123114,289400,84728352,5017261724,1524255601,3577734475,12365.492119089316,12380.847027957829,12368.084079849728,12362.59321008984,-116262.0,1390-06-15
2011-09-07,1,2,29,0,1550,52540,54090,0,19173500,650378320,669551820,0,12370.0,12378.476982806436,12378.727065093262,,-52540.0,1390-06-16
2011-09-10,8,2,18,1,17354,289524,56878,250000,214825466,3583789422,704064878,3094550010,12379.01728708079,12378.509757727064,12378.211899531643,12378.20004,-39524.0,1390-06-19
2011-09-11,1,2,29,0,2388,110463,112851,0,29849525,1372171954,1402021479,0,12499.80108877722,12423.651354440812,12422.005141993246,,-110463.0,1390-06-20
2011-09-12,2,2,14,0,4000,45560,49560,0,49753200,566113440,615866640,0,12438.3,12426.687651331718,12425.668129938542,,-45560.0,1390-06-21
2011-09-13,3,1,20,0,7298,77982,85280,0,90736060,970684478,1061420538,0,12433.003562619895,12446.300867729831,12447.54530532687,,-77982.0,1390-06-22
2011-09-14,1,1,22,0,16316,21846,38162,0,202991752,272262066,475253818,0,12441.269428781565,12453.587809863217,12462.787970337818,,-21846.0,1390-06-23
2011-09-17,6,2,31,1,29918,102613,117531,15000,375589678,1281508974,1469598652,187500000,12553.970118323416,12503.923662693249,12488.758480894234,12500.0,-87613.0,1390-06-26
2011-09-18,20,4,60,3,165870,70096,95186,140780,2115673151,895015930,1218933611,1791755470,12755.00784349189,12805.807692307691,12768.430866240584,12727.343869867878,70684.0,1390-06-27
2011-09-19,7,1,13,1,35200,20000,21700,33500,445754420,251860400,274765220,422849600,12663.47784090909,12661.991705069124,12593.02,12622.376119402985,13500.0,1390-06-28
2011-09-20,2,1,2,0,4093,3287,7380,0,51571800,41416200,92988000,0,12600.0,12600.0,12600.0,,-3287.0,1390-06-29
2011-09-21,2,3,13,0,5000,67820,72820,0,62998500,856499950,919498450,0,12599.7,12627.004257072233,12629.017251548215,,-67820.0,1390-06-30
2011-09-25,3,2,8,0,2600,17366,19966,0,32577300,217084866,249662166,0,12529.73076923077,12504.365721726936,12500.568121616952,,-17366.0,1390-07-03
2011-09-26,0,1,16,1,0,454002,451748,2254,0,5676841008,5648656992,28184016,,12504.0,12504.0,12504.0,-451748.0,1390-07-04
2011-09-27,4,1,6,0,6316,8620,14936,0,79145020,107784480,186929500,0,12530.877137428752,12515.365559721478,12504.0,,-8620.0,1390-07-05
2011-09-28,7,1,17,0,22294,6784,29078,0,280987048,85400184,366387232,0,12603.7071857899,12600.152417635323,12588.470518867924,,-6784.0,1390-07-06
2011-10-01,3,1,20,0,9434,19041,28475,0,119043250,240006915,359050165,0,12618.534025863895,12609.312203687445,12604.74318575705,,-19041.0,1390-07-09
2011-10-02,5,2,24,0,51210,1940,53150,0,650592154,24476020,675068174,0,12704.396680335873,12701.18859830668,12616.505154639177,,-1940.0,1390-07-10
2011-10-03,4,1,4,2,22050,87315,61523,47842,275857500,1091637500,769278332,598216668,12510.544217687077,12503.914503519009,12502.290557178034,12504.00627064086,-39473.0,1390-07-11
2011-10-04,2,1,10,1,1616,69925,29757,41784,20201616,874062500,371964116,522300000,12501.0,12500.05430654972,12500.0,12500.0,-28141.0,1390-07-12
2011-10-05,1,1,10,0,20,107854,107874,0,250000,1348175000,1348425000,0,12500.0,12500.0,12500.0,,-107854.0,1390-07-13
2011-10-08,4,1,8,3,4961,2029205,42714,1991452,62017000,25365062500,533925000,24893154500,12500.907075186456,12500.0,12500.0,12500.002259657776,-37753.0,1390-07-16
2011-10-09,0,1,10,1,0,181217,180569,648,0,2265212500,2257112500,8100000,,12500.0,12500.0,12500.0,-180569.0,1390-07-17
2011-10-10,2,1,10,0,2000,33285,35285,0,25002000,416062500,441064500,0,12501.0,12500.056681309336,12500.0,,-33285.0,1390-07-18
2011-10-11,8,2,9,1,34269,44186,68455,10000,429550670,552513018,857017688,125046000,12534.671860865505,12519.431568183478,12504.25514868963,12504.6,-34186.0,1390-07-19
2011-10-12,3,1,11,1,6540,85467,42007,50000,81887080,1068337500,525223580,625001000,12520.96024464832,12503.239460089984,12500.0,12500.02,-35467.0,1390-07-20
2011-10-15,1,1,13,0,4080,79825,83905,0,51004080,997812500,1048816580,0,12501.0,12500.04862642274,12500.0,,-79825.0,1390-07-23
2011-10-16,1,2,40,0,1890,289740,291630,0,23625000,3621750000,3645375000,0,12500.0,12500.0,12500.0,,-289740.0,1390-07-24
2011-10-17,1,1,12,0,100,121166,121266,0,1250100,1514575000,1515825100,0,12501.0,12500.000824633453,12500.0,,-121166.0,1390-07-25
2011-10-18,0,1,12,0,0,42709,42709,0,0,533862500,533862500,0,,12500.0,12500.0,,-42709.0,1390-07-26
2011-10-19,2,1,12,0,2894,132755,135649,0,36292350,1659437500,1695729850,0,12540.549412577748,12500.865100369336,12500.0,,-132755.0,1390-07-27
2011-10-22,3,1,6,0,7053,134942,141995,0,88191777,1686775000,1774966777,0,12504.15099957465,12500.206183316312,12500.0,,-134942.0,1390-07-30
2011-10-23,2,1,12,0,11560,97728,109288,0,144511560,1221600000,1366111560,0,12501.0,12500.105775565478,12500.0,,-97728.0,1390-08-01
2011-10-24,2,1,13,0,1754,147461,149215,0,21949700,1843262500,1865212200,0,12514.082098061574,12500.165532955802,12500.0,,-147461.0,1390-08-02
2011-10-25,0,1,7,0,0,106747,106747,0,0,1334337500,1334337500,0,,12500.0,12500.0,,-106747.0,1390-08-03
2011-10-26,0,1,8,0,0,44648,44648,0,0,558100000,558100000,0,,12500.0,12500.0,,-44648.0,1390-08-04
2011-10-29,0,1,10,1,0,244202,51202,193000,0,3052525000,640025000,2412500000,,12500.0,12500.0,12500.0,-51202.0,1390-08-07
2011-10-30,1,1,8,0,500,139275,139775,0,6250500,1740937500,1747188000,0,12501.0,12500.003577177607,12500.0,,-139275.0,1390-08-08
2011-10-31,1,0,1,0,236,0,236,0,2926400,0,2926400,0,12400.0,12400.0,,,0.0,1390-08-09
2011-11-01,4,1,6,0,2230,1464,3694,0,26884816,17245920,44130736,0,12055.971300448433,11946.598808879264,11780.0,,-1464.0,1390-08-10
2011-11-02,7,1,5,0,6618,10000,16618,0,79523513,121500000,201023513,0,12016.245542459958,12096.733241063906,12150.0,,-10000.0,1390-08-11
2011-11-06,10,0,4,0,4500,0,4500,0,53287123,0,53287123,0,11841.582888888888,11841.582888888888,,,0.0,1390-08-15
2011-11-08,6,2,8,0,7000,11665,18665,0,78754500,131245506,210000006,0,11250.642857142857,11251.004875435308,11251.22211744535,,-11665.0,1390-08-17
2011-11-09,6,1,10,0,20001,31792,51793,0,215818471,357679964,573498435,0,10790.38403079846,11072.894696194466,11250.627956718672,,-31792.0,1390-08-18
2011-11-12,4,0,5,0,21479,0,21479,0,249714854,0,249714854,0,11626.0,11626.0,,,0.0,1390-08-21
2011-11-13,1,0,1,0,6,0,6,0,69756,0,69756,0,11626.0,11626.0,,,0.0,1390-08-22
2011-11-14,1,0,1,0,50,0,50,0,599850,0,599850,0,11997.0,11997.0,,,0.0,1390-08-23
2011-11-16,3,0,3,0,455,0,455,0,5359590,0,5359590,0,11779.318681318682,11779.318681318682,,,0.0,1390-08-25
2011-11-19,5,0,9,0,55035,0,55035,0,648115305,0,648115305,0,11776.420550558736,11776.420550558736,,,0.0,1390-08-28
2011-11-20,7,2,8,0,14314,15055,29369,0,160347405,171756350,332103755,0,11202.138116529271,11307.969457591338,11408.591829956826,,-15055.0,1390-08-29
2011-11-21,7,2,5,1,7790,17510,24300,1000,86496709,195056718,270551427,11002000,11103.55699614891,11133.803580246911,11139.732609937178,11002.0,-16510.0,1390-08-30
2011-11-22,8,1,11,0,11026,42792,53818,0,119981386,454891062,574872448,0,10881.678396517324,10681.787654688023,10630.282809871003,,-42792.0,1390-09-01
2011-11-23,7,0,3,0,5075,0,5075,0,51789520,0,51789520,0,10204.831527093596,10204.831527093596,,,0.0,1390-09-02
2011-11-26,0,2,65,0,0,66547,66547,0,0,700513500,700513500,0,,10526.597742948592,10526.597742948592,,-66547.0,1390-09-05
2011-11-27,7,1,13,0,6300,56535,62835,0,67910000,604130150,672040150,0,10779.36507936508,10695.315508872443,10685.949411868754,,-56535.0,1390-09-06
2011-11-28,17,1,18,0,29114,42848,71962,0,318005534,471607202,789612736,0,10922.770282338392,10972.634668297156,11006.5161034354,,-42848.0,1390-09-07
2011-11-29,3,1,5,0,4550,11334,15884,0,52399550,130579014,182978564,0,11516.384615384615,11519.6779148829,11521.0,,-11334.0,1390-09-08
2011-11-30,4,1,4,0,1362,9348,10710,0,15778474,107170660,122949134,0,11584.78267254038,11479.844444444445,11464.554985023537,,-9348.0,1390-09-09
2011-12-03,12,1,4,1,19900,11968,15268,16600,232030700,137392640,175867340,193556000,11659.834170854272,11518.688760806916,11480.0,11660.0,4632.0,1390-09-12
2011-12-04,9,3,15,1,9360,278304,134264,153400,108350982,3210191811,1550602793,1767940000,11575.959615384616,11548.909558779718,11534.838920748534,11525.03259452412,-124904.0,1390-09-13
2011-12-07,3,1,5,0,1920,36000,37920,0,22462150,422259992,444722142,0,11699.036458333334,11727.904588607596,11729.444222222222,,-36000.0,1390-09-16
2011-12-10,0,2,10,1,0,278659,218659,60000,0,3268112752,2564432752,703680000,,11728.0,11728.0,11728.0,-218659.0,1390-09-19
