date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-07-10,117521,427,0,2,39855095,144905,0,40000000,60739164780,220835220,0,60960000000,1524.0,,1524.0,1524.0,39855095.0,1397-04-19
2018-07-11,39,0,1199,1,400969,0,400628,341,641550400,0,641004800,545600,1600.0,1600.0,,1600.0,341.0,1397-04-20
2018-07-14,14,0,441,1,146806,0,146465,341,246634080,0,246061200,572880,1680.0,1680.0,,1680.0,341.0,1397-04-23
2018-07-15,49,0,1546,2,520710,0,520030,680,918532440,0,917332920,1199520,1764.0,1764.0,,1764.0,680.0,1397-04-24
2018-07-16,122,0,4642,33,1611452,0,1600227,11225,2984409104,0,2963620404,20788700,1852.0,1852.0,,1852.0,11225.0,1397-04-25
2018-07-17,1901,5,69531,276,42456514,1822000,36063319,8215195,85304536446,3701379174,72633257364,16372658256,2009.221398770516,2014.0480515395716,2031.4924116355653,1992.9725655933912,6393195.0,1397-04-26
2018-07-29,755,3,7147,34,12540124,254814,12274397,520541,25146737182,506048569,24613733972,1039051779,2005.3021151943951,2005.2906853183908,1985.9527694710653,1996.099786568205,265727.0,1397-05-07
2018-07-30,201,1,1681,3,2672007,150000,2816513,5494,5114085634,285750000,5389355122,10480512,1913.9491902528696,1913.4849091767016,1905.0,1907.6286858390968,-144506.0,1397-05-08
2018-07-31,755,3,7782,29,12490995,370515,12552328,309182,23623371564,715839737,23738929790,600281511,1891.2321687743847,1891.1973770921215,1932.0128388864148,1941.5150655600908,-61333.0,1397-05-09
2018-08-01,435,1,2572,6,6897292,60000,6955249,2043,12687394974,108688087,12792245550,3837511,1839.4748220026063,1839.2217949350195,1811.468116666667,1878.370533529124,-57957.0,1397-05-10
