date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-05-21,375586,636,0,1,51911969,88031,0,52000000,218030269800,369730200,0,218400000000,4200.0,,4200.0,4200.0,51911969.0,1398-02-31
2019-05-22,6,0,720,1,95123,0,94984,139,419492430,0,418879440,612990,4410.0,4410.0,,4410.0,139.0,1398-03-01
2019-05-25,9,0,1290,2,174832,0,174555,277,809472160,0,808189650,1282510,4630.0,4630.0,,4630.0,277.0,1398-03-04
2019-05-26,6,0,2075,1,273578,0,273440,138,1329862658,0,1329191840,670818,4861.0,4861.0,,4861.0,138.0,1398-03-05
2019-05-28,15,0,2134,5,288107,0,287413,694,1470498128,0,1466955952,3542176,5104.0,5104.0,,5104.0,694.0,1398-03-07
2019-05-29,13,0,2634,5,355875,0,355180,695,1907134125,0,1903409620,3724505,5359.0,5359.0,,5359.0,695.0,1398-03-08
2019-06-01,14,0,4437,11,605205,0,603676,1529,3404883330,0,3396281176,8602154,5626.0,5626.0,,5626.0,1529.0,1398-03-11
2019-06-02,14,0,2258,4,304416,0,303864,552,1798185312,0,1794924648,3260664,5907.0,5907.0,,5907.0,552.0,1398-03-12
2019-06-03,18,1,3042,4,405713,5938,411098,553,2516232026,36827476,2549629796,3429706,6202.0,6202.0,6202.0,6202.0,-5385.0,1398-03-13
2019-06-08,11,0,1333,1,181861,0,181723,138,1184278832,0,1183380176,898656,6512.0,6512.0,,6512.0,138.0,1398-03-18
2019-06-11,2,0,1118,5,152929,0,152235,694,1045575573,0,1040830695,4744878,6837.0,6837.0,,6837.0,694.0,1398-03-21
2019-06-12,15,0,5266,16,715178,0,712957,2221,5133547684,0,5117605346,15942338,7178.0,7178.0,,7178.0,2221.0,1398-03-22
2019-06-15,59,1,6504,10,2187474,200000,886225,1501249,16484804064,1507200000,6678591600,11313412464,7536.0,7536.0,7536.0,7536.0,1301249.0,1398-03-25
2019-06-16,4462,5,74147,120,45859239,1379550,27666625,19572164,372834051457,11029762500,228870687741,154993126216,8129.965947690497,8272.4469551671,7995.188648472328,7919.0592422994205,18192614.0,1398-03-26
2019-06-17,1804,1,54933,81,12341502,50000,12380281,11221,104271015880,426600000,104603278817,94337063,8448.810840041999,8449.184539268535,8532.0,8407.188574993315,-38779.0,1398-03-27
2019-06-18,1961,2,19218,36,9543765,450000,8989315,1004450,84197977642,3991950000,79279831828,8910095814,8822.302062341225,8819.34072039972,8871.0,8870.621548110907,554450.0,1398-03-28
