date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-01-16,104137,506,0,2,14460084,1539916,0,16000000,50604130295,5242656300,0,55846786595,3499.5737434858606,,3404.5079731621727,3490.4241621875,14460084.0,1396-10-26
2018-01-17,40,2,1236,6,428178,30000,157528,300650,1568844192,109920000,577182592,1101581600,3664.0,3664.0,3664.0,3664.0,270650.0,1396-10-27
2018-01-20,35,0,701,1,389357,0,89357,300000,1497856379,0,343756379,1154100000,3847.0,3847.0,,3847.0,300000.0,1396-10-30
2018-01-21,79,6,4255,20,779561,70000,547091,302470,3148646879,282730000,2209700549,1221676330,4039.0,4039.0,4039.0,4039.0,232470.0,1396-11-01
2018-01-22,13,0,743,4,105445,0,104925,520,447086800,0,444882000,2204800,4240.0,4240.0,,4240.0,520.0,1396-11-02
2018-01-23,460,5,20176,152,5647658,206769,4045031,1809396,26102148874,963980888,18789286558,8276843204,4621.765141231994,4645.02906355971,4662.115152658281,4574.368023362492,1602627.0,1396-11-03
2018-01-24,570,3,27062,93,5408964,401547,5258453,552058,26054432923,1937033292,25314476000,2676990215,4816.898933511112,4814.053867173482,4823.926693512839,4849.110446728423,150511.0,1396-11-04
2018-01-27,758,3,18779,40,5591079,1426,5376495,216010,27471089271,7036088,26406332663,1071792696,4913.378843511244,4911.440011196885,4934.1430575035065,4961.773510485626,214584.0,1396-11-07
2018-01-28,375,2,8805,47,4098066,88000,3957904,228162,20706177216,445376052,19975248202,1176305066,5052.670507502808,5046.925898657471,5061.0915,5155.569577756156,140162.0,1396-11-08
2018-01-29,162,2,1371,6,1291665,50938,941833,400770,6833158932,270226090,4977305172,2126079850,5290.194386315337,5284.70033647154,5305.0,5304.987524016268,349832.0,1396-11-09
2018-01-30,201,1,1158,57,1521352,369,1043763,477958,8421502737,2047950,5768552737,2654997950,5535.538611051223,5526.688277894503,5550.0,5554.877102172158,477589.0,1396-11-10
2018-01-31,96,0,165,1,732319,0,532319,200000,4255385145,0,3092985145,1162400000,5810.835366827844,5810.397797185522,,5812.0,200000.0,1396-11-11
2018-02-03,696,3,4401,28,4948159,1570,4723580,226149,29619908933,9218950,28251243508,1377884375,5986.046311971786,5980.896588604406,5871.942675159236,6092.8165722598815,224579.0,1396-11-14
