date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-02-13,346215,849,0,1,59853154,146846,0,60000000,496781178200,1218821800,0,498000000000,8300.0,,8300.0,8300.0,59853154.0,1397-11-24
2019-02-16,9,0,808,0,123605,0,123605,0,1077217575,0,1077217575,0,8715.0,8715.0,,,0.0,1397-11-27
2019-02-17,9,0,1201,5,199274,0,198607,667,1823357100,0,1817254050,6103050,9150.0,9150.0,,9150.0,667.0,1397-11-28
2019-02-18,2649,48,92458,398,16009701,1847123,17718047,138777,153776536028,17745310661,170188855936,1332990753,9605.209743017687,9605.395895834345,9607.0,9605.271428262608,-1708346.0,1397-11-29
2019-02-19,3253,25,69357,125,16505693,969605,17459753,15545,155387957100,9096497891,164336813710,147641281,9414.203759878486,9412.32179573216,9381.653241268352,9497.670054679962,-954060.0,1397-11-30
2019-02-20,2285,9,37337,30,8858954,1088289,9904857,42386,80673930051,9876988266,90166717662,384200655,9106.484811976674,9103.28313291146,9075.7034813363,9064.32914169773,-1045903.0,1397-12-01
2019-02-23,1649,2,22608,43,7105206,510000,7607762,7444,63397962755,4611010511,67942938710,66034556,8922.748018143317,8930.739251569647,9041.197080392158,8870.843095110156,-502556.0,1397-12-04
2019-02-24,1425,3,15420,34,6587386,431268,7012840,5814,59970345765,3898753638,63816277625,52821778,9103.815347240925,9099.919237427348,9040.210815548568,9085.27313381493,-425454.0,1397-12-05
2019-02-25,684,3,11102,15,3314313,327866,3639578,2601,30332567682,2979822660,33288628174,23762168,9151.992488941149,9146.287886672577,9088.538183282197,9135.781622452903,-325265.0,1397-12-06
2019-02-26,1008,4,5776,16,3626627,799385,4423927,2085,32186779982,7111988597,39280158930,18609649,8875.128316752729,8879.025112756155,8896.825180607591,8925.491127098321,-797300.0,1397-12-07
2019-02-27,575,2,4474,8,1976293,50457,2025366,1384,17641753937,448072140,18077499010,12327067,8926.689482278185,8925.546794999027,8880.277067602117,8906.840317919075,-49073.0,1397-12-08
2019-03-02,538,3,5156,7,1941536,551127,2487793,4870,17074802970,4850180837,21882097958,42885849,8794.481776284343,8795.787253199924,8800.47763401176,8806.129158110884,-546257.0,1397-12-11
2019-03-03,538,14,5625,13,3503641,496425,3997986,2080,31559887091,4457391903,35998536793,18742201,9007.739974215394,9004.167796735657,8978.983538298837,9010.673557692307,-494345.0,1397-12-12
2019-03-04,406,2,3777,4,2088078,28494,2115880,692,18967938399,257086089,19218752892,6271596,9083.922343418206,9083.101542620563,9022.463992419456,9063.0,-27802.0,1397-12-13
2019-03-05,609,11,7397,14,10270344,923613,11187535,6422,97080816036,8751212473,105771625379,60403130,9452.537912654145,9454.41738318584,9474.97758585035,9405.65711616319,-917191.0,1397-12-14
2019-03-06,1009,5,6404,8,10292055,455297,10672638,74714,101120840247,4506595932,104897399715,730036464,9825.136014819198,9828.629033890214,9898.14545670189,9771.079904703269,-380583.0,1397-12-15
2019-03-09,595,4,3493,4,5002871,356784,5182181,177474,47947691296,3428157556,49666109752,1709739100,9584.035106241996,9584.016797560718,9608.495773353065,9633.74409772699,-179310.0,1397-12-18
2019-03-10,481,2,2142,22,2810119,148652,2935138,23633,26426646943,1406560833,27610464829,222742947,9404.10243943406,9406.871100779588,9462.105003632643,9425.081326958069,-125019.0,1397-12-19
2019-03-11,557,1,3597,9,3549578,70559,3570118,50019,33511158022,669611243,33702323920,478445345,9440.88509169259,9440.114842142471,9490.089754673394,9565.27209660329,-20540.0,1397-12-20
2019-03-12,508,3,4718,6,3122374,220000,3321510,20864,29441441795,2078654392,31320206368,199889819,9429.184907061102,9429.508376611842,9448.429054545457,9580.608656058284,-199136.0,1397-12-21
2019-03-13,522,3,8251,16,3820256,110000,3913662,16594,35510285057,1018239654,36375033208,153491503,9295.263211941818,9294.372689312464,9256.724127272728,9249.819392551524,-93406.0,1397-12-22
2019-03-16,450,3,4185,11,2203593,64600,2259525,8668,20359624274,600491492,20880311112,79804654,9239.285237337384,9241.017962624888,9295.533931888544,9206.812874942316,-55932.0,1397-12-25
2019-03-17,336,3,2150,3,1326397,152500,1478486,411,12352562016,1428291839,13777022403,3831452,9312.86938676731,9318.331322041602,9365.848124590164,9322.267639902677,-152089.0,1397-12-26
2019-03-18,442,2,1478,1,1924429,9750,1926429,7750,18059732332,90963483,18078078315,72617500,9384.462784545442,9384.24323709828,9329.588,9370.0,-2000.0,1397-12-27
2019-03-19,467,2,1482,4,3516530,5000,3401184,120346,33562245717,47375000,32476589434,1133031283,9544.13746420477,9548.612904800211,9475.0,9414.78140528144,115346.0,1397-12-28
2019-03-25,345,0,1339,5,3288805,0,2812619,476186,32757546369,0,27987454334,4770092035,9960.31882978772,9950.673850244202,,10017.287436001898,476186.0,1398-01-05
