,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
43,2020-04-11,827,1,1858,2,9124146,10000,9059146,75000,174400408728,187097636,173128706364,1458800000,19114.162435366557,19110.9301433049,18709.7636,19450.666666666668,65000.0,1399-01-23
42,2020-04-12,989,4,1597,3,7321469,493926,7759345,56050,134072571503,9079674555,142127688440,1024557618,18312.25011032622,18316.969852481103,18382.66168413892,18279.350900981262,-437876.0,1399-01-24
41,2020-04-13,476,1,496,0,2754034,11408,2765442,0,48102950340,199079440,48302029780,0,17466.360378993144,17466.296447367185,17450.86255259467,,-11408.0,1399-01-25
40,2020-04-14,570,2,1138,2,4328463,199952,4525915,2500,72138555473,3324005832,75420993305,41568000,16666.090358864105,16664.25315212504,16624.01892454189,16627.2,-197452.0,1399-01-26
39,2020-04-15,186,2,811,2,1766019,519480,2283435,2064,30549883966,9002287873,39516567069,35604770,17298.72892986995,17305.755175426497,17329.421484946484,17250.373062015504,-517416.0,1399-01-27
38,2020-04-18,57,1,238,0,146220,729034,875254,0,2651702962,13243847602,15895550564,0,18135.02230884968,18161.071602072083,18166.296224867427,,-729034.0,1399-01-30
37,2020-04-19,701,2,820,4,4251579,1096840,4947760,400659,78939814157,20728091476,92271896798,7396008835,18567.17566744026,18649.22647784048,18898.00834761679,18459.60988022233,-696181.0,1399-01-31
36,2020-04-20,428,1,503,1,2649145,332253,2956398,25000,48271534179,6026499708,53848948882,449085005,18221.552304234006,18214.37738829481,18138.285306678947,17963.4002,-307253.0,1399-02-01
35,2020-04-21,331,1,571,0,1759792,1701396,3461188,0,31624490282,30624628748,62249119030,0,17970.584183812633,17984.899702067614,17999.706563316242,,-1701396.0,1399-02-02
34,2020-04-22,244,1,643,0,1642752,1016664,2659416,0,30192358001,18962591427,49154949428,0,18379.133308618708,18483.36229758714,18651.778195155923,,-1016664.0,1399-02-03
33,2020-04-25,88,1,209,0,653504,11454,664958,0,12682552128,222287778,12904839906,0,19407.0,19407.0,19407.0,,-11454.0,1399-02-06
32,2020-04-26,302,1,567,1,2767303,1000000,3467303,300000,55769500391,20377000000,70033400391,6113100000,20153.015550158405,20198.234879097672,20377.0,20377.0,-700000.0,1399-02-07
31,2020-04-27,151,1,293,1,1215193,573373,1776364,12202,25501568542,12168116806,37410734504,258950844,20985.611785123845,21060.28635122081,21221.991279673093,21222.0,-561171.0,1399-02-08
30,2020-04-28,125,1,291,0,735340,1200000,1935340,0,16130227917,26535060499,42665288416,0,21935.741176870564,22045.37105418169,22112.55041583333,,-1200000.0,1399-02-09
29,2020-04-29,413,1,564,1,2186108,2000000,4039351,146757,49044583895,46076845654,91762094717,3359334832,22434.657343095583,22717.03912757272,23038.422827,22890.457232023004,-1853243.0,1399-02-10
