date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2012-11-19,7347,53,0,1,4573971,265881,0,4839852,8919243450,518467950,0,9437711400,1950.0,,1950.0,1950.0,4573971.0,1391-08-29
2012-11-20,73,0,17,1,176074,0,15926,160148,360423478,0,32600522,327822956,2047.0,2047.0,,2047.0,160148.0,1391-08-30
2012-11-21,2,0,6,0,1561,0,1561,0,3354589,0,3354589,0,2149.0,2149.0,,,0.0,1391-09-01
2012-11-26,53,1,24,0,93660,8000,101660,0,211296960,18048000,229344960,0,2256.0,2256.0,2256.0,,-8000.0,1391-09-06
2012-11-27,5,0,29,0,16101,0,16101,0,38127168,0,38127168,0,2368.0,2368.0,,,0.0,1391-09-07
2012-11-28,45,0,50,0,150271,0,150271,0,373573706,0,373573706,0,2486.0,2486.0,,,0.0,1391-09-08
2012-12-01,14,0,50,1,79027,0,78527,500,206260470,0,204955470,1305000,2610.0,2610.0,,2610.0,500.0,1391-09-11
2012-12-02,21,1,73,0,68868,7000,75868,0,188698320,19180000,207878320,0,2740.0,2740.0,2740.0,,-7000.0,1391-09-12
2012-12-03,22,0,101,2,165460,0,162460,3000,476028420,0,467397420,8631000,2877.0,2877.0,,2877.0,3000.0,1391-09-13
2012-12-04,112,1,151,2,398858,10000,376858,32000,1204551160,30200000,1138111160,96640000,3020.0,3020.0,3020.0,3020.0,22000.0,1391-09-14
2012-12-05,135,2,700,4,1022617,22000,1035117,9500,3242718507,69762000,3282356007,30124500,3171.0,3171.0,3171.0,3171.0,-12500.0,1391-09-15
2012-12-08,46,1,104,0,183100,10000,193100,0,609539900,33290000,642829900,0,3329.0,3329.0,3329.0,,-10000.0,1391-09-18
2012-12-09,20,0,63,0,131759,0,131759,0,460497705,0,460497705,0,3495.0,3495.0,,,0.0,1391-09-19
2012-12-10,48,0,64,0,362405,0,362405,0,1329663945,0,1329663945,0,3669.0,3669.0,,,0.0,1391-09-20
2012-12-11,115,5,524,2,1368512,110000,1476512,2000,5271508224,423720000,5687524224,7704000,3852.0,3852.0,3852.0,3852.0,-108000.0,1391-09-21
2012-12-12,461,8,3232,23,6068417,983103,6713320,338200,23126181832,3822839204,25645481236,1303539800,3810.9084843708006,3820.089201170211,3888.543930798706,3854.345949142519,-644903.0,1391-09-22
2012-12-15,127,4,634,4,1718756,189500,1848056,60200,6265527475,695948750,6740324008,221152217,3645.3850779284553,3647.250953434312,3672.552770448549,3673.6248671096346,-129300.0,1391-09-25
2012-12-16,101,3,302,7,1778604,130000,1600374,308230,6773943646,497900000,6091607746,1180235900,3808.5732664494176,3806.365103407079,3830.0,3829.075365798268,178230.0,1391-09-26
2012-12-17,229,1,296,6,3029860,13657,2271314,772203,12104727978,54614343,9070551721,3088790600,3995.14432284,3993.526091504741,3999.0,3999.972287079952,758546.0,1391-09-27
2012-12-18,198,1,183,2,1303949,5000,1297249,11700,5241015347,19900000,5213081697,47833650,4019.3407464555744,4018.566749328772,3980.0,4088.346153846154,6700.0,1391-09-28
2012-12-19,158,2,151,2,1275173,45000,1308423,11750,5093315040,182904040,5228636580,47582500,3994.2149339736648,3996.136249515638,4064.534222222222,4049.574468085106,-33250.0,1391-09-29
