date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-10-17,211624,499,0,1,32457277,76723,0,32534000,113600469500,268530500,0,113869000000,3500.0,,3500.0,3500.0,32457277.0,1397-07-25
2018-10-20,4,0,309,2,45973,0,45665,308,168950775,0,167818875,1131900,3675.0,3675.0,,3675.0,308.0,1397-07-28
2018-10-21,4,0,459,7,143220,0,68295,74925,534640260,0,254945235,279695025,3733.0,3733.0,,3733.0,74925.0,1397-07-29
2018-10-22,4,0,1018,2,155455,0,155147,308,609228145,0,608021093,1207052,3919.0,3919.0,,3919.0,308.0,1397-07-30
2018-10-23,5,0,1052,5,161385,0,160615,770,663937890,0,660770110,3167780,4114.0,4114.0,,4114.0,770.0,1397-08-01
2018-10-24,5,0,1409,5,212388,0,211618,770,917303772,0,913978142,3325630,4319.0,4319.0,,4319.0,770.0,1397-08-02
2018-10-27,6,0,1885,3,283993,0,283531,462,1287624262,0,1285529554,2094708,4534.0,4534.0,,4534.0,462.0,1397-08-05
2018-10-28,49,0,2267,11,2345339,0,343793,2001546,11163813640,0,1636454680,9527358960,4760.0,4760.0,,4760.0,2001546.0,1397-08-06
2018-10-29,6,0,1946,16,294021,0,291557,2464,1469516958,0,1457201886,12315072,4998.0,4998.0,,4998.0,2464.0,1397-08-07
2018-10-31,89,1,2363,9,4307395,50000,356313,4001082,22600901565,262350000,1869574311,20993677254,5247.0,5247.0,5247.0,5247.0,3951082.0,1397-08-09
2018-11-03,58,0,2243,4,2920019,0,419557,2500462,16086384671,0,2311339513,13775045158,5509.0,5509.0,,5509.0,2500462.0,1397-08-12
2018-11-04,60,0,2220,4,2914456,0,413993,2500463,16857213504,0,2394535512,14462677992,5784.0,5784.0,,5784.0,2500463.0,1397-08-13
2018-11-05,57,0,1940,7,2793630,0,292706,2500924,16965714990,0,1777603538,15188111452,6073.0,6073.0,,6073.0,2500924.0,1397-08-14
2018-11-06,68,2,5011,6,3168431,100300,767961,2500770,20201916056,639512800,4896519336,15944909520,6376.0,6376.0,6376.0,6376.0,2400470.0,1397-08-15
2018-11-10,3,0,635,0,116040,0,116040,0,776771760,0,776771760,0,6694.0,6694.0,,,0.0,1397-08-19
2018-11-11,55,0,16039,36,5213966,0,5158569,55397,38163074092,0,37756403413,406670679,7319.394505449402,7319.162235302077,,7341.023503077784,55397.0,1397-08-20
2018-11-12,24,0,5228,8,1182897,0,1181665,1232,9089380548,0,9079913860,9466688,7684.0,7684.0,,7684.0,1232.0,1397-08-21
2018-11-13,6,0,1934,6,288314,0,287390,924,2326117352,0,2318662520,7454832,8068.0,8068.0,,8068.0,924.0,1397-08-22
2018-11-14,2,0,635,0,97446,0,97446,0,825465066,0,825465066,0,8471.0,8471.0,,,0.0,1397-08-23
2018-11-19,2096,3,64957,207,28819428,450000,29237259,32169,264026017834,4151800000,267884260503,293557331,9161.389942715032,9162.427315878003,9226.222222222224,9125.472691100127,-417831.0,1397-08-28
2018-11-20,2976,6,33185,59,30207790,2928000,26825161,6310629,289147872431,28145484350,256625392827,60667963954,9571.963802416529,9566.59282779328,9612.52880806011,9613.616004680358,3382629.0,1397-08-29
2018-11-21,1905,6,21122,26,14487085,1975100,16408335,53850,133194650665,18061058560,150735093532,520615693,9194.027001636285,9186.495371529163,9144.376770796416,9667.886592386258,-1921250.0,1397-08-30
2018-11-24,329,2,3113,2,2058089,1150000,2927935,280154,18074763741,10038350000,25667589272,2445524469,8782.304235142406,8766.447777016907,8729.0,8729.214892523398,-869846.0,1397-09-03
2018-11-26,81,2,1403,0,213419,2150000,2363419,0,1776713175,17898750000,19675463175,0,8325.0,8325.0,8325.0,,-2150000.0,1397-09-05
2018-11-27,797,4,9914,17,8890481,1298000,10185862,2619,71918203818,10294086906,82190960684,21330040,8089.349025997581,8069.121757589098,7930.72951155624,8144.345169912181,-1295381.0,1397-09-06
