date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-09-21,37516,307,0,1,18792981,1205819,0,19998800,46982452500,3014547500,0,49997000000,2500.0,,2500.0,2500.0,18792981.0,1395-06-31
2016-09-24,3,0,35,0,12126,0,12126,0,31830750,0,31830750,0,2625.0,2625.0,,,0.0,1395-07-03
2016-09-25,3,0,47,1,20772,0,20376,396,57247632,0,56156256,1091376,2756.0,2756.0,,2756.0,396.0,1395-07-04
2016-09-26,3,0,42,0,16617,0,16617,0,48072981,0,48072981,0,2893.0,2893.0,,,0.0,1395-07-05
2016-09-27,6,0,117,0,53236,0,53236,0,161677732,0,161677732,0,3037.0,3037.0,,,0.0,1395-07-06
2016-09-28,10,0,225,3,99434,0,96434,3000,316995592,0,307431592,9564000,3188.0,3188.0,,3188.0,3000.0,1395-07-07
2016-10-01,30,0,407,0,196595,0,196595,0,658003465,0,658003465,0,3347.0,3347.0,,,0.0,1395-07-10
2016-10-02,16,0,360,2,156832,0,155282,1550,551107648,0,545660948,5446700,3514.0,3514.0,,3514.0,1550.0,1395-07-11
2016-10-03,40,0,717,15,341306,0,322606,18700,1259077834,0,1190093534,68984300,3689.0,3689.0,,3689.0,18700.0,1395-07-12
2016-10-04,993,5,15678,187,11719414,150000,11262395,607019,45387832542,580920000,43617769955,2350982587,3872.875601288597,3872.8680671384727,3872.8,3872.996705210216,457019.0,1395-07-13
2016-10-05,717,1,5855,30,5326292,30000,5135085,221207,19785883052,111340530,19081161454,816062128,3714.757480814045,3715.841403598967,3711.351,3689.1333818550047,191207.0,1395-07-14
2016-10-08,264,3,3526,10,4346958,65000,4359370,52588,15757003468,235792753,15800840711,191955510,3624.83453210268,3624.569768338085,3627.580815384616,3650.1770365862935,-12412.0,1395-07-17
2016-10-09,145,0,1003,6,1407185,0,1301480,105705,5163167002,0,4773434042,389732960,3669.145849337507,3667.6968082490703,,3686.9869921006575,105705.0,1395-07-18
2016-10-10,99,0,618,6,1369023,0,1296863,72160,5081644929,0,4814577979,267066950,3711.876958239562,3712.480022176591,,3701.0386640798224,72160.0,1395-07-19
2016-10-15,130,1,485,1,1091541,20000,1110241,1300,3965561558,71610000,4032412258,4759300,3632.993683242315,3632.0152633527314,3580.5,3661.0,-18700.0,1395-07-24
2016-10-16,132,0,426,1,996640,0,995640,1000,3510617986,0,3507126986,3491000,3522.453429523198,3522.485020690209,,3491.0,1000.0,1395-07-25
2016-10-17,106,0,479,2,859780,0,848790,10990,2994659325,0,2955280995,39378330,3483.05301937705,3481.75755487223,,3583.105550500455,10990.0,1395-07-26
2016-10-18,170,0,311,3,1137264,0,1134264,3000,3866090154,0,3855859455,10230699,3399.4658707213102,3399.4373928820805,,3410.233,3000.0,1395-07-27
2016-10-19,114,2,549,3,1261451,848166,2053117,56500,4440795615,2992312985,7240023600,193085000,3520.3869313988416,3526.3570463836204,3527.98035408163,3417.433628318584,-791666.0,1395-07-28
2016-10-22,134,0,222,3,1158207,0,1072576,85631,4105304332,0,3800045920,305258412,3544.5342084791405,3542.915299242198,,3564.811948943724,85631.0,1395-08-01
