date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-02-01,0,2,1,0,0,20,20,0,0,127300,127300,0,,6365.0,6365.0,,-20.0,1387-11-13
2009-03-16,0,1,5,0,0,20000,20000,0,0,125371884,125371884,0,,6268.5942,6268.5942,,-20000.0,1387-12-26
2009-05-30,0,1,1,0,0,500,500,0,0,3040500,3040500,0,,6081.0,6081.0,,-500.0,1388-03-09
2009-06-23,1,0,1,0,100,0,100,0,608100,0,608100,0,6081.0,6081.0,,,0.0,1388-04-02
2009-07-11,2,1,9,2,7000,64938,69908,2030,36206000,393171145,416994795,12382350,5172.285714285715,5964.908093494307,6054.5619667991,6099.679802955665,-62908.0,1388-04-20
2009-07-28,0,4,22,4,0,530000,162614,367386,0,3098407885,928645685,2169762200,,5710.736375711808,5846.052613207547,5905.94687875967,-162614.0,1388-05-06
2009-08-01,1,0,0,1,1200,0,0,1200,6805200,0,0,6805200,5671.0,,,5671.0,1200.0,1388-05-10
2009-08-03,0,1,1,0,0,600,600,0,0,3402000,3402000,0,,5670.0,5670.0,,-600.0,1388-05-12
2010-05-11,0,1,6,2,0,100765,12387,88378,0,565885600,69466474,496419126,,5608.014369903932,5615.894407780479,5616.998868496685,-12387.0,1389-02-21
2010-05-26,2,1,1,2,20010,40000,10,60000,99849900,199600000,49900,299400000,4990.0,4990.0,4990.0,4990.0,20000.0,1389-03-05
2010-07-19,6,0,15,2,174555,0,39555,135000,836907880,0,190097880,646810000,4794.522528715877,4805.912779673872,,4791.185185185185,135000.0,1389-04-28
2010-07-20,3,0,1,1,35319,0,10000,25319,163421013,0,46270000,117151013,4627.0,4627.0,,4627.0,25319.0,1389-04-29
2010-07-21,4,1,5,1,24165,15319,35319,4165,111014010,76174390,168054390,19134010,4594.0,4758.186528497409,4972.543246948234,4594.0,-11154.0,1389-04-30
2010-07-24,7,0,1,2,25900,0,1900,24000,124232500,0,9417500,114815000,4796.621621621622,4956.578947368421,,4783.958333333333,24000.0,1389-05-02
2010-07-25,1,1,4,2,10000,121877,29877,102000,48000000,592262351,148302859,491959492,4800.0,4963.780131874017,4859.508775240612,4823.132274509804,-19877.0,1389-05-03
2010-07-26,8,1,4,2,60721,5000,13721,52000,294303556,24195000,65413556,253085000,4846.816686154708,4767.404416587712,4839.0,4867.019230769231,47000.0,1389-05-04
2010-08-01,9,0,3,2,35455,0,4160,31295,172502195,0,20218880,152283315,4865.384148921167,4860.307692307692,,4866.05895510465,31295.0,1389-05-10
2010-08-03,8,1,0,1,7050,3000,0,10050,32800000,13950000,0,46750000,4652.482269503546,,4650.0,4651.741293532338,7050.0,1389-05-12
2010-08-07,7,0,0,1,21000,0,0,21000,97398000,0,0,97398000,4638.0,,,4638.0,21000.0,1389-05-16
2010-08-10,7,1,1,1,154000,1000,1425,153575,711326000,4619000,6582075,709362925,4619.0,4619.0,4619.0,4619.0,152575.0,1389-05-19
