date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-08,1,1,0,1,77,1000,0,1077,1699621,22073000,0,23772621,22073.0,,22073.0,22073.0,77.0,1387-09-18
2008-12-10,0,1,0,1,0,1000,0,1000,0,22060000,0,22060000,,,22060.0,22060.0,0.0,1387-09-20
2008-12-28,0,1,0,1,0,1000,0,1000,0,22049000,0,22049000,,,22049.0,22049.0,0.0,1387-10-08
2009-01-12,0,1,0,1,0,1000,0,1000,0,22037000,0,22037000,,,22037.0,22037.0,0.0,1387-10-23
2009-01-26,0,1,0,1,0,1000,0,1000,0,22025000,0,22025000,,,22025.0,22025.0,0.0,1387-11-07
2009-03-01,0,1,0,1,0,1000,0,1000,0,22014000,0,22014000,,,22014.0,22014.0,0.0,1387-12-11
2009-03-18,1,0,0,1,15,0,0,15,330030,0,0,330030,22002.0,,,22002.0,15.0,1387-12-28
2009-05-06,0,1,1,1,0,2127,2042,85,0,46798254,44928084,1870170,,22002.0,22002.0,22002.0,-2042.0,1388-02-16
2009-06-17,0,1,2,0,0,6915,6915,0,0,138134200,138134200,0,,19976.023138105567,19976.023138105567,,-6915.0,1388-03-27
2009-07-04,0,1,1,1,0,6767,257,6510,0,138923139,4979889,133943250,,19377.0,20529.501847199645,20575.0,-257.0,1388-04-13
2009-09-01,1,0,2,0,514,0,514,0,10302102,0,10302102,0,20043.0,20043.0,,,0.0,1388-06-10
2009-09-02,2,0,3,0,928,0,928,0,18351090,0,18351090,0,19774.881465517243,19774.881465517243,,,0.0,1388-06-11
2009-09-19,1,0,2,0,644,0,644,0,12518072,0,12518072,0,19438.0,19438.0,,,0.0,1388-06-28
2010-05-03,1,0,1,0,49,0,49,0,414050,0,414050,0,8450.0,8450.0,,,0.0,1389-02-13
2010-05-26,1,0,0,1,2339,0,0,2339,19647600,0,0,19647600,8400.0,,,8400.0,2339.0,1389-03-05
2010-05-29,3,0,0,1,3208,0,0,3208,28050752,0,0,28050752,8744.0,,,8744.0,3208.0,1389-03-08
2010-05-30,2,0,0,1,1456,0,0,1456,12742912,0,0,12742912,8752.0,,,8752.0,1456.0,1389-03-09
2010-05-31,3,0,0,1,6541,0,0,6541,57256832,0,0,57256832,8753.528818223513,,,8753.528818223513,6541.0,1389-03-10
2010-06-01,1,0,0,1,8024,0,0,8024,70266168,0,0,70266168,8757.0,,,8757.0,8024.0,1389-03-11
2010-06-08,2,0,1,0,1155,0,1155,0,10158225,0,10158225,0,8795.0,8795.0,,,0.0,1389-03-18
2010-06-16,4,0,0,1,21288,0,0,21288,187291824,0,0,187291824,8798.0,,,8798.0,21288.0,1389-03-26
2010-07-19,5,0,1,1,21700,0,1700,20000,192943400,0,14963400,177980000,8891.400921658986,8802.0,,8899.0,20000.0,1389-04-28
2010-07-20,3,0,0,1,4326,0,0,4326,38497074,0,0,38497074,8899.0,,,8899.0,4326.0,1389-04-29
2010-07-21,5,0,1,1,2630,0,2079,551,23449978,0,18503100,4946878,8916.341444866921,8900.0,,8978.0,551.0,1389-04-30
2010-07-25,1,0,1,0,2200,0,2200,0,19751600,0,19751600,0,8978.0,8978.0,,,0.0,1389-05-03
2010-07-28,2,0,1,1,36108,0,641,35467,324667624,0,5754898,318912726,8991.570399911378,8978.0,,8991.815659627258,35467.0,1389-05-06
2010-08-01,4,1,1,1,12119,10000,551,21568,101896552,84080000,4632808,181343744,8408.0,8408.0,8408.0,8408.0,11568.0,1389-05-10
2010-08-02,1,0,1,0,2301,0,2301,0,20778030,0,20778030,0,9030.0,9030.0,,,0.0,1389-05-11
2010-08-03,6,0,2,2,27000,0,8000,19000,243725000,0,72338000,171387000,9026.851851851852,9042.25,,9020.368421052632,19000.0,1389-05-12
2010-08-04,3,0,0,1,50000,0,0,50000,456350000,0,0,456350000,9127.0,,,9127.0,50000.0,1389-05-13
2010-08-07,1,0,0,1,5000,0,0,5000,45000000,0,0,45000000,9000.0,,,9000.0,5000.0,1389-05-16
2010-08-08,4,1,1,1,4127,20,57,4090,37473154,185820,529644,37129330,9079.998546159435,9292.0,9291.0,9078.075794621029,4070.0,1389-05-17
2010-08-09,1,0,0,1,1113,0,0,1113,9951333,0,0,9951333,8941.0,,,8941.0,1113.0,1389-05-18
2010-08-21,1,0,1,0,2000,0,2000,0,17882000,0,17882000,0,8941.0,8941.0,,,0.0,1389-05-30
2010-08-31,1,0,1,0,100,0,100,0,858400,0,858400,0,8584.0,8584.0,,,0.0,1389-06-09
2010-09-04,0,1,3,2,0,20000,2630,17370,0,182011830,23932500,158079330,,9099.80988593156,9100.5915,9100.709844559586,-2630.0,1389-06-13
2010-09-07,1,0,0,1,4000,0,0,4000,36396000,0,0,36396000,9099.0,,,9099.0,4000.0,1389-06-16
2010-09-08,2,0,1,0,3985,0,3985,0,36263500,0,36263500,0,9100.0,9100.0,,,0.0,1389-06-17
2010-09-13,1,0,1,0,750,0,750,0,6750000,0,6750000,0,9000.0,9000.0,,,0.0,1389-06-22
2010-09-14,1,0,1,0,200,0,200,0,1723800,0,1723800,0,8619.0,8619.0,,,0.0,1389-06-23
2010-09-15,2,0,1,0,2235,0,2235,0,19263465,0,19263465,0,8619.0,8619.0,,,0.0,1389-06-24
2010-09-18,3,0,2,1,815,0,110,705,7301295,0,957000,6344295,8958.64417177914,8700.0,,8999.0,705.0,1389-06-27
2010-09-22,1,0,1,0,577,0,577,0,4969124,0,4969124,0,8612.0,8612.0,,,0.0,1389-06-31
2010-10-10,0,1,6,1,0,19404,4404,15000,0,167068440,37918440,129150000,,8610.0,8610.0,8610.0,-4404.0,1389-07-18
2010-10-20,0,1,3,0,0,21800,21800,0,0,186390000,186390000,0,,8550.0,8550.0,,-21800.0,1389-07-28
2010-10-23,0,1,0,1,0,30000,0,30000,0,254520000,0,254520000,,,8484.0,8484.0,0.0,1389-08-01
2010-10-24,0,1,1,0,0,21796,21796,0,0,182933828,182933828,0,,8393.0,8393.0,,-21796.0,1389-08-02
2010-10-26,1,0,0,1,4000,0,0,4000,33312000,0,0,33312000,8328.0,,,8328.0,4000.0,1389-08-04
2010-11-29,1,0,1,0,5000,0,5000,0,41580000,0,41580000,0,8316.0,8316.0,,,0.0,1389-09-08
2010-12-11,2,0,1,0,1113,0,1113,0,9240126,0,9240126,0,8302.0,8302.0,,,0.0,1389-09-20
2010-12-12,1,0,1,0,12000,0,12000,0,99588000,0,99588000,0,8299.0,8299.0,,,0.0,1389-09-21
2010-12-13,1,0,1,1,10000,0,91,9909,82630000,0,751933,81878067,8263.0,8263.0,,8263.0,9909.0,1389-09-22
2010-12-14,1,0,2,0,2000,0,2000,0,16466000,0,16466000,0,8233.0,8233.0,,,0.0,1389-09-23
