date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-20,0,1,1,0,0,1500,1500,0,0,8673000,8673000,0,,5782.0,5782.0,,-1500.0,1387-09-30
2008-12-27,0,1,1,0,0,8500,8500,0,0,49138500,49138500,0,,5781.0,5781.0,,-8500.0,1387-10-07
2008-12-30,1,0,1,0,945,0,945,0,5455485,0,5455485,0,5773.0,5773.0,,,0.0,1387-10-10
2009-02-25,0,1,1,0,0,1000,1000,0,0,5772000,5772000,0,,5772.0,5772.0,,-1000.0,1387-12-07
2009-04-13,1,1,1,0,517,50,567,0,2983607,288550,3272157,0,5771.0,5771.0,5771.0,,-50.0,1388-01-24
2009-04-25,6,1,13,0,82585,9460,92045,0,255747030,28380000,284127030,0,3096.773384997276,3086.827421369982,3000.0,,-9460.0,1388-02-05
2009-04-26,6,0,11,0,39282,0,39282,0,119642304,0,119642304,0,3045.728425232931,3045.728425232931,,,0.0,1388-02-06
2009-04-27,1,0,2,0,442,0,442,0,1401140,0,1401140,0,3170.0,3170.0,,,0.0,1388-02-07
2009-04-28,5,0,1,0,50000,0,50000,0,158500000,0,158500000,0,3170.0,3170.0,,,0.0,1388-02-08
2009-04-29,4,0,3,0,16400,0,16400,0,52414400,0,52414400,0,3196.0,3196.0,,,0.0,1388-02-09
2009-05-02,3,0,2,0,25191,0,25191,0,80711964,0,80711964,0,3204.0,3204.0,,,0.0,1388-02-12
2009-05-03,6,0,2,0,9500,0,9500,0,30553000,0,30553000,0,3216.1052631578946,3216.1052631578946,,,0.0,1388-02-13
2009-05-04,4,0,1,0,16000,0,16000,0,51552000,0,51552000,0,3222.0,3222.0,,,0.0,1388-02-14
2009-05-05,7,0,2,0,29585,0,29585,0,95589135,0,95589135,0,3231.0,3231.0,,,0.0,1388-02-15
2009-05-06,4,0,3,3,11486,0,3375,8111,36369293,0,10897475,25471818,3166.401967612746,3228.8814814814814,,3140.4041425225005,8111.0,1388-02-16
2009-05-17,8,0,7,0,34757,0,34757,0,80968045,0,80968045,0,2329.546422303421,2329.546422303421,,,0.0,1388-02-27
2009-05-18,4,1,5,1,10527,1177480,10527,1177480,24418490,2743528400,24418490,2743528400,2319.605775624585,2319.605775624585,2330.0,2330.0,0.0,1388-02-28
2009-05-19,1,0,3,0,10000,0,10000,0,23700000,0,23700000,0,2370.0,2370.0,,,0.0,1388-02-29
2009-05-20,1,0,1,0,2572,0,2572,0,6095640,0,6095640,0,2370.0,2370.0,,,0.0,1388-02-30
2009-05-24,5,0,3,0,20190,0,20190,0,48052200,0,48052200,0,2380.0,2380.0,,,0.0,1388-03-03
2009-05-25,5,0,2,1,16316,0,800,15516,38108421,0,1904250,36204171,2335.6472787447906,2380.3125,,2333.344354215004,15516.0,1388-03-04
2009-05-26,1,0,1,0,600,0,600,0,1410000,0,1410000,0,2350.0,2350.0,,,0.0,1388-03-05
2009-06-01,1,0,1,0,2000,0,2000,0,4798000,0,4798000,0,2399.0,2399.0,,,0.0,1388-03-11
2009-06-02,2,0,0,1,23000,0,0,23000,55407000,0,0,55407000,2409.0,,,2409.0,23000.0,1388-03-12
2009-06-03,3,0,0,1,30000,0,0,30000,72540000,0,0,72540000,2418.0,,,2418.0,30000.0,1388-03-13
2009-06-06,3,0,0,1,50000,0,0,50000,121450000,0,0,121450000,2429.0,,,2429.0,50000.0,1388-03-16
2009-06-07,2,0,1,1,35000,0,5000,30000,85715000,0,12245000,73470000,2449.0,2449.0,,2449.0,30000.0,1388-03-17
2009-06-08,10,0,0,1,40000,0,0,40000,98480000,0,0,98480000,2462.0,,,2462.0,40000.0,1388-03-18
2009-06-09,1,0,2,0,4165,0,4165,0,10320870,0,10320870,0,2478.0,2478.0,,,0.0,1388-03-19
2009-06-13,6,0,3,0,22457,0,22457,0,55689298,0,55689298,0,2479.8191209867746,2479.8191209867746,,,0.0,1388-03-23
2009-06-14,3,0,3,0,26000,0,26000,0,64705000,0,64705000,0,2488.653846153846,2488.653846153846,,,0.0,1388-03-24
2009-06-15,3,0,2,0,32500,0,32500,0,81217500,0,81217500,0,2499.0,2499.0,,,0.0,1388-03-25
2009-06-17,1,0,3,0,9000,0,9000,0,22600000,0,22600000,0,2511.1111111111118,2511.1111111111118,,,0.0,1388-03-27
2009-06-20,2,0,1,0,20000,0,20000,0,48860000,0,48860000,0,2443.0,2443.0,,,0.0,1388-03-30
2009-06-23,3,1,0,1,3569,7273212,0,7276781,8906604,17244785652,0,17253692256,2495.5460913421125,,2371.0,2371.061085389268,3569.0,1388-04-02
2009-06-27,3,0,2,1,9421,0,8698,723,23006082,0,21240516,1765566,2442.0,2442.0,,2442.0,723.0,1388-04-06
2009-06-29,1,0,1,0,290,0,290,0,709340,0,709340,0,2446.0,2446.0,,,0.0,1388-04-08
2009-06-30,1,1,1,0,918,8224,9142,0,2245428,20115904,22361332,0,2446.0,2446.0,2446.0,,-8224.0,1388-04-09
2009-07-11,1,0,3,0,5900,0,5900,0,14449100,0,14449100,0,2449.0,2449.0,,,0.0,1388-04-20
2009-07-12,0,1,1,0,0,4991,4991,0,0,12232941,12232941,0,,2451.0,2451.0,,-4991.0,1388-04-21
2009-07-14,1,0,2,0,5791,0,5791,0,14205323,0,14205323,0,2453.0,2453.0,,,0.0,1388-04-23
2009-07-19,1,0,1,0,1600,0,1600,0,3928000,0,3928000,0,2455.0,2455.0,,,0.0,1388-04-28
2009-07-26,1,0,1,0,3341,0,3341,0,8205496,0,8205496,0,2456.0,2456.0,,,0.0,1388-05-04
2009-08-01,1,0,3,0,5411,0,5411,0,13294827,0,13294827,0,2457.0,2457.0,,,0.0,1388-05-10
2009-08-02,1,0,1,0,1000,0,1000,0,2459000,0,2459000,0,2459.0,2459.0,,,0.0,1388-05-11
2009-08-04,1,0,0,1,10,0,0,10,24590,0,0,24590,2459.0,,,2459.0,10.0,1388-05-13
2009-08-05,1,0,1,0,2,0,2,0,5064,0,5064,0,2532.0,2532.0,,,0.0,1388-05-14
2009-08-08,1,0,0,1,10,0,0,10,25320,0,0,25320,2532.0,,,2532.0,10.0,1388-05-17
2009-08-09,1,0,0,1,10,0,0,10,26070,0,0,26070,2607.0,,,2607.0,10.0,1388-05-18
2009-08-10,1,0,0,1,10,0,0,10,26850,0,0,26850,2685.0,,,2685.0,10.0,1388-05-19
2009-08-11,1,0,1,0,10,0,10,0,27650,0,27650,0,2765.0,2765.0,,,0.0,1388-05-20
2009-08-12,1,0,1,0,10,0,10,0,28470,0,28470,0,2847.0,2847.0,,,0.0,1388-05-21
2009-08-16,1,0,1,0,100,0,100,0,293200,0,293200,0,2932.0,2932.0,,,0.0,1388-05-25
2009-08-18,1,0,0,1,10,0,0,10,30190,0,0,30190,3019.0,,,3019.0,10.0,1388-05-27
2009-08-22,1,0,1,0,669,0,669,0,2079921,0,2079921,0,3109.0,3109.0,,,0.0,1388-05-31
2009-08-23,1,0,1,0,100,0,100,0,320200,0,320200,0,3202.0,3202.0,,,0.0,1388-06-01
2009-08-25,1,0,1,0,100,0,100,0,320200,0,320200,0,3202.0,3202.0,,,0.0,1388-06-03
2009-08-26,1,0,1,0,10,0,10,0,32980,0,32980,0,3298.0,3298.0,,,0.0,1388-06-04
2009-08-29,0,1,1,0,0,10,10,0,0,33960,33960,0,,3396.0,3396.0,,-10.0,1388-06-07
2009-09-06,9,1,11,2,53005,50000,79288,23717,235873891,225000000,354153772,106720119,4450.030959343459,4466.675562506306,4500.0,4499.730952481343,-26283.0,1388-06-15
2009-09-07,9,0,9,0,29533,0,29533,0,128219304,0,128219304,0,4341.56042393255,4341.56042393255,,,0.0,1388-06-16
2009-09-08,5,0,4,0,31010,0,31010,0,134118250,0,134118250,0,4325.0,4325.0,,,0.0,1388-06-17
2009-09-09,7,1,10,0,36365,30000,66365,0,157891820,129240000,287131820,0,4341.862230166369,4326.554961199427,4308.0,,-30000.0,1388-06-18
2009-09-14,0,1,4,0,0,10000,10000,0,0,44382632,44382632,0,,4438.2632,4438.2632,,-10000.0,1388-06-23
2009-09-15,3,0,3,0,6785,0,6785,0,29242636,0,29242636,0,4309.894767870303,4309.894767870303,,,0.0,1388-06-24
2009-09-16,1,0,1,0,210,0,210,0,913500,0,913500,0,4350.0,4350.0,,,0.0,1388-06-25
2009-09-19,1,0,2,0,465,0,465,0,2047250,0,2047250,0,4402.688172043011,4402.688172043011,,,0.0,1388-06-28
2009-09-21,3,0,4,0,12102,0,12102,0,53346753,0,53346753,0,4408.09395141299,4408.09395141299,,,0.0,1388-06-30
2009-09-22,1,0,0,1,10,0,0,10,42760,0,0,42760,4276.0,,,4276.0,10.0,1388-06-31
2009-09-23,1,0,1,0,1186,0,1186,0,5071336,0,5071336,0,4276.0,4276.0,,,0.0,1388-07-01
2009-09-26,2,0,1,0,2000,0,2000,0,8808660,0,8808660,0,4404.33,4404.33,,,0.0,1388-07-04
2009-09-27,1,0,1,0,8660,0,8660,0,38104000,0,38104000,0,4400.0,4400.0,,,0.0,1388-07-05
2010-03-27,3,0,5,0,68613,0,68613,0,242490020,0,242490020,0,3534.170200982321,3534.170200982321,,,0.0,1389-01-07
2010-03-28,7,1,5,1,26480,5000,31140,340,94586560,17860000,111232080,1214480,3572.0,3572.0,3572.0,3572.0,-4660.0,1389-01-08
