,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
1036,2013-11-12,1,0,2,0,39233,0,39233,0,39233000,0,39233000,0,1000.0,1000.0,,,0.0,1392-08-21
1035,2013-12-08,1,0,1,0,7000,0,7000,0,8400000,0,8400000,0,1200.0,1200.0,,,0.0,1392-09-17
1034,2013-12-11,1,0,2,0,33511,0,33511,0,40209700,0,40209700,0,1199.8955566828802,1199.8955566828802,,,0.0,1392-09-20
1033,2013-12-22,3,0,4,0,38741,0,38741,0,57401436,0,57401436,0,1481.671510802509,1481.671510802509,,,0.0,1392-10-01
1032,2013-12-25,2,0,2,0,26666,0,26666,0,36215698,0,36215698,0,1358.1226280657015,1358.1226280657015,,,0.0,1392-10-04
1031,2013-12-29,1,0,1,0,5400,0,5400,0,8370000,0,8370000,0,1550.0,1550.0,,,0.0,1392-10-08
1030,2014-01-01,3,0,4,0,17850,0,17850,0,28231250,0,28231250,0,1581.5826330532211,1581.5826330532211,,,0.0,1392-10-11
1029,2014-01-04,1,0,3,0,54647,0,54647,0,107244706,0,107244706,0,1962.4994235731149,1962.4994235731149,,,0.0,1392-10-14
1028,2014-01-05,2,0,1,0,19964,0,19964,0,39908036,0,39908036,0,1999.0,1999.0,,,0.0,1392-10-15
1027,2014-01-07,8,0,5,0,84719,0,84719,0,170388000,0,170388000,0,2011.2135412363225,2011.2135412363225,,,0.0,1392-10-17
1026,2014-01-11,8,0,8,0,118836,0,118836,0,251731964,0,251731964,0,2118.3140125887776,2118.3140125887776,,,0.0,1392-10-21
1025,2014-01-12,1,0,1,0,14811,0,14811,0,29622000,0,29622000,0,2000.0,2000.0,,,0.0,1392-10-22
1024,2014-01-26,3,0,3,0,62656,0,62656,0,136730200,0,136730200,0,2182.2363381001023,2182.2363381001023,,,0.0,1392-11-06
1023,2014-01-29,4,0,4,0,12055,0,12055,0,27520700,0,27520700,0,2282.928245541269,2282.928245541269,,,0.0,1392-11-09
1022,2014-02-01,1,0,1,0,50000,0,50000,0,100000000,0,100000000,0,2000.0,2000.0,,,0.0,1392-11-12
1021,2014-02-03,4,0,3,0,15936,0,15936,0,25844447,0,25844447,0,1621.7649974899598,1621.7649974899598,,,0.0,1392-11-14
1020,2014-02-10,4,0,2,0,10669,0,10669,0,17099069,0,17099069,0,1602.687130940107,1602.687130940107,,,0.0,1392-11-21
1019,2014-02-12,1,0,1,0,5000,0,5000,0,8000000,0,8000000,0,1600.0,1600.0,,,0.0,1392-11-23
1018,2014-02-16,1,0,2,0,10000,0,10000,0,16000000,0,16000000,0,1600.0,1600.0,,,0.0,1392-11-27
1017,2014-02-17,4,0,4,0,49149,0,49149,0,77946844,0,77946844,0,1585.9293983600887,1585.9293983600887,,,0.0,1392-11-28
1016,2014-02-18,2,0,2,0,1717,0,1717,0,2691265,0,2691265,0,1567.422830518346,1567.422830518346,,,0.0,1392-11-29
1015,2014-02-23,3,0,3,0,20399,0,20399,0,31744115,0,31744115,0,1556.160350997598,1556.160350997598,,,0.0,1392-12-04
1014,2014-02-26,1,0,1,0,20000,0,20000,0,28000000,0,28000000,0,1400.0,1400.0,,,0.0,1392-12-07
1013,2014-03-04,2,0,2,0,22000,0,22000,0,28600000,0,28600000,0,1300.0,1300.0,,,0.0,1392-12-13
1012,2014-03-08,1,0,1,0,10000,0,10000,0,13900000,0,13900000,0,1390.0,1390.0,,,0.0,1392-12-17
1011,2014-03-09,2,0,2,0,21991,0,21991,0,28590291,0,28590291,0,1300.0905370378791,1300.0905370378791,,,0.0,1392-12-18
1010,2014-03-11,1,0,1,0,253,0,253,0,329153,0,329153,0,1301.0,1301.0,,,0.0,1392-12-20
1009,2014-03-26,3,0,3,0,9812,0,9812,0,12755875,0,12755875,0,1300.0280269058296,1300.0280269058296,,,0.0,1393-01-06
1008,2014-04-07,3,0,2,0,31534,0,31534,0,40941970,0,40941970,0,1298.3436925223568,1298.3436925223568,,,0.0,1393-01-18
1007,2014-04-09,2,0,2,0,11000,0,11000,0,14380000,0,14380000,0,1307.2727272727273,1307.2727272727273,,,0.0,1393-01-20
1006,2014-04-12,3,0,2,0,20800,0,20800,0,29120000,0,29120000,0,1400.0,1400.0,,,0.0,1393-01-23
1005,2014-04-13,5,0,2,0,38000,0,38000,0,49267303,0,49267303,0,1296.5079736842106,1296.5079736842106,,,0.0,1393-01-24
1004,2014-04-26,3,0,3,0,28416,0,28416,0,36108428,0,36108428,0,1270.7076295045044,1270.7076295045044,,,0.0,1393-02-06
1003,2014-04-27,1,0,1,0,13000,0,13000,0,18200000,0,18200000,0,1400.0,1400.0,,,0.0,1393-02-07
1002,2014-04-28,3,0,9,0,93058,0,93058,0,128456560,0,128456560,0,1380.3924434223818,1380.3924434223818,,,0.0,1393-02-08
1001,2014-04-29,2,0,5,0,58491,0,58491,0,84586050,0,84586050,0,1446.1378673642098,1446.1378673642098,,,0.0,1393-02-09
1000,2014-04-30,3,0,2,0,23516,0,23516,0,38372053,0,38372053,0,1631.7423456370132,1631.7423456370132,,,0.0,1393-02-10
999,2014-05-03,1,0,1,0,7000,0,7000,0,11900000,0,11900000,0,1700.0,1700.0,,,0.0,1393-02-13
998,2014-05-04,2,0,5,0,82000,0,82000,0,130900000,0,130900000,0,1596.341463414634,1596.341463414634,,,0.0,1393-02-14
997,2014-05-05,2,0,3,0,50599,0,50599,0,79136520,0,79136520,0,1563.9937548172888,1563.9937548172888,,,0.0,1393-02-15
