date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-12-11,1,0,2,0,18351,0,18351,0,34866900,0,34866900,0,1900.0,1900.0,,,0.0,1392-09-20
2013-12-22,2,1,2,0,18254,1000,19254,0,33769900,1900000,35669900,0,1850.0,1852.5968629895087,1900.0,,-1000.0,1392-10-01
2014-01-04,3,0,3,0,21784,0,21784,0,40300400,0,40300400,0,1850.0,1850.0,,,0.0,1392-10-14
2014-01-07,2,0,2,0,8431,0,8431,0,15597850,0,15597850,0,1850.0593049460324,1850.0593049460324,,,0.0,1392-10-17
2014-01-13,1,0,1,0,15475,0,15475,0,27855000,0,27855000,0,1800.0,1800.0,,,0.0,1392-10-23
2014-01-21,1,0,2,0,5000,0,5000,0,7000000,0,7000000,0,1400.0,1400.0,,,0.0,1392-11-01
2014-02-01,2,0,1,0,5475,0,5475,0,5480600,0,5480600,0,1001.0228310502284,1001.0228310502284,,,0.0,1392-11-12
2014-02-02,1,0,1,0,8156,0,8156,0,8563800,0,8563800,0,1050.0,1050.0,,,0.0,1392-11-13
2014-02-03,3,0,3,0,211905,0,211905,0,233201045,0,233201045,0,1100.4980769684528,1100.4980769684528,,,0.0,1392-11-14
2014-02-05,1,0,1,0,2124,0,2124,0,2867400,0,2867400,0,1350.0,1350.0,,,0.0,1392-11-16
2014-02-08,2,0,2,0,5143,0,5143,0,6451600,0,6451600,0,1254.4429321407738,1254.4429321407738,,,0.0,1392-11-19
2014-02-10,2,0,1,0,235000,0,235000,0,282000000,0,282000000,0,1200.0,1200.0,,,0.0,1392-11-21
2014-02-17,6,0,4,0,138749,0,138749,0,161462750,0,161462750,0,1163.7038825505049,1163.7038825505049,,,0.0,1392-11-28
2014-02-18,5,0,4,0,138779,0,138779,0,157127175,0,157127175,0,1132.211465711671,1132.211465711671,,,0.0,1392-11-29
2014-02-19,7,0,2,0,99683,0,99683,0,113188625,0,113188625,0,1135.4857397951507,1135.4857397951507,,,0.0,1392-11-30
2014-02-23,3,0,1,0,12965,0,12965,0,13725865,0,13725865,0,1058.686077902044,1058.686077902044,,,0.0,1392-12-04
2014-02-24,3,0,4,0,35390,0,35390,0,40961035,0,40961035,0,1157.4183385137044,1157.4183385137044,,,0.0,1392-12-05
2014-02-26,2,0,2,0,18665,0,18665,0,19411600,0,19411600,0,1040.0,1040.0,,,0.0,1392-12-07
2014-03-02,1,0,1,0,15000,0,15000,0,15600000,0,15600000,0,1040.0,1040.0,,,0.0,1392-12-11
2014-03-04,3,0,2,0,58565,0,58565,0,64421500,0,64421500,0,1100.0,1100.0,,,0.0,1392-12-13
2014-03-09,105,0,195,0,10016264,0,10016264,0,11017320250,0,11017320250,0,1099.943077578626,1099.943077578626,,,0.0,1392-12-18
2014-03-10,37,0,35,0,1006782,0,1006782,0,1107167500,0,1107167500,0,1099.7092717192004,1099.7092717192004,,,0.0,1392-12-19
2014-03-11,5,0,3,0,90100,0,90100,0,98809080,0,98809080,0,1096.660155382908,1096.660155382908,,,0.0,1392-12-20
2014-03-12,1,0,1,0,9803,0,9803,0,9999060,0,9999060,0,1020.0,1020.0,,,0.0,1392-12-21
2014-03-16,1,0,2,0,15000,0,15000,0,16433000,0,16433000,0,1095.5333333333333,1095.5333333333333,,,0.0,1392-12-25
2014-03-18,1,0,1,0,3249,0,3249,0,3573900,0,3573900,0,1100.0,1100.0,,,0.0,1392-12-27
2014-03-19,3,0,2,0,20000,0,20000,0,21200000,0,21200000,0,1060.0,1060.0,,,0.0,1392-12-28
2014-03-25,3,0,5,0,99303,0,99303,0,109233300,0,109233300,0,1100.0,1100.0,,,0.0,1393-01-05
2014-03-30,1,0,1,0,2640,0,2640,0,2719200,0,2719200,0,1030.0,1030.0,,,0.0,1393-01-10
2014-03-31,2,0,3,0,12500,0,12500,0,13729700,0,13729700,0,1098.376,1098.376,,,0.0,1393-01-11
2014-04-08,6,0,7,0,510571,0,510571,0,561628100,0,561628100,0,1100.0,1100.0,,,0.0,1393-01-19
2014-04-09,1,0,4,0,60000,0,60000,0,66000000,0,66000000,0,1100.0,1100.0,,,0.0,1393-01-20
2014-04-13,9,0,2,0,90770,0,90770,0,93794246,0,93794246,0,1033.3176820535418,1033.3176820535418,,,0.0,1393-01-24
2014-04-14,2,0,1,0,17014,0,17014,0,17405322,0,17405322,0,1023.0,1023.0,,,0.0,1393-01-25
2014-04-15,2,0,3,0,80725,0,80725,0,81712250,0,81712250,0,1012.2297925054196,1012.2297925054196,,,0.0,1393-01-26
2014-04-16,8,0,2,0,225229,0,225229,0,227342704,0,227342704,0,1009.3846884726212,1009.3846884726212,,,0.0,1393-01-27
2014-04-19,5,0,4,0,110700,0,110700,0,112299000,0,112299000,0,1014.4444444444443,1014.4444444444443,,,0.0,1393-01-30
2014-04-20,1,0,1,0,960,0,960,0,970560,0,970560,0,1011.0,1011.0,,,0.0,1393-01-31
2014-04-21,2,0,2,0,6385,0,6385,0,6352650,0,6352650,0,994.9334377447142,994.9334377447142,,,0.0,1393-02-01
2014-04-23,3,0,1,0,92540,0,92540,0,93557940,0,93557940,0,1011.0,1011.0,,,0.0,1393-02-03
2014-04-26,3,0,3,0,32273,0,32273,0,32177167,0,32177167,0,997.0305518544914,997.0305518544914,,,0.0,1393-02-06
2014-04-27,5,0,6,0,207096,0,207096,0,210673080,0,210673080,0,1017.2725692432496,1017.2725692432496,,,0.0,1393-02-07
2014-04-28,1,0,2,0,19574,0,19574,0,19830910,0,19830910,0,1013.1250638602228,1013.1250638602228,,,0.0,1393-02-08
2014-04-29,2,0,2,0,30100,0,30100,0,30092000,0,30092000,0,999.7342192691028,999.7342192691028,,,0.0,1393-02-09
2014-04-30,1,0,1,0,5000,0,5000,0,5250000,0,5250000,0,1050.0,1050.0,,,0.0,1393-02-10
2014-05-03,5,0,4,0,54093,0,54093,0,54541105,0,54541105,0,1008.2839738968072,1008.2839738968072,,,0.0,1393-02-13
2014-05-04,2,0,1,0,39905,0,39905,0,41800250,0,41800250,0,1047.4940483648666,1047.4940483648666,,,0.0,1393-02-14
2014-05-05,1,0,1,0,10000,0,10000,0,10100000,0,10100000,0,1010.0,1010.0,,,0.0,1393-02-15
2014-05-06,3,0,1,0,56345,0,56345,0,56558450,0,56558450,0,1003.7882687017482,1003.7882687017482,,,0.0,1393-02-16
