date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-03,1,1,1,1,10,10,10,10,42480,43790,42480,43790,4248.0,4248.0,4379.0,4379.0,0.0,1387-09-13
2008-12-07,2,0,2,0,8370,0,8370,0,35555760,0,35555760,0,4248.0,4248.0,,,0.0,1387-09-17
2008-12-10,1,0,1,0,8360,0,8360,0,35488200,0,35488200,0,4245.0,4245.0,,,0.0,1387-09-20
2009-01-10,1,0,1,0,1640,0,1640,0,6956880,0,6956880,0,4242.0,4242.0,,,0.0,1387-10-21
2009-02-09,3,0,1,0,300,0,300,0,1272300,0,1272300,0,4241.0,4241.0,,,0.0,1387-11-21
2009-03-11,1,0,1,0,100,0,100,0,424100,0,424100,0,4241.0,4241.0,,,0.0,1387-12-21
2009-03-14,1,0,1,0,100,0,100,0,424100,0,424100,0,4241.0,4241.0,,,0.0,1387-12-24
2009-05-02,1,0,1,0,50,0,50,0,212050,0,212050,0,4241.0,4241.0,,,0.0,1388-02-12
2009-05-06,1,0,1,0,50,0,50,0,212050,0,212050,0,4241.0,4241.0,,,0.0,1388-02-16
2009-05-20,0,1,2,0,0,2000,2000,0,0,8065064,8065064,0,,4032.532,4032.532,,-2000.0,1388-02-30
2009-05-31,1,1,1,0,1000,2000,3000,0,2000000,4000000,6000000,0,2000.0,2000.0,2000.0,,-2000.0,1388-03-10
2009-06-01,6,0,12,1,239446,0,219446,20000,464525240,0,425725240,38800000,1940.0,1940.0,,1940.0,20000.0,1388-03-11
2009-06-02,10,0,7,1,137201,0,133201,4000,260138606,0,252554606,7584000,1896.0401600571424,1896.0413660558104,,1896.0,4000.0,1388-03-12
2009-06-03,7,0,2,1,85000,0,37000,48000,162179050,0,69587050,92592000,1907.988823529412,1880.731081081081,,1929.0,48000.0,1388-03-13
2009-06-06,4,0,3,1,44289,0,37460,6829,82643274,0,69900360,12742914,1866.0,1866.0,,1866.0,6829.0,1388-03-16
2009-06-07,2,0,3,1,9000,0,7500,1500,16959500,0,14082500,2877000,1884.388888888889,1877.6666666666667,,1918.0,1500.0,1388-03-17
2009-06-08,2,0,4,0,12704,0,12704,0,23594272,0,23594272,0,1857.2317380352645,1857.2317380352645,,,0.0,1388-03-18
2009-06-09,2,0,3,0,6211,0,6211,0,11937542,0,11937542,0,1922.0,1922.0,,,0.0,1388-03-19
2009-06-13,5,0,6,0,26530,0,26530,0,50011694,0,50011694,0,1885.0996607614024,1885.0996607614024,,,0.0,1388-03-23
2009-06-15,1,0,1,0,1014,0,1014,0,1881984,0,1881984,0,1856.0,1856.0,,,0.0,1388-03-25
2009-06-16,1,0,1,0,2000,0,2000,0,3712000,0,3712000,0,1856.0,1856.0,,,0.0,1388-03-26
2009-06-17,1,0,1,0,2800,0,2800,0,5188400,0,5188400,0,1853.0,1853.0,,,0.0,1388-03-27
2009-06-27,2,0,3,1,30388,0,20388,10000,56278576,0,37758576,18520000,1852.0,1852.0,,1852.0,10000.0,1388-04-06
2009-06-30,1,0,4,0,14253,0,14253,0,26311038,0,26311038,0,1846.0,1846.0,,,0.0,1388-04-09
2009-07-05,3,0,5,1,7000,0,6100,900,13006800,0,11344500,1662300,1858.1142857142856,1859.754098360656,,1847.0,900.0,1388-04-14
2009-07-07,1,0,0,1,2150,0,0,2150,3977500,0,0,3977500,1850.0,,,1850.0,2150.0,1388-04-16
2009-07-18,1,0,3,1,20000,0,1331,18669,36860000,0,2453033,34406967,1843.0,1843.0,,1843.0,18669.0,1388-04-27
