date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2011-12-25,10,2,5,1,84164,65836,90000,60000,101600200,85447800,109048000,78000000,1207.169336058172,1211.6444444444444,1297.8886931162283,1300.0,-5836.0,1390-10-04
2011-12-26,7,0,5,1,103200,0,102200,1000,135088800,0,133779800,1309000,1309.0,1309.0,,1309.0,1000.0,1390-10-05
2011-12-27,9,0,9,0,202310,0,202310,0,277973940,0,277973940,0,1374.0,1374.0,,,0.0,1390-10-06
2011-12-28,3,0,6,0,34989,0,34989,0,50454138,0,50454138,0,1442.0,1442.0,,,0.0,1390-10-07
2011-12-31,4,0,3,0,21000,0,21000,0,31794000,0,31794000,0,1514.0,1514.0,,,0.0,1390-10-10
2012-01-01,29,1,32,0,236581,136000,372581,0,368554218,215185528,583739746,0,1557.83523613477,1566.745878077519,1582.2465294117646,,-136000.0,1390-10-11
2012-01-02,10,1,20,0,68565,90000,158565,0,102093285,134010000,236103285,0,1489.0,1489.0,1489.0,,-90000.0,1390-10-12
2012-01-03,5,1,6,0,2219,40000,42219,0,3139885,56600000,59739885,0,1415.0,1415.0,1415.0,,-40000.0,1390-10-13
2012-01-04,7,2,34,1,150550,20260569,411119,20000000,204144917,29563617598,583762515,29184000000,1355.994134838924,1419.935626910943,1459.1701545005967,1459.2,-260569.0,1390-10-14
2012-01-07,4,3,20,1,29539,20238061,267600,20000000,41653054,30954995150,396648204,30600000000,1410.1037272758049,1482.2429147982064,1529.5435244512803,1530.0,-238061.0,1390-10-17
2012-01-08,8,0,9,0,38288,0,38288,0,55681328,0,55681328,0,1454.2762223150858,1454.2762223150858,,,0.0,1390-10-18
2012-01-09,6,1,27,0,98500,404900,503400,0,136187000,601288331,737475331,0,1382.6091370558377,1464.988738577672,1485.0292195603852,,-404900.0,1390-10-19
2012-01-10,7,0,7,0,21500,0,21500,0,30413000,0,30413000,0,1414.5581395348838,1414.5581395348838,,,0.0,1390-10-20
