date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-07-04,5,0,0,1,2590,0,0,2590,25900000,0,0,25900000,10000.0,,,10000.0,2590.0,1394-04-13
2015-07-05,6,0,0,1,5420,0,0,5420,54200000,0,0,54200000,10000.0,,,10000.0,5420.0,1394-04-14
2015-07-06,1,0,0,1,1980,0,0,1980,19800000,0,0,19800000,10000.0,,,10000.0,1980.0,1394-04-15
2015-07-07,5,0,0,1,35500,0,0,35500,355000000,0,0,355000000,10000.0,,,10000.0,35500.0,1394-04-16
2015-07-11,4,0,0,1,9200,0,0,9200,92000000,0,0,92000000,10000.0,,,10000.0,9200.0,1394-04-20
2015-07-21,0,2,0,1,0,3950000,0,3950000,0,39500000000,0,39500000000,,,10000.0,10000.0,0.0,1394-04-30
2015-09-13,0,1,1,0,0,100,100,0,0,1023500,1023500,0,,10235.0,10235.0,,-100.0,1394-06-22
2015-09-19,0,1,1,0,0,2000,2000,0,0,20500000,20500000,0,,10250.0,10250.0,,-2000.0,1394-06-28
2015-10-31,0,1,1,0,0,200,200,0,0,2104200,2104200,0,,10521.0,10521.0,,-200.0,1394-08-09
2015-11-09,0,1,1,0,0,280,280,0,0,2958200,2958200,0,,10565.0,10565.0,,-280.0,1394-08-18
2016-01-16,0,1,2,0,0,750,750,0,0,8227500,8227500,0,,10970.0,10970.0,,-750.0,1394-10-26
2016-01-18,0,1,1,0,0,450,450,0,0,4950000,4950000,0,,11000.0,11000.0,,-450.0,1394-10-28
2016-01-27,1,1,2,1,600,1000,1100,500,6946000,11514000,12668500,5791500,11576.666666666666,11516.818181818182,11514.0,11583.0,-500.0,1394-11-07
2016-01-30,1,0,0,1,1200,0,0,1200,13977600,0,0,13977600,11648.0,,,11648.0,1200.0,1394-11-10
2016-02-07,1,0,1,0,100,0,100,0,1180700,0,1180700,0,11807.0,11807.0,,,0.0,1394-11-18
2016-02-09,1,1,0,1,420,200000,0,200420,5070660,2396000000,0,2401070660,12073.0,,11980.0,11980.194890729468,420.0,1394-11-20
2016-02-10,0,1,0,1,0,500000,0,500000,0,5963500000,0,5963500000,,,11927.0,11927.0,0.0,1394-11-21
2016-02-21,0,1,0,1,0,400000,0,400000,0,4813200000,0,4813200000,,,12033.0,12033.0,0.0,1394-12-02
2016-03-05,0,1,1,0,0,420,420,0,0,5026560,5026560,0,,11968.0,11968.0,,-420.0,1394-12-15
2016-03-14,0,1,1,0,0,5000,5000,0,0,60684000,60684000,0,,12136.8,12136.8,,-5000.0,1394-12-24
2016-06-07,2,0,0,1,10000,0,0,10000,123000000,0,0,123000000,12300.0,,,12300.0,10000.0,1395-03-18
2016-07-12,0,1,1,0,0,1000,1000,0,0,12124000,12124000,0,,12124.0,12124.0,,-1000.0,1395-04-22
2016-07-24,0,1,1,0,0,1000,1000,0,0,12440000,12440000,0,,12440.0,12440.0,,-1000.0,1395-05-03
2016-07-26,0,1,1,0,0,1000,1000,0,0,12416000,12416000,0,,12416.0,12416.0,,-1000.0,1395-05-05
2016-08-06,0,1,1,0,0,500,500,0,0,6220000,6220000,0,,12440.0,12440.0,,-500.0,1395-05-16
2016-08-07,0,1,1,0,0,500,500,0,0,6286000,6286000,0,,12572.0,12572.0,,-500.0,1395-05-17
2016-08-10,0,1,1,0,0,500,500,0,0,6299500,6299500,0,,12599.0,12599.0,,-500.0,1395-05-20
2016-08-13,1,0,1,0,100,0,100,0,1290000,0,1290000,0,12900.0,12900.0,,,0.0,1395-05-23
2016-09-19,1,0,0,1,5000,0,0,5000,62080000,0,0,62080000,12416.0,,,12416.0,5000.0,1395-06-29
2016-10-25,0,1,1,0,0,1500,1500,0,0,18993000,18993000,0,,12662.0,12662.0,,-1500.0,1395-08-04
2016-10-29,0,1,1,0,0,100,100,0,0,1290300,1290300,0,,12903.0,12903.0,,-100.0,1395-08-08
2016-10-30,0,1,1,0,0,100,100,0,0,1297900,1297900,0,,12979.0,12979.0,,-100.0,1395-08-09
2016-11-09,0,1,1,0,0,450,450,0,0,5616000,5616000,0,,12480.0,12480.0,,-450.0,1395-08-19
2017-01-30,0,1,0,1,0,150000,0,150000,0,1848450000,0,1848450000,,,12323.0,12323.0,0.0,1395-11-11
2017-03-18,0,1,1,0,0,100,100,0,0,1209400,1209400,0,,12094.0,12094.0,,-100.0,1395-12-28
2017-04-09,0,1,1,0,0,350,350,0,0,4316900,4316900,0,,12334.0,12334.0,,-350.0,1396-01-20
2017-04-29,1,0,0,1,10000,0,0,10000,133310000,0,0,133310000,13331.0,,,13331.0,10000.0,1396-02-09
2017-09-02,1,0,0,1,80,0,0,80,1083920,0,0,1083920,13549.0,,,13549.0,80.0,1396-06-11
2017-09-04,0,1,1,0,0,80,80,0,0,1051920,1051920,0,,13149.0,13149.0,,-80.0,1396-06-13
