,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
1834,2012-07-07,83,3,44,1,2041282,373600,1214882,1200000,2347397433,465750728,1493148161,1320000000,1149.9623437624002,1229.0478918940275,1246.656124197002,1100.0,826400.0,1391-04-17
1833,2012-07-08,44,5,44,0,228122,724494,952616,0,254756573,848226051,1102982624,0,1116.755828021848,1157.8459988074942,1170.784093450049,,-724494.0,1391-04-18
1832,2012-07-15,10,0,5,0,22501,0,22501,0,23345703,0,23345703,0,1037.540687080574,1037.540687080574,,,0.0,1391-04-25
1831,2012-07-16,4,1,5,0,5001,6000,11001,0,5243080,6132000,11375080,0,1048.4063187362528,1034.004181438051,1022.0,,-6000.0,1391-04-26
1830,2012-07-17,4,1,5,0,4570,17000,21570,0,4670283,17017000,21687283,0,1021.9437636761488,1005.4373203523412,1001.0,,-17000.0,1391-04-27
1829,2012-07-18,0,1,14,0,0,109144,109144,0,0,109194000,109194000,0,,1000.4581103862788,1000.4581103862788,,-109144.0,1391-04-28
1828,2012-07-21,4,0,2,0,22878,0,22878,0,22897000,0,22897000,0,1000.8304921758896,1000.8304921758896,,,0.0,1391-04-31
1827,2012-07-22,4,0,6,0,32360,0,32360,0,32175641,0,32175641,0,994.3028739184178,994.3028739184178,,,0.0,1391-05-01
1826,2012-07-23,4,0,2,0,5000,0,5000,0,5000000,0,5000000,0,1000.0,1000.0,,,0.0,1391-05-02
1825,2012-07-24,4,0,3,0,16217,0,16217,0,15760990,0,15760990,0,971.8807424307826,971.8807424307826,,,0.0,1391-05-03
1824,2012-07-25,3,0,1,0,4463,0,4463,0,4253220,0,4253220,0,952.9957427739188,952.9957427739188,,,0.0,1391-05-04
1823,2012-07-28,3,2,6,0,30463,60000,90463,0,28394220,58356000,86750220,0,932.0887634179168,958.9580270386788,972.6,,-60000.0,1391-05-07
1822,2012-07-29,4,1,5,0,18800,24752,43552,0,17388000,23394880,40782880,0,924.8936170212766,936.4180749448934,945.1712992889464,,-24752.0,1391-05-08
1821,2012-07-30,2,1,5,0,6500,8301,14801,0,5829500,8107875,13937375,0,896.8461538461538,941.6509019660832,976.7347307553308,,-8301.0,1391-05-09
1820,2012-07-31,1,1,2,0,10,31463,31473,0,9760,30759351,30769111,0,976.0,977.6351475868204,977.6356672917397,,-31463.0,1391-05-10
1819,2012-08-04,0,1,1,0,0,57000,57000,0,0,54093000,54093000,0,,949.0,949.0,,-57000.0,1391-05-14
1818,2012-08-11,1,0,1,0,300,0,300,0,285000,0,285000,0,950.0,950.0,,,0.0,1391-05-21
1817,2012-08-21,1,0,1,0,200,0,200,0,182000,0,182000,0,910.0,910.0,,,0.0,1391-05-31
1816,2012-08-22,1,1,2,0,2500,2500,5000,0,2304600,2375000,4679600,0,921.84,935.92,950.0,,-2500.0,1391-06-01
1815,2012-08-25,3,1,3,0,10090,9960,20050,0,9200200,8864400,18064600,0,911.8136769078296,900.9775561097256,890.0,,-9960.0,1391-06-04
1814,2012-09-02,1,1,1,1,50,10000,354,9696,42800,8889664,303024,8629440,856.0,856.0,888.9664,890.0,-304.0,1391-06-12
1813,2012-09-03,3,0,1,1,20050,0,10000,10050,17175000,0,8570000,8605000,856.6084788029925,857.0,,856.2189054726368,10050.0,1391-06-13
1812,2012-09-04,3,0,1,1,29299,0,1299,28000,24962748,0,1106748,23856000,852.0,852.0,,852.0,28000.0,1391-06-14
1811,2012-09-05,1,0,0,1,87,0,0,87,74820,0,0,74820,860.0,,,860.0,87.0,1391-06-15
1810,2012-09-08,3,0,1,0,16150,0,16150,0,13330100,0,13330100,0,825.3931888544892,825.3931888544892,,,0.0,1391-06-18
1809,2012-09-09,2,0,1,0,9100,0,9100,0,7144500,0,7144500,0,785.1098901098901,785.1098901098901,,,0.0,1391-06-19
1808,2012-09-10,1,0,1,0,6000,0,6000,0,4482000,0,4482000,0,747.0,747.0,,,0.0,1391-06-20
1807,2012-09-11,2,1,2,0,3876,2500,6376,0,2779092,1960000,4739092,0,717.0,743.2703889585947,784.0,,-2500.0,1391-06-21
1806,2012-09-15,2,0,1,1,10001,0,1,10000,7800780,0,780,7800000,780.0,780.0,,780.0,10000.0,1391-06-25
1805,2012-09-16,1,0,0,1,10000,0,0,10000,8190000,0,0,8190000,819.0,,,819.0,10000.0,1391-06-26
1804,2012-09-17,3,0,1,0,13476,0,13476,0,11575884,0,11575884,0,859.0,859.0,,,0.0,1391-06-27
1803,2012-09-18,4,0,3,1,39871,0,19871,20000,35923771,0,17903771,18020000,901.0,901.0,,901.0,20000.0,1391-06-28
1802,2012-09-19,3,0,1,1,35300,0,5300,30000,33393800,0,5013800,28380000,946.0,946.0,,946.0,30000.0,1391-06-29
1801,2012-09-22,14,0,11,2,199884,0,109884,90000,198484812,0,109114812,89370000,993.0,993.0,,993.0,90000.0,1391-07-01
1800,2012-09-23,31,0,8,2,326322,0,149660,176662,339951253,0,155884757,184066496,1041.7662707387185,1041.592656688494,,1041.913348654493,176662.0,1391-07-02
1799,2012-09-24,10,0,10,2,110406,0,70406,40000,109312768,0,69702249,39610519,990.0980743800156,990.0043888304974,,990.262975,40000.0,1391-07-03
1798,2012-09-25,12,0,23,2,351277,0,220526,130751,360924411,0,226464122,134460289,1027.4638276915368,1026.9270834278043,,1028.369106163624,130751.0,1391-07-04
1797,2012-09-26,6,0,8,1,121773,0,57773,64000,128321993,0,62235822,66086171,1053.7803371847615,1077.2475377771625,,1032.596421875,64000.0,1391-07-05
1796,2012-09-29,7,0,5,1,40048,0,30191,9857,43165918,0,32471798,10694120,1077.8545245705154,1075.5456261799875,,1084.9264482093945,9857.0,1391-07-08
1795,2012-09-30,8,0,2,0,60062,0,60062,0,61702218,0,61702218,0,1027.3087476274516,1027.3087476274516,,,0.0,1391-07-09
1794,2012-10-01,4,0,4,0,27100,0,27100,0,26618500,0,26618500,0,982.2324723247232,982.2324723247232,,,0.0,1391-07-10
