date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-01-03,0,1,1,0,0,1217,1217,0,0,6287022,6287022,0,,5166.0,5166.0,,-1217.0,1387-10-14
2009-01-04,0,1,1,0,0,2000,2000,0,0,10334000,10334000,0,,5167.0,5167.0,,-2000.0,1387-10-15
2009-01-12,0,1,1,0,0,3798,3798,0,0,19624266,19624266,0,,5167.0,5167.0,,-3798.0,1387-10-23
2009-03-08,0,1,0,1,0,1000,0,1000,0,4600000,0,4600000,,,4600.0,4600.0,0.0,1387-12-18
2009-03-09,0,1,0,1,0,1000,0,1000,0,4462000,0,4462000,,,4462.0,4462.0,0.0,1387-12-19
2009-03-10,0,1,1,0,0,12250,12250,0,0,54659500,54659500,0,,4462.0,4462.0,,-12250.0,1387-12-20
2009-05-26,0,1,112,0,0,934985,934985,0,0,4293451120,4293451120,0,,4592.0,4592.0,,-934985.0,1388-03-05
2009-06-02,2,0,0,1,20000,0,0,20000,63000000,0,0,63000000,3150.0,,,3150.0,20000.0,1388-03-12
2009-06-22,6,0,3,1,30000,0,20000,10000,111602400,0,74995000,36607400,3720.08,3749.75,,3660.74,10000.0,1388-04-01
2009-06-23,2,0,3,0,7915,0,7915,0,30317050,0,30317050,0,3830.328490208465,3830.328490208465,,,0.0,1388-04-02
2009-06-29,1,1,104,0,11900,2971518,2983418,0,45461520,11065933032,11111394552,0,3820.295798319328,3724.384096361958,3724.0,,-2971518.0,1388-04-08
2009-07-01,1,0,1,0,3652,0,3652,0,14005420,0,14005420,0,3835.0,3835.0,,,0.0,1388-04-10
2009-08-19,1,1,12,0,5000,282576,287576,0,19185000,1084244112,1103429112,0,3837.0,3837.0,3837.0,,-282576.0,1388-05-28
2009-08-22,4,0,1,0,5000,0,5000,0,19760000,0,19760000,0,3952.0,3952.0,,,0.0,1388-05-31
2009-08-23,1,0,1,0,458,0,458,0,1810932,0,1810932,0,3954.0,3954.0,,,0.0,1388-06-01
2009-09-15,0,1,1,0,0,100,100,0,0,395400,395400,0,,3954.0,3954.0,,-100.0,1388-06-24
2009-09-22,1,2,36,0,2000,1421186,1423186,0,7908000,5297096664,5305004664,0,3954.0,3727.555403158828,3727.2367332636254,,-1421186.0,1388-06-31
2009-09-27,1,0,1,0,2591,0,2591,0,9946849,0,9946849,0,3839.0,3839.0,,,0.0,1388-07-05
2010-04-03,0,1,1,0,0,28786,28786,0,0,111142746,111142746,0,,3861.0,3861.0,,-28786.0,1389-01-14
2010-04-28,0,1,0,1,0,1000,0,1000,0,3726000,0,3726000,,,3726.0,3726.0,0.0,1389-02-08
2010-06-07,1,0,0,1,1000,0,0,1000,2824000,0,0,2824000,2824.0,,,2824.0,1000.0,1389-03-17
2010-06-19,1,0,1,0,3200,0,3200,0,9036800,0,9036800,0,2824.0,2824.0,,,0.0,1389-03-29
2010-06-22,0,1,2,0,0,3005,3005,0,0,8489125,8489125,0,,2825.0,2825.0,,-3005.0,1389-04-01
2010-06-23,0,1,2,0,0,7005,7005,0,0,20475615,20475615,0,,2923.0,2923.0,,-7005.0,1389-04-02
2010-06-27,0,1,1,0,0,5,5,0,0,15125,15125,0,,3025.0,3025.0,,-5.0,1389-04-06
2010-07-05,0,1,1,0,0,3000,3000,0,0,9438000,9438000,0,,3146.0,3146.0,,-3000.0,1389-04-14
2010-09-14,0,1,0,1,0,50000,0,50000,0,157400000,0,157400000,,,3148.0,3148.0,0.0,1389-06-23
2010-10-18,0,1,0,1,0,50000,0,50000,0,158700000,0,158700000,,,3174.0,3174.0,0.0,1389-07-26
2010-10-20,1,2,0,1,3108,200000,0,203108,9945600,640000000,0,649945600,3200.0,,3200.0,3200.0,3108.0,1389-07-28
2010-11-09,0,1,0,1,0,150000,0,150000,0,496200000,0,496200000,,,3308.0,3308.0,0.0,1389-08-18
2010-11-28,0,1,1,0,0,4253,4253,0,0,14417670,14417670,0,,3390.0,3390.0,,-4253.0,1389-09-07
2011-02-09,1,0,1,0,500,0,500,0,1696000,0,1696000,0,3392.0,3392.0,,,0.0,1389-11-20
2011-03-07,2,0,1,0,6185,0,6185,0,21660705,0,21660705,0,3502.135004042037,3502.135004042037,,,0.0,1389-12-16
2011-03-28,1,1,1,0,3815,2185,6000,0,13894230,7957770,21852000,0,3642.0,3642.0,3642.0,,-2185.0,1390-01-08
2011-03-29,1,0,1,0,1998,0,1998,0,7282710,0,7282710,0,3645.0,3645.0,,,0.0,1390-01-09
2011-04-05,2,0,1,0,5000,0,5000,0,18230000,0,18230000,0,3646.0,3646.0,,,0.0,1390-01-16
2011-05-03,1,0,1,0,500,0,500,0,1824500,0,1824500,0,3649.0,3649.0,,,0.0,1390-02-13
2011-05-18,1,0,1,0,1509,0,1509,0,5083821,0,5083821,0,3369.0,3369.0,,,0.0,1390-02-28
2011-05-28,2,0,2,0,3443,0,3443,0,12557149,0,12557149,0,3647.153354632588,3647.153354632588,,,0.0,1390-03-07
2011-06-12,1,0,1,0,981,0,981,0,3580650,0,3580650,0,3650.0,3650.0,,,0.0,1390-03-22
2011-08-08,2,0,0,1,10000,0,0,10000,27500000,0,0,27500000,2750.0,,,2750.0,10000.0,1390-05-17
2011-08-27,1,0,2,0,7591,0,7591,0,21710260,0,21710260,0,2860.0,2860.0,,,0.0,1390-06-05
2011-09-06,2,0,1,0,2591,0,2591,0,7418033,0,7418033,0,2863.0,2863.0,,,0.0,1390-06-15
2011-11-28,1,1,0,2,110,100,0,210,273680,258700,0,532380,2488.0,,2587.0,2535.1428571428573,110.0,1390-09-07
2011-12-26,1,0,1,0,244,0,244,0,643184,0,643184,0,2636.0,2636.0,,,0.0,1390-10-05
2012-04-02,1,0,1,0,20,0,20,0,54740,0,54740,0,2737.0,2737.0,,,0.0,1391-01-14
2012-04-08,1,0,1,0,20,0,20,0,56920,0,56920,0,2846.0,2846.0,,,0.0,1391-01-20
2012-04-10,1,0,2,0,30,0,30,0,89830,0,89830,0,2994.333333333333,2994.333333333333,,,0.0,1391-01-22
2012-05-16,1,1,1,0,15,5,20,0,48495,16810,65305,0,3233.0,3265.25,3362.0,,-5.0,1391-02-27
2012-05-26,0,1,1,0,0,10,10,0,0,35260,35260,0,,3526.0,3526.0,,-10.0,1391-03-06
2012-06-27,2,0,4,0,9835,0,9835,0,36064945,0,36064945,0,3667.0,3667.0,,,0.0,1391-04-07
2012-07-08,2,0,1,0,3550,0,3550,0,13039150,0,13039150,0,3673.0,3673.0,,,0.0,1391-04-18
