date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-06-08,381,4,0,1,2929649,1550000,0,4479649,29296490000,15500000000,0,44796490000,10000.0,,10000.0,10000.0,2929649.0,1398-03-18
2019-06-09,210,2,0,1,1054673,650000,0,1704673,10546730000,6500000000,0,17046730000,10000.0,,10000.0,10000.0,1054673.0,1398-03-19
2019-06-10,304,0,0,1,994620,0,0,994620,9946200000,0,0,9946200000,10000.0,,,10000.0,994620.0,1398-03-20
2019-06-11,1042,1,0,1,4106208,500000,0,4606208,41062080000,5000000000,0,46062080000,10000.0,,10000.0,10000.0,4106208.0,1398-03-21
2019-06-12,820,4,0,1,5627099,3300000,0,8927099,56270990000,33000000000,0,89270990000,10000.0,,10000.0,10000.0,5627099.0,1398-03-22
2019-07-01,78,0,94,1,318542,0,168542,150000,3214869772,0,1698787957,1516081815,10092.451770881076,10079.315286397456,,10107.2121,150000.0,1398-04-10
2019-07-02,61,1,190,0,430267,40000,470267,0,4298371019,399830000,4698201019,0,9990.008573746069,9990.496928340708,9995.75,,-40000.0,1398-04-11
2019-07-03,39,1,132,0,170209,77438,247647,0,1687002085,768066032,2455068117,0,9911.356538138409,9913.57907424681,9918.464216534518,,-77438.0,1398-04-12
2019-07-06,41,1,64,0,90152,20000,110152,0,878792271,198660000,1077452271,0,9747.895454343776,9781.504384850026,9933.0,,-20000.0,1398-04-15
2019-07-07,47,1,98,0,279078,31417,310495,0,2671225002,300419450,2971644452,0,9571.607228086772,9570.667650042673,9562.321354680587,,-31417.0,1398-04-16
2019-07-08,34,1,59,0,100273,40000,140273,0,973189647,389900000,1363089647,0,9705.400726017971,9717.405680351883,9747.5,,-40000.0,1398-04-17
2019-07-09,32,1,80,0,98313,42337,140650,0,946219692,407985200,1354204892,0,9624.563302920264,9628.189776039815,9636.61100219666,,-42337.0,1398-04-18
2019-07-10,36,1,138,1,168634,30000,195176,3458,1605366891,284650000,1856792427,33224464,9519.829281165126,9513.425969381482,9488.333333333334,9608.0,-26542.0,1398-04-19
2019-07-13,61,2,103,1,405612,83000,485612,3000,3792683105,787526379,4552162484,28047000,9350.519967357968,9374.07330131875,9488.269626506024,9349.0,-80000.0,1398-04-22
2019-07-14,41,1,56,0,110951,20000,130951,0,1048476053,190148800,1238624853,0,9449.901785472866,9458.68953272598,9507.44,,-20000.0,1398-04-23
2019-07-15,33,1,45,0,84461,19224,103685,0,808289064,182628000,990917064,0,9569.967961544382,9556.995360949028,9500.0,,-19224.0,1398-04-24
2019-07-16,27,1,29,0,216899,10000,226899,0,2024590940,95600000,2120190940,0,9334.256681681336,9344.2057479319,9560.0,,-10000.0,1398-04-25
2019-07-17,23,1,26,0,46995,101411,148406,0,445882392,968206675,1414089067,0,9487.868751994893,9528.516818727006,9547.353590833342,,-101411.0,1398-04-26
2019-07-20,32,1,37,0,148243,43625,191868,0,1381788809,410120760,1791909569,0,9321.106622235116,9339.28309566994,9401.04893982808,,-43625.0,1398-04-29
2019-07-21,23,1,22,0,67185,5000,72185,0,629482917,46750000,676232917,0,9369.396695691004,9368.053155087622,9350.0,,-5000.0,1398-04-30
