date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-02-01,1,0,1,0,1000,0,1000,0,4000000,0,4000000,0,4000.0,4000.0,,,0.0,1392-11-12
2014-02-02,1,0,2,0,1390,0,1390,0,5173500,0,5173500,0,3721.9424460431655,3721.9424460431655,,,0.0,1392-11-13
2014-02-03,1,0,1,0,1000,0,1000,0,3500000,0,3500000,0,3500.0,3500.0,,,0.0,1392-11-14
2014-02-05,1,0,1,0,1000,0,1000,0,3000000,0,3000000,0,3000.0,3000.0,,,0.0,1392-11-16
2014-02-08,1,0,1,0,1305,0,1305,0,3262500,0,3262500,0,2500.0,2500.0,,,0.0,1392-11-19
2014-02-12,1,0,2,0,40000,0,40000,0,80000000,0,80000000,0,2000.0,2000.0,,,0.0,1392-11-23
2014-02-17,1,0,1,0,10000,0,10000,0,20000000,0,20000000,0,2000.0,2000.0,,,0.0,1392-11-28
2014-02-18,1,0,2,0,24000,0,24000,0,48000000,0,48000000,0,2000.0,2000.0,,,0.0,1392-11-29
2014-02-19,1,0,1,0,36200,0,36200,0,70590000,0,70590000,0,1950.0,1950.0,,,0.0,1392-11-30
2014-02-24,0,3,1,0,0,3000,3000,0,0,5850000,5850000,0,,1950.0,1950.0,,-3000.0,1392-12-05
2014-02-26,2,0,2,0,63000,0,63000,0,105000000,0,105000000,0,1666.6666666666667,1666.6666666666667,,,0.0,1392-12-07
2014-03-02,1,0,1,0,2800,0,2800,0,5320000,0,5320000,0,1900.0,1900.0,,,0.0,1392-12-11
2014-03-04,3,0,5,0,84000,0,84000,0,117000000,0,117000000,0,1392.857142857143,1392.857142857143,,,0.0,1392-12-13
2014-03-08,1,0,1,0,100000,0,100000,0,130000000,0,130000000,0,1300.0,1300.0,,,0.0,1392-12-17
2014-03-09,1,0,2,0,40000,0,40000,0,46000000,0,46000000,0,1150.0,1150.0,,,0.0,1392-12-18
2014-03-10,3,0,1,0,33000,0,33000,0,33181000,0,33181000,0,1005.4848484848484,1005.4848484848484,,,0.0,1392-12-19
2014-04-07,1,0,1,0,20000,0,20000,0,30020000,0,30020000,0,1501.0,1501.0,,,0.0,1393-01-18
2014-04-08,1,0,1,0,3000,0,3000,0,4521000,0,4521000,0,1507.0,1507.0,,,0.0,1393-01-19
2014-04-13,1,0,1,0,11000,0,11000,0,16489000,0,16489000,0,1499.0,1499.0,,,0.0,1393-01-24
2014-04-14,3,0,1,0,57000,0,57000,0,62704000,0,62704000,0,1100.0701754385964,1100.0701754385964,,,0.0,1393-01-25
2014-04-15,1,0,1,0,7000,0,7000,0,8400000,0,8400000,0,1200.0,1200.0,,,0.0,1393-01-26
2014-04-19,1,0,1,0,600,0,600,0,990000,0,990000,0,1650.0,1650.0,,,0.0,1393-01-30
2014-05-07,1,0,3,0,89000,0,89000,0,121799000,0,121799000,0,1368.5280898876404,1368.5280898876404,,,0.0,1393-02-17
2014-05-10,1,0,1,0,100,0,100,0,170000,0,170000,0,1700.0,1700.0,,,0.0,1393-02-20
2014-05-17,1,0,1,0,11000,0,11000,0,16500000,0,16500000,0,1500.0,1500.0,,,0.0,1393-02-27
2014-05-18,1,0,1,0,970,0,970,0,1358000,0,1358000,0,1400.0,1400.0,,,0.0,1393-02-28
2014-05-19,1,0,1,0,19000,0,19000,0,26600000,0,26600000,0,1400.0,1400.0,,,0.0,1393-02-29
2014-05-24,1,0,1,0,30,0,30,0,51000,0,51000,0,1700.0,1700.0,,,0.0,1393-03-03
2014-06-03,1,0,1,0,2000,0,2000,0,2500000,0,2500000,0,1250.0,1250.0,,,0.0,1393-03-13
2014-06-14,2,0,2,0,12000,0,12000,0,15008000,0,15008000,0,1250.6666666666667,1250.6666666666667,,,0.0,1393-03-24
2014-06-18,1,0,1,0,8000,0,8000,0,11200000,0,11200000,0,1400.0,1400.0,,,0.0,1393-03-28
2014-06-23,1,0,2,0,21502,0,21502,0,32253000,0,32253000,0,1500.0,1500.0,,,0.0,1393-04-02
2014-06-28,1,0,2,0,9774,0,9774,0,14661000,0,14661000,0,1500.0,1500.0,,,0.0,1393-04-07
2014-07-05,2,0,1,0,1039,0,1039,0,2067610,0,2067610,0,1990.0,1990.0,,,0.0,1393-04-14
2014-07-06,1,0,1,0,10000,0,10000,0,19900000,0,19900000,0,1990.0,1990.0,,,0.0,1393-04-15
