date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2009-06-07,3,1,0,1,12500,15000,0,27500,251719000,296000000,0,547719000,20137.52,,19733.33333333333,19917.054545454543,12500.0,1388-03-17
2009-06-08,3,1,0,2,1465,879224,0,880689,30053010,17512383632,0,17542436642,20514.0,,19918.0,19918.99142830216,1465.0,1388-03-18
2009-06-09,1,0,1,0,500,0,500,0,9961500,0,9961500,0,19923.0,19923.0,,,0.0,1388-03-19
2009-06-20,0,1,0,1,0,13535,0,13535,0,277684060,0,277684060,,,20516.0,20516.0,0.0,1388-03-30
2009-06-23,1,1,0,1,10000,442153,0,452153,203010000,8975263747,0,9178273747,20301.0,,20299.0,20299.044232815,10000.0,1388-04-02
2009-06-28,1,1,1,0,392,1000,1392,0,7957600,20300000,28257600,0,20300.0,20300.0,20300.0,,-1000.0,1388-04-07
2009-06-29,2,0,2,0,925,0,925,0,19110572,0,19110572,0,20660.07783783784,20660.07783783784,,,0.0,1388-04-08
2009-08-01,3,1,3,0,6999,3393,10392,0,181274100,96501900,277776000,0,25900.0,26729.792147806005,28441.467727674622,,-3393.0,1388-05-10
2009-08-02,5,1,1,1,12995,7461,456,20000,357765345,205408791,12554136,550620000,27531.0,27531.0,27531.0,27531.0,12539.0,1388-05-11
2009-08-03,0,1,2,0,0,1010,1010,0,0,28608250,28608250,0,,28325.0,28325.0,,-1010.0,1388-05-12
2009-08-04,2,1,0,2,1289,20000,0,21289,36562485,567300000,0,603862485,28365.0,,28365.0,28365.0,1289.0,1388-05-13
2009-08-05,0,1,0,1,0,21289,0,21289,0,621958135,0,621958135,,,29215.0,29215.0,0.0,1388-05-14
2009-08-08,1,1,0,1,1290,19999,0,21289,38817390,601789909,0,640607299,30091.0,,30091.0,30091.0,1290.0,1388-05-17
2009-08-09,1,1,0,1,1289,20000,0,21289,39949977,619860000,0,659809977,30993.0,,30993.0,30993.0,1289.0,1388-05-18
2009-08-10,1,1,0,2,1289,20000,0,21289,41147458,638440000,0,679587458,31922.0,,31922.0,31922.0,1289.0,1388-05-19
2009-08-11,2,2,0,2,500,25789,0,26289,16439500,847916531,0,864356031,32879.0,,32879.0,32879.0,500.0,1388-05-20
2009-08-12,2,1,0,1,12000,12289,0,24289,406380000,416166985,0,822546985,33865.0,,33865.0,33865.0,12000.0,1388-05-21
2009-08-15,1,2,1,1,150,21139,1840,19449,5232000,737328320,64179200,678381120,34880.0,34880.0,34880.0,34880.0,-1690.0,1388-05-24
2009-08-16,3,1,1,1,1614,19835,160,21289,57984564,712592210,5748160,764828614,35926.0,35926.0,35926.0,35926.0,1454.0,1388-05-25
2009-08-17,1,1,0,1,150,21139,0,21289,5550450,782206417,0,787756867,37003.0,,37003.0,37003.0,150.0,1388-05-26
2009-08-18,0,1,2,1,0,17658,14829,2829,0,672999354,565177677,107821677,,38113.0,38113.0,38113.0,-14829.0,1388-05-27
2009-08-19,7,0,6,0,5355,0,5355,0,208818541,0,208818541,0,38995.05901027077,38995.05901027077,,,0.0,1388-05-28
2009-08-22,1,1,3,0,963,2000,2963,0,36779859,76386000,113165859,0,38193.0,38193.0,38193.0,,-2000.0,1388-05-31
2009-08-24,1,0,1,0,200,0,200,0,7422000,0,7422000,0,37110.0,37110.0,,,0.0,1388-06-02
2009-08-25,1,0,1,0,50,0,50,0,1855500,0,1855500,0,37110.0,37110.0,,,0.0,1388-06-03
2009-08-26,1,1,6,0,300,9000,9300,0,11110800,334466000,345576800,0,37036.0,37158.79569892473,37162.88888888889,,-9000.0,1388-06-04
2009-08-29,1,0,1,0,112,0,112,0,4099424,0,4099424,0,36602.0,36602.0,,,0.0,1388-06-07
2009-09-01,0,1,1,0,0,3000,3000,0,0,111000000,111000000,0,,37000.0,37000.0,,-3000.0,1388-06-10
2009-09-02,1,0,1,0,115,0,115,0,4255000,0,4255000,0,37000.0,37000.0,,,0.0,1388-06-11
2009-09-21,1,0,1,0,227,0,227,0,8285500,0,8285500,0,36500.0,36500.0,,,0.0,1388-06-30
2009-09-27,1,0,1,0,10,0,10,0,365000,0,365000,0,36500.0,36500.0,,,0.0,1388-07-05
2010-04-25,1,0,1,0,150,0,150,0,5430300,0,5430300,0,36202.0,36202.0,,,0.0,1389-02-05
2010-05-01,0,1,1,0,0,1000,1000,0,0,36194000,36194000,0,,36194.0,36194.0,,-1000.0,1389-02-11
2010-05-02,0,1,1,0,0,1000,1000,0,0,36134000,36134000,0,,36134.0,36134.0,,-1000.0,1389-02-12
2010-05-04,1,0,1,0,1250,0,1250,0,45092500,0,45092500,0,36074.0,36074.0,,,0.0,1389-02-14
2010-05-08,0,1,1,0,0,1000,1000,0,0,36000000,36000000,0,,36000.0,36000.0,,-1000.0,1389-02-18
2010-05-09,3,0,1,0,15,0,15,0,539115,0,539115,0,35941.0,35941.0,,,0.0,1389-02-19
2010-05-31,0,1,2,0,0,945,945,0,0,27305775,27305775,0,,28895.0,28895.0,,-945.0,1389-03-10
2010-06-01,2,1,2,0,170,55,225,0,5166010,1646865,6812875,0,30388.29411764706,30279.444444444445,29943.0,,-55.0,1389-03-11
2010-06-22,1,0,1,0,344,0,344,0,9925776,0,9925776,0,28854.0,28854.0,,,0.0,1389-04-01
2010-06-23,1,0,1,0,345,0,345,0,9949110,0,9949110,0,28838.0,28838.0,,,0.0,1389-04-02
2010-06-27,1,0,1,0,186,0,186,0,5360706,0,5360706,0,28821.0,28821.0,,,0.0,1389-04-06
2010-06-29,1,0,1,0,347,0,347,0,9946061,0,9946061,0,28663.0,28663.0,,,0.0,1389-04-08
2010-06-30,1,0,1,0,161,0,161,0,4611845,0,4611845,0,28645.0,28645.0,,,0.0,1389-04-09
2010-07-11,1,0,2,0,875,0,875,0,25056500,0,25056500,0,28636.0,28636.0,,,0.0,1389-04-20
2010-07-14,1,0,1,0,864,0,864,0,24700896,0,24700896,0,28589.0,28589.0,,,0.0,1389-04-23
2010-07-18,2,1,8,0,1000,7390,8390,0,30500000,228448934,258948934,0,30500.0,30863.996901072707,30913.25223274696,,-7390.0,1389-04-27
2010-07-19,0,1,1,0,0,1000,1000,0,0,31385000,31385000,0,,31385.0,31385.0,,-1000.0,1389-04-28
2010-07-21,0,1,0,1,0,500,0,500,0,15721500,0,15721500,,,31443.0,31443.0,0.0,1389-04-30
2010-07-26,2,0,0,1,598,0,0,598,18802914,0,0,18802914,31443.0,,,31443.0,598.0,1389-05-04
2010-08-08,3,0,0,1,2504,0,0,2504,75620800,0,0,75620800,30200.0,,,30200.0,2504.0,1389-05-17
2010-08-15,1,0,0,1,100,0,0,100,3020000,0,0,3020000,30200.0,,,30200.0,100.0,1389-05-24
2010-08-17,1,0,0,1,560,0,0,560,16912000,0,0,16912000,30200.0,,,30200.0,560.0,1389-05-26
2010-08-25,1,0,1,1,1647,0,371,1276,49737545,0,11202345,38535200,30198.873709775347,30195.0,,30200.0,1276.0,1389-06-03
2010-09-08,2,0,2,1,1092,0,592,500,32975532,0,17876532,15099000,30197.373626373625,30196.844594594597,,30198.0,500.0,1389-06-17
2010-09-18,1,0,0,1,640,0,0,640,18880000,0,0,18880000,29500.0,,,29500.0,640.0,1389-06-27
2010-09-19,2,0,1,1,2000,0,1000,1000,58200000,0,29100000,29100000,29100.0,29100.0,,29100.0,1000.0,1389-06-28
2010-09-26,1,0,2,0,1500,0,1500,0,43650000,0,43650000,0,29100.0,29100.0,,,0.0,1389-07-04
2010-09-27,1,0,0,1,4,0,0,4,120000,0,0,120000,30000.0,,,30000.0,4.0,1389-07-05
2010-09-28,1,0,1,0,2100,0,2100,0,61110000,0,61110000,0,29100.0,29100.0,,,0.0,1389-07-06
2010-10-02,2,0,1,0,138,0,138,0,4133100,0,4133100,0,29950.0,29950.0,,,0.0,1389-07-10
2010-10-03,1,0,0,1,928,0,0,928,27793600,0,0,27793600,29950.0,,,29950.0,928.0,1389-07-11
2010-10-06,1,0,1,0,1000,0,1000,0,29100000,0,29100000,0,29100.0,29100.0,,,0.0,1389-07-14
2010-10-11,2,0,0,1,1129,0,0,1129,32853900,0,0,32853900,29100.0,,,29100.0,1129.0,1389-07-19
2010-12-11,1,0,0,1,2774,0,0,2774,79591608,0,0,79591608,28692.0,,,28692.0,2774.0,1389-09-20
2010-12-12,1,0,0,1,500,0,0,500,14271000,0,0,14271000,28542.0,,,28542.0,500.0,1389-09-21
2010-12-13,1,0,0,1,500,0,0,500,14257500,0,0,14257500,28515.0,,,28515.0,500.0,1389-09-22
2010-12-18,1,0,0,1,1571,0,0,1571,44754648,0,0,44754648,28488.0,,,28488.0,1571.0,1389-09-27
2010-12-25,1,0,0,1,500,0,0,500,14202000,0,0,14202000,28404.0,,,28404.0,500.0,1389-10-04
