date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-03,0,2,0,2,0,20,0,20,0,189410,0,189410,,,9470.5,9470.5,0.0,1387-09-13
2009-01-27,1,2,0,1,52,2000,0,2052,492596,18946000,0,19438596,9473.0,,9473.0,9473.0,52.0,1387-11-08
2009-02-01,0,1,3,2,0,1235251,5251,1230000,0,11692032639,48762639,11643270000,,9286.35288516473,9465.30918736354,9466.073170731708,-5251.0,1387-11-13
2009-04-12,0,1,1,1,0,2900,2000,900,0,26625800,18362000,8263800,,9181.0,9181.310344827589,9182.0,-2000.0,1388-01-23
2009-04-20,0,1,0,1,0,26830,0,26830,0,246326230,0,246326230,,,9181.0,9181.0,0.0,1388-01-31
2009-04-27,1,0,1,0,5,0,5,0,45905,0,45905,0,9181.0,9181.0,,,0.0,1388-02-07
2009-04-29,1,0,1,0,1500,0,1500,0,13771500,0,13771500,0,9181.0,9181.0,,,0.0,1388-02-09
2009-05-03,1,0,2,0,45,0,45,0,413100,0,413100,0,9180.0,9180.0,,,0.0,1388-02-13
2009-06-15,0,1,4,1,0,15000,6263,8737,0,138905000,57650900,81254100,,9204.997604981638,9260.333333333334,9300.0,-6263.0,1388-03-25
2009-08-26,0,1,6,1,0,10000,8184,1816,0,89830000,73516872,16313128,,8983.0,8983.0,8983.0,-8184.0,1388-06-04
2009-08-29,1,0,1,0,300,0,300,0,2694900,0,2694900,0,8983.0,8983.0,,,0.0,1388-06-07
2009-08-30,0,1,1,0,0,8568,8568,0,0,76854960,76854960,0,,8970.0,8970.0,,-8568.0,1388-06-08
2010-04-03,1,0,2,0,55580,0,55580,0,338704520,0,338704520,0,6094.0,6094.0,,,0.0,1389-01-14
2010-05-12,0,1,1,0,0,1000,1000,0,0,5999000,5999000,0,,5999.0,5999.0,,-1000.0,1389-02-22
2010-05-15,1,0,1,0,3436,0,3436,0,19894440,0,19894440,0,5790.0,5790.0,,,0.0,1389-02-25
2010-05-23,0,1,2,0,0,10000,10000,0,0,52000000,52000000,0,,5200.0,5200.0,,-10000.0,1389-03-02
2010-06-07,0,1,1,1,0,3032,1200,1832,0,15220640,6024000,9196640,,5020.0,5020.0,5020.0,-1200.0,1389-03-17
2010-06-09,1,0,0,1,593,0,0,593,2975081,0,0,2975081,5017.0,,,5017.0,593.0,1389-03-19
2010-06-15,1,0,0,1,3000,0,0,3000,15051000,0,0,15051000,5017.0,,,5017.0,3000.0,1389-03-25
2010-07-05,1,0,0,1,3032,0,0,3032,15205480,0,0,15205480,5015.0,,,5015.0,3032.0,1389-04-14
2010-07-20,1,0,0,1,125,0,0,125,671125,0,0,671125,5369.0,,,5369.0,125.0,1389-04-29
2010-07-24,1,0,1,0,5000,0,5000,0,25950000,0,25950000,0,5190.0,5190.0,,,0.0,1389-05-02
2010-07-25,1,0,1,0,25000,0,25000,0,135000000,0,135000000,0,5400.0,5400.0,,,0.0,1389-05-03
2010-07-31,1,0,2,0,1464,0,1464,0,7759200,0,7759200,0,5300.0,5300.0,,,0.0,1389-05-09
2010-08-07,1,0,0,1,267,0,0,267,1391070,0,0,1391070,5210.0,,,5210.0,267.0,1389-05-16
2010-08-11,1,0,0,1,3000,0,0,3000,15630000,0,0,15630000,5210.0,,,5210.0,3000.0,1389-05-20
2010-08-15,1,0,0,1,2000,0,0,2000,10200000,0,0,10200000,5100.0,,,5100.0,2000.0,1389-05-24
2010-08-16,1,0,3,1,5000,0,1856,3144,25150000,0,9335680,15814320,5030.0,5030.0,,5030.0,3144.0,1389-05-25
2010-08-24,2,0,0,1,3534,0,0,3534,17687670,0,0,17687670,5005.0,,,5005.0,3534.0,1389-06-02
