date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-11-03,0,1,0,1,0,1000000,0,1000000,0,3500000000,0,3500000000,,,3500.0,3500.0,0.0,1392-08-12
2013-11-17,1,0,1,0,42240,0,42240,0,147840000,0,147840000,0,3500.0,3500.0,,,0.0,1392-08-26
2013-12-11,1,0,1,0,110000,0,110000,0,330000000,0,330000000,0,3000.0,3000.0,,,0.0,1392-09-20
2014-01-01,1,0,1,0,110000,0,110000,0,396000000,0,396000000,0,3600.0,3600.0,,,0.0,1392-10-11
2014-01-13,0,1,1,0,0,10000,10000,0,0,41000000,41000000,0,,4100.0,4100.0,,-10000.0,1392-10-23
2014-01-15,2,0,1,0,20000,0,20000,0,92000000,0,92000000,0,4600.0,4600.0,,,0.0,1392-10-25
2014-01-21,2,0,1,0,25200,0,25200,0,115920000,0,115920000,0,4600.0,4600.0,,,0.0,1392-11-01
2014-01-29,1,1,2,0,52272,100000,152272,0,182952000,460000000,642952000,0,3500.0,4222.3915099296,4600.0,,-100000.0,1392-11-09
2014-02-01,1,0,1,0,1000,0,1000,0,4600000,0,4600000,0,4600.0,4600.0,,,0.0,1392-11-12
2014-02-04,3,0,3,0,370196,0,370196,0,1708410160,0,1708410160,0,4614.880117559347,4614.880117559347,,,0.0,1392-11-15
2014-03-02,1,0,1,0,15000,0,15000,0,70500000,0,70500000,0,4700.0,4700.0,,,0.0,1392-12-11
2014-04-05,0,1,1,0,0,77000,77000,0,0,363440000,363440000,0,,4720.0,4720.0,,-77000.0,1393-01-16
2014-04-14,1,0,1,0,1947728,0,1947728,0,9197171616,0,9197171616,0,4722.0,4722.0,,,0.0,1393-01-25
2014-06-07,1,0,1,0,373371,0,373371,0,1866855000,0,1866855000,0,5000.0,5000.0,,,0.0,1393-03-17
2014-06-08,3,0,2,0,36000,0,36000,0,177710000,0,177710000,0,4936.388888888889,4936.388888888889,,,0.0,1393-03-18
2014-07-01,0,1,2,0,0,35000,35000,0,0,186235000,186235000,0,,5321.0,5321.0,,-35000.0,1393-04-10
2014-07-06,1,0,1,0,522720,0,522720,0,2874960000,0,2874960000,0,5500.0,5500.0,,,0.0,1393-04-15
2014-07-22,1,0,1,0,9636,0,9636,0,45491556,0,45491556,0,4721.0,4721.0,,,0.0,1393-04-31
2014-08-05,3,0,1,0,4000,0,4000,0,18898000,0,18898000,0,4724.5,4724.5,,,0.0,1393-05-14
2014-08-06,1,0,1,0,4000,0,4000,0,18884000,0,18884000,0,4721.0,4721.0,,,0.0,1393-05-15
2014-08-23,1,0,1,0,113300,0,113300,0,566500000,0,566500000,0,5000.0,5000.0,,,0.0,1393-06-01
2014-09-16,1,0,1,0,659272,0,659272,0,3296360000,0,3296360000,0,5000.0,5000.0,,,0.0,1393-06-25
2014-10-08,0,1,1,0,0,20000,20000,0,0,100000000,100000000,0,,5000.0,5000.0,,-20000.0,1393-07-16
2014-11-10,1,0,1,0,10000,0,10000,0,53000000,0,53000000,0,5300.0,5300.0,,,0.0,1393-08-19
2014-12-30,0,1,1,0,0,10000,10000,0,0,55000000,55000000,0,,5500.0,5500.0,,-10000.0,1393-10-09
2015-01-24,0,1,1,0,0,10000,10000,0,0,53500000,53500000,0,,5350.0,5350.0,,-10000.0,1393-11-04
2015-01-27,0,1,1,0,0,42272,42272,0,0,207132800,207132800,0,,4900.0,4900.0,,-42272.0,1393-11-07
2015-02-14,2,0,1,0,50000,0,50000,0,250000000,0,250000000,0,5000.0,5000.0,,,0.0,1393-11-25
2015-03-10,1,1,1,0,50000,50000,100000,0,250000000,200000000,450000000,0,5000.0,4500.0,4000.0,,-50000.0,1393-12-19
2015-03-14,0,1,1,0,0,4884,4884,0,0,18803400,18803400,0,,3850.0,3850.0,,-4884.0,1393-12-23
2015-06-10,2,0,3,0,1916094,0,1916094,0,5753852220,0,5753852220,0,3002.9070703211846,3002.9070703211846,,,0.0,1394-03-20
2015-06-13,1,0,1,0,54314,0,54314,0,217256000,0,217256000,0,4000.0,4000.0,,,0.0,1394-03-23
