date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2011-08-02,145,2,1,6,3068610,1868194,5000,4931804,4781614909,3084040100,8000000,7857655009,1558.234806312956,1600.0,1650.8136199987796,1593.2618183934317,3063610.0,1390-05-11
2011-08-03,1,0,4,0,6109,0,6109,0,10214248,0,10214248,0,1672.0,1672.0,,,0.0,1390-05-12
2011-08-06,1,2,5,0,10000,30000,40000,0,17550000,52650000,70200000,0,1755.0,1755.0,1755.0,,-30000.0,1390-05-15
2011-08-07,157,5,91,5,3292013,490000,1823013,1959000,6063851487,902565751,3357939238,3608478000,1841.988925013358,1841.972184509929,1841.9709204081632,1842.0,1469000.0,1390-05-16
2011-08-08,82,1,68,2,1261855,1806,1203661,60000,2347874878,3359160,2239984038,111250000,1860.653464938523,1860.975837881264,1860.0,1854.1666666666667,58194.0,1390-05-17
2011-08-09,42,1,66,1,1072320,9720,982040,100000,1918481397,17223840,1758905237,176800000,1789.0941108997315,1791.0729063989247,1772.0,1768.0,90280.0,1390-05-18
2011-08-10,49,1,20,1,529415,60000,559415,30000,934500562,105770000,985953296,54317266,1765.1569411520263,1762.4720395413065,1762.8333333333333,1810.5755333333332,-30000.0,1390-05-19
2011-08-13,73,1,52,3,1322259,40000,702259,660000,2437938649,74120000,1289148649,1222910000,1843.767861667041,1835.7168067621772,1853.0,1852.8939393939395,620000.0,1390-05-22
2011-08-14,42,0,22,0,437050,0,437050,0,775758198,0,775758198,0,1774.9872966479809,1774.9872966479809,,,0.0,1390-05-23
2011-08-15,21,0,24,0,331449,0,331449,0,578479820,0,578479820,0,1745.3056729692955,1745.3056729692955,,,0.0,1390-05-24
2011-08-16,27,1,44,1,906089,24600,920689,10000,1606906579,43059000,1631965579,18000000,1773.4533572309122,1772.548144921901,1750.3658536585365,1800.0,-14600.0,1390-05-25
2011-08-17,10,1,16,0,321266,10000,331266,0,572270793,17560000,589830793,0,1781.2989640982862,1780.535258674298,1756.0,,-10000.0,1390-05-26
2011-08-20,21,1,8,0,175844,28635,204479,0,301029429,49014500,350043929,0,1711.911859375355,1711.8820465671292,1711.6989697922124,,-28635.0,1390-05-29
2011-08-21,11,1,24,1,175829,200000,335829,40000,308762762,354351751,592845763,70268750,1756.0400275267448,1765.3203356470108,1771.758755,1756.71875,-160000.0,1390-05-30
2011-08-23,19,2,25,1,191591,210000,381541,20050,345606048,382326373,691563221,36369200,1803.874127699109,1812.5528344267063,1820.601776190476,1813.925187032419,-189950.0,1390-06-01
2011-08-24,9,2,39,1,264589,465000,709589,20000,483023780,856655635,1303285243,36394172,1825.5625895256417,1836.6762210237196,1842.270182795699,1819.7086,-445000.0,1390-06-02
2011-08-27,19,1,22,1,230586,300000,500586,30000,411378530,546554963,903533493,54400000,1784.0568377958766,1804.9515827450227,1821.849876666667,1813.3333333333333,-270000.0,1390-06-05
2011-08-28,12,1,20,1,525301,40000,555301,10000,932195272,69682000,983897272,17980000,1774.5926088090448,1771.8269407042308,1742.05,1798.0,-30000.0,1390-06-06
2011-08-29,27,1,4,0,209948,10000,219948,0,359422506,16900000,376322506,0,1711.9596566768914,1710.9612544783313,1690.0,,-10000.0,1390-06-07
2011-08-30,18,0,9,2,288455,0,150353,138102,497028714,0,258538144,238490570,1723.0719314971138,1719.540973575519,,1726.916119969298,138102.0,1390-06-08
2011-09-03,13,0,6,1,225000,0,125000,100000,392010000,0,218748000,173262000,1742.2666666666669,1749.984,,1732.62,100000.0,1390-06-12
2011-09-04,9,1,18,1,158700,420800,289500,290000,275670300,743079517,509169847,509579970,1737.0529300567107,1758.7904905008636,1765.8733769011408,1757.1723103448276,-130800.0,1390-06-13
2011-09-05,24,1,7,1,268130,80000,228129,120001,462230710,139570000,394798994,207001716,1723.9052325364562,1730.59538243713,1744.625,1724.999925000625,40001.0,1390-06-14
2011-09-06,42,1,46,3,704459,100000,462932,341527,1261820402,177782593,827581769,612021226,1791.190689593007,1787.6961821606628,1777.82593,1792.0141775028037,241527.0,1390-06-15
2011-09-07,16,1,27,4,839468,90000,346002,583466,1496846871,161010000,614646743,1043210128,1783.0898509532228,1776.425405055462,1789.0,1787.9535876983407,493466.0,1390-06-16
2011-09-10,4,1,7,1,47389,10000,52389,5000,84165108,17950000,93140108,8975000,1776.0473527611894,1777.8561911851723,1795.0,1795.0,-5000.0,1390-06-19
2011-09-11,7,0,28,2,581981,0,376896,205085,1037048983,0,670537493,366511490,1781.929277759927,1779.1048273263712,,1787.1199258843894,205085.0,1390-06-20
2011-09-12,6,0,14,1,207169,0,145719,61450,368849937,0,258845037,110004900,1780.4301657101207,1776.330039322257,,1790.152969894223,61450.0,1390-06-21
2011-09-13,3,1,18,1,177901,20000,197900,1,318700347,35825000,354523600,1747,1791.4477546500582,1791.4279939363314,1791.25,1747.0,-19999.0,1390-06-22
2011-09-14,3,1,20,2,43000,130000,133000,40000,78056800,236906400,242261600,72701600,1815.2744186046511,1821.515789473684,1822.356923076923,1817.54,-90000.0,1390-06-23
