date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-29,1,1,1,1,235,10,235,10,1277225,56020,1277225,56020,5435.0,5435.0,5602.0,5602.0,0.0,1387-09-09
2008-12-30,1,0,1,0,99,0,99,0,537966,0,537966,0,5434.0,5434.0,,,0.0,1387-10-10
2008-12-31,1,0,1,0,1269,0,1269,0,6895746,0,6895746,0,5434.0,5434.0,,,0.0,1387-10-11
2009-04-22,1,0,0,1,100,0,0,100,543000,0,0,543000,5430.0,,,5430.0,100.0,1388-02-02
2009-05-03,1,0,1,0,900,0,900,0,4887000,0,4887000,0,5430.0,5430.0,,,0.0,1388-02-13
2009-05-04,1,0,1,0,300,0,300,0,1627800,0,1627800,0,5426.0,5426.0,,,0.0,1388-02-14
2009-05-16,1,0,1,0,100,0,100,0,575900,0,575900,0,5759.0,5759.0,,,0.0,1388-02-26
2009-05-23,1,0,2,0,518,0,518,0,2983162,0,2983162,0,5759.0,5759.0,,,0.0,1388-03-02
2009-06-02,0,1,1,0,0,1200,1200,0,0,5400000,5400000,0,,4500.0,4500.0,,-1200.0,1388-03-12
2009-06-16,0,1,1,0,0,500,500,0,0,2200000,2200000,0,,4400.0,4400.0,,-500.0,1388-03-26
2009-06-22,0,1,1,0,0,2600,2600,0,0,11440000,11440000,0,,4400.0,4400.0,,-2600.0,1388-04-01
2009-07-28,1,0,1,0,9858,0,9858,0,43385058,0,43385058,0,4401.0,4401.0,,,0.0,1388-05-06
2009-08-25,0,1,1,0,0,19190,19190,0,0,84436000,84436000,0,,4400.0,4400.0,,-19190.0,1388-06-03
2009-08-30,0,1,0,1,0,40000,0,40000,0,182760000,0,182760000,,,4569.0,4569.0,0.0,1388-06-08
2009-08-31,1,1,0,1,422,39578,0,40000,1985932,186254068,0,188240000,4706.0,,4706.0,4706.0,422.0,1388-06-09
2009-09-06,1,0,0,1,2000,0,0,2000,9694000,0,0,9694000,4847.0,,,4847.0,2000.0,1388-06-15
2009-09-07,4,2,0,1,160000,40000,0,200000,776640000,194160000,0,970800000,4854.0,,4854.0,4854.0,160000.0,1388-06-16
2009-09-08,18,2,0,2,100000,130000,0,230000,499900000,649870000,0,1149770000,4999.0,,4999.0,4999.0,100000.0,1388-06-17
2009-09-09,1,1,0,1,10000,30000,0,40000,51480000,154440000,0,205920000,5148.0,,5148.0,5148.0,10000.0,1388-06-18
2009-09-13,7,0,2,1,40000,0,20000,20000,212080000,0,106040000,106040000,5302.0,5302.0,,5302.0,20000.0,1388-06-22
2009-09-14,8,0,1,1,40000,0,10000,30000,218440000,0,54610000,163830000,5461.0,5461.0,,5461.0,30000.0,1388-06-23
2009-09-15,9,0,2,1,40300,0,5300,35000,226647200,0,29807200,196840000,5624.0,5624.0,,5624.0,35000.0,1388-06-24
2009-09-16,12,2,30,0,45447,188553,234000,0,263171762,1092014976,1355186738,0,5790.740026844456,5791.396316239317,5791.554501917233,,-188553.0,1388-06-25
2009-09-22,0,2,1,1,0,20000,10000,10000,0,113880000,57700000,56180000,,5770.0,5694.0,5618.0,-10000.0,1388-06-31
2009-09-23,0,2,13,1,0,178981,115415,63566,0,1008511170,654448550,354062620,,5670.39422951956,5634.738715282628,5570.0,-115415.0,1388-07-01
2009-09-27,1,1,2,0,2000,4000,6000,0,10932000,22540000,33472000,0,5466.0,5578.666666666667,5635.0,,-4000.0,1388-07-05
2010-05-09,0,1,0,1,0,1000,0,1000,0,5609000,0,5609000,,,5609.0,5609.0,0.0,1389-02-19
2010-05-15,1,0,1,0,2998,0,2998,0,16800792,0,16800792,0,5604.0,5604.0,,,0.0,1389-02-25
2010-05-22,0,1,2,0,0,2717,2717,0,0,12478500,12478500,0,,4592.749355907251,4592.749355907251,,-2717.0,1389-03-01
2010-05-30,0,1,0,1,0,39000,0,39000,0,185367000,0,185367000,,,4753.0,4753.0,0.0,1389-03-09
2010-06-01,1,0,1,0,3410,0,3410,0,16760150,0,16760150,0,4915.0,4915.0,,,0.0,1389-03-11
2010-06-06,1,0,1,0,4220,0,4220,0,20104080,0,20104080,0,4764.0,4764.0,,,0.0,1389-03-16
2010-06-08,0,1,1,1,0,100000,10000,90000,0,462730000,49000000,413730000,,4900.0,4627.3,4597.0,-10000.0,1389-03-18
2010-07-06,1,0,1,0,3000,0,3000,0,13500000,0,13500000,0,4500.0,4500.0,,,0.0,1389-04-15
2010-07-18,1,1,5,0,10195,2500,12695,0,45877500,12000500,57878000,0,4500.0,4559.117762898779,4800.2,,-2500.0,1389-04-27
2010-07-19,0,1,1,1,0,39695,9695,30000,0,189821490,46361490,143460000,,4782.0,4782.0,4782.0,-9695.0,1389-04-28
2010-07-20,1,1,1,1,2300,20000,2300,20000,11435600,99440000,11435600,99440000,4972.0,4972.0,4972.0,4972.0,0.0,1389-04-29
2010-07-21,1,1,0,1,1782,20000,0,21782,8731800,97800000,0,106531800,4900.0,,4890.0,4890.8181066936,1782.0,1389-04-30
2010-08-23,2,0,1,0,6931,0,6931,0,32534114,0,32534114,0,4694.0,4694.0,,,0.0,1389-06-01
2010-08-29,1,0,3,0,3000,0,3000,0,14565000,0,14565000,0,4855.0,4855.0,,,0.0,1389-06-07
2010-09-06,1,0,1,0,216,0,216,0,1090584,0,1090584,0,5049.0,5049.0,,,0.0,1389-06-15
2010-09-08,4,0,2,0,4086,0,4086,0,19356624,0,19356624,0,4737.303964757709,4737.303964757709,,,0.0,1389-06-17
2010-09-19,2,0,1,1,28000,0,1000,27000,141036000,0,5037000,135999000,5037.0,5037.0,,5037.0,27000.0,1389-06-28
2010-09-20,3,0,1,1,7749,0,1000,6749,38385920,0,5037000,33348920,4953.661117563556,5037.0,,4941.312787079567,6749.0,1389-06-29
2010-09-21,1,0,0,1,10869,0,0,10869,51910344,0,0,51910344,4776.0,,,4776.0,10869.0,1389-06-30
2010-09-22,1,0,0,1,416,0,0,416,1986816,0,0,1986816,4776.0,,,4776.0,416.0,1389-06-31
2010-09-25,2,0,0,1,5263,0,0,5263,24862412,0,0,24862412,4724.0,,,4724.0,5263.0,1389-07-03
2010-09-29,1,0,0,1,10000,0,0,10000,47240000,0,0,47240000,4724.0,,,4724.0,10000.0,1389-07-07
2010-10-02,1,0,0,1,2000,0,0,2000,9448000,0,0,9448000,4724.0,,,4724.0,2000.0,1389-07-10
2010-10-03,1,0,1,1,1000,0,502,498,4711450,0,2358898,2352552,4711.45,4699.0,,4724.0,498.0,1389-07-11
2010-10-05,1,0,0,1,64205,0,0,64205,303304420,0,0,303304420,4724.0,,,4724.0,64205.0,1389-07-13
2010-10-10,1,0,1,0,3410,0,3410,0,16108840,0,16108840,0,4724.0,4724.0,,,0.0,1389-07-18
2010-10-13,1,0,0,1,2000,0,0,2000,9110000,0,0,9110000,4555.0,,,4555.0,2000.0,1389-07-21
2010-10-24,1,0,1,0,270,0,270,0,1223910,0,1223910,0,4533.0,4533.0,,,0.0,1389-08-02
2010-12-14,1,0,0,1,1730,0,0,1730,7961460,0,0,7961460,4602.0,,,4602.0,1730.0,1389-09-23
2011-01-15,1,0,0,1,200,0,0,200,920400,0,0,920400,4602.0,,,4602.0,200.0,1389-10-25
2011-03-02,0,1,0,1,0,1578,0,1578,0,7430802,0,7430802,,,4709.0,4709.0,0.0,1389-12-11
2011-04-06,2,0,0,1,5000,0,0,5000,24000000,0,0,24000000,4800.0,,,4800.0,5000.0,1390-01-17
2011-04-11,2,0,2,0,8025,0,8025,0,39384675,0,39384675,0,4907.747663551402,4907.747663551402,,,0.0,1390-01-22
2011-04-12,1,0,1,1,4000,0,2700,1300,19200000,0,12960000,6240000,4800.0,4800.0,,4800.0,1300.0,1390-01-23
2011-04-13,1,0,0,1,100,0,0,100,489000,0,0,489000,4890.0,,,4890.0,100.0,1390-01-24
2011-04-26,1,0,2,0,2524,0,2524,0,11610400,0,11610400,0,4600.0,4600.0,,,0.0,1390-02-06
2011-04-30,1,0,1,0,375,0,375,0,1725000,0,1725000,0,4600.0,4600.0,,,0.0,1390-02-10
