date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-01,0,2,1,1,0,910,900,10,0,16628560,16440300,188260,,18267.0,18273.14285714286,18826.0,-900.0,1387-09-11
2008-12-02,0,4,1,1,0,2710,2700,10,0,49495520,49307400,188120,,18262.0,18264.029520295204,18812.0,-2700.0,1387-09-12
2008-12-07,1,0,1,0,77,0,77,0,1405096,0,1405096,0,18248.0,18248.0,,,0.0,1387-09-17
2008-12-20,0,1,1,0,0,1000,1000,0,0,18248000,18248000,0,,18248.0,18248.0,,-1000.0,1387-09-30
2009-02-07,1,2,11,0,5000,32100,37100,0,55749000,467579000,523328000,0,11149.8,14105.87601078167,14566.32398753894,,-32100.0,1387-11-19
2009-03-11,0,1,13,3,0,88000,48873,39127,0,724856754,402572632,322284122,,8237.117263110511,8237.008568181818,8236.872798834564,-48873.0,1387-12-21
2009-03-14,1,0,1,0,371,0,371,0,2964290,0,2964290,0,7990.0,7990.0,,,0.0,1387-12-24
2009-03-16,0,1,7,3,0,140025,23024,117001,0,1118799750,183961760,934837990,,7990.0,7990.0,7990.0,-23024.0,1387-12-26
2009-03-17,0,1,0,2,0,11194,0,11194,0,90352000,0,90352000,,,8071.466857244953,8071.466857244953,0.0,1387-12-27
2009-04-25,1,0,1,0,10,0,10,0,83190,0,83190,0,8319.0,8319.0,,,0.0,1388-02-05
2009-05-04,1,0,2,0,2425,0,2425,0,19872390,0,19872390,0,8194.8,8194.8,,,0.0,1388-02-14
2009-05-27,1,0,1,0,365,0,365,0,2993000,0,2993000,0,8200.0,8200.0,,,0.0,1388-03-06
2009-05-31,2,0,1,0,1916,0,1916,0,15711200,0,15711200,0,8200.0,8200.0,,,0.0,1388-03-10
2009-07-05,2,0,1,0,600,0,600,0,4920000,0,4920000,0,8200.0,8200.0,,,0.0,1388-04-14
2009-08-12,5,2,4,1,90000,144101,14101,220000,748890000,1198484690,116754690,1830620000,8321.0,8279.887242039571,8316.976912026981,8321.0,75899.0,1388-05-21
2009-08-15,5,0,6,0,30154,0,30154,0,258359472,0,258359472,0,8568.0,8568.0,,,0.0,1388-05-24
2009-08-16,3,0,4,0,6707,0,6707,0,57655788,0,57655788,0,8596.360220664978,8596.360220664978,,,0.0,1388-05-25
2009-08-17,3,1,2,2,45500,266000,26000,285500,391800500,2290526000,223886000,2458440500,8611.0,8611.0,8611.0,8611.0,19500.0,1388-05-26
2009-08-18,4,0,3,1,19696,0,12400,7296,172888824,0,108180600,64708224,8777.864744110479,8724.241935483871,,8869.0,7296.0,1388-05-27
2009-08-19,5,0,4,1,15750,0,10050,5700,139557450,0,88997450,50560000,8860.790476190476,8855.467661691542,,8870.17543859649,5700.0,1388-05-28
2009-08-22,2,1,6,1,12100,125870,52476,85494,107714200,1120484740,467131352,761067588,8902.0,8901.80943669487,8901.920552951458,8902.0,-40376.0,1388-05-31
2009-08-26,0,1,9,0,0,55923,55923,0,0,507244056,507244056,0,,9070.40137331688,9070.40137331688,,-55923.0,1388-06-04
2009-08-29,1,0,2,0,3200,0,3200,0,29254400,0,29254400,0,9142.0,9142.0,,,0.0,1388-06-07
2009-09-08,1,1,9,1,592,81996,42588,40000,5410880,746849816,386420696,365840000,9140.0,9073.464262233492,9108.36889604371,9146.0,-41996.0,1388-06-17
2009-09-09,0,1,2,1,0,14900,5400,9500,0,135590000,49140000,86450000,,9100.0,9100.0,9100.0,-5400.0,1388-06-18
2009-09-13,0,1,3,0,0,1544,1544,0,0,13684000,13684000,0,,8862.694300518135,8862.694300518135,,-1544.0,1388-06-22
2009-09-16,1,0,1,0,500,0,500,0,4490000,0,4490000,0,8980.0,8980.0,,,0.0,1388-06-25
2010-03-28,2,1,4,0,11452,8258,19710,0,66936940,48268010,115204950,0,5845.0,5845.0,5845.0,,-8258.0,1389-01-08
2010-04-18,4,1,10,2,28705,214669,132863,110511,213155505,1617715934,1000007145,830864294,7425.727399407769,7526.603681988214,7535.861880383288,7518.385445792726,-104158.0,1389-01-29
2010-04-19,2,2,10,0,5265,28982,34247,0,39790350,214967320,254757670,0,7557.521367521367,7438.831722486641,7417.27002967359,,-28982.0,1389-01-30
2010-04-20,5,1,3,0,10439,1958,12397,0,76043300,14195500,90238800,0,7284.53874892231,7279.083649269985,7250.0,,-1958.0,1389-01-31
2010-04-21,1,1,8,0,640,14165,14805,0,4965760,106713190,111678950,0,7759.0,7543.326578858494,7533.582068478645,,-14165.0,1389-02-01
2010-04-26,1,0,1,0,177,0,177,0,1373874,0,1373874,0,7762.0,7762.0,,,0.0,1389-02-06
2010-04-27,0,1,1,0,0,1754,1754,0,0,13155000,13155000,0,,7500.0,7500.0,,-1754.0,1389-02-07
2010-05-01,0,1,1,0,0,178,178,0,0,1335000,1335000,0,,7500.0,7500.0,,-178.0,1389-02-11
2010-05-05,1,0,3,0,4673,0,4673,0,35514800,0,35514800,0,7600.0,7600.0,,,0.0,1389-02-15
2010-05-10,1,0,2,0,2565,0,2565,0,19665465,0,19665465,0,7666.847953216375,7666.847953216375,,,0.0,1389-02-20
2010-05-23,0,1,1,0,0,1300,1300,0,0,9414600,9414600,0,,7242.0,7242.0,,-1300.0,1389-03-02
2010-05-24,0,1,1,0,0,2000,2000,0,0,14490000,14490000,0,,7245.0,7245.0,,-2000.0,1389-03-03
2010-06-01,0,1,1,0,0,435,435,0,0,3152445,3152445,0,,7247.0,7247.0,,-435.0,1389-03-11
2010-06-02,1,0,1,0,64,0,64,0,479936,0,479936,0,7499.0,7499.0,,,0.0,1389-03-12
2010-06-12,1,1,2,0,65,1088,1153,0,473330,7921728,8395058,0,7282.0,7281.056374674761,7281.0,,-1088.0,1389-03-22
2010-06-13,0,1,1,0,0,2500,2500,0,0,18202500,18202500,0,,7281.0,7281.0,,-2500.0,1389-03-23
2010-06-21,0,1,1,0,0,2635,2635,0,0,20439695,20439695,0,,7757.0,7757.0,,-2635.0,1389-03-31
2010-06-22,0,1,1,0,0,260,260,0,0,1888640,1888640,0,,7264.0,7264.0,,-260.0,1389-04-01
2010-07-04,0,1,1,0,0,24,24,0,0,179952,179952,0,,7498.0,7498.0,,-24.0,1389-04-13
2010-07-17,6,0,0,1,23000,0,0,23000,179331000,0,0,179331000,7797.0,,,7797.0,23000.0,1389-04-26
2010-07-20,7,2,0,1,100000,50000,0,150000,783100000,391550000,0,1174650000,7831.0,,7831.0,7831.0,100000.0,1389-04-29
2010-07-21,4,1,1,1,137000,15000,2000,150000,1102439000,120705000,16094000,1207050000,8047.0,8047.0,8047.0,8047.0,135000.0,1389-04-30
2010-07-24,0,1,3,0,0,3399,3399,0,0,28119927,28119927,0,,8273.0,8273.0,,-3399.0,1389-05-02
2010-07-25,2,2,0,2,3201,202949,0,206150,26497878,1680011822,0,1706509700,8278.0,,8278.0,8278.0,3201.0,1389-05-03
2010-07-26,8,1,0,1,90000,30000,0,120000,773280000,257760000,0,1031040000,8592.0,,8592.0,8592.0,90000.0,1389-05-04
2010-07-28,1,1,5,0,1132,27185,28317,0,9941224,238734736,248675960,0,8782.0,8781.861072853762,8781.85528784256,,-27185.0,1389-05-06
2010-07-31,0,1,0,1,0,30000,0,30000,0,264840000,0,264840000,,,8828.0,8828.0,0.0,1389-05-09
2010-08-01,0,1,3,1,0,203712,3712,200000,0,1808350412,32950412,1775400000,,8876.727370689656,8876.995032202325,8877.0,-3712.0,1389-05-10
2010-08-02,4,1,5,1,5457,261989,252446,15000,49125700,2355416110,2269556810,134985000,9002.32728605461,8990.266472829833,8990.515288809836,8999.0,-246989.0,1389-05-11
2010-08-04,0,1,6,0,0,4281,4281,0,0,38529000,38529000,0,,9000.0,9000.0,,-4281.0,1389-05-13
2010-08-07,1,1,3,0,1000,1531,2531,0,9200000,13779000,22979000,0,9200.0,9079.020150138283,9000.0,,-1531.0,1389-05-16
2010-08-09,1,0,2,0,540,0,540,0,4968000,0,4968000,0,9200.0,9200.0,,,0.0,1389-05-18
2010-08-10,0,1,2,0,0,988,988,0,0,8892000,8892000,0,,9000.0,9000.0,,-988.0,1389-05-19
2010-08-11,1,0,1,0,1696,0,1696,0,15603200,0,15603200,0,9200.0,9200.0,,,0.0,1389-05-20
2010-08-14,0,1,0,1,0,100,0,100,0,910100,0,910100,,,9101.0,9101.0,0.0,1389-05-23
2010-08-15,1,0,2,0,2000,0,2000,0,18200000,0,18200000,0,9100.0,9100.0,,,0.0,1389-05-24
2010-08-16,2,1,2,0,1431,3324,4755,0,12950550,30048960,42999510,0,9050.0,9043.009463722396,9040.0,,-3324.0,1389-05-25
2010-08-18,1,1,0,1,100,30000,0,30100,906000,271500000,0,272406000,9060.0,,9050.0,9050.033222591364,100.0,1389-05-27
2010-08-22,0,1,1,0,0,395,395,0,0,3555395,3555395,0,,9001.0,9001.0,,-395.0,1389-05-31
2010-08-24,1,1,0,1,2000,10000,0,12000,18000000,90010000,0,108010000,9000.0,,9001.0,9000.833333333334,2000.0,1389-06-02
