date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2016-11-13,31,0,4,1,614199,0,122370,491829,3070954682,0,611809682,2459145000,4999.934356780132,4999.670523821198,,5000.0,491829.0,1395-08-23
2016-11-14,46,0,15,1,98978,0,98748,230,497278491,0,496096291,1182200,5024.1315342803455,5023.861657957629,,5140.0,230.0,1395-08-24
2016-11-15,21,2,7,0,54672,21570,76242,0,264395390,102736500,367131890,0,4836.029228855721,4815.349676031584,4762.934631432545,,-21570.0,1395-08-25
2016-11-16,12,1,5,0,56150,375,56525,0,268431750,1786500,270218250,0,4780.618878005343,4780.508624502432,4764.0,,-375.0,1395-08-26
2016-11-19,5,1,10,0,29563,398,29961,0,143377905,1902838,145280743,0,4849.91053005446,4848.995126998431,4781.0,,-398.0,1395-08-29
2016-11-21,7,1,6,0,49413,6257,55670,0,236580510,29955802,266536312,0,4787.819197377208,4787.790767019939,4787.566245804699,,-6257.0,1395-09-01
2016-11-22,11,0,13,0,18558,0,18558,0,88005417,0,88005417,0,4742.182185580343,4742.182185580343,,,0.0,1395-09-02
2016-11-23,6,1,8,0,3649,12074,15723,0,17362617,57943126,75305743,0,4758.184982186901,4789.527634675316,4799.0,,-12074.0,1395-09-03
2016-11-26,6,0,5,0,87714,0,87714,0,421080945,0,421080945,0,4800.612730008893,4800.612730008893,,,0.0,1395-09-06
2016-11-27,13,1,10,0,41342,98937,140279,0,195904414,466996082,662900496,0,4738.629335784432,4725.58612479416,4720.135864236838,,-98937.0,1395-09-07
2016-11-29,2,2,4,0,5232,35000,40232,0,25456145,169975000,195431145,0,4865.471139143731,4857.604518791012,4856.428571428572,,-35000.0,1395-09-09
2016-12-03,4,0,3,0,11701,0,11701,0,56097495,0,56097495,0,4794.247927527562,4794.247927527562,,,0.0,1395-09-13
2016-12-04,7,0,10,1,77689,0,16989,60700,369828189,0,81142279,288685910,4760.367478021341,4776.165695449997,,4755.9457990115325,60700.0,1395-09-14
2016-12-05,5,0,6,0,33760,0,33760,0,161883450,0,161883450,0,4795.125888625593,4795.125888625593,,,0.0,1395-09-15
2016-12-06,13,0,7,0,42569,0,42569,0,200340390,0,200340390,0,4706.250792830463,4706.250792830463,,,0.0,1395-09-16
2016-12-07,6,0,7,1,35013,0,20013,15000,166811555,0,95111555,71700000,4764.274840773427,4752.488632388947,,4780.0,15000.0,1395-09-17
2016-12-10,6,0,11,0,42145,0,42145,0,201706288,0,201706288,0,4786.007545379049,4786.007545379049,,,0.0,1395-09-20
2016-12-11,1,0,4,0,16870,0,16870,0,80399900,0,80399900,0,4765.850622406639,4765.850622406639,,,0.0,1395-09-21
2016-12-12,7,1,9,2,65841,50000,75841,40000,312059866,235260568,357120434,190200000,4739.597910116797,4708.804393401986,4705.21136,4755.0,-10000.0,1395-09-22
2016-12-13,3,0,1,0,2500,0,2500,0,11675109,0,11675109,0,4670.0436,4670.0436,,,0.0,1395-09-23
2016-12-14,3,0,13,3,73247,0,29497,43750,351351146,0,141349966,210001180,4796.799131705053,4792.011594399431,,4800.026971428571,43750.0,1395-09-24
2016-12-18,1,0,1,0,215,0,215,0,1010500,0,1010500,0,4700.0,4700.0,,,0.0,1395-09-28
2016-12-19,8,1,18,2,173191,30971,178412,25750,832496590,149159274,857795864,123860000,4806.812074530431,4807.949375602538,4816.094862936296,4810.097087378641,-5221.0,1395-09-29
2016-12-20,2,0,5,0,19440,0,19440,0,93313089,0,93313089,0,4800.056018518519,4800.056018518519,,,0.0,1395-09-30
2016-12-21,3,0,3,0,70967,0,70967,0,340456965,0,340456965,0,4797.398297800386,4797.398297800386,,,0.0,1395-10-01
2016-12-24,3,0,4,0,29699,0,29699,0,142557310,0,142557310,0,4800.071046163171,4800.071046163171,,,0.0,1395-10-04
2016-12-25,3,0,9,0,37694,0,37694,0,180931700,0,180931700,0,4800.013264710564,4800.013264710564,,,0.0,1395-10-05
2016-12-26,3,1,9,0,315500,7749,323249,0,1513780000,36807750,1550587750,0,4798.034865293185,4796.883362361523,4750.0,,-7749.0,1395-10-06
