date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2015-04-05,186,8,129,3,5195927,516535,2882548,2829914,60907008663,5989226324,33551730994,33344503993,11722.06781638772,11639.60877459803,11595.00580599572,11782.868310839129,2313379.0,1394-01-16
2015-04-06,82,2,111,3,1561518,564538,1702394,423662,17053612310,6126695500,18590152896,4590154914,10921.175618852936,10920.006118442616,10852.58299707017,10834.473976896676,-140876.0,1394-01-17
2015-04-07,42,3,48,1,667783,76000,693783,50000,7128632329,812096560,7407728889,533000000,10675.073083621475,10677.299514401477,10685.48105263158,10660.0,-26000.0,1394-01-18
2015-04-08,36,1,32,0,344652,6000,350652,0,3726744210,64512000,3791256210,0,10813.064221301487,10812.019352520449,10752.0,,-6000.0,1394-01-19
2015-04-11,24,1,26,0,264748,225027,489775,0,2796969182,2420340576,5217309758,0,10564.647068155378,10652.462371497117,10755.778533242676,,-225027.0,1394-01-22
2015-04-12,23,0,37,0,673945,0,673945,0,7103997368,0,7103997368,0,10540.915605872882,10540.915605872882,,,0.0,1394-01-23
2015-04-13,22,2,28,0,380203,69136,449339,0,3990142091,727002080,4717144171,0,10494.76750840998,10497.96294334567,10515.535755612127,,-69136.0,1394-01-24
2015-04-14,13,1,12,1,38025,45000,70325,12700,400047780,472129850,738905230,133272400,10520.6516765286,10507.006469960896,10491.774444444443,10493.889763779527,-32300.0,1394-01-25
2015-04-15,16,1,22,1,497318,100000,426318,171000,5235317277,1050000000,4489722749,1795594528,10527.101928745791,10531.393816353053,10500.0,10500.552795321635,71000.0,1394-01-26
2015-04-18,19,0,22,0,180129,0,180129,0,1888634530,0,1888634530,0,10484.89987731015,10484.89987731015,,,0.0,1394-01-29
2015-04-19,22,2,15,3,286139,100291,198453,187977,3000100412,1053003120,2080235241,1972868291,10484.765837582434,10482.256458708109,10499.47771983528,10495.264266373011,87686.0,1394-01-30
2015-04-20,12,0,8,0,74837,0,74837,0,780986752,0,780986752,0,10435.83724628192,10435.83724628192,,,0.0,1394-01-31
2015-04-21,26,2,19,0,360789,358689,719478,0,3758173318,3730176170,7488349488,0,10416.540742650135,10408.031222636411,10399.47188232703,,-358689.0,1394-02-01
2015-04-22,18,2,14,1,25414,109868,35282,100000,264077630,1143463856,366668958,1040872528,10391.029747383333,10392.52190918882,10407.615101758474,10408.72528,-9868.0,1394-02-02
2015-04-25,10,1,9,0,191686,5000,196686,0,1994373067,52050000,2046423067,0,10404.375212587252,10404.51820160052,10410.0,,-5000.0,1394-02-05
2015-04-26,17,0,18,0,136618,0,136618,0,1424451032,0,1424451032,0,10426.525289493333,10426.525289493333,,,0.0,1394-02-06
2015-04-27,26,1,31,1,371670,100000,401670,70000,3869089614,1040000000,4180812044,728277570,10410.013221406089,10408.574312246372,10400.0,10403.965285714286,-30000.0,1394-02-07
2015-04-28,37,1,49,1,358181,130124,438305,50000,3719678189,1351696748,4552348778,519026159,10384.912066804214,10386.2579208542,10387.758968368633,10380.52318,-80124.0,1394-02-08
2015-04-29,21,1,27,2,286903,100000,216086,170817,2988680792,1040000000,2249849374,1778831418,10417.042665988156,10411.823875679129,10400.0,10413.66736331864,70817.0,1394-02-09
2015-05-03,26,1,10,1,231678,100000,155678,176000,2410172142,1039000000,1619102660,1830069482,10403.11182762282,10400.33055409242,10390.0,10398.122056818182,76000.0,1394-02-13
2015-05-04,17,0,20,0,228421,0,228421,0,2374790712,0,2374790712,0,10396.5515955188,10396.5515955188,,,0.0,1394-02-14
2015-05-05,28,0,17,0,283755,0,283755,0,2946874008,0,2946874008,0,10385.276058571657,10385.276058571657,,,0.0,1394-02-15
2015-05-06,20,1,9,0,136984,259,137243,0,1422339595,2689715,1425029310,0,10383.2534821585,10383.256778123474,10385.0,,-259.0,1394-02-16
2015-05-09,23,0,12,2,246976,0,219976,27000,2561859506,0,2281742506,280117000,10372.908727973569,10372.688411463068,,10374.703703703704,27000.0,1394-02-19
2015-05-10,12,0,15,3,184109,0,109109,75000,1910792186,0,1130142186,780650000,10378.591953679614,10357.919016763051,,10408.666666666666,75000.0,1394-02-20
2015-05-11,20,0,7,2,153700,0,47300,106400,1596621990,0,490984100,1105637890,10387.911450878337,10380.213530655392,,10391.33355263158,106400.0,1394-02-21
2015-05-12,15,0,7,0,120151,0,120151,0,1246406905,0,1246406905,0,10373.670672736804,10373.670672736804,,,0.0,1394-02-22
2015-05-13,9,0,10,0,55010,0,55010,0,570578200,0,570578200,0,10372.263224868206,10372.263224868206,,,0.0,1394-02-23
2015-05-17,15,0,9,0,86380,0,86380,0,896019450,0,896019450,0,10372.996642741376,10372.996642741376,,,0.0,1394-02-27
2015-05-18,13,0,7,1,36045,0,19404,16641,373999973,0,201485072,172514901,10375.91824108753,10383.687487116058,,10366.859022895258,16641.0,1394-02-28
2015-05-19,11,1,10,1,65243,9009,35893,38359,677411070,93396303,373120270,397687103,10382.892724123662,10395.349232440863,10367.0,10367.50444484997,29350.0,1394-02-29
2015-05-20,8,1,8,1,147125,1991,96075,53041,1529971797,20706400,999022625,551655572,10399.128611724724,10398.36195680458,10400.0,10400.549989630665,51050.0,1394-02-30
