date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-08-05,5413107,2441,0,1,83961822,38178,0,84000000,528959478600,240521400,0,529200000000,6300.0,,6300.0,6300.0,83961822.0,1399-05-15
2020-08-09,5,0,8705,9,134716,0,134573,143,891146340,0,890200395,945945,6615.0,6615.0,,6615.0,143.0,1399-05-19
2020-08-10,52,0,13032,11,3554269,0,199225,3355044,23529260780,0,1318869500,22210391280,6620.0,6620.0,,6620.0,3355044.0,1399-05-20
2020-08-11,2,0,9406,9,143652,0,143509,143,972236736,0,971268912,967824,6768.0,6768.0,,6768.0,143.0,1399-05-21
2020-08-12,2,0,6664,8,102143,0,102016,127,691916682,0,691056384,860298,6774.0,6774.0,,6774.0,127.0,1399-05-22
2020-08-15,2,0,8100,4,124340,0,124277,63,842776520,0,842349506,427014,6778.0,6778.0,,6778.0,63.0,1399-05-25
2020-08-16,2,0,7292,2,111978,0,111948,30,759658752,0,759455232,203520,6784.0,6784.0,,6784.0,30.0,1399-05-26
2020-08-17,3,0,11600,15,178210,0,177974,236,1209867690,0,1208265486,1602204,6789.0,6789.0,,6789.0,236.0,1399-05-27
2020-08-18,2,0,11899,6,182994,0,182917,77,1243627224,0,1243103932,523292,6796.0,6796.0,,6796.0,77.0,1399-05-28
2020-08-19,2,0,8055,11,124252,0,124076,176,845534860,0,844337180,1197680,6805.0,6805.0,,6805.0,176.0,1399-05-29
2020-08-22,5,0,7615,8,124007,0,117411,6596,844487670,0,799568910,44918760,6810.0,6810.0,,6810.0,6596.0,1399-06-01
2020-09-01,72,0,71768,148,7349617,0,1809655,5539962,95824338416,0,23370191524,72454146892,13038.00434988653,12914.16956491707,,13078.455572799958,5539962.0,1399-06-11
2020-09-02,17,0,56573,22,961082,0,958315,2767,12582485544,0,12546259980,36225564,13092.0,13092.0,,13092.0,2767.0,1399-06-12
2020-09-05,11,0,49427,23,778453,0,777521,932,10253004463,0,10240729091,12275372,13171.0,13171.0,,13171.0,932.0,1399-06-15
2020-09-06,11,0,39849,22,794974,0,670458,124516,10572359226,0,8916420942,1655938284,13299.0,13299.0,,13299.0,124516.0,1399-06-16
2020-09-07,20,0,56198,43,1713168,0,1375837,337331,23009559408,0,18478866747,4530692661,13431.0,13431.0,,13431.0,337331.0,1399-06-17
2020-09-08,22,1,57300,17,1197171,100000,1295432,1739,16425186120,1372000000,17773327040,23859080,13720.0,13720.0,13720.0,13720.0,-98261.0,1399-06-18
2020-09-09,20,1,47097,24,748975,100000,766899,82076,10443707400,1394400000,10693639656,1144467744,13944.0,13944.0,13944.0,13944.0,-17924.0,1399-06-19
2020-09-20,11,0,63031,16,985444,0,985192,252,13886876848,0,13883325664,3551184,14092.0,14092.0,,14092.0,252.0,1399-06-30
2020-09-21,13,0,53733,57,1037963,0,879529,158434,14818997751,0,12557035533,2261962218,14277.0,14277.0,,14277.0,158434.0,1399-06-31
2020-09-22,18,2,39991,110,473929,200000,640635,33294,6860596204,2895200000,9273832260,481963944,14476.0,14476.0,14476.0,14476.0,-166706.0,1399-07-01
2020-09-23,9,0,44371,20,748310,0,712508,35802,10930564170,0,10407604356,522959814,14607.0,14607.0,,14607.0,35802.0,1399-07-02
2020-09-26,12,0,42880,12,685537,0,685348,189,10114412898,0,10111624392,2788506,14754.0,14754.0,,14754.0,189.0,1399-07-05
2020-09-27,13,0,37336,13,1002950,0,983440,19510,14939943200,0,14649322240,290620960,14896.0,14896.0,,14896.0,19510.0,1399-07-06
2020-09-28,12,0,39871,14,638585,0,638366,219,9646465010,0,9643156796,3308214,15106.0,15106.0,,15106.0,219.0,1399-07-07
2020-09-29,7,0,41739,16,655614,0,654884,730,9992212974,0,9981087044,11125930,15241.0,15241.0,,15241.0,730.0,1399-07-08
2020-09-30,10,0,33748,31,574350,0,573858,492,8834651700,0,8827083756,7567944,15382.0,15382.0,,15382.0,492.0,1399-07-09
2020-10-03,9,0,45279,22,737217,0,735529,1688,11431286802,0,11405112674,26174128,15506.0,15506.0,,15506.0,1688.0,1399-07-12
2020-10-04,10,0,36067,28,582109,0,580688,1421,9124558575,0,9102284400,22274175,15675.0,15675.0,,15675.0,1421.0,1399-07-13
2020-10-05,11,0,35912,51,684566,0,683744,822,10822303894,0,10809308896,12994998,15809.0,15809.0,,15809.0,822.0,1399-07-14
2020-10-07,14,1,56450,28,888012,100000,987572,440,14180663628,1596900000,15770537268,7026360,15969.0,15969.0,15969.0,15969.0,-99560.0,1399-07-16
2020-10-10,20,0,40645,19,836303,0,818456,17847,13549781206,0,13260624112,289157094,16202.0,16202.0,,16202.0,17847.0,1399-07-19
2020-10-11,17,0,46478,26,864940,0,717674,147266,14194530340,0,11777748014,2416782326,16411.0,16411.0,,16411.0,147266.0,1399-07-20
2020-10-12,12,0,45271,21,809505,0,807355,2150,13461258645,0,13425506295,35752350,16629.0,16629.0,,16629.0,2150.0,1399-07-21
2020-10-13,15,0,40446,25,626120,0,625727,393,10541982440,0,10535365499,6616941,16837.0,16837.0,,16837.0,393.0,1399-07-22
2020-10-14,61,1,31627,16,3475158,16719,491121,3000756,59077686000,284223000,8349057000,51012852000,17000.0,17000.0,17000.0,17000.0,2984037.0,1399-07-23
2020-10-18,59,0,33731,8,3535058,0,534948,3000110,63100785300,0,9548821800,53551963500,17850.0,17850.0,,17850.0,3000110.0,1399-07-27
