date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2019-07-29,46,1,113,1,49969,50000,79969,20000,1348762450,1400000000,2188762450,560000000,26991.98403009866,27370.136552914253,28000.0,28000.0,-30000.0,1398-05-07
2019-07-30,61,0,81,0,116356,0,116356,0,3040770770,0,3040770770,0,26133.33880504658,26133.33880504658,,,0.0,1398-05-08
2019-07-31,18,0,44,0,15257,0,15257,0,404250740,0,404250740,0,26496.08310939241,26496.08310939241,,,0.0,1398-05-09
2019-08-03,24,0,63,1,66622,0,56725,9897,1786659358,0,1519569019,267090339,26817.858335084507,26788.347624504186,,26987.0,9897.0,1398-05-12
2019-08-04,20,0,38,3,53352,0,22858,30494,1474899038,0,626052029,848847009,27644.68132403659,27388.74919065535,,27836.525513215714,30494.0,1398-05-13
2019-08-05,30,0,36,2,68308,0,61110,7198,2006250689,0,1792657545,213593144,29370.65481349183,29334.929553264607,,29673.957210336204,7198.0,1398-05-14
2019-08-06,29,1,61,1,66226,50000,92511,23715,2040524388,1532921387,2850795022,722650753,30811.530033521576,30815.741068629675,30658.42774,30472.30668353363,-26285.0,1398-05-15
2019-08-07,39,1,33,3,53134,151800,70867,134067,1721953665,4865063928,2291707701,4295309892,32407.75520382429,32338.15035206796,32049.169486166007,32038.532166752444,-17733.0,1398-05-16
2019-08-13,25,1,24,0,44336,60000,104336,0,1539656943,2047116558,3586773501,0,34727.015134428,34377.142127357765,34118.6093,,-60000.0,1398-05-22
2019-08-14,27,1,34,1,31793,40000,50993,20800,1090946784,1392000000,1763266784,719680000,34314.05605007392,34578.60459278725,34800.0,34600.0,-19200.0,1398-05-23
2019-08-17,43,1,25,1,101447,80000,173676,7771,3175007149,2532449420,5457028323,250428246,31297.20099165081,31420.739324949907,31655.61775,32226.0,-72229.0,1398-05-26
2019-08-18,10,0,15,0,13510,0,13510,0,420962101,0,420962101,0,31159.29689119171,31159.29689119171,,,0.0,1398-05-27
2019-08-19,25,0,42,1,151880,0,78991,72889,4710313006,0,2407721772,2302591234,31013.385607058204,30480.96329961641,,31590.38035917628,72889.0,1398-05-28
2019-08-21,18,0,30,1,67102,0,41209,25893,2123614333,0,1302054867,821559466,31647.556451372537,31596.37135091849,,31729.01811300352,25893.0,1398-05-30
2019-08-24,12,0,30,2,60699,0,19597,41102,1985375463,0,638682185,1346693278,32708.536598626008,32590.81415522784,,32764.665417741227,41102.0,1398-06-02
2019-08-25,10,0,38,0,81335,0,81335,0,2634772749,0,2634772749,0,32394.08310075613,32394.08310075613,,,0.0,1398-06-03
2019-08-26,27,1,18,2,57361,20000,24172,53189,1823501322,633600000,770049811,1687051511,31789.915133976046,31857.09957802416,31680.0,31718.052811671587,33189.0,1398-06-04
2019-08-27,19,2,17,1,69918,15000,5667,79251,2243718217,485000000,184660928,2544057289,32090.709359535456,32585.30580554085,32333.33333333333,32101.26419855901,64251.0,1398-06-05
2019-08-28,17,0,8,1,51487,0,3849,47638,1649816845,0,126047534,1523769311,32043.36716064249,32748.125227331773,,31986.42493387632,47638.0,1398-06-06
2019-08-31,13,0,34,0,83189,0,83189,0,2665307998,0,2665307998,0,32039.187849355083,32039.187849355083,,,0.0,1398-06-09
2019-09-01,35,1,33,1,277510,15000,21203,271307,8409971482,450000000,681849988,8178121494,30305.111462649995,32158.18459651936,30000.0,30143.42237391589,256307.0,1398-06-10
2019-09-02,20,0,16,1,49591,0,41065,8526,1534631350,0,1278514583,256116767,30945.763344155188,31133.92385242908,,30039.49882711705,8526.0,1398-06-11
2019-09-03,14,1,6,0,54228,40000,94228,0,1631123100,1200000000,2831123100,0,30078.983182119937,30045.45464193233,30000.0,,-40000.0,1398-06-12
2019-09-04,38,0,13,1,119365,0,116305,3060,3445813581,0,3354013581,91800000,28867.87233276086,28838.08590344353,,30000.0,3060.0,1398-06-13
2019-09-07,46,0,49,1,154677,0,69442,85235,4824971773,0,2147114463,2677857310,31193.85411535005,30919.536634889548,,31417.343931483545,85235.0,1398-06-16
2019-09-08,50,1,49,1,191509,36898,128407,100000,6442336717,1192733580,4337136638,3297933659,33639.864011613034,33776.481328899514,32325.15529296981,32979.33659,63102.0,1398-06-17
2019-09-11,18,0,24,1,133940,0,11511,122429,4462180379,0,384425653,4077754726,33314.77063610572,33396.37329510903,,33307.09820385693,122429.0,1398-06-20
2019-09-14,13,0,19,0,20320,0,20320,0,650831955,0,650831955,0,32029.131643700788,32029.131643700788,,,0.0,1398-06-23
2019-09-15,6,0,9,0,12752,0,12752,0,405550577,0,405550577,0,31802.89970200753,31802.89970200753,,,0.0,1398-06-24
2019-09-16,8,0,37,0,149211,0,149211,0,4955269579,0,4955269579,0,33209.81414909088,33209.81414909088,,,0.0,1398-06-25
2019-09-17,12,1,10,1,72610,9000,75429,6181,2271852191,269109000,2343062390,197898801,31288.420203828675,31063.150644977395,29901.0,32017.278919268727,-2819.0,1398-06-26
2019-09-18,14,0,12,1,76727,0,58563,18164,2361653534,0,1803569534,558084000,30779.954044860347,30797.08235575363,,30724.73023563092,18164.0,1398-06-27
2019-09-21,13,1,17,1,268514,10000,118646,159868,8329211911,310110000,3683254043,4956067868,31019.655999314746,31044.064216239905,31011.0,31001.0,149868.0,1398-06-30
2019-09-22,26,1,27,1,63991,18038,60359,21670,2025734113,570566000,1905141113,691159000,31656.54721757747,31563.496959856857,31631.333850759507,31894.739270881404,3632.0,1398-06-31
2019-09-23,16,1,26,3,47264,500,10405,37359,1530886934,16125000,335564341,1211447593,32390.126396411644,32250.29706871696,32250.0,32427.19540137584,36859.0,1398-07-01
2019-09-24,26,0,54,5,790478,0,655684,134794,24887820217,0,20647703756,4240116461,31484.519767786074,31490.327285704698,,31456.270019437063,134794.0,1398-07-02
2019-09-25,32,2,38,2,120314,55013,150702,24625,3767663750,1695050053,4694604868,768108935,31315.25632927174,31151.576409072208,30811.80908148983,31192.241015228425,-30388.0,1398-07-03
2020-03-03,50,4,0,1,876661,523339,0,1400000,44921231800,26711411000,0,71632642800,51241.28003869227,,51040.36007253425,51166.17342857143,876661.0,1398-12-13
2020-03-04,43,4,0,1,661562,350000,0,1011562,34811302818,18375000000,0,53186302818,52619.86452970394,,52500.0,52578.39145598589,661562.0,1398-12-14
2020-03-07,6,2,0,1,140515,394300,0,534815,7447295000,20897900000,0,28345195000,53000.0,,53000.0,53000.0,140515.0,1398-12-17
2020-09-23,302,1,680,0,596047,4762,600809,0,35806544600,287885420,36094430020,0,60073.3576379044,60076.38038045369,60454.72910541789,,-4762.0,1399-07-02
2020-09-26,276,0,285,0,361082,0,361082,0,22805893770,0,22805893770,0,63159.87440525975,63159.87440525975,,,0.0,1399-07-05
2020-09-27,148,0,230,1,252543,0,247781,4762,14680771820,0,14410060220,270711600,58131.7709063407,58156.437418526846,,56848.29903401932,4762.0,1399-07-06
2020-09-28,68,0,103,1,165995,0,147966,18029,8696330050,0,7753052770,943277280,52389.10840687973,52397.52895935553,,52320.0,18029.0,1399-07-07
2020-09-29,129,0,201,2,204513,0,177231,27282,10941222790,0,9450522330,1490700460,53498.91102277117,53323.19024324187,,54640.43911736676,27282.0,1399-07-08
2020-09-30,118,0,175,1,226484,0,108433,118051,12328563310,0,6009293280,6319270030,54434.58835944261,55419.41364713694,,53530.0,118051.0,1399-07-09
2020-10-03,203,0,238,4,476842,0,273225,203617,27054494400,0,15725846330,11328648070,56736.81093527835,57556.39612041358,,55637.04440199001,203617.0,1399-07-12
2020-10-05,91,0,130,0,130857,0,130857,0,6566473670,0,6566473670,0,50180.53042634326,50180.53042634326,,,0.0,1399-07-14
2020-10-06,54,0,209,1,308071,0,226122,81949,16925803730,0,12402218930,4523584800,54941.24318744705,54847.46698684781,,55200.0,81949.0,1399-07-15
2020-10-07,70,1,196,0,373572,69969,443541,0,22561738000,4228016010,26789754010,0,60394.61736961014,60399.72406158619,60426.98923809116,,-69969.0,1399-07-16
2020-10-10,506,4,359,3,1080803,537111,1217911,400003,71613528860,35661599960,80698930070,26576198750,66259.55781025774,66260.12087090108,66395.21432255158,66439.99857501069,-137108.0,1399-07-19
2020-10-11,343,1,348,2,649499,11684,643582,17601,42037026440,724408000,41601268240,1160166200,64722.23427595732,64640.19851394228,62000.0,65914.78893244702,5917.0,1399-07-20
2020-10-12,100,0,208,0,308135,0,308135,0,18914544950,0,18914544950,0,61383.95492235546,61383.95492235546,,,0.0,1399-07-21
2020-10-13,81,0,196,0,196675,0,196675,0,11833418020,0,11833418020,0,60167.37267064955,60167.37267064955,,,0.0,1399-07-22
2020-10-14,57,0,135,0,157062,0,157062,0,9164560060,0,9164560060,0,58349.95135678904,58349.95135678904,,,0.0,1399-07-23
2020-10-18,52,0,100,0,153196,0,153196,0,8863053130,0,8863053130,0,57854.33777644325,57854.33777644325,,,0.0,1399-07-27
2020-10-19,83,0,102,2,324859,0,183359,141500,17405035920,0,9839305800,7565730120,53577.20093948452,53661.4281273349,,53468.05738515901,141500.0,1399-07-28
2020-10-20,91,0,107,0,154131,0,154131,0,7941062410,0,7941062410,0,51521.513582601816,51521.513582601816,,,0.0,1399-07-29
2020-10-21,120,0,169,1,363120,0,354420,8700,20423352320,0,19930323320,493029000,56244.08548138356,56233.63049489306,,56670.0,8700.0,1399-07-30
2020-10-31,87,0,154,1,163879,0,133880,29999,9585308210,0,7845591880,1739716330,58490.15560260925,58601.67224380042,,57992.47741591386,29999.0,1399-08-10
2020-11-01,64,0,147,1,173615,0,172137,1478,9351647350,0,9272572350,79075000,53864.28217607926,53867.3983513132,,53501.35317997294,1478.0,1399-08-11
2020-11-02,67,0,94,1,213929,0,179434,34495,10990308280,0,9208518210,1781790070,51373.62526819645,51319.806781323496,,51653.57501087114,34495.0,1399-08-12
2020-11-04,110,0,110,3,511225,0,143848,367377,27026979610,0,7750830690,19276148920,52867.09298254194,53882.0886630332,,52469.66718112457,367377.0,1399-08-14
2020-11-07,99,0,74,1,203511,0,173054,30457,9754042170,0,8288863880,1465178290,47928.82040774209,47897.55729425497,,48106.45467380241,30457.0,1399-08-17
2020-11-08,56,0,33,1,91628,0,80146,11482,3961532350,0,3462639330,498893020,43234.95383507225,43204.14406208669,,43450.01045114092,11482.0,1399-08-18
2020-11-09,89,0,180,1,529471,0,461327,68144,22471946960,0,19581593240,2890353720,42442.262106895374,42446.23280232893,,42415.38095797136,68144.0,1399-08-19
2020-11-10,449,1,330,1,890633,29999,682028,238604,39532112020,1361446460,30442612370,10450946110,44386.53409429024,44635.4289999824,45383.061435381176,43800.3810078624,208605.0,1399-08-20
2020-11-11,313,0,497,3,1339218,0,860772,478446,55372429190,0,35799532540,19572896650,41346.83762464364,41590.02911340053,,40909.3119181684,478446.0,1399-08-21
2021-02-20,18,2,0,1,6785,494000,0,500785,340842000,24800000000,0,25140842000,50234.6352247605,,50202.42914979757,50202.86550116317,6785.0,1399-12-02
2021-02-21,4,1,0,1,1850,6000,0,7850,93944000,300000000,0,393944000,50780.54054054054,,50000.0,50183.94904458599,1850.0,1399-12-03
2021-02-22,10,3,0,1,25245,630000,0,655245,1220443800,30356000000,0,31576443800,48343.980986333925,,48184.12698412698,48190.28577097116,25245.0,1399-12-04
2021-02-23,4,0,0,1,5726,0,0,5726,272579600,0,0,272579600,47603.84212364652,,,47603.84212364652,5726.0,1399-12-05
2021-02-24,4,0,0,1,32708,0,0,32708,1556350800,0,0,1556350800,47583.18454200807,,,47583.18454200807,32708.0,1399-12-06
2021-02-27,4,1,0,1,17128,8638,0,25766,810154400,408577400,0,1218731800,47300.0,,47300.0,47300.0,17128.0,1399-12-09
2021-02-28,4,1,0,1,2433,100000,0,102433,114398600,4680000000,0,4794398600,47019.56432387998,,46800.0,46805.21511622231,2433.0,1399-12-10
2021-03-01,3,1,0,1,2112,100000,0,102112,98430400,4650000000,0,4748430400,46605.30303030303,,46500.0,46502.178000626765,2112.0,1399-12-11
2021-03-02,5,0,0,1,4720,0,0,4720,219480000,0,0,219480000,46500.0,,,46500.0,4720.0,1399-12-12
2021-03-03,1,0,0,1,161,0,0,161,7486500,0,0,7486500,46500.0,,,46500.0,161.0,1399-12-13
2021-03-06,8,2,0,1,16535,304000,0,320535,754692000,13832800000,0,14587492000,45642.09253099486,,45502.63157894737,45509.82576005741,16535.0,1399-12-16
2021-03-07,3,1,0,1,513,6000,0,6513,23122400,268800000,0,291922400,45072.9044834308,,44800.0,44821.49547059727,513.0,1399-12-17
2021-03-08,13,3,0,1,25090,540000,0,565090,1109100300,23868000000,0,24977100300,44204.8744519729,,44200.0,44200.2164257021,25090.0,1399-12-18
2021-03-09,28,2,0,1,518247,730700,0,1248947,22861899410,32167870000,0,55029769410,44113.90593674445,,44023.361160531,44060.9324575022,518247.0,1399-12-19
