date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-02-04,22307,277,0,1,51270390,5477913,0,56748303,193269672754,20499132026,0,213768804780,3769.6158104902265,,3742.14267842516,3766.9638293853473,51270390.0,1391-11-16
2013-02-05,159,1,20,1,435922,10000,23145,422777,1724071510,39550000,91538475,1672083035,3955.0,3955.0,3955.0,3955.0,412777.0,1391-11-17
2013-02-06,3,1,24,0,11346,7000,18346,0,47108592,29064000,76172592,0,4152.0,4152.0,4152.0,,-7000.0,1391-11-18
2013-02-09,26,1,44,0,57012,4000,61012,0,248515308,17436000,265951308,0,4359.0,4359.0,4359.0,,-4000.0,1391-11-21
2013-02-11,15,0,45,0,67236,0,67236,0,307671936,0,307671936,0,4576.0,4576.0,,,0.0,1391-11-23
2013-02-12,40,1,46,0,53050,8000,61050,0,254852200,38432000,293284200,0,4804.0,4804.0,4804.0,,-8000.0,1391-11-24
2013-02-13,39,1,95,0,116355,10000,126355,0,586894620,50440000,637334620,0,5044.0,5044.0,5044.0,,-10000.0,1391-11-25
2013-02-16,39,1,100,1,146141,10000,155141,1000,773962736,52960000,821626736,5296000,5296.0,5296.0,5296.0,5296.0,-9000.0,1391-11-28
2013-02-17,80,1,130,1,198572,10000,203572,5000,1104060320,55600000,1131860320,27800000,5560.0,5560.0,5560.0,5560.0,-5000.0,1391-11-29
2013-02-18,124,2,163,0,291796,18000,309796,0,1703505048,105084000,1808589048,0,5838.0,5838.0,5838.0,,-18000.0,1391-11-30
2013-02-19,448,7,859,5,2068515,129000,2179415,18100,12677928435,790641000,13357634535,110934900,6129.0,6129.0,6129.0,6129.0,-110900.0,1391-12-01
2013-02-20,334,4,475,1,994918,17000,990918,21000,6402297330,109395000,6376557330,135135000,6435.0,6435.0,6435.0,6435.0,4000.0,1391-12-02
2013-02-23,46,1,69,0,101552,3500,105052,0,686085312,23646000,709731312,0,6756.0,6756.0,6756.0,,-3500.0,1391-12-05
2013-02-24,409,9,669,3,2134717,145780,2229497,51000,15141547681,1034017540,15813822221,361743000,7093.0,7093.0,7093.0,7093.0,-94780.0,1391-12-06
2013-02-25,1497,56,9827,100,20076868,16653973,34487083,2243758,148218262265,123092175338,254697602896,16612834707,7382.539062616739,7385.304315125753,7391.1597753881315,7404.022495741519,-14410215.0,1391-12-07
2013-02-26,705,15,2002,20,8065416,1773244,9176160,662500,60610591310,13356583901,68912853218,5054321993,7514.874782652252,7509.98818874126,7532.287660919761,7629.16527245283,-1110744.0,1391-12-08
2013-02-27,75,1,81,1,342358,10000,245693,106665,2702231694,78930000,1939254849,841906845,7893.0,7893.0,7893.0,7893.0,96665.0,1391-12-09
2013-03-02,7,0,19,1,23351,0,23051,300,193509737,0,191023637,2486100,8287.0,8287.0,,8287.0,300.0,1391-12-12
2013-03-03,873,18,826,15,7197945,2080855,8217800,1061000,62589101694,18102320291,71460766985,9230655000,8695.412606514776,8695.85132091314,8699.462620413244,8699.957587181903,-1019855.0,1391-12-13
2013-03-04,953,26,1896,26,9103982,5633529,13098211,1639300,76089522350,47125718808,109606154886,13609086272,8357.828733624474,8368.024830719249,8365.221659105686,8301.766773622889,-3994229.0,1391-12-14
2013-03-05,681,16,1214,24,6655075,1191080,7124706,721449,55987825969,10068426909,59864934734,6191318144,8412.801654226287,8402.442814342094,8453.191145011251,8581.782141218575,-469631.0,1391-12-15
2013-03-06,487,11,464,9,4390116,1235500,4085553,1540063,38778914509,10915607423,36084071666,13610450266,8833.23231299583,8832.114444727556,8834.971609065156,8837.59318027899,304563.0,1391-12-16
2013-03-09,460,10,448,5,3255103,674054,3832962,96195,28226435175,5805356301,33202711374,829080102,8671.441479731977,8662.416004646015,8612.598250288553,8618.744238266023,-577859.0,1391-12-19
2013-03-10,509,11,606,12,4581590,886835,4757925,710500,39382817983,7756121939,40972152192,6166787730,8595.8843945006,8611.34889515913,8745.845550750704,8679.504194229416,-176335.0,1391-12-20
2013-03-11,252,5,407,7,1478547,1780000,2918547,340000,12544048195,15219027126,24854121287,2908954034,8484.037501006056,8515.922918835982,8550.015239325843,8555.74715882353,-1440000.0,1391-12-21
2013-03-12,278,6,398,3,1804577,779996,2404573,180000,15290855647,6603731272,20376789525,1517797394,8473.373897040692,8474.182120900468,8466.36556084903,8432.207744444444,-599996.0,1391-12-22
