date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-26,1,1,0,1,1,50,0,51,12749,637450,0,650199,12749.0,,12749.0,12749.0,1.0,1387-09-06
2008-11-29,2,1,1,1,179,10,179,10,2213693,127490,2213693,127490,12367.0,12367.0,12749.0,12749.0,0.0,1387-09-09
2008-11-30,2,0,1,0,235,0,235,0,2906245,0,2906245,0,12367.0,12367.0,,,0.0,1387-09-10
2008-12-01,2,1,1,0,100,100,200,0,1199600,1199600,2399200,0,11996.0,11996.0,11996.0,,-100.0,1387-09-11
2008-12-02,0,2,0,1,0,115,0,115,0,1338255,0,1338255,,,11637.0,11637.0,0.0,1387-09-12
2008-12-03,2,9,0,1,22,445,0,467,248336,5023160,0,5271496,11288.0,,11288.0,11288.0,22.0,1387-09-13
2008-12-06,2,0,0,1,1000,0,0,1000,10950000,0,0,10950000,10950.0,,,10950.0,1000.0,1387-09-16
2008-12-07,4,0,0,1,3510,0,0,3510,37283220,0,0,37283220,10622.0,,,10622.0,3510.0,1387-09-17
2008-12-08,1,0,0,1,3000,0,0,3000,31860000,0,0,31860000,10620.0,,,10620.0,3000.0,1387-09-18
2008-12-10,2,0,1,0,1300,0,1300,0,13392600,0,13392600,0,10302.0,10302.0,,,0.0,1387-09-20
2008-12-13,5,0,1,0,18500,0,18500,0,184870500,0,184870500,0,9993.0,9993.0,,,0.0,1387-09-23
2008-12-14,5,0,3,1,14920,0,5598,9322,144634480,0,54267012,90367468,9694.0,9694.0,,9694.0,9322.0,1387-09-24
2008-12-15,6,0,2,1,20367,0,10367,10000,191531268,0,97491268,94040000,9404.0,9404.0,,9404.0,10000.0,1387-09-25
2008-12-16,7,0,5,0,65721,0,65721,0,599506962,0,599506962,0,9122.0,9122.0,,,0.0,1387-09-26
2008-12-20,1,0,1,0,2000,0,2000,0,18172000,0,18172000,0,9086.0,9086.0,,,0.0,1387-09-30
2008-12-21,2,0,0,1,5300,0,0,5300,46714200,0,0,46714200,8814.0,,,8814.0,5300.0,1387-10-01
2008-12-22,1,0,0,1,10,0,0,10,88110,0,0,88110,8811.0,,,8811.0,10.0,1387-10-02
2008-12-23,5,0,0,1,5200,0,0,5200,44444400,0,0,44444400,8547.0,,,8547.0,5200.0,1387-10-03
