date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-12-01,2,1,1,1,1000,10,1000,10,1882000,18820,1882000,18820,1882.0,1882.0,1882.0,1882.0,0.0,1387-09-11
2008-12-02,1,1,1,1,2000,10,2000,10,3652000,18800,3652000,18800,1826.0,1826.0,1880.0,1880.0,0.0,1387-09-12
2008-12-03,1,1,1,1,50,10,50,10,91200,18800,91200,18800,1824.0,1824.0,1880.0,1880.0,0.0,1387-09-13
2008-12-07,1,0,1,0,134,0,134,0,247900,0,247900,0,1850.0,1850.0,,,0.0,1387-09-17
2008-12-13,0,1,2,0,0,76000,76000,0,0,145662000,145662000,0,,1916.6052631578948,1916.6052631578948,,-76000.0,1387-09-23
2009-04-21,2,0,8,0,22992,0,22992,0,34589766,0,34589766,0,1504.4261482254697,1504.4261482254697,,,0.0,1388-02-01
2009-04-22,2,0,3,0,6000,0,6000,0,8754000,0,8754000,0,1459.0,1459.0,,,0.0,1388-02-02
2009-04-25,2,0,2,0,3235,0,3235,0,4703690,0,4703690,0,1454.0,1454.0,,,0.0,1388-02-05
2009-04-28,1,0,1,0,1049,0,1049,0,1522099,0,1522099,0,1451.0,1451.0,,,0.0,1388-02-08
2009-05-31,3,0,2,0,2228,0,2228,0,2477356,0,2477356,0,1111.91921005386,1111.91921005386,,,0.0,1388-03-10
2009-06-06,1,0,1,0,165,0,165,0,188925,0,188925,0,1145.0,1145.0,,,0.0,1388-03-16
2009-06-07,2,0,1,0,5000,0,5000,0,5725000,0,5725000,0,1145.0,1145.0,,,0.0,1388-03-17
2009-06-20,1,0,1,0,382,0,382,0,438536,0,438536,0,1148.0,1148.0,,,0.0,1388-03-30
2009-07-18,1,0,2,0,5000,0,5000,0,5740000,0,5740000,0,1148.0,1148.0,,,0.0,1388-04-27
2009-09-14,2,0,0,1,10550,0,0,10550,12122975,0,0,12122975,1149.0971563981043,,,1149.0971563981043,10550.0,1388-06-23
2009-09-16,1,0,0,1,2000,0,0,2000,2292000,0,0,2292000,1146.0,,,1146.0,2000.0,1388-06-25
2009-09-23,2,0,0,1,10070,0,0,10070,11540150,0,0,11540150,1145.9930486593844,,,1145.9930486593844,10070.0,1388-07-01
2010-03-30,1,1,2,0,5000,8250,13250,0,7000000,11145750,18145750,0,1400.0,1369.4905660377358,1351.0,,-8250.0,1389-01-10
2010-04-12,1,0,1,0,753,0,753,0,1054953,0,1054953,0,1401.0,1401.0,,,0.0,1389-01-23
2010-04-17,2,0,1,0,3500,0,3500,0,5040000,0,5040000,0,1440.0,1440.0,,,0.0,1389-01-28
2010-04-24,1,0,0,1,20000,0,0,20000,28860000,0,0,28860000,1443.0,,,1443.0,20000.0,1389-02-04
2010-04-27,2,1,0,1,5050,10000,0,15050,7088200,14020000,0,21108200,1403.6039603960396,,1402.0,1402.5382059800666,5050.0,1389-02-07
2010-05-03,2,0,3,0,7682,0,7682,0,10951220,0,10951220,0,1425.5688622754492,1425.5688622754492,,,0.0,1389-02-13
2010-05-04,4,0,0,1,12314,0,0,12314,18003068,0,0,18003068,1462.0,,,1462.0,12314.0,1389-02-14
2010-05-08,4,1,2,1,21000,20000,11000,30000,28947000,27600000,15147000,41400000,1378.428571428571,1377.0,1380.0,1380.0,10000.0,1389-02-18
2010-05-09,1,0,3,0,2738,0,2738,0,3663444,0,3663444,0,1338.0,1338.0,,,0.0,1389-02-19
2010-05-11,0,1,2,1,0,199509,1129,198380,0,266344515,1507215,264837300,,1335.0,1335.0,1335.0,-1129.0,1389-02-21
2010-05-22,1,0,1,0,2287,0,2287,0,2950230,0,2950230,0,1290.0,1290.0,,,0.0,1389-03-01
2010-05-25,1,0,0,1,1876,0,0,1876,2502584,0,0,2502584,1334.0,,,1334.0,1876.0,1389-03-04
2010-06-08,1,0,1,0,1800,0,1800,0,2401200,0,2401200,0,1334.0,1334.0,,,0.0,1389-03-18
2010-06-13,1,0,1,0,6,0,6,0,8004,0,8004,0,1334.0,1334.0,,,0.0,1389-03-23
2010-06-14,1,0,2,0,1476,0,1476,0,1968984,0,1968984,0,1334.0,1334.0,,,0.0,1389-03-24
2010-07-03,1,0,1,1,1420,0,609,811,1968120,0,844074,1124046,1386.0,1386.0,,1386.0,811.0,1389-04-12
2010-07-06,1,0,0,1,1850,0,0,1850,2469750,0,0,2469750,1335.0,,,1335.0,1850.0,1389-04-15
2010-07-17,1,0,1,0,3300,0,3300,0,4422000,0,4422000,0,1340.0,1340.0,,,0.0,1389-04-26
2010-07-18,2,0,4,0,32420,0,32420,0,43775040,0,43775040,0,1350.2479950647748,1350.2479950647748,,,0.0,1389-04-27
2010-07-19,3,1,1,1,40000,40000,20000,60000,51725000,53780000,27940000,77565000,1293.125,1397.0,1344.5,1292.75,20000.0,1389-04-28
2010-07-20,3,0,1,1,56160,0,5000,51160,71583000,0,6750000,64833000,1274.6260683760684,1350.0,,1267.2595777951524,51160.0,1389-04-29
2010-07-21,7,0,0,1,36455,0,0,36455,44690920,0,0,44690920,1225.9201755589083,,,1225.9201755589083,36455.0,1389-04-30
2010-07-24,19,0,1,1,331274,0,870,330404,394332046,0,1119690,393212356,1190.3501210478337,1287.0,,1190.095628382223,330404.0,1389-05-02
2010-07-25,2,1,1,1,39830,10000,9830,40000,49269710,12370000,12159710,49480000,1237.0,1237.0,1237.0,1237.0,30000.0,1389-05-03
2010-07-26,1,0,5,0,20187,0,20187,0,25960482,0,25960482,0,1286.0,1286.0,,,0.0,1389-05-04
2010-07-28,2,0,4,1,60127,0,56000,4127,78646116,0,73248000,5398116,1308.0,1308.0,,1308.0,4127.0,1389-05-06
2010-07-31,13,0,10,1,252652,0,132187,120465,343513505,0,179681105,163832400,1359.631053781486,1359.2948247558384,,1360.0,120465.0,1389-05-09
2010-08-01,8,0,8,0,114364,0,114364,0,161710696,0,161710696,0,1414.0,1414.0,,,0.0,1389-05-10
2010-08-02,19,0,6,1,335044,0,256000,79044,492514680,0,376320000,116194680,1470.0,1470.0,,1470.0,79044.0,1389-05-11
2010-08-03,4,1,3,1,91343,30000,11000,110343,139572104,45840000,16808000,168604104,1528.0,1528.0,1528.0,1528.0,80343.0,1389-05-12
2010-08-04,14,2,8,0,156527,44109,200636,0,248721403,70089201,318810604,0,1589.0,1589.0,1589.0,,-44109.0,1389-05-13
2010-08-07,6,0,14,0,110390,0,110390,0,182134916,0,182134916,0,1649.922239333273,1649.922239333273,,,0.0,1389-05-16
2010-08-08,11,0,18,0,197186,0,197186,0,330810581,0,330810581,0,1677.657546681813,1677.657546681813,,,0.0,1389-05-17
2010-08-09,1,0,1,0,100,0,100,0,172900,0,172900,0,1729.0,1729.0,,,0.0,1389-05-18
2010-08-10,2,0,4,0,24786,0,24786,0,42174884,0,42174884,0,1701.5607197611555,1701.5607197611555,,,0.0,1389-05-19
2010-08-11,4,0,6,0,50243,0,50243,0,85526470,0,85526470,0,1702.256433732062,1702.256433732062,,,0.0,1389-05-20
2010-08-14,4,0,5,0,31293,0,31293,0,51132762,0,51132762,0,1634.0,1634.0,,,0.0,1389-05-23
2010-08-15,1,0,1,0,9397,0,9397,0,14960024,0,14960024,0,1592.0,1592.0,,,0.0,1389-05-24
2010-08-22,1,0,2,0,10000,0,10000,0,16305000,0,16305000,0,1630.5,1630.5,,,0.0,1389-05-31
2010-08-24,5,0,6,0,111009,0,111009,0,175886193,0,175886193,0,1584.4318298516337,1584.4318298516337,,,0.0,1389-06-02
2010-08-25,5,0,5,0,22606,0,22606,0,36645585,0,36645585,0,1621.055693178802,1621.055693178802,,,0.0,1389-06-03
2010-08-28,1,0,0,1,20000,0,0,20000,33300000,0,0,33300000,1665.0,,,1665.0,20000.0,1389-06-06
2010-08-29,1,0,2,1,41514,0,21514,20000,70283202,0,36423202,33860000,1693.0,1693.0,,1693.0,20000.0,1389-06-07
2010-08-30,6,0,7,0,98727,0,98727,0,172849977,0,172849977,0,1750.787292230089,1750.787292230089,,,0.0,1389-06-08
2010-08-31,2,0,7,0,43971,0,43971,0,77708070,0,77708070,0,1767.257283209388,1767.257283209388,,,0.0,1389-06-09
2010-09-04,3,0,5,1,43523,0,33523,10000,78668554,0,60999277,17669277,1807.5168072053857,1819.6246457655936,,1766.9277,10000.0,1389-06-13
2010-09-06,1,0,1,0,540,0,540,0,972000,0,972000,0,1800.0,1800.0,,,0.0,1389-06-15
2010-09-08,1,0,2,0,4024,0,4024,0,7082504,0,7082504,0,1760.065606361829,1760.065606361829,,,0.0,1389-06-17
2010-09-12,2,0,2,0,20000,0,20000,0,34626082,0,34626082,0,1731.3041,1731.3041,,,0.0,1389-06-21
2010-09-13,4,1,5,0,12950,10000,22950,0,22272422,17400000,39672422,0,1719.8781467181468,1728.6458387799564,1740.0,,-10000.0,1389-06-22
2010-09-14,4,1,7,0,44253,6765,51018,0,79586345,11635800,91222145,0,1798.4395408220912,1788.038437414246,1720.0,,-6765.0,1389-06-23
2010-09-15,0,1,1,0,0,885,885,0,0,1582380,1582380,0,,1788.0,1788.0,,-885.0,1389-06-24
2010-09-18,1,0,1,0,100,0,100,0,185100,0,185100,0,1851.0,1851.0,,,0.0,1389-06-27
2010-09-20,2,1,4,0,6000,40000,46000,0,10303000,68680000,78983000,0,1717.1666666666667,1717.0217391304348,1717.0,,-40000.0,1389-06-29
2010-09-21,2,0,1,0,5001,0,5001,0,8501788,0,8501788,0,1700.0175964807038,1700.0175964807038,,,0.0,1389-06-30
2010-09-25,2,1,4,0,51437,5670,57107,0,85068766,9361170,94429936,0,1653.8438478138305,1653.5614898348713,1651.0,,-5670.0,1389-07-03
2010-09-27,0,1,3,0,0,15869,15869,0,0,26183850,26183850,0,,1650.0,1650.0,,-15869.0,1389-07-05
2010-09-28,1,0,2,0,60000,0,60000,0,101580000,0,101580000,0,1693.0,1693.0,,,0.0,1389-07-06
2010-09-29,0,1,2,0,0,7760,7760,0,0,12804000,12804000,0,,1650.0,1650.0,,-7760.0,1389-07-07
2010-10-03,0,1,1,0,0,2500,2500,0,0,4125000,4125000,0,,1650.0,1650.0,,-2500.0,1389-07-11
2010-10-05,4,1,3,0,19320,20000,39320,0,32281958,33000000,65281958,0,1670.9087991718427,1660.2736012207529,1650.0,,-20000.0,1389-07-13
2010-10-06,1,0,3,0,11000,0,11000,0,18986000,0,18986000,0,1726.0,1726.0,,,0.0,1389-07-14
2010-10-09,1,0,1,0,1000,0,1000,0,1621000,0,1621000,0,1621.0,1621.0,,,0.0,1389-07-17
2010-10-10,2,0,0,1,9449,0,0,9449,15222339,0,0,15222339,1611.0,,,1611.0,9449.0,1389-07-18
2010-10-11,3,0,4,0,67746,0,67746,0,108385854,0,108385854,0,1599.8856611460455,1599.8856611460455,,,0.0,1389-07-19
2010-10-18,2,0,1,0,30000,0,30000,0,46080000,0,46080000,0,1536.0,1536.0,,,0.0,1389-07-26
2010-10-20,1,0,2,0,5000,0,5000,0,7490000,0,7490000,0,1498.0,1498.0,,,0.0,1389-07-28
2010-10-26,1,0,1,0,2133,0,2133,0,3182436,0,3182436,0,1492.0,1492.0,,,0.0,1389-08-04
2010-10-30,2,0,1,1,18916,0,13316,5600,28165924,0,19827524,8338400,1489.0,1489.0,,1489.0,5600.0,1389-08-08
2010-11-03,1,1,4,0,3900,25600,29500,0,5772000,37529600,43301600,0,1480.0,1467.8508474576272,1466.0,,-25600.0,1389-08-12
2010-11-08,2,0,4,0,68800,0,68800,0,98521600,0,98521600,0,1432.0,1432.0,,,0.0,1389-08-17
2010-11-09,4,0,4,0,74313,0,74313,0,104246288,0,104246288,0,1402.8001560965108,1402.8001560965108,,,0.0,1389-08-18
2010-11-10,2,0,0,1,50000,0,0,50000,70188500,0,0,70188500,1403.77,,,1403.77,50000.0,1389-08-19
2010-11-13,2,0,1,1,88939,0,18939,70000,128122160,0,27291099,100831061,1440.5621830692946,1441.0,,1440.443728571429,70000.0,1389-08-22
2010-11-15,1,0,1,0,2250,0,2250,0,3114000,0,3114000,0,1384.0,1384.0,,,0.0,1389-08-24
2010-11-23,6,1,2,0,172765,14500,187265,0,241010446,21271000,262281446,0,1395.0189332330044,1400.5897845299442,1466.9655172413793,,-14500.0,1389-09-02
2010-11-24,1,0,1,0,6654,0,6654,0,9694878,0,9694878,0,1457.0,1457.0,,,0.0,1389-09-03
2010-11-27,1,0,1,0,671,0,671,0,977647,0,977647,0,1457.0,1457.0,,,0.0,1389-09-06
2010-11-29,2,0,2,0,20429,0,20429,0,28825319,0,28825319,0,1411.0,1411.0,,,0.0,1389-09-08
2010-11-30,1,0,1,0,10000,0,10000,0,14110000,0,14110000,0,1411.0,1411.0,,,0.0,1389-09-09
2010-12-01,1,0,1,0,1399,0,1399,0,1979585,0,1979585,0,1415.0,1415.0,,,0.0,1389-09-10
2010-12-04,1,0,1,0,2700,0,2700,0,3726000,0,3726000,0,1380.0,1380.0,,,0.0,1389-09-13
2010-12-07,2,0,1,1,14522,0,22,14500,19633744,0,29744,19604000,1352.0,1352.0,,1352.0,14500.0,1389-09-16
2010-12-12,1,0,1,0,1000,0,1000,0,1426000,0,1426000,0,1426.0,1426.0,,,0.0,1389-09-21
2010-12-18,2,0,3,0,45500,0,45500,0,62386000,0,62386000,0,1371.1208791208792,1371.1208791208792,,,0.0,1389-09-27
2010-12-19,1,0,1,0,1700,0,1700,0,2298400,0,2298400,0,1352.0,1352.0,,,0.0,1389-09-28
2011-01-01,1,0,1,0,20000,0,20000,0,27420000,0,27420000,0,1371.0,1371.0,,,0.0,1389-10-11
2011-01-16,1,0,2,0,2208,0,2208,0,2956512,0,2956512,0,1339.0,1339.0,,,0.0,1389-10-26
2011-01-24,1,0,0,1,9191,0,0,9191,13087984,0,0,13087984,1424.0,,,1424.0,9191.0,1389-11-04
2011-01-26,1,0,1,1,47463,0,6654,40809,68036211,0,9475296,58560915,1433.457872448012,1424.0,,1435.0,40809.0,1389-11-06
2011-01-29,1,0,1,1,55000,0,5000,50000,81950000,0,7450000,74500000,1490.0,1490.0,,1490.0,50000.0,1389-11-09
2011-01-30,2,0,1,0,44838,0,44838,0,68602140,0,68602140,0,1530.0,1530.0,,,0.0,1389-11-10
2011-01-31,1,0,1,0,39545,0,39545,0,61605215,0,61605215,0,1557.8509293210266,1557.8509293210266,,,0.0,1389-11-11
2011-02-01,1,0,1,0,1220,0,1220,0,1967860,0,1967860,0,1613.0,1613.0,,,0.0,1389-11-12
2011-02-05,1,0,1,0,5850,0,5850,0,8950500,0,8950500,0,1530.0,1530.0,,,0.0,1389-11-16
2011-02-08,1,0,3,0,72550,0,72550,0,109914900,0,109914900,0,1515.0227429359063,1515.0227429359063,,,0.0,1389-11-19
2011-02-09,2,0,2,1,28177,0,3858,24319,44337917,0,6035492,38302425,1573.5499520885828,1564.4095386210472,,1575.0,24319.0,1389-11-20
2011-02-12,2,0,1,0,12239,0,12239,0,18958211,0,18958211,0,1549.0,1549.0,,,0.0,1389-11-23
2011-02-13,1,0,1,0,4480,0,4480,0,6921600,0,6921600,0,1545.0,1545.0,,,0.0,1389-11-24
2011-02-14,1,0,1,0,1228,0,1228,0,1977080,0,1977080,0,1610.0,1610.0,,,0.0,1389-11-25
2011-02-20,2,0,1,0,5554,0,5554,0,8296163,0,8296163,0,1493.7275837234426,1493.7275837234426,,,0.0,1389-12-01
2011-03-26,1,0,2,0,3696,0,3696,0,5865552,0,5865552,0,1587.0,1587.0,,,0.0,1390-01-06
2011-03-28,1,0,1,0,18317,0,18317,0,27219062,0,27219062,0,1486.0,1486.0,,,0.0,1390-01-08
2011-04-04,1,0,1,0,10,0,10,0,15240,0,15240,0,1524.0,1524.0,,,0.0,1390-01-15
2011-04-05,1,0,1,0,750,0,750,0,1143000,0,1143000,0,1524.0,1524.0,,,0.0,1390-01-16
2011-04-13,1,0,1,0,20,0,20,0,31680,0,31680,0,1584.0,1584.0,,,0.0,1390-01-24
2011-04-17,1,0,3,0,15016,0,15016,0,22884384,0,22884384,0,1524.0,1524.0,,,0.0,1390-01-28
2011-04-23,4,0,1,0,71960,0,71960,0,113977740,0,113977740,0,1583.9041133963312,1583.9041133963312,,,0.0,1390-02-03
2011-04-24,0,1,1,0,0,10,10,0,0,15210,15210,0,,1521.0,1521.0,,-10.0,1390-02-04
2011-07-13,1,0,2,0,500,0,500,0,760500,0,760500,0,1521.0,1521.0,,,0.0,1390-04-22
2011-09-14,1,0,6,0,75483,0,75483,0,114744656,0,114744656,0,1520.1390511770862,1520.1390511770862,,,0.0,1390-06-23
2011-09-17,1,0,2,0,26539,0,26539,0,41931620,0,41931620,0,1580.0,1580.0,,,0.0,1390-06-26
2011-09-18,2,0,5,0,6876,0,6876,0,11047152,0,11047152,0,1606.6247818499128,1606.6247818499128,,,0.0,1390-06-27
2011-09-20,1,0,1,0,47800,0,47800,0,77579400,0,77579400,0,1623.0,1623.0,,,0.0,1390-06-29
2011-09-21,4,0,1,0,24681,0,24681,0,41629847,0,41629847,0,1686.7163810218387,1686.7163810218387,,,0.0,1390-06-30
2011-09-25,2,0,3,0,55160,0,55160,0,91374960,0,91374960,0,1656.5438723712834,1656.5438723712834,,,0.0,1390-07-03
2011-09-28,5,0,5,0,295728,0,295728,0,508670860,0,508670860,0,1720.0632337823947,1720.0632337823947,,,0.0,1390-07-06
2011-10-02,2,0,2,0,1100,0,1100,0,1966000,0,1966000,0,1787.2727272727273,1787.2727272727273,,,0.0,1390-07-10
2011-10-04,3,0,7,0,53272,0,53272,0,95344840,0,95344840,0,1789.773990088602,1789.773990088602,,,0.0,1390-07-12
2011-10-15,2,0,6,0,15000,0,15000,0,27664640,0,27664640,0,1844.3093333333331,1844.3093333333331,,,0.0,1390-07-23
2011-10-17,1,0,7,0,75597,0,75597,0,141097976,0,141097976,0,1866.449409368097,1866.449409368097,,,0.0,1390-07-25
2011-10-18,3,0,3,0,70547,0,70547,0,136618540,0,136618540,0,1936.5605908117996,1936.5605908117996,,,0.0,1390-07-26
2011-10-19,2,0,1,0,5514,0,5514,0,10578142,0,10578142,0,1918.4153064925645,1918.4153064925645,,,0.0,1390-07-27
2011-10-22,1,0,3,0,1985,0,1985,0,3986950,0,3986950,0,2008.5390428211588,2008.5390428211588,,,0.0,1390-07-30
2011-10-23,2,0,3,0,3200,0,3200,0,6433180,0,6433180,0,2010.36875,2010.36875,,,0.0,1390-08-01
2011-10-24,1,0,3,0,2100,0,2100,0,4063400,0,4063400,0,1934.952380952381,1934.952380952381,,,0.0,1390-08-02
2011-10-25,1,0,1,0,1000,0,1000,0,1866000,0,1866000,0,1866.0,1866.0,,,0.0,1390-08-03
2011-10-26,1,0,1,0,82,0,82,0,152848,0,152848,0,1864.0,1864.0,,,0.0,1390-08-04
2011-11-23,1,0,1,0,20,0,20,0,37280,0,37280,0,1864.0,1864.0,,,0.0,1390-09-02
2011-12-07,1,0,1,0,23,0,23,0,42872,0,42872,0,1864.0,1864.0,,,0.0,1390-09-16
2011-12-10,1,0,1,0,275,0,275,0,512600,0,512600,0,1864.0,1864.0,,,0.0,1390-09-19
2012-02-01,1,0,1,0,130,0,130,0,242320,0,242320,0,1864.0,1864.0,,,0.0,1390-11-12
2012-02-04,1,0,1,0,40,0,40,0,74560,0,74560,0,1864.0,1864.0,,,0.0,1390-11-15
2012-02-20,3,0,7,0,53554,0,53554,0,99824656,0,99824656,0,1864.0,1864.0,,,0.0,1390-12-01
2012-02-21,1,0,1,0,150,0,150,0,279600,0,279600,0,1864.0,1864.0,,,0.0,1390-12-02
2012-02-25,1,0,1,0,2500,0,2500,0,4660000,0,4660000,0,1864.0,1864.0,,,0.0,1390-12-06
2012-03-03,1,0,1,0,1000,0,1000,0,1790000,0,1790000,0,1790.0,1790.0,,,0.0,1390-12-13
2012-03-05,3,0,5,0,21300,0,21300,0,38084400,0,38084400,0,1788.0,1788.0,,,0.0,1390-12-15
