date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2012-07-04,14290,210,0,1,45840900,5410130,0,51251030,123453750325,15086877120,0,138540627445,2693.091765759398,,2788.6348608998305,2703.177427751208,45840900.0,1391-04-14
2012-07-07,46,2,8,1,131000,6000,10600,126400,371778000,17028000,30082800,358723200,2838.0,2838.0,2838.0,2838.0,120400.0,1391-04-17
2012-07-08,2,0,8,0,9001,0,9001,0,26813979,0,26813979,0,2979.0,2979.0,,,0.0,1391-04-18
2012-07-09,1,0,12,0,12951,0,12951,0,40497777,0,40497777,0,3127.0,3127.0,,,0.0,1391-04-19
2012-07-10,6,0,25,0,58524,0,58524,0,192134292,0,192134292,0,3283.0,3283.0,,,0.0,1391-04-20
2012-07-11,57,1,146,0,310000,52871,362871,0,1068570000,182246337,1250816337,0,3447.0,3447.0,3447.0,,-52871.0,1391-04-21
2012-07-14,148,11,1918,15,4297537,3665965,7820501,143001,15552786403,13267127335,28302393119,517520619,3619.0,3619.0,3619.0,3619.0,-3522964.0,1391-04-24
2012-07-15,656,29,7057,90,22343186,9474206,29119456,2697936,81893619837,34635069335,106637683902,9891005270,3665.261518075354,3662.07678817901,3655.722636282133,3666.137843892516,-6776270.0,1391-04-25
2012-07-16,188,17,1115,15,4776879,1933805,6321684,389000,17149484800,6930719766,22687670261,1392534305,3590.1024078692385,3588.864970314872,3583.980683678033,3579.77970437018,-1544805.0,1391-04-26
2012-07-17,143,12,797,8,3690072,3228135,6713407,204800,12715267490,11092080670,23100331435,707016725,3445.804713295567,3440.925216510782,3436.0646844075604,3452.2301025390625,-3023335.0,1391-04-27
2012-08-21,121,4,343,6,2911383,781563,2943946,749000,9523782022,2578289471,9666114913,2435956580,3271.222653288832,3283.3873016013204,3298.888856048713,3252.278477970628,-32563.0,1391-05-31
2012-08-22,122,2,252,7,3678717,200000,3440717,438000,12607135538,688000000,11791133538,1504002000,3427.0468584563587,3426.9408201837,3440.0,3433.794520547945,238000.0,1391-06-01
2012-08-25,159,5,167,5,4127005,230000,3226422,1130583,14670633787,823141082,11458070581,4035704288,3554.789438588032,3551.3242164230223,3578.874269565217,3569.5780743209475,900583.0,1391-06-04
2012-08-26,1,0,9,0,13081,0,13081,0,48831373,0,48831373,0,3733.0,3733.0,,,0.0,1391-06-05
2012-08-27,457,14,544,19,18131983,3948251,14354237,7725997,70616711629,15378761407,55763588885,30231884151,3894.593968514089,3884.817345916749,3895.082001372253,3913.00749288409,3777746.0,1391-06-06
2012-09-02,357,6,196,5,6499509,439807,4588168,2351148,25678593470,1746770825,18101426755,9323937540,3950.851282766129,3945.240617823933,3971.675814618685,3965.6957112015066,1911341.0,1391-06-12
2012-09-03,347,3,199,12,6618357,251468,4568660,2301165,27146100558,1018488440,18767673262,9396915736,4101.637393993706,4107.916382921907,4050.171154977969,4083.547131996184,2049697.0,1391-06-13
2012-09-04,331,5,167,10,8705737,1268315,5050207,4923845,37368646248,5451799292,21645518051,21174927489,4292.416167407768,4286.065511968123,4298.458420818172,4300.486203160335,3655530.0,1391-06-14
2012-09-05,539,4,380,1,10507456,1085732,11468188,125000,44903908388,4609091798,48972399281,540600905,4273.528091671285,4270.2822172953565,4245.146866814278,4324.80724,-960732.0,1391-06-15
2012-09-08,296,5,263,3,4361631,550337,4710468,201500,18164481478,2299065165,19620807643,842739000,4164.607569507829,4165.362686467672,4177.558777621712,4182.327543424318,-348837.0,1391-06-18
