date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-11-17,6,0,4,0,156596,0,156596,0,413723977,0,413723977,0,2641.983045543948,2641.983045543948,,,0.0,1393-08-26
2014-11-23,1,0,1,0,7000,0,7000,0,19607000,0,19607000,0,2801.0,2801.0,,,0.0,1393-09-02
2014-12-03,1,0,1,0,326,0,326,0,978000,0,978000,0,3000.0,3000.0,,,0.0,1393-09-12
2014-12-09,2,0,1,0,78332,0,78332,0,205308172,0,205308172,0,2621.0,2621.0,,,0.0,1393-09-18
2014-12-10,1,0,2,0,14000,0,14000,0,36980000,0,36980000,0,2641.428571428572,2641.428571428572,,,0.0,1393-09-19
2014-12-14,1,0,1,0,10000,0,10000,0,26500000,0,26500000,0,2650.0,2650.0,,,0.0,1393-09-23
2014-12-15,1,0,1,0,3000,0,3000,0,7896000,0,7896000,0,2632.0,2632.0,,,0.0,1393-09-24
2014-12-17,1,0,1,0,5000,0,5000,0,14000000,0,14000000,0,2800.0,2800.0,,,0.0,1393-09-26
2014-12-24,1,0,2,0,17000,0,17000,0,44727000,0,44727000,0,2631.0,2631.0,,,0.0,1393-10-03
2014-12-27,2,0,2,0,83341,0,83341,0,219270171,0,219270171,0,2631.0,2631.0,,,0.0,1393-10-06
2014-12-28,1,0,1,0,1000,0,1000,0,2631000,0,2631000,0,2631.0,2631.0,,,0.0,1393-10-07
2014-12-30,1,0,1,0,5973,0,5973,0,14998203,0,14998203,0,2511.0,2511.0,,,0.0,1393-10-09
2015-02-16,1,0,1,0,10676,0,10676,0,16014000,0,16014000,0,1500.0,1500.0,,,0.0,1393-11-27
2015-05-23,1,0,3,0,634974,0,634974,0,952461000,0,952461000,0,1500.0,1500.0,,,0.0,1394-03-02
2015-06-22,1,0,3,0,629122,0,629122,0,943683000,0,943683000,0,1500.0,1500.0,,,0.0,1394-04-01
2015-09-06,2,0,2,0,15218,0,15218,0,24577070,0,24577070,0,1615.0,1615.0,,,0.0,1394-06-15
2015-09-07,1,0,1,0,2200,0,2200,0,3553000,0,3553000,0,1615.0,1615.0,,,0.0,1394-06-16
2015-09-21,1,0,1,0,10676,0,10676,0,17316472,0,17316472,0,1622.0,1622.0,,,0.0,1394-06-30
2015-11-18,2,0,1,0,2000,0,2000,0,2624000,0,2624000,0,1312.0,1312.0,,,0.0,1394-08-27
2016-02-28,1,0,1,0,3000,0,3000,0,3960000,0,3960000,0,1320.0,1320.0,,,0.0,1394-12-09
2016-06-07,1,0,8,0,1577176,0,1577176,0,2081872320,0,2081872320,0,1320.0,1320.0,,,0.0,1395-03-18
2016-12-11,1,0,1,0,3872,0,3872,0,4336640,0,4336640,0,1120.0,1120.0,,,0.0,1395-09-21
2017-02-19,1,0,1,0,1510,0,1510,0,1691200,0,1691200,0,1120.0,1120.0,,,0.0,1395-12-01
2017-02-26,1,0,2,0,3091,0,3091,0,3910115,0,3910115,0,1265.0,1265.0,,,0.0,1395-12-08
2017-03-05,1,0,1,0,9562,0,9562,0,11952500,0,11952500,0,1250.0,1250.0,,,0.0,1395-12-15
2017-10-11,1,0,1,0,1281,0,1281,0,2305800,0,2305800,0,1800.0,1800.0,,,0.0,1396-07-19
2017-10-24,1,0,1,0,2000,0,2000,0,3722000,0,3722000,0,1861.0,1861.0,,,0.0,1396-08-02
2017-11-04,1,0,1,0,1510,0,1510,0,8383520,0,8383520,0,5552.0,5552.0,,,0.0,1396-08-13
2017-11-05,5,0,5,0,14010,0,14010,0,106219850,0,106219850,0,7581.716630977873,7581.716630977873,,,0.0,1396-08-14
2017-11-06,3,0,3,0,7331,0,7331,0,59389712,0,59389712,0,8101.174737416451,8101.174737416451,,,0.0,1396-08-15
