date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2013-11-12,1,0,2,0,40000,0,40000,0,100000000,0,100000000,0,2500.0,2500.0,,,0.0,1392-08-21
2014-01-22,2,0,3,0,30000,0,30000,0,48000000,0,48000000,0,1600.0,1600.0,,,0.0,1392-11-02
2014-01-27,2,0,3,0,20523,0,20523,0,32790300,0,32790300,0,1597.7342493787455,1597.7342493787455,,,0.0,1392-11-07
2014-01-29,1,0,2,0,12500,0,12500,0,19769000,0,19769000,0,1581.52,1581.52,,,0.0,1392-11-09
2014-02-02,1,0,1,0,6800,0,6800,0,10873200,0,10873200,0,1599.0,1599.0,,,0.0,1392-11-13
2014-02-03,2,0,1,0,14961,0,14961,0,20655600,0,20655600,0,1380.6296370563466,1380.6296370563466,,,0.0,1392-11-14
2014-02-18,1,0,1,0,12309,0,12309,0,16986420,0,16986420,0,1380.0,1380.0,,,0.0,1392-11-29
2014-02-26,1,0,1,0,7350,0,7350,0,10143000,0,10143000,0,1380.0,1380.0,,,0.0,1392-12-07
2014-03-04,5,0,1,0,50000,0,50000,0,63090900,0,63090900,0,1261.818,1261.818,,,0.0,1392-12-13
2014-03-09,2,0,2,0,16493,0,16493,0,19791600,0,19791600,0,1200.0,1200.0,,,0.0,1392-12-18
2014-03-15,1,0,1,0,10000,0,10000,0,10900000,0,10900000,0,1090.0,1090.0,,,0.0,1392-12-24
2014-03-17,1,0,1,0,1450,0,1450,0,1580500,0,1580500,0,1090.0,1090.0,,,0.0,1392-12-26
2014-03-30,1,0,2,0,126240,0,126240,0,176856000,0,176856000,0,1400.9505703422053,1400.9505703422053,,,0.0,1393-01-10
2014-04-05,1,0,1,0,4625,0,4625,0,5550000,0,5550000,0,1200.0,1200.0,,,0.0,1393-01-16
2014-04-06,1,0,0,1,20972,0,0,20972,37728628,0,0,37728628,1799.0,,,1799.0,20972.0,1393-01-17
2014-04-07,1,0,0,1,2765,0,0,2765,4974235,0,0,4974235,1799.0,,,1799.0,2765.0,1393-01-18
2014-04-08,3,0,1,1,57670,0,10000,47670,103748330,0,17990000,85758330,1799.0,1799.0,,1799.0,47670.0,1393-01-19
2014-04-09,2,0,3,1,56076,0,17483,38593,100894207,0,31465400,69428807,1799.2404415436197,1799.7712063147058,,1799.0,38593.0,1393-01-20
2014-04-12,2,1,5,0,35127,10000,45127,0,69939000,19990000,89929000,0,1991.0325390725084,1992.798103131163,1999.0,,-10000.0,1393-01-23
2014-04-13,1,1,2,0,3000,17493,20493,0,6300000,34461210,40761210,0,2100.0,1989.030888596106,1970.0,,-17493.0,1393-01-24
2014-04-15,2,0,2,0,3093,0,3093,0,6499950,0,6499950,0,2101.5033947623665,2101.5033947623665,,,0.0,1393-01-26
2014-04-16,2,0,3,0,21047,0,21047,0,42244000,0,42244000,0,2007.1269064474748,2007.1269064474748,,,0.0,1393-01-27
2014-04-19,1,1,2,0,79953,30000,109953,0,159906000,59100000,219006000,0,2000.0,1991.8146844560856,1970.0,,-30000.0,1393-01-30
2014-04-20,1,1,2,0,10000,2507,12507,0,20000000,4938790,24938790,0,2000.0,1993.986567522188,1970.0,,-2507.0,1393-01-31
2014-04-21,0,1,1,0,0,10000,10000,0,0,19700000,19700000,0,,1970.0,1970.0,,-10000.0,1393-02-01
2014-04-26,1,0,2,0,9000,0,9000,0,17850000,0,17850000,0,1983.3333333333333,1983.3333333333333,,,0.0,1393-02-06
2014-04-27,1,0,1,0,2000,0,2000,0,4000000,0,4000000,0,2000.0,2000.0,,,0.0,1393-02-07
2014-04-28,1,0,1,0,5000,0,5000,0,10000000,0,10000000,0,2000.0,2000.0,,,0.0,1393-02-08
2014-04-30,2,0,4,0,33805,0,33805,0,67610000,0,67610000,0,2000.0,2000.0,,,0.0,1393-02-10
2014-05-03,1,0,1,0,5000,0,5000,0,9000000,0,9000000,0,1800.0,1800.0,,,0.0,1393-02-13
2014-05-05,1,0,1,0,2195,0,2195,0,4060750,0,4060750,0,1850.0,1850.0,,,0.0,1393-02-15
2014-05-12,2,0,2,0,4965,0,4965,0,7546800,0,7546800,0,1520.0,1520.0,,,0.0,1393-02-22
2014-05-24,1,0,1,0,3000,0,3000,0,5700000,0,5700000,0,1900.0,1900.0,,,0.0,1393-03-03
2014-05-25,2,0,1,0,12800,0,12800,0,20730000,0,20730000,0,1619.53125,1619.53125,,,0.0,1393-03-04
2014-05-26,1,0,1,0,10529,0,10529,0,16846400,0,16846400,0,1600.0,1600.0,,,0.0,1393-03-05
2014-05-31,1,0,2,0,3000,0,3000,0,5500000,0,5500000,0,1833.3333333333333,1833.3333333333333,,,0.0,1393-03-10
2014-06-01,5,0,3,0,58786,0,58786,0,84986100,0,84986100,0,1445.6860476984316,1445.6860476984316,,,0.0,1393-03-11
2014-06-02,1,0,1,0,50000,0,50000,0,75000000,0,75000000,0,1500.0,1500.0,,,0.0,1393-03-12
2014-06-03,1,0,1,0,5000,0,5000,0,9400000,0,9400000,0,1880.0,1880.0,,,0.0,1393-03-13
2014-06-07,5,0,1,0,136585,0,136585,0,204877500,0,204877500,0,1500.0,1500.0,,,0.0,1393-03-17
2014-06-08,2,0,1,0,25000,0,25000,0,37500000,0,37500000,0,1500.0,1500.0,,,0.0,1393-03-18
2014-06-09,1,0,1,0,25000,0,25000,0,37500000,0,37500000,0,1500.0,1500.0,,,0.0,1393-03-19
2014-06-11,1,0,1,0,10000,0,10000,0,15000000,0,15000000,0,1500.0,1500.0,,,0.0,1393-03-21
2014-06-14,1,0,1,0,5000,0,5000,0,7275000,0,7275000,0,1455.0,1455.0,,,0.0,1393-03-24
2014-06-15,1,0,1,0,10000,0,10000,0,17990000,0,17990000,0,1799.0,1799.0,,,0.0,1393-03-25
2014-06-16,1,0,1,0,12000,0,12000,0,20400000,0,20400000,0,1700.0,1700.0,,,0.0,1393-03-26
2014-06-25,1,0,1,0,6000,0,6000,0,10194000,0,10194000,0,1699.0,1699.0,,,0.0,1393-04-04
2014-06-30,1,0,1,0,3000,0,3000,0,5070000,0,5070000,0,1690.0,1690.0,,,0.0,1393-04-09
2014-07-01,1,0,2,0,6467,0,6467,0,10056185,0,10056185,0,1555.0,1555.0,,,0.0,1393-04-10
2014-07-02,1,0,1,0,3533,0,3533,0,5493815,0,5493815,0,1555.0,1555.0,,,0.0,1393-04-11
2014-07-05,3,0,2,0,27467,0,27467,0,40364485,0,40364485,0,1469.5629300615285,1469.5629300615285,,,0.0,1393-04-14
2014-07-06,3,0,3,0,66307,0,66307,0,104573770,0,104573770,0,1577.1150858883675,1577.1150858883675,,,0.0,1393-04-15
2014-07-07,2,0,4,0,63585,0,63585,0,107418745,0,107418745,0,1689.3724148777228,1689.3724148777228,,,0.0,1393-04-16
2014-07-09,3,0,14,0,196312,0,196312,0,418180850,0,418180850,0,2130.1848587962018,2130.1848587962018,,,0.0,1393-04-18
2014-07-12,2,0,2,0,13000,0,13000,0,30000000,0,30000000,0,2307.692307692308,2307.692307692308,,,0.0,1393-04-21
2014-07-13,3,0,5,0,43919,0,43919,0,86494170,0,86494170,0,1969.4020811038504,1969.4020811038504,,,0.0,1393-04-22
2014-07-26,2,0,2,0,6000,0,6000,0,12655000,0,12655000,0,2109.1666666666665,2109.1666666666665,,,0.0,1393-05-04
2014-07-27,1,0,1,0,10000,0,10000,0,19500000,0,19500000,0,1950.0,1950.0,,,0.0,1393-05-05
2014-07-28,2,0,2,0,112313,0,112313,0,205871620,0,205871620,0,1833.0168368755176,1833.0168368755176,,,0.0,1393-05-06
2014-08-02,1,0,1,0,1500,0,1500,0,2641500,0,2641500,0,1761.0,1761.0,,,0.0,1393-05-11
2014-08-03,1,0,3,0,49617,0,49617,0,99234000,0,99234000,0,2000.0,2000.0,,,0.0,1393-05-12
2014-08-06,1,0,1,0,5000,0,5000,0,8855000,0,8855000,0,1771.0,1771.0,,,0.0,1393-05-15
2014-08-09,1,0,1,0,11864,0,11864,0,21011144,0,21011144,0,1771.0,1771.0,,,0.0,1393-05-18
2014-08-11,1,0,1,0,7869,0,7869,0,14014689,0,14014689,0,1781.0,1781.0,,,0.0,1393-05-20
2014-08-12,2,0,4,0,31105,0,31105,0,57481367,0,57481367,0,1847.9783636071368,1847.9783636071368,,,0.0,1393-05-21
2014-08-13,1,0,4,0,60451,0,60451,0,120290330,0,120290330,0,1989.881556963491,1989.881556963491,,,0.0,1393-05-22
2014-08-18,1,0,5,0,109606,0,109606,0,231833200,0,231833200,0,2115.1506304399395,2115.1506304399395,,,0.0,1393-05-27
2014-08-19,3,0,4,0,17954,0,17954,0,38772050,0,38772050,0,2159.5215550852176,2159.5215550852176,,,0.0,1393-05-28
2014-08-20,1,0,1,0,280,0,280,0,601720,0,601720,0,2149.0,2149.0,,,0.0,1393-05-29
2014-08-27,1,0,2,0,3460,0,3460,0,8362000,0,8362000,0,2416.7630057803467,2416.7630057803467,,,0.0,1393-06-05
2014-08-31,1,0,2,0,6540,0,6540,0,16300920,0,16300920,0,2492.4954128440368,2492.4954128440368,,,0.0,1393-06-09
2014-09-03,1,0,1,0,21280,0,21280,0,40453280,0,40453280,0,1901.0,1901.0,,,0.0,1393-06-12
2014-09-09,1,0,1,0,36900,0,36900,0,81180000,0,81180000,0,2200.0,2200.0,,,0.0,1393-06-18
2014-09-16,1,0,1,0,708,0,708,0,1365024,0,1365024,0,1928.0,1928.0,,,0.0,1393-06-25
2014-09-17,1,0,1,0,1135,0,1135,0,2188280,0,2188280,0,1928.0,1928.0,,,0.0,1393-06-26
2014-09-22,1,0,1,0,11650,0,11650,0,22729150,0,22729150,0,1951.0,1951.0,,,0.0,1393-06-31
2014-09-28,1,0,1,0,750,0,750,0,1446000,0,1446000,0,1928.0,1928.0,,,0.0,1393-07-06
2014-10-04,1,0,1,0,4000,0,4000,0,7600000,0,7600000,0,1900.0,1900.0,,,0.0,1393-07-12
2014-10-06,2,0,3,0,16079,0,16079,0,32911328,0,32911328,0,2046.851669879968,2046.851669879968,,,0.0,1393-07-14
2014-10-07,1,0,2,0,1000,0,1000,0,2364670,0,2364670,0,2364.67,2364.67,,,0.0,1393-07-15
2014-10-08,1,0,1,0,137,0,137,0,308387,0,308387,0,2251.0,2251.0,,,0.0,1393-07-16
2014-10-11,8,0,13,0,192538,0,192538,0,485357470,0,485357470,0,2520.839886152344,2520.839886152344,,,0.0,1393-07-19
2014-10-12,5,0,2,0,69570,0,69570,0,186877500,0,186877500,0,2686.1793876670977,2686.1793876670977,,,0.0,1393-07-20
2014-10-14,1,0,1,0,151,0,151,0,400150,0,400150,0,2650.0,2650.0,,,0.0,1393-07-22
2014-10-15,4,0,3,0,56780,0,56780,0,151239849,0,151239849,0,2663.611289186333,2663.611289186333,,,0.0,1393-07-23
2014-10-18,2,0,2,0,21058,0,21058,0,54961380,0,54961380,0,2610.0,2610.0,,,0.0,1393-07-26
2014-10-19,7,0,7,0,115258,0,115258,0,294107638,0,294107638,0,2551.7329643061653,2551.7329643061653,,,0.0,1393-07-27
2014-10-20,2,0,8,0,130943,0,130943,0,347124685,0,347124685,0,2650.9602269689867,2650.9602269689867,,,0.0,1393-07-28
2014-10-22,2,0,4,0,38899,0,38899,0,104472250,0,104472250,0,2685.7309956554154,2685.7309956554154,,,0.0,1393-07-30
2014-10-28,2,0,3,0,12342,0,12342,0,33125400,0,33125400,0,2683.957219251337,2683.957219251337,,,0.0,1393-08-06
2014-11-02,2,0,1,0,15700,0,15700,0,39274700,0,39274700,0,2501.5732484076434,2501.5732484076434,,,0.0,1393-08-11
2014-11-05,1,0,1,0,4300,0,4300,0,10762900,0,10762900,0,2503.0,2503.0,,,0.0,1393-08-14
2014-11-08,2,0,2,0,42000,0,42000,0,103000000,0,103000000,0,2452.3809523809523,2452.3809523809523,,,0.0,1393-08-17
2014-11-09,4,0,1,0,18200,0,18200,0,45559200,0,45559200,0,2503.252747252747,2503.252747252747,,,0.0,1393-08-18
2014-11-10,1,0,1,0,20000,0,20000,0,52000000,0,52000000,0,2600.0,2600.0,,,0.0,1393-08-19
2014-11-11,1,0,1,0,728,0,728,0,1820728,0,1820728,0,2501.0,2501.0,,,0.0,1393-08-20
2014-11-12,1,0,2,0,9951,0,9951,0,24887451,0,24887451,0,2501.0,2501.0,,,0.0,1393-08-21
2014-11-15,2,0,3,0,13200,0,13200,0,33003200,0,33003200,0,2500.242424242424,2500.242424242424,,,0.0,1393-08-24
2014-11-16,1,0,1,0,3200,0,3200,0,8000000,0,8000000,0,2500.0,2500.0,,,0.0,1393-08-25
2014-11-18,1,0,3,0,31800,0,31800,0,79779300,0,79779300,0,2508.7830188679245,2508.7830188679245,,,0.0,1393-08-27
2014-11-19,1,0,1,0,300,0,300,0,694500,0,694500,0,2315.0,2315.0,,,0.0,1393-08-28
2014-11-23,1,0,2,0,8000,0,8000,0,18560000,0,18560000,0,2320.0,2320.0,,,0.0,1393-09-02
2014-11-25,1,0,1,0,200,0,200,0,464000,0,464000,0,2320.0,2320.0,,,0.0,1393-09-04
2014-11-26,3,0,3,0,43844,0,43844,0,101325580,0,101325580,0,2311.04780585713,2311.04780585713,,,0.0,1393-09-05
2014-12-01,1,0,1,0,1500,0,1500,0,3450000,0,3450000,0,2300.0,2300.0,,,0.0,1393-09-10
2014-12-02,1,0,1,0,5858,0,5858,0,13473400,0,13473400,0,2300.0,2300.0,,,0.0,1393-09-11
2014-12-27,1,0,1,0,2500,0,2500,0,5250000,0,5250000,0,2100.0,2100.0,,,0.0,1393-10-06
2015-01-04,2,0,3,0,11911,0,11911,0,30189340,0,30189340,0,2534.5764419444213,2534.5764419444213,,,0.0,1393-10-14
2015-01-07,1,0,1,0,10,0,10,0,22050,0,22050,0,2205.0,2205.0,,,0.0,1393-10-17
2015-01-11,1,0,2,0,7000,0,7000,0,15462000,0,15462000,0,2208.8571428571427,2208.8571428571427,,,0.0,1393-10-21
2015-01-12,1,0,1,0,18510,0,18510,0,40764550,0,40764550,0,2202.298757428417,2202.298757428417,,,0.0,1393-10-22
2015-01-18,2,0,2,1,411655,0,51455,360200,905661000,0,113201000,792460000,2200.048584372837,2200.0,,2200.055524708496,360200.0,1393-10-28
2015-01-19,2,0,6,0,47563,0,47563,0,117415230,0,117415230,0,2468.6254020982697,2468.6254020982697,,,0.0,1393-10-29
2015-01-20,1,0,1,0,1130,0,1130,0,3039700,0,3039700,0,2690.0,2690.0,,,0.0,1393-10-30
2015-01-21,1,0,4,0,33396,0,33396,0,90847305,0,90847305,0,2720.3049766439094,2720.3049766439094,,,0.0,1393-11-01
2015-01-24,1,0,1,0,2087,0,2087,0,5614030,0,5614030,0,2690.0,2690.0,,,0.0,1393-11-04
2015-02-08,2,0,1,0,16000,0,16000,0,35158840,0,35158840,0,2197.4275,2197.4275,,,0.0,1393-11-19
2015-02-09,2,0,1,0,10000,0,10000,0,21629550,0,21629550,0,2162.955,2162.955,,,0.0,1393-11-20
2015-02-25,1,0,1,0,12000,0,12000,0,29700000,0,29700000,0,2475.0,2475.0,,,0.0,1393-12-06
2015-03-02,1,0,2,0,1666,0,1666,0,3531920,0,3531920,0,2120.0,2120.0,,,0.0,1393-12-11
2015-03-07,1,0,1,0,4000,0,4000,0,10000000,0,10000000,0,2500.0,2500.0,,,0.0,1393-12-16
2015-03-14,1,0,1,0,4000,0,4000,0,10276000,0,10276000,0,2569.0,2569.0,,,0.0,1393-12-23
2015-03-16,1,0,2,0,5336,0,5336,0,13540100,0,13540100,0,2537.5,2537.5,,,0.0,1393-12-25
2015-03-18,1,0,1,0,204,0,204,0,479400,0,479400,0,2350.0,2350.0,,,0.0,1393-12-27
2015-04-04,3,0,2,0,11000,0,11000,0,28350000,0,28350000,0,2577.2727272727275,2577.2727272727275,,,0.0,1394-01-15
2015-04-05,3,0,5,0,56000,0,56000,0,163899000,0,163899000,0,2926.7678571428573,2926.7678571428573,,,0.0,1394-01-16
2015-04-06,1,0,4,0,45000,0,45000,0,143650000,0,143650000,0,3192.222222222222,3192.222222222222,,,0.0,1394-01-17
2015-04-07,2,0,2,0,6500,0,6500,0,15600000,0,15600000,0,2400.0,2400.0,,,0.0,1394-01-18
2015-04-11,1,0,1,0,3211,0,3211,0,9954100,0,9954100,0,3100.0,3100.0,,,0.0,1394-01-22
2015-04-13,1,0,1,0,37091,0,37091,0,84567480,0,84567480,0,2280.0,2280.0,,,0.0,1394-01-24
2015-04-14,3,0,2,0,12200,0,12200,0,27822211,0,27822211,0,2280.509098360656,2280.509098360656,,,0.0,1394-01-25
2015-04-20,1,0,0,1,1459,0,0,1459,3327979,0,0,3327979,2281.0,,,2281.0,1459.0,1394-01-31
2015-05-09,1,0,1,0,12000,0,12000,0,27360000,0,27360000,0,2280.0,2280.0,,,0.0,1394-02-19
2015-05-24,1,0,1,0,1637,0,1637,0,3735634,0,3735634,0,2282.0,2282.0,,,0.0,1394-03-03
2015-05-26,3,0,1,0,45000,0,45000,0,96750000,0,96750000,0,2150.0,2150.0,,,0.0,1394-03-05
2015-06-10,1,0,1,0,3000,0,3000,0,7317000,0,7317000,0,2439.0,2439.0,,,0.0,1394-03-20
2015-09-09,1,0,1,0,7000,0,7000,0,18900000,0,18900000,0,2700.0,2700.0,,,0.0,1394-06-18
2015-09-13,1,0,1,0,89867,0,89867,0,224967500,0,224967500,0,2503.3382665494564,2503.3382665494564,,,0.0,1394-06-22
2015-09-14,3,0,1,0,124890,0,124890,0,249780000,0,249780000,0,2000.0,2000.0,,,0.0,1394-06-23
2015-09-16,2,0,2,0,198712,0,198712,0,494741200,0,494741200,0,2489.7399251177585,2489.7399251177585,,,0.0,1394-06-25
2015-09-20,4,0,2,0,31000,0,31000,0,62090000,0,62090000,0,2002.903225806452,2002.903225806452,,,0.0,1394-06-29
2015-09-23,3,0,1,0,138990,0,138990,0,264288000,0,264288000,0,1901.4893157781132,1901.4893157781132,,,0.0,1394-07-01
2015-09-26,7,0,1,0,286490,0,286490,0,529371980,0,529371980,0,1847.7851932004608,1847.7851932004608,,,0.0,1394-07-04
2015-09-27,1,0,1,0,500,0,500,0,955000,0,955000,0,1910.0,1910.0,,,0.0,1394-07-05
2015-10-04,1,0,1,0,2000,0,2000,0,3800000,0,3800000,0,1900.0,1900.0,,,0.0,1394-07-12
2015-10-07,11,0,4,0,193887,0,193887,0,315464650,0,315464650,0,1627.0541604130242,1627.0541604130242,,,0.0,1394-07-15
2015-10-10,4,0,1,0,114910,0,114910,0,173623820,0,173623820,0,1510.9548342180838,1510.9548342180838,,,0.0,1394-07-18
2015-10-18,4,0,1,0,85000,0,85000,0,128085000,0,128085000,0,1506.8823529411766,1506.8823529411766,,,0.0,1394-07-26
2015-10-26,4,0,2,0,36000,0,36000,0,50560000,0,50560000,0,1404.4444444444443,1404.4444444444443,,,0.0,1394-08-04
2015-10-31,4,0,6,0,150560,0,150560,0,247014400,0,247014400,0,1640.6376195536664,1640.6376195536664,,,0.0,1394-08-09
2015-11-01,7,0,7,0,195710,0,195710,0,357734000,0,357734000,0,1827.8779827295489,1827.8779827295489,,,0.0,1394-08-10
2015-11-02,6,0,4,0,80000,0,80000,0,153249500,0,153249500,0,1915.61875,1915.61875,,,0.0,1394-08-11
2015-11-03,8,0,9,0,86000,0,86000,0,176100000,0,176100000,0,2047.6744186046512,2047.6744186046512,,,0.0,1394-08-12
2015-11-04,4,0,6,0,35000,0,35000,0,82043000,0,82043000,0,2344.0857142857144,2344.0857142857144,,,0.0,1394-08-13
2015-11-07,12,0,10,0,194910,0,194910,0,484045000,0,484045000,0,2483.428248935406,2483.428248935406,,,0.0,1394-08-16
2015-11-08,7,0,12,0,139410,0,139410,0,373398506,0,373398506,0,2678.419812065132,2678.419812065132,,,0.0,1394-08-17
2015-11-09,9,0,6,0,101040,0,101040,0,290023020,0,290023020,0,2870.378266033254,2870.378266033254,,,0.0,1394-08-18
2015-11-10,9,0,4,0,91380,0,91380,0,281446800,0,281446800,0,3079.9606040709127,3079.9606040709127,,,0.0,1394-08-19
2015-11-11,31,1,16,0,680138,10000,690138,0,1980687327,33000000,2013687327,0,2912.1844787381383,2917.8038696608505,3300.0,,-10000.0,1394-08-20
