date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-05-26,41391,785,0,2,64829544,23747925,0,88577469,1134517020000,415588687500,0,1550105707500,17500.0,,17500.0,17500.0,64829544.0,1393-03-05
2014-05-28,22145,30,0,1,22343044,34150,0,22377194,391003270000,597625000,0,391600895000,17500.0,,17500.0,17500.0,22343044.0,1393-03-07
2014-05-31,21,2,447,5,1244670,150295,728265,666700,22652994000,2735369000,13254423000,12133940000,18200.0,18200.0,18200.0,18200.0,516405.0,1393-03-10
2014-06-01,7012,63,14965,158,27460960,27049175,29932917,24577218,514208343028,504139485354,560557757915,457790070467,18725.067988446142,18727.13434226941,18637.88767509545,18626.602509161126,-2471957.0,1393-03-11
2014-06-02,1923,23,6215,38,6231590,5385484,11024563,592511,117058438232,101057228054,206963354873,11152311413,18784.682277235825,18772.93048921758,18764.743903054958,18822.11707968291,-4792973.0,1393-03-12
2014-06-03,881,27,3378,23,2685104,6788903,7026737,2447270,50144253508,126919078184,131306312267,45757019425,18674.976279503517,18686.66954049938,18695.079040604945,18697.168446881627,-4341633.0,1393-03-13
2014-06-07,469,17,3378,22,1181042,4991444,5765972,406514,21915649942,92719674871,107086668721,7548656092,18556.198629684637,18572.17980264212,18575.72174925733,18569.24015409064,-4584930.0,1393-03-17
2014-06-08,404,12,2938,17,943727,5912270,6203462,652535,17461018600,109448039813,114810331065,12098727348,18502.192477273617,18507.461005644916,18512.016503474977,18541.116335522234,-5259735.0,1393-03-18
2014-06-09,377,15,2142,17,2429132,1427724,3414860,441996,45357591306,26649314903,63760296552,8246609657,18672.345227019363,18671.423294659224,18665.59286178561,18657.656759337187,-985728.0,1393-03-19
2014-06-10,198,18,1594,11,611055,2614884,2981024,244915,11355951945,48771333367,55561543725,4565741587,18584.173184083265,18638.408722975728,18651.43286164893,18642.14763081069,-2369969.0,1393-03-20
2014-06-11,156,8,1052,8,558151,1662457,1977238,243370,10365401324,30882099878,36720996060,4526505142,18570.96256031074,18571.864418952093,18576.17964133809,18599.27329580474,-1419087.0,1393-03-21
2014-06-14,347,11,1478,13,970738,3225109,3977430,218417,17584098613,59149365947,72740090089,3993374471,18114.155017110694,18288.21376843841,18340.268793085757,18283.25849636246,-3006692.0,1393-03-24
2014-06-15,209,14,1394,13,668588,2776416,3277821,167183,12015792131,50517539922,59522903403,3010428650,17971.893200296745,18159.29039535716,18195.23440363404,18006.786874263533,-2609233.0,1393-03-25
2014-06-16,153,1,1454,16,470341,3728399,3435230,763510,8687371850,68903142426,63433781677,14156732599,18470.36905139037,18465.65780952076,18480.624639691192,18541.646604497648,-2964889.0,1393-03-26
2014-06-17,158,9,877,8,330453,2404353,2569996,164810,6045638840,44350874092,47359098779,3037414153,18295.00364650949,18427.693575787667,18446.074304397065,18429.792809902312,-2239543.0,1393-03-27
2014-06-18,153,6,929,9,291268,1219714,1347082,163900,5392497357,22529786968,24893448236,3028836089,18513.868179820645,18479.534457442085,18471.36867167221,18479.780896888347,-1055814.0,1393-03-28
2014-06-21,94,9,581,3,306561,1230997,1489426,48132,5655852246,22724846040,27494110986,886587300,18449.35345983344,18459.53473754319,18460.52105732183,18419.913986537023,-1182865.0,1393-03-31
2014-06-22,81,4,955,9,97385,2029945,2077530,49800,1783220572,37427898904,38293424476,917695000,18311.039400318325,18432.188452633654,18437.8881713544,18427.61044176707,-1980145.0,1393-04-01
2014-06-23,47,1,978,10,69082,2300000,2212812,156270,1269928060,42404975439,40794050049,2880853450,18382.908138154657,18435.389020395767,18436.94584304348,18435.10238689448,-2143730.0,1393-04-02
2014-06-24,66,6,475,5,95142,1693587,1707419,81310,1738233095,31142456018,31392889073,1487800040,18269.88180824452,18386.16594579304,18388.45953470356,18297.872832369943,-1612277.0,1393-04-03
2014-06-25,40,2,457,4,149919,1443854,1559873,33900,2751118015,26464148056,28594196171,621069900,18350.696142583663,18331.10527010853,18328.82552945104,18320.64601769912,-1409954.0,1393-04-04
2014-06-28,169,6,547,3,383494,1070188,1407682,46000,6836332337,19543195378,25550934938,828592777,17826.438841285653,18151.070297126767,18261.460021977447,18012.88645652174,-1024188.0,1393-04-07
2014-06-29,192,6,614,5,468947,1682431,1840778,310600,8218149694,29724757941,32456694085,5486213550,17524.687638475138,17632.052363185565,17667.742653933503,17663.276078557632,-1371831.0,1393-04-08
2014-06-30,166,5,485,6,285404,1171730,1183734,273400,4868426122,19942211673,20161954494,4648683301,17058.01643284607,17032.504341346958,17019.459835456975,17003.23080102414,-898330.0,1393-04-09
2014-07-01,95,5,291,6,336395,165302,383947,117750,5905635268,2908063370,6738747638,2074951000,17555.657093595328,17551.244411338022,17592.427012377346,17621.664543524417,-47552.0,1393-04-10
