date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2020-03-04,1617339,1939,0,2,33959165,40730,0,33999895,675787383500,810527000,0,676597910500,19900.0,,19900.0,19900.0,33959165.0,1398-12-14
2020-03-07,10,0,3785,4,78618,0,78534,84,1642723110,0,1640967930,1755180,20895.0,20895.0,,20895.0,84.0,1398-12-17
2020-03-09,77,3,4157,8,1776155,114834,86133,1804856,37169595685,2403131118,1802505291,37770221512,20927.0,20927.0,20927.0,20927.0,1690022.0,1398-12-19
2020-03-10,3,0,4543,6,94237,0,94110,127,2046356455,0,2043598650,2757805,21715.0,21715.0,,21715.0,127.0,1398-12-20
2020-03-11,8,1,6254,8,79598,50000,129430,168,1731734088,1087800000,2815879080,3655008,21756.0,21756.0,21756.0,21756.0,-49832.0,1398-12-21
2020-03-14,6,0,7353,11,265950,0,187760,78190,5800635450,0,4095233360,1705402090,21811.0,21811.0,,21811.0,78190.0,1398-12-24
2020-03-15,5,0,4296,12,115449,0,115196,253,2532027468,0,2526478672,5548796,21932.0,21932.0,,21932.0,253.0,1398-12-25
2020-03-16,7,0,7109,20,167696,0,167276,420,3686628864,0,3677395584,9233280,21984.0,21984.0,,21984.0,420.0,1398-12-26
2020-03-17,2,0,6655,8,139199,0,139030,169,3070869139,0,3067140830,3728309,22061.0,22061.0,,22061.0,169.0,1398-12-27
2020-03-18,8,0,7819,27,163570,0,163001,569,3618986250,0,3606397125,12589125,22125.0,22125.0,,22125.0,569.0,1398-12-28
2020-03-24,12,0,7637,5,159841,0,159736,105,3548630041,0,3546298936,2331105,22201.0,22201.0,,22201.0,105.0,1399-01-05
2020-03-25,5,0,9577,17,200518,0,200159,359,4466538450,0,4458541725,7996725,22275.0,22275.0,,22275.0,359.0,1399-01-06
2020-03-28,8,1,12563,9,252500,12557,264868,189,5648425000,280900090,5925097160,4227930,22370.0,22370.0,22370.0,22370.0,-12368.0,1399-01-09
2020-03-29,9,0,13925,10,296388,0,291278,5110,6667544448,0,6552589888,114954560,22496.0,22496.0,,22496.0,5110.0,1399-01-10
2020-03-30,6,0,12440,10,262220,0,262010,210,5936136360,0,5931382380,4753980,22638.0,22638.0,,22638.0,210.0,1399-01-11
2020-04-04,11,0,15042,12,315750,0,315498,252,7187733000,0,7181996472,5736528,22764.0,22764.0,,22764.0,252.0,1399-01-16
