date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2011-06-07,222,3,48,3,3374422,86000,2030422,1430000,16005831031,390753000,9707389715,6689194316,4743.2807843832215,4780.971500013297,4543.639534883721,4677.758262937063,1344000.0,1390-03-17
2011-06-08,4,0,2,0,13288,0,13288,0,53497488,0,53497488,0,4026.0,4026.0,,,0.0,1390-03-18
2011-06-11,2,0,1,0,3060,0,3060,0,11704500,0,11704500,0,3825.0,3825.0,,,0.0,1390-03-21
2011-06-12,1,0,1,0,50,0,50,0,181700,0,181700,0,3634.0,3634.0,,,0.0,1390-03-22
2011-06-14,1,0,1,0,50,0,50,0,172650,0,172650,0,3453.0,3453.0,,,0.0,1390-03-24
2011-06-15,2,1,47,1,3050,990000,803050,190000,10007050,3248190000,2634807050,623390000,3281.0,3281.0,3281.0,3281.0,-800000.0,1390-03-25
2011-06-18,1,0,1,0,1000,0,1000,0,3117000,0,3117000,0,3117.0,3117.0,,,0.0,1390-03-28
2011-06-20,0,1,1,0,0,1000,1000,0,0,2962000,2962000,0,,2962.0,2962.0,,-1000.0,1390-03-30
2011-06-21,3,0,3,0,6170,0,6170,0,17362380,0,17362380,0,2814.0,2814.0,,,0.0,1390-03-31
2011-06-22,18,3,161,0,205641,3343195,3548836,0,551482030,8939783430,9491265460,0,2681.7708044602,2674.4728299645294,2674.0239292054457,,-3343195.0,1390-04-01
2011-06-25,2,2,12,0,5380,81937,87317,0,13682800,214412244,228095044,0,2543.271375464684,2612.2638661429046,2616.793927041508,,-81937.0,1390-04-04
2011-06-26,0,1,13,0,0,193779,193779,0,0,480959478,480959478,0,,2482.0,2482.0,,-193779.0,1390-04-05
2011-06-27,0,1,18,0,0,249162,249162,0,0,587523996,587523996,0,,2358.0,2358.0,,-249162.0,1390-04-06
2011-06-28,0,2,3,0,0,46043,46043,0,0,103182363,103182363,0,,2241.0,2241.0,,-46043.0,1390-04-07
2011-06-29,3,0,5,0,89634,0,89634,0,208307620,0,208307620,0,2323.979962960484,2323.979962960484,,,0.0,1390-04-08
2011-07-02,1,0,1,1,200,0,134,66,488000,0,326960,161040,2440.0,2440.0,,2440.0,66.0,1390-04-11
2011-07-03,2,2,2,3,2500,54000,9000,47500,6405000,130052000,20862000,115595000,2562.0,2318.0,2408.3703703703704,2433.5789473684213,-6500.0,1390-04-12
2011-07-04,1,3,8,1,20000,773329,85895,707434,45900000,1774840055,197179025,1623561030,2295.0,2295.582106059724,2295.0646555347075,2295.0,-65895.0,1390-04-13
2011-07-05,1,1,6,0,6091,46134,52225,0,13337300,101494800,114832100,0,2189.673288458381,2198.7955959789374,2200.0,,-46134.0,1390-04-14
2011-07-06,1,1,8,0,4387,80000,84387,0,9769849,182496653,192266502,0,2227.0,2278.390060080344,2281.2081625,,-80000.0,1390-04-15
2011-07-09,7,2,1,0,150000,390000,540000,0,337152800,856520000,1193672800,0,2247.6853333333333,2210.5051851851854,2196.2051282051284,,-390000.0,1390-04-18
2011-07-10,0,4,7,0,0,630804,630804,0,0,1325350204,1325350204,0,,2101.0491436325706,2101.0491436325706,,-630804.0,1390-04-19
2011-07-11,4,0,3,0,3760,0,3760,0,7813780,0,7813780,0,2078.1329787234044,2078.1329787234044,,,0.0,1390-04-20
2011-07-12,2,1,13,0,4897,249459,254356,0,9684472,492681525,502365997,0,1977.6336532570965,1975.0507045243676,1975.0,,-249459.0,1390-04-21
2011-07-13,2,1,3,0,150,102243,102393,0,303600,204486000,204789600,0,2024.0,2000.035158653424,2000.0,,-102243.0,1390-04-22
2011-07-16,2,1,2,0,7562,2072,9634,0,14410610,3938872,18349482,0,1905.661200740545,1904.65870873988,1901.0,,-2072.0,1390-04-25
2011-07-18,3,3,9,1,55160,43790485,175218,43670427,99973460,83627840045,317297935,83410515570,1812.4267585206671,1810.875224006666,1909.726280606392,1910.0,-120058.0,1390-04-27
2011-07-23,1,0,1,0,1200,0,1200,0,2340000,0,2340000,0,1950.0,1950.0,,,0.0,1390-05-01
2011-07-25,1,0,2,0,6100,0,6100,0,11018000,0,11018000,0,1806.229508196721,1806.229508196721,,,0.0,1390-05-03
2011-07-26,2,1,2,0,2391,933,3324,0,3634320,1399500,5033820,0,1520.0,1514.3862815884477,1500.0,,-933.0,1390-05-04
2011-07-27,3,0,5,1,16598,0,15598,1000,29876385,0,28076385,1800000,1799.99909627666,1799.9990383382485,,1800.0,1000.0,1390-05-05
2011-07-30,0,3,5,0,0,137395,137395,0,0,233690520,233690520,0,,1700.8662615087885,1700.8662615087885,,-137395.0,1390-05-08
2011-07-31,0,3,6,0,0,989804,989804,0,0,1679203130,1679203130,0,,1696.500650633863,1696.500650633863,,-989804.0,1390-05-09
2011-08-01,0,1,3,0,0,21168,21168,0,0,35985600,35985600,0,,1700.0,1700.0,,-21168.0,1390-05-10
2011-08-03,2,0,2,0,14834,0,14834,0,23062720,0,23062720,0,1554.720237292706,1554.720237292706,,,0.0,1390-05-12
2011-08-06,1,0,1,0,100,0,100,0,169900,0,169900,0,1699.0,1699.0,,,0.0,1390-05-15
2011-08-07,0,1,3,0,0,14331,14331,0,0,24362700,24362700,0,,1700.0,1700.0,,-14331.0,1390-05-16
2011-08-08,1,2,3,0,5000,3859,8859,0,8105000,6253439,14358439,0,1621.0,1620.7742408849758,1620.4817310183985,,-3859.0,1390-05-17
2011-08-09,1,0,1,0,79786,0,79786,0,128934176,0,128934176,0,1616.0,1616.0,,,0.0,1390-05-18
