date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2011-09-04,3,0,2,0,32364,0,32364,0,45180144,0,45180144,0,1396.0,1396.0,,,0.0,1390-06-13
2011-09-05,57,0,38,1,2394476,0,1354476,1040000,3214666682,0,1820469711,1394196971,1342.534517781761,1344.0398434523756,,1340.574010576923,1040000.0,1390-06-14
2011-09-06,6,0,13,0,330000,0,330000,0,465300000,0,465300000,0,1410.0,1410.0,,,0.0,1390-06-15
2011-09-07,44,3,56,1,2035604,210000,1816686,428918,3003614437,310400000,2679215797,634798640,1475.539661446922,1474.7819914944023,1478.095238095238,1480.0,218918.0,1390-06-16
2011-09-10,8,0,16,0,181931,0,181931,0,274260115,0,274260115,0,1507.4952317087248,1507.4952317087248,,,0.0,1390-06-19
2011-09-11,10,0,6,2,244000,0,100000,144000,353010000,0,144202000,208808000,1446.7622950819673,1442.02,,1450.0555555555557,144000.0,1390-06-20
2011-09-12,28,0,15,0,601507,0,601507,0,832358513,0,832358513,0,1383.7885727015646,1383.7885727015646,,,0.0,1390-06-21
2011-09-13,10,0,5,1,219047,0,125000,94047,305921125,0,174255325,131665800,1396.6003871315288,1394.0426,,1400.0,94047.0,1390-06-22
2011-09-14,7,0,5,1,109500,0,49500,60000,153010000,0,69010000,84000000,1397.351598173516,1394.141414141414,,1400.0,60000.0,1390-06-23
2011-09-17,7,0,4,0,41628,0,41628,0,56334660,0,56334660,0,1353.287690977227,1353.287690977227,,,0.0,1390-06-26
2011-09-18,12,0,5,1,153641,0,143641,10000,206083421,0,192697421,13386000,1341.330901256826,1341.521021156912,,1338.6,10000.0,1390-06-27
2011-09-19,27,0,7,2,360113,0,260113,100000,463118748,0,334444876,128673872,1286.0372938494306,1285.7676317600428,,1286.73872,100000.0,1390-06-28
2011-09-20,7,0,2,1,67350,0,64500,2850,86299500,0,82620000,3679500,1281.358574610245,1280.9302325581396,,1291.0526315789473,2850.0,1390-06-29
2011-09-21,12,1,9,0,143637,40000,183637,0,179512972,50000000,229512972,0,1249.768318747955,1249.8187837962937,1250.0,,-40000.0,1390-06-30
2011-09-25,27,0,10,1,345660,0,245660,100000,412980440,0,293702590,119277850,1194.7591274662964,1195.56537490841,,1192.7785,100000.0,1390-07-03
2011-09-26,4,0,2,0,20400,0,20400,0,25176200,0,25176200,0,1234.1274509803925,1234.1274509803925,,,0.0,1390-07-04
2011-09-27,8,0,5,0,48036,0,48036,0,57300505,0,57300505,0,1192.865871429761,1192.865871429761,,,0.0,1390-07-05
2011-09-28,5,0,6,0,61000,0,61000,0,75321900,0,75321900,0,1234.7852459016394,1234.7852459016394,,,0.0,1390-07-06
2011-10-01,6,0,9,0,171276,0,171276,0,206153752,0,206153752,0,1203.6347882949158,1203.6347882949158,,,0.0,1390-07-09
2011-10-02,13,0,8,0,134429,0,134429,0,161633300,0,161633300,0,1202.3692804380007,1202.3692804380007,,,0.0,1390-07-10
2011-10-03,6,0,8,0,24160,0,24160,0,29136540,0,29136540,0,1205.9826158940398,1205.9826158940398,,,0.0,1390-07-11
2011-10-04,1,0,1,0,3000,0,3000,0,3675000,0,3675000,0,1225.0,1225.0,,,0.0,1390-07-12
2011-10-05,32,1,10,0,574565,295425,869990,0,669915690,343874700,1013790390,0,1165.9528338830246,1165.289704479362,1164.0,,-295425.0,1390-07-13
2011-10-08,28,1,27,1,449025,40000,409025,80000,547224300,48920000,499224300,96920000,1218.694504760314,1220.522706436037,1223.0,1211.5,40000.0,1390-07-16
2011-10-09,12,0,32,0,582548,0,582548,0,737440204,0,737440204,0,1265.887453051079,1265.887453051079,,,0.0,1390-07-17
2011-10-10,21,0,25,1,324262,0,174262,150000,419278592,0,225717592,193561000,1293.0241348045715,1295.2771803376525,,1290.4066666666668,150000.0,1390-07-18
2011-10-11,10,1,8,0,79750,10000,89750,0,98772380,12300000,111072380,0,1238.525141065831,1237.5752646239555,1230.0,,-10000.0,1390-07-19
2011-10-12,5,1,5,0,66685,53860,120545,0,81566735,65378320,146945055,0,1223.164654719952,1219.0058069600564,1213.8566654288898,,-53860.0,1390-07-20
2011-10-15,17,1,7,0,242000,10000,252000,0,283043879,11630000,294673879,0,1169.602805785124,1169.3407896825397,1163.0,,-10000.0,1390-07-23
2011-10-16,8,2,7,0,78238,28580,106818,0,89303420,32391080,121694500,0,1141.432807587106,1139.2695987567638,1133.3477956613017,,-28580.0,1390-07-24
2011-10-17,2,0,2,0,15000,0,15000,0,17215000,0,17215000,0,1147.6666666666667,1147.6666666666667,,,0.0,1390-07-25
2011-10-18,4,0,2,0,20000,0,20000,0,23295350,0,23295350,0,1164.7675,1164.7675,,,0.0,1390-07-26
2011-10-19,4,1,12,1,63996,80000,123996,20000,74434374,92937254,144021628,23350000,1163.109788111757,1161.5022097487015,1161.715675,1167.5,-60000.0,1390-07-27
2011-10-22,2,1,2,0,4671,15329,20000,0,5446724,17704995,23151719,0,1166.0723613787195,1157.58595,1155.0,,-15329.0,1390-07-30
2011-10-23,7,1,5,0,40564,10000,50564,0,46023250,11300000,57323250,0,1134.58362094468,1133.677122063128,1130.0,,-10000.0,1390-08-01
2011-10-24,2,1,7,0,23000,30330,53330,0,26440000,34220166,60660166,0,1149.5652173913045,1137.449203075192,1128.261325420376,,-30330.0,1390-08-02
2011-10-25,3,1,3,0,11100,29400,40500,0,12747500,33673600,46421100,0,1148.4234234234234,1146.2,1145.360544217687,,-29400.0,1390-08-03
2011-10-26,2,2,18,1,32121,171519,193640,10000,38319080,203611095,229950175,11980000,1192.9603686062078,1187.5138142945673,1187.1051895125322,1198.0,-161519.0,1390-08-04
2011-10-29,0,1,6,0,0,245118,245118,0,0,287192540,287192540,0,,1171.6501440122715,1171.6501440122715,,-245118.0,1390-08-07
2011-10-30,1,1,4,0,2000,30521,32521,0,2360000,36014780,38374780,0,1180.0,1180.0,1180.0,,-30521.0,1390-08-08
2011-10-31,2,0,1,0,325,0,325,0,368250,0,368250,0,1133.076923076923,1133.076923076923,,,0.0,1390-08-09
2011-11-01,2,1,5,0,6200,31000,37200,0,7290200,35371000,42661200,0,1175.8387096774193,1146.8064516129032,1141.0,,-31000.0,1390-08-10
2011-11-02,3,0,4,0,40000,0,40000,0,46407300,0,46407300,0,1160.1825,1160.1825,,,0.0,1390-08-11
2011-11-05,1,0,1,0,2565,0,2565,0,2975400,0,2975400,0,1160.0,1160.0,,,0.0,1390-08-14
2011-11-06,9,0,9,0,300950,0,300950,0,331802294,0,331802294,0,1102.516344907792,1102.516344907792,,,0.0,1390-08-15
2011-11-08,4,2,9,0,91000,33289,124289,0,95870000,34951666,130821666,0,1053.5164835164835,1052.5602909348374,1049.9464087236024,,-33289.0,1390-08-17
2011-11-09,2,0,4,1,66250,0,38250,28000,72994750,0,42126250,30868500,1101.8075471698114,1101.3398692810458,,1102.446428571429,28000.0,1390-08-18
2011-11-12,8,0,9,0,207514,0,207514,0,239970398,0,239970398,0,1156.4058232215657,1156.4058232215657,,,0.0,1390-08-21
2011-11-13,6,0,4,0,86887,0,86887,0,95574320,0,95574320,0,1099.9841173017828,1099.9841173017828,,,0.0,1390-08-22
2011-11-14,3,1,5,0,13667,6000,19667,0,15553610,6759777,22313387,0,1138.0412672861637,1134.5597701733868,1126.6295,,-6000.0,1390-08-23
2011-11-16,2,0,2,0,40979,0,40979,0,45891231,0,45891231,0,1119.8719100026842,1119.8719100026842,,,0.0,1390-08-25
2011-11-19,7,0,3,0,52694,0,52694,0,56606540,0,56606540,0,1074.2501992636733,1074.2501992636733,,,0.0,1390-08-28
2011-11-20,3,0,6,0,43200,0,43200,0,47058150,0,47058150,0,1089.3090277777778,1089.3090277777778,,,0.0,1390-08-29
2011-11-21,4,0,2,0,21925,0,21925,0,23547025,0,23547025,0,1073.9806157354617,1073.9806157354617,,,0.0,1390-08-30
2011-11-22,9,1,22,0,289266,205050,494316,0,318961296,215012500,533973796,0,1102.6574018377548,1080.2276195793784,1048.5857108022433,,-205050.0,1390-09-01
2011-11-23,0,1,1,0,0,7767,7767,0,0,8132049,8132049,0,,1047.0,1047.0,,-7767.0,1390-09-02
2011-11-26,5,1,3,0,19940,1490,21430,0,20964080,1549600,22513680,0,1051.358074222668,1050.5683621091928,1040.0,,-1490.0,1390-09-05
2011-11-27,5,1,3,0,4003,10197,14200,0,4304575,10706850,15011425,0,1075.3372470647014,1057.1426056338028,1050.0,,-10197.0,1390-09-06
2011-11-28,5,1,9,0,23200,57800,81000,0,23594400,60616800,84211200,0,1017.0,1039.6444444444444,1048.7335640138408,,-57800.0,1390-09-07
2011-11-29,4,0,3,0,24447,0,24447,0,26183290,0,26183290,0,1071.0226203624163,1071.0226203624163,,,0.0,1390-09-08
2011-11-30,4,0,2,0,34170,0,34170,0,36203470,0,36203470,0,1059.510389230319,1059.510389230319,,,0.0,1390-09-09
2011-12-03,2,0,1,1,15027,0,15000,27,15929268,0,15900000,29268,1060.0431223797166,1060.0,,1084.0,27.0,1390-09-12
2011-12-04,5,0,3,1,25000,0,15000,10000,27278000,0,16278000,11000000,1091.12,1085.2,,1100.0,10000.0,1390-09-13
2011-12-07,4,0,6,1,53700,0,37700,16000,58518000,0,40918000,17600000,1089.7206703910615,1085.3580901856765,,1100.0,16000.0,1390-09-16
2011-12-10,2,1,9,0,57255,10000,67255,0,61599125,10600000,72199125,0,1075.87328617588,1073.513121700989,1060.0,,-10000.0,1390-09-19
2011-12-12,1,0,1,0,100,0,100,0,109900,0,109900,0,1099.0,1099.0,,,0.0,1390-09-21
2011-12-13,1,1,2,0,200,14347,14547,0,211600,15179126,15390726,0,1058.0,1058.0,1058.0,,-14347.0,1390-09-22
2011-12-14,3,1,5,0,20197,14633,34830,0,21675291,15564145,37239436,0,1073.1935931078874,1069.1770312948609,1063.6332262693911,,-14633.0,1390-09-23
2011-12-17,1,1,5,0,3750,51917,55667,0,3975000,55032020,59007020,0,1060.0,1060.0,1060.0,,-51917.0,1390-09-26
2011-12-18,4,1,6,0,39583,50802,90385,0,42325960,53951828,96277788,0,1069.2964151277065,1065.19652597223,1062.0020471634975,,-50802.0,1390-09-27
2011-12-19,3,1,5,0,36350,8500,44850,0,38754100,9000000,47754100,0,1066.1375515818431,1064.7513935340023,1058.8235294117646,,-8500.0,1390-09-28
2011-12-20,4,1,3,0,62729,100000,162729,0,65924679,105100000,171024679,0,1050.9442044349505,1050.9784918484106,1051.0,,-100000.0,1390-09-29
2011-12-21,0,1,9,0,0,194000,194000,0,0,205508978,205508978,0,,1059.324628865979,1059.324628865979,,-194000.0,1390-09-30
2011-12-24,4,1,14,0,64950,212952,277902,0,68528750,226602830,295131580,0,1055.100076982294,1061.998762153565,1064.102849468425,,-212952.0,1390-10-03
2011-12-25,1,1,7,0,5085,134929,140014,0,5303655,144284030,149587685,0,1043.0,1068.376626623052,1069.3329825315536,,-134929.0,1390-10-04
2011-12-26,3,1,12,0,38278,237571,275849,0,40794572,253795970,294590542,0,1065.744605256283,1067.9413084694888,1068.2952464736857,,-237571.0,1390-10-05
2011-12-28,2,1,1,0,10000,18241,28241,0,10680000,19463147,30143147,0,1068.0,1067.3540951099465,1067.0,,-18241.0,1390-10-07
2011-12-31,2,1,7,0,8000,67900,75900,0,8650000,72449300,81099300,0,1081.25,1068.501976284585,1067.0,,-67900.0,1390-10-10
2012-01-01,3,1,3,0,20600,241736,262336,0,22081400,257932312,280013712,0,1071.9126213592233,1067.385764820688,1067.0,,-241736.0,1390-10-11
2012-01-02,0,1,7,0,0,200000,200000,0,0,212550000,212550000,0,,1062.75,1062.75,,-200000.0,1390-10-12
2012-01-03,7,1,6,1,102050,245980,148030,200000,107303450,258751840,156040290,210015000,1051.4791768740813,1054.112612308316,1051.9222701032604,1050.075,-45980.0,1390-10-13
2012-01-04,11,1,5,0,116802,149200,266002,0,123410424,156936000,280346424,0,1056.5780038013047,1053.9260005563867,1051.849865951743,,-149200.0,1390-10-14
2012-01-07,1,1,6,0,20000,250000,270000,0,21020000,262500000,283520000,0,1051.0,1050.074074074074,1050.0,,-250000.0,1390-10-17
2012-01-08,2,0,4,0,26665,0,26665,0,28089876,0,28089876,0,1053.43618976186,1053.43618976186,,,0.0,1390-10-18
2012-01-18,1,0,1,0,1000,0,1000,0,1125000,0,1125000,0,1125.0,1125.0,,,0.0,1390-10-28
2012-01-21,6,0,6,1,440122,0,308522,131600,447458562,0,313205830,134252732,1016.6693825802846,1015.1815105567836,,1020.157537993921,131600.0,1390-11-01
2012-01-23,2,1,14,0,30000,500000,530000,0,31630000,533072000,564702000,0,1054.3333333333333,1065.475471698113,1066.144,,-500000.0,1390-11-03
2012-01-25,2,0,1,1,100000,0,10000,90000,101200000,0,10120000,91080000,1012.0,1012.0,,1012.0,90000.0,1390-11-05
2012-01-28,3,1,7,1,360000,550000,675370,234630,364615900,583092924,704266774,243442050,1012.8219444444444,1042.7865821697735,1060.1689527272729,1037.5572177470913,-315370.0,1390-11-08
2012-01-29,8,0,5,0,37613,0,37613,0,39122453,0,39122453,0,1040.1311514635895,1040.1311514635895,,,0.0,1390-11-09
2012-01-30,2,0,2,0,17000,0,17000,0,17202000,0,17202000,0,1011.8823529411764,1011.8823529411764,,,0.0,1390-11-10
