date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2008-11-29,2,1,1,1,1501,10,1501,10,5558203,38110,5558203,38110,3703.0,3703.0,3811.0,3811.0,0.0,1387-09-09
2008-12-03,9,1,2,1,11500,10,11500,10,42515500,37640,42515500,37640,3697.0,3697.0,3764.0,3764.0,0.0,1387-09-13
2008-12-15,1,0,1,0,10,0,10,0,36520,0,36520,0,3652.0,3652.0,,,0.0,1387-09-25
2008-12-16,1,0,1,0,10,0,10,0,35430,0,35430,0,3543.0,3543.0,,,0.0,1387-09-26
2008-12-22,1,0,1,0,10,0,10,0,34370,0,34370,0,3437.0,3437.0,,,0.0,1387-10-02
2008-12-23,1,0,1,0,100,0,100,0,343700,0,343700,0,3437.0,3437.0,,,0.0,1387-10-03
2008-12-24,1,0,1,0,2983,0,2983,0,9945322,0,9945322,0,3334.0,3334.0,,,0.0,1387-10-04
2008-12-27,1,0,1,0,150,0,150,0,485100,0,485100,0,3234.0,3234.0,,,0.0,1387-10-07
2008-12-28,1,0,1,0,100,0,100,0,313700,0,313700,0,3137.0,3137.0,,,0.0,1387-10-08
2008-12-29,71,1,78,4,1233760,5000,959722,279038,3954920548,15850000,3069234770,901535778,3205.583377642329,3198.0456528036243,3170.0,3230.8709853138284,274038.0,1387-10-09
2008-12-30,16,0,11,0,93014,0,93014,0,305185430,0,305185430,0,3281.0698389489758,3281.0698389489758,,,0.0,1387-10-10
2008-12-31,23,1,12,0,174953,10000,184953,0,572971232,31860000,604831232,0,3275.000897383869,3270.18881553692,3186.0,,-10000.0,1387-10-11
2009-01-03,5,0,6,0,40159,0,40159,0,127384348,0,127384348,0,3172.0,3172.0,,,0.0,1387-10-14
2009-01-04,28,0,24,0,294813,0,294813,0,923776550,0,923776550,0,3133.432209570134,3133.432209570134,,,0.0,1387-10-15
2009-01-05,17,1,12,0,80538,10000,90538,0,248651530,30725000,279376530,0,3087.3814845166257,3085.7378117475537,3072.5,,-10000.0,1387-10-16
2009-01-10,11,0,11,0,94257,0,94257,0,282331355,0,282331355,0,2995.335677986781,2995.335677986781,,,0.0,1387-10-21
2009-01-11,13,0,9,0,104705,0,104705,0,304741662,0,304741662,0,2910.47860178597,2910.47860178597,,,0.0,1387-10-22
2009-01-12,2,0,2,0,5980,0,5980,0,17922060,0,17922060,0,2997.0,2997.0,,,0.0,1387-10-23
2009-01-13,0,1,1,0,0,84,84,0,0,253344,253344,0,,3016.0,3016.0,,-84.0,1387-10-24
2009-01-14,0,1,1,0,0,48,48,0,0,144768,144768,0,,3016.0,3016.0,,-48.0,1387-10-25
2009-01-17,3,0,4,0,14040,0,14040,0,42344640,0,42344640,0,3016.0,3016.0,,,0.0,1387-10-28
2009-01-18,1,0,1,0,6300,0,6300,0,19290600,0,19290600,0,3062.0,3062.0,,,0.0,1387-10-29
2009-01-19,2,0,1,0,10000,0,10000,0,30820000,0,30820000,0,3082.0,3082.0,,,0.0,1387-10-30
2009-01-20,2,1,2,0,20000,8000,28000,0,62300000,24920000,87220000,0,3115.0,3115.0,3115.0,,-8000.0,1387-11-01
2009-01-21,4,0,4,0,33147,0,33147,0,106335576,0,106335576,0,3208.0,3208.0,,,0.0,1387-11-02
2009-01-24,26,1,13,0,197033,10000,207033,0,647650485,33040000,680690485,0,3287.015296929956,3287.835683200263,3304.0,,-10000.0,1387-11-05
2009-01-25,6,0,3,0,24509,0,24509,0,78183710,0,78183710,0,3190.0,3190.0,,,0.0,1387-11-06
2009-01-26,19,0,18,1,184925,0,164925,20000,575513168,0,513373168,62140000,3112.143669055022,3112.7674276186144,,3107.0,20000.0,1387-11-07
2009-01-27,5,0,6,0,53411,0,53411,0,169774680,0,169774680,0,3178.646346258261,3178.646346258261,,,0.0,1387-11-08
2009-01-28,17,1,14,0,91143,8400,99543,0,298331476,27499600,325831076,0,3273.2242300560656,3273.2696020815124,3273.7619047619046,,-8400.0,1387-11-09
2009-01-31,4,1,9,0,18945,26114,45059,0,63850359,88025780,151876139,0,3370.301346001584,3370.6060720388823,3370.827142528912,,-26114.0,1387-11-12
2009-02-01,24,1,16,2,120343,17300,78243,59400,416709931,60029700,271582991,205156640,3462.6852496613847,3471.0196567105045,3469.9248554913293,3453.815488215488,42100.0,1387-11-13
2009-02-02,7,0,8,0,30451,0,30451,0,102493462,0,102493462,0,3365.84880627894,3365.84880627894,,,0.0,1387-11-14
2009-02-03,13,0,10,0,25049,0,25049,0,82817371,0,82817371,0,3306.214659267835,3306.214659267835,,,0.0,1387-11-15
2009-02-04,26,0,9,0,188815,0,188815,0,644236780,0,644236780,0,3412.0,3412.0,,,0.0,1387-11-16
2009-02-07,4,0,6,0,74070,0,74070,0,260281980,0,260281980,0,3514.0,3514.0,,,0.0,1387-11-19
2009-02-08,31,0,26,2,276603,0,230893,45710,956679501,0,799375206,157304295,3458.6736260995,3462.102385087465,,3441.3540800700066,45710.0,1387-11-20
2009-02-09,19,1,15,3,76141,50458,83149,43450,267113471,179646418,294165089,152594800,3508.1424068504484,3537.8066964124646,3560.3158666613817,3511.963176064442,-7008.0,1387-11-21
2009-02-11,12,0,14,0,115000,0,115000,0,401454060,0,401454060,0,3490.9048695652173,3490.9048695652173,,,0.0,1387-11-23
2009-02-14,7,1,2,0,16331,20000,36331,0,55546996,68300000,123846996,0,3401.3223929949177,3408.851834521483,3415.0,,-20000.0,1387-11-26
2009-02-15,8,1,11,0,39436,20000,59436,0,132591440,67444000,200035440,0,3362.19292017446,3365.5602665051483,3372.2,,-20000.0,1387-11-27
2009-02-17,7,0,6,0,16375,0,16375,0,53637450,0,53637450,0,3275.569465648855,3275.569465648855,,,0.0,1387-11-29
2009-02-21,13,0,12,1,61372,0,54389,6983,200755437,0,177883381,22872056,3271.1242423254903,3270.5764217029177,,3275.3910926535877,6983.0,1387-12-03
2009-02-22,8,1,11,0,96154,44237,140391,0,316566132,145099295,461665427,0,3292.282505147992,3288.426088566931,3280.0437416642176,,-44237.0,1387-12-04
2009-02-23,5,0,4,0,47264,0,47264,0,160035904,0,160035904,0,3386.0,3386.0,,,0.0,1387-12-05
2009-02-25,4,0,3,0,30089,0,30089,0,104710343,0,104710343,0,3480.020705241118,3480.020705241118,,,0.0,1387-12-07
2009-02-28,12,0,2,0,57826,0,57826,0,207248384,0,207248384,0,3584.0,3584.0,,,0.0,1387-12-10
2009-03-01,59,2,52,3,642882,27793,465135,205540,2338933487,98363354,1694347848,742948993,3638.200302699407,3642.701254474508,3539.141294570575,3614.619991242581,177747.0,1387-12-11
2009-03-02,10,0,14,1,62025,0,59198,2827,219055754,0,209090579,9965175,3531.733236598146,3532.054782256157,,3525.0,2827.0,1387-12-12
2009-03-03,15,0,12,2,101797,0,35243,66554,358568629,0,124089112,234479517,3522.3889603819366,3520.9576937264137,,3523.1468732157346,66554.0,1387-12-13
2009-03-04,25,0,5,2,117075,0,10982,106093,400468085,0,37617414,362850671,3420.611445654495,3425.370060098343,,3420.118867408783,106093.0,1387-12-14
2009-03-07,7,0,2,1,7363,0,4200,3163,24482797,0,13963800,10518997,3325.1116392774684,3324.714285714286,,3325.6392665191274,3163.0,1387-12-17
2009-03-08,3,0,1,0,5600,0,5600,0,18452000,0,18452000,0,3295.0,3295.0,,,0.0,1387-12-18
2009-03-09,1,0,1,0,200,0,200,0,655000,0,655000,0,3275.0,3275.0,,,0.0,1387-12-19
2009-03-10,22,0,17,1,111972,0,78476,33496,376727610,0,262644759,114082851,3364.480495123781,3346.816338753249,,3405.8649092428946,33496.0,1387-12-20
2009-03-11,18,0,13,0,132774,0,132774,0,437860283,0,437860283,0,3297.786336180276,3297.786336180276,,,0.0,1387-12-21
2009-03-14,20,0,16,1,213646,0,211196,2450,722959558,0,714639358,8320200,3383.9133800773243,3383.7731680524253,,3396.0,2450.0,1387-12-24
2009-03-16,10,0,13,1,84962,0,46962,38000,296009500,0,163579500,132430000,3484.022268778984,3483.231123035646,,3485.0,38000.0,1387-12-26
2009-03-17,4,0,8,1,59135,0,39135,20000,212176380,0,140416380,71760000,3588.0,3588.0,,3588.0,20000.0,1387-12-27
2009-03-18,24,0,34,2,369698,0,304698,65000,1355211994,0,1115086994,240125000,3665.7271448587767,3659.646581204997,,3694.230769230769,65000.0,1387-12-28
2009-03-25,5,0,4,0,21200,0,21200,0,79971560,0,79971560,0,3772.243396226415,3772.243396226415,,,0.0,1388-01-05
2009-03-28,18,0,17,0,140836,0,140836,0,540413674,0,540413674,0,3837.184200062484,3837.184200062484,,,0.0,1388-01-08
2009-03-29,13,0,12,0,56419,0,56419,0,222904376,0,222904376,0,3950.874279941155,3950.874279941155,,,0.0,1388-01-09
2009-04-20,135,1,56,3,1258465,30000,987149,301316,5448598552,129000000,4281183472,1296415080,4329.559067594252,4336.917194871291,4300.0,4302.509923137171,271316.0,1388-01-31
2009-04-21,12,1,3,0,43577,10000,53577,0,183140200,42020000,225160200,0,4202.680313009157,4202.553334453217,4202.0,,-10000.0,1388-02-01
2009-04-22,8,0,4,0,28121,0,28121,0,114649317,0,114649317,0,4077.0,4077.0,,,0.0,1388-02-02
2009-04-25,71,0,63,1,744843,0,732843,12000,3049695217,0,2999930217,49765000,4094.413476397039,4093.55102934735,,4147.083333333333,12000.0,1388-02-05
2009-04-26,29,0,27,0,222245,0,222245,0,920376327,0,920376327,0,4141.268991428378,4141.268991428378,,,0.0,1388-02-06
2009-04-27,33,0,21,0,239341,0,239341,0,972907002,0,972907002,0,4064.940825015354,4064.940825015354,,,0.0,1388-02-07
