date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2014-08-04,88,0,104,1,1323165,0,1321308,1857,3013984206,0,3009705678,4278528,2277.8596818990827,2277.822943628586,,2304.0,1857.0,1393-05-13
2014-08-05,31,0,70,0,641864,0,641864,0,1424370494,0,1424370494,0,2219.115722333703,2219.115722333703,,,0.0,1393-05-14
2014-08-06,37,0,44,0,323987,0,323987,0,689911398,0,689911398,0,2129.441607224981,2129.441607224981,,,0.0,1393-05-15
2014-08-09,32,0,46,0,293380,0,293380,0,610056151,0,610056151,0,2079.4060638080305,2079.4060638080305,,,0.0,1393-05-18
2014-08-10,66,0,105,1,1330673,0,1313728,16945,2942984200,0,2904942675,38041525,2211.6509465511062,2211.220796846836,,2245.0,16945.0,1393-05-19
2014-08-11,54,1,91,1,911581,168352,1059933,20000,2167272783,400679830,2520192613,47760000,2377.487884236288,2377.6904889271304,2380.012295666223,2388.0,-148352.0,1393-05-20
2014-08-12,106,1,122,0,2154613,185200,2339813,0,5477157747,470607444,5947765191,0,2542.0610323060337,2541.983137541333,2541.076911447084,,-185200.0,1393-05-21
2014-08-13,89,0,98,2,1734291,0,1334291,400000,4739837008,0,3641837008,1098000000,2733.01136199173,2729.4173519869355,,2745.0,400000.0,1393-05-22
2014-08-16,106,1,124,1,1938407,55000,1933407,60000,5216671600,152837557,5199007157,170502000,2691.2158282548503,2689.0391712660603,2778.8646727272726,2841.7,5000.0,1393-05-25
2014-08-17,58,0,69,1,1067545,0,1009506,58039,2691942932,0,2543198312,148744620,2521.620102197097,2519.2503184725992,,2562.8391254156686,58039.0,1393-05-26
2014-08-18,64,0,103,0,1804681,0,1804681,0,4903487489,0,4903487489,0,2717.093762831215,2717.093762831215,,,0.0,1393-05-27
2014-08-19,69,0,59,0,1071379,0,1071379,0,2906091504,0,2906091504,0,2712.477567695465,2712.477567695465,,,0.0,1393-05-28
2014-08-20,39,0,51,0,608564,0,608564,0,1613324279,0,1613324279,0,2651.034696432914,2651.034696432914,,,0.0,1393-05-29
2014-08-23,50,0,77,0,867093,0,867093,0,2414067818,0,2414067818,0,2784.0933071769696,2784.0933071769696,,,0.0,1393-06-01
2014-08-24,67,0,73,2,1244552,0,1146573,97979,3518765572,0,3243297297,275468275,2827.335114965064,2828.6880093984423,,2811.5032302840405,97979.0,1393-06-02
2014-08-25,85,0,53,1,1069786,0,1027252,42534,2846991549,0,2727849576,119141973,2661.2720198245256,2655.4823704407486,,2801.099661447313,42534.0,1393-06-03
