date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change,jdate
2018-02-06,158618,878,0,1,99444560,551666,0,99996226,271483648800,1506048180,0,272989696980,2730.0,,2730.0,2730.0,99444560.0,1396-11-17
2018-02-07,8,1,106,8,411092,383,58326,353149,1178189672,1097678,167162316,1012125034,2866.0,2866.0,2866.0,2866.0,352766.0,1396-11-18
2018-02-10,7,0,279,3,410531,0,159892,250639,1235287779,0,481115028,754172751,3009.0,3009.0,,3009.0,250639.0,1396-11-21
2018-02-12,9,0,670,9,410789,0,405727,5062,1297682451,0,1281691593,15990858,3159.0,3159.0,,3159.0,5062.0,1396-11-23
2018-02-13,6,0,302,4,387612,0,185726,201886,1285321392,0,615867416,669453976,3316.0,3316.0,,3316.0,201886.0,1396-11-24
2018-02-14,48,0,7288,98,4649622,0,4588801,60821,16836650267,0,16617761314,218888953,3621.079362365371,3621.373276810217,,3598.9042107166933,60821.0,1396-11-25
2018-02-17,2147,8,29976,261,46874373,620699,24832738,22662334,178216329664,2359897598,94414034023,86162193239,3801.999221706923,3801.9985562204215,3802.0,3801.999972244695,22041635.0,1396-11-28
2018-02-18,3638,20,50984,262,40273884,1228242,40836353,665773,152513948702,4612257014,154640689892,2485515824,3786.919302394574,3786.838895530167,3755.169595242631,3733.2781954209618,-562469.0,1396-11-29
2018-02-19,1494,4,14448,43,13039489,758081,13766978,30592,47686603841,2767191282,50342116899,111678224,3657.0914581852094,3656.7296685590695,3650.258062133202,3650.569560669456,-727489.0,1396-11-30
2018-02-21,944,4,5098,14,8300759,8890,8299879,9770,30258504531,32349350,30255159285,35694596,3645.269611007861,3645.253055496352,3638.8470191226097,3653.489866939611,880.0,1396-12-02
2018-02-24,862,7,5798,23,12305070,92405,12379524,17951,43485644870,322580146,43744520186,63704830,3533.961600380981,3533.618916688558,3490.9382176289164,3548.817893153585,-74454.0,1396-12-05
2018-02-25,829,5,5363,39,10497237,236582,10630038,103781,36942825090,843889164,37416926618,369787636,3519.290370408899,3519.924069697587,3567.0049454311825,3563.153525211744,-132801.0,1396-12-06
2018-02-26,507,2,1836,5,4546655,973,4544962,2666,16200137612,3512220,16194088637,9561195,3563.089262765704,3563.085596095193,3609.681397738952,3586.3447111777946,1693.0,1396-12-07
2018-02-27,285,10,1419,5,2400849,2289472,4686088,4233,8428567735,8023504936,16437212892,14859779,3510.661326472427,3507.662018297565,3504.521975372488,3510.4604299551147,-2285239.0,1396-12-08
2018-02-28,507,8,1717,11,5552657,972999,6404605,121051,19129678301,3378592039,22088088677,420181663,3445.13956129471,3448.782349106619,3472.348932527166,3471.112696301559,-851948.0,1396-12-09
2018-03-03,508,7,2219,4,7308282,990115,8196510,101887,24421123388,3300635405,27381076383,340682410,3341.568290331435,3340.5774388123727,3333.587921605066,3343.727953517132,-888228.0,1396-12-12
2018-03-04,436,8,2052,5,4620738,620000,5237593,3145,15137861045,2022095809,17149654798,10302056,3276.069979514095,3274.3389564633985,3261.4448532258066,3275.6934817170118,-616855.0,1396-12-13
2018-03-05,425,1,1497,4,5368529,10000,5333386,45143,17885454401,33390000,17766495169,152349232,3331.537261138014,3331.1849487361314,3339.0,3374.8140797022797,35143.0,1396-12-14
2018-03-06,294,4,1836,50,3134949,141414,3244913,31450,10269726864,460105500,10627517337,102315027,3275.8832325501944,3275.131671326781,3253.606432177861,3253.26,-109964.0,1396-12-15
2018-03-07,501,8,3653,5,5122162,219750,5323767,18145,16248000963,695075044,16885373244,57702763,3172.0982200484877,3171.696515643904,3163.02636632537,3180.0916505924497,-201605.0,1396-12-16
2018-03-10,314,3,2089,4,2979186,1632081,4607980,3287,9261331096,5074999582,14326118801,10211877,3108.6783759053646,3108.980247527116,3109.5267832907803,3106.7468816550045,-1628794.0,1396-12-19
2018-03-11,216,5,1173,2,1910197,1506929,3415868,1258,6029551751,4762265823,10787859796,3957778,3156.50781097447,3158.1606186187523,3160.2456539093746,3146.087440381558,-1505671.0,1396-12-20
2018-03-12,253,5,1669,4,2440251,864653,3301814,3090,7497952731,2657670335,10146097545,9525521,3072.615370713914,3072.8858575922204,3073.684281440069,3082.6928802588995,-861563.0,1396-12-21
2018-03-13,148,7,825,1,880551,996991,1876913,629,2702521423,3053996225,5754567748,1949900,3069.1253805855654,3065.974687159181,3063.2134342235786,3100.0,-996362.0,1396-12-22
2018-03-14,128,4,522,2,972464,714449,1683290,3623,2983974897,2192933511,5165783198,11125210,3068.4682384129387,3068.8610982064884,3069.405249359996,3070.7176373171405,-710826.0,1396-12-23
2018-03-17,203,1,756,5,1856918,383717,2208119,32516,5832150305,1211860254,6941559393,102451166,3140.7689004037875,3143.6527619208928,3158.213615763701,3150.7924098905155,-351201.0,1396-12-26
2018-03-18,129,2,768,3,1712545,366953,2052610,26888,5480215039,1173080800,6567116532,86179307,3200.041481537711,3199.398099005656,3196.814850948214,3205.1215040166617,-340065.0,1396-12-27
2018-03-19,182,3,1075,4,1302674,600428,1701381,201721,4184942404,1926669522,5465783153,645828773,3212.578437890063,3212.5568305982024,3208.826906806478,3201.5941473619505,-398707.0,1396-12-28
2018-03-25,134,2,362,1,719371,124512,843254,629,2295960325,396670711,2690643396,1987640,3191.622021182394,3190.786401250394,3185.803063158571,3160.0,-123883.0,1397-01-05
2018-03-26,147,3,284,3,1089652,103500,1112493,80659,3458497613,330013706,3530805487,257705832,3173.9469234214225,3173.777710960878,3188.5382222222224,3195.004054104316,-22841.0,1397-01-06
2018-03-27,101,1,271,0,1218373,500000,1718373,0,3811656653,1564891054,5376547707,0,3128.4808946028843,3128.8595124574235,3129.782108,,-500000.0,1397-01-07
2018-03-28,115,2,243,0,754122,58343,812465,0,2369278134,182428629,2551706763,0,3141.770342199273,3140.6974614291075,3126.82976535317,,-58343.0,1397-01-08
2018-04-03,95,8,228,0,768049,480469,1248518,0,2406460512,1503780874,3910241386,0,3133.2122195328684,3131.9062969056117,3129.818727118711,,-480469.0,1397-01-14
2018-04-04,126,3,389,1,980427,457049,1436847,629,3054838579,1428418603,4481307140,1950042,3115.8246141732125,3118.8478244378143,3125.3073587295894,3100.225755166932,-456420.0,1397-01-15
2018-04-07,59,3,373,2,663260,1177057,1669089,171228,2064229304,3663862060,5195277465,532813899,3112.2475409341737,3112.6425642970507,3112.7312101283114,3111.721791996636,-1005829.0,1397-01-18
2018-04-08,117,2,453,1,883175,1360431,2242977,629,2703553958,4161438092,6863066681,1925369,3061.175823591021,3059.802521827018,3058.9115449442124,3061.0,-1359802.0,1397-01-19
2018-04-09,117,8,463,0,824863,1902987,2727850,0,2501688904,5775343614,8277032518,0,3032.8538242108084,3034.2696695199515,3034.8833775532885,,-1902987.0,1397-01-20
2018-04-10,146,0,393,0,1005667,0,1005667,0,3094553160,0,3094553160,0,3077.1151484537127,3077.1151484537127,,,0.0,1397-01-21
2018-04-11,239,4,403,1,1728156,1625450,3352977,629,5118067084,4836662530,9952842614,1887000,2961.577012723388,2968.359942224477,2975.5837029745608,3000.0,-1624821.0,1397-01-22
2018-04-15,142,2,345,2,1100639,1260675,2360056,1258,3173452528,3624312664,6794129572,3635620,2883.2819189579877,2878.8001521997785,2874.8984980268506,2890.0,-1259417.0,1397-01-26
2018-04-16,85,3,496,0,577976,749325,1327301,0,1675978747,2170608430,3846587177,0,2899.73761367254,2898.0518940315724,2896.75164981817,,-749325.0,1397-01-27
2018-04-17,219,2,1055,1,2261861,1850587,4111819,629,6506150421,5415419244,11919777644,1792021,2876.458995932995,2898.9062125545897,2926.325130350532,2849.0,-1849958.0,1397-01-28
2018-04-22,140,1,231,0,1355507,30000,1385507,0,3297133018,73245000,3370378018,0,2432.3983704990087,2432.595445566136,2441.5,,-30000.0,1397-02-02
2018-04-23,74,1,138,3,512589,40000,541884,10705,1253405179,97340000,1324442604,26302575,2445.244004455812,2444.14414155059,2433.5,2457.0364315740308,-29295.0,1397-02-03
2018-04-24,82,3,151,0,880445,550413,1430858,0,2112791193,1324126205,3436917398,0,2399.685605574454,2401.9975413353386,2405.695732113885,,-550413.0,1397-02-04
2018-04-25,102,1,89,0,791357,119964,911321,0,1866749966,284529489,2151279455,0,2358.922668277402,2360.616571987258,2371.790612183655,,-119964.0,1397-02-05
2018-04-28,118,2,135,0,1024055,1503707,2527762,0,2346871015,3447784120,5794655135,0,2291.7431339137056,2292.405351057576,2292.8563343789715,,-1503707.0,1397-02-08
2018-04-29,77,7,156,0,729187,28000,757187,0,1630209459,62171000,1692380459,0,2235.6534866913426,2235.089164235519,2220.3928571428573,,-28000.0,1397-02-09
2018-04-30,96,1,139,0,730157,5000,735157,0,1611637144,11010000,1622647144,0,2207.2474056949395,2207.2117166809267,2202.0,,-5000.0,1397-02-10
2018-05-01,67,1,126,0,506673,445700,952373,0,1123623967,996102841,2119726808,0,2217.6511615973222,2225.7317332599728,2234.9177496073594,,-445700.0,1397-02-11
2018-05-05,35,0,110,0,352030,0,352030,0,782797735,0,782797735,0,2223.6676845723377,2223.6676845723377,,,0.0,1397-02-15
2018-05-06,102,4,153,0,1044129,1082352,2126481,0,2246855342,2329650017,4576505359,0,2151.894394275037,2152.1496589906046,2152.395909094269,,-1082352.0,1397-02-16
2018-05-07,52,3,165,0,534023,468277,1002300,0,1172097989,1026276497,2198374486,0,2194.845519762257,2193.3298273969867,2191.6013321175287,,-468277.0,1397-02-17
2018-05-08,86,3,102,0,944624,304483,1249107,0,2085737805,672332871,2758070676,0,2208.0084827402225,2208.0339602612107,2208.1130013826714,,-304483.0,1397-02-18
2018-05-09,58,2,116,0,400898,750000,1150898,0,858026119,1609125650,2467151769,0,2140.2604128731,2143.6754334441453,2145.5008666666668,,-750000.0,1397-02-19
2018-05-12,32,2,98,0,398212,450000,848212,0,863862895,974638599,1838501494,0,2169.354251001979,2167.502339037882,2165.863553333333,,-450000.0,1397-02-22
2018-05-13,90,4,182,1,745511,600000,1305511,40000,1678915879,1348466121,2936342000,91040000,2252.033677571492,2249.1897808597555,2247.443535,2276.0,-560000.0,1397-02-23
2018-05-14,83,3,159,2,874431,299250,1144198,29483,2053761426,700108180,2684633599,69236007,2348.6832305808007,2346.3016007718943,2339.5427903091063,2348.3365668351253,-269767.0,1397-02-24
2018-05-15,128,2,118,1,1340375,10001,1125376,225000,3159242969,23002315,2639606540,542638744,2356.9844028723305,2345.532995194495,2300.001499850015,2411.727751111111,214999.0,1397-02-25
2018-05-16,83,1,126,1,3044447,88788,834125,2299110,6963579847,203927513,1920938340,5246569020,2287.305329013775,2302.9382166941405,2296.7913794656934,2282.0,2210322.0,1397-02-26
2018-05-19,46,1,159,1,1101089,6629,1101089,6629,2621256744,15410199,2620744085,15922858,2380.603878523897,2380.138285824307,2324.6642027455123,2402.0,0.0,1397-02-29
2018-05-20,210,9,373,12,4572685,2186036,4039341,2719380,11376412551,5425205485,10008645783,6792972253,2487.906459990137,2477.791744494956,2481.7548681723447,2497.985663276188,533344.0,1397-02-30
